df_hash,22ZHK4.MC7JBY
434.675,36
435.864,25
436.742,25
437.645,0
438.643,38
439.720,35
440.885,31
441.572,26
442.743,24
443.571,44
444.513,32
446.001,43
446.736,49
447.659,46
448.637,59
449.516,68
450.495,64
451.618,67
452.489,51
453.655,46
454.585,49
455.466,55
456.488,57
457.604,60
458.484,61
459.363,59
460.578,48
461.459,46
462.436,63
463.505,69
464.432,71
465.361,71
466.481,70
467.701,61
468.819,29
469.453,0
470.384,31
471.311,0
472.504,0
473.366,28
474.377,33
475.599,43
476.327,32
477.544,24
478.424,25
479.302,25
480.471,25
481.401,22
482.462,27
483.395,34
484.371,25
485.250,30
486.467,58
487.395,56
488.275,40
489.250,48
490.319,55
491.197,46
