df_hash,22ZHK4.QMMKCW
441.323,57
442.392,56
443.371,55
444.346,53
445.174,53
446.393,42
447.270,48
448.148,41
449.412,38
450.436,36
451.123,48
452.437,53
453.218,56
454.157,61
455.363,62
456.192,60
457.118,60
458.302,57
459.215,47
460.138,46
461.312,33
462.432,31
463.257,47
464.235,49
465.162,59
466.042,61
467.303,60
468.138,58
469.016,29
470.232,21
471.110,35
471.987,44
473.399,22
474.278,20
475.055,37
476.238,41
477.062,35
477.984,47
479.401,47
480.080,27
481.200,24
482.129,20
483.099,27
484.125,27
485.149,45
486.027,39
486.904,29
488.123,0
489.001,19
489.878,20
491.098,24
