df_hash,22ZHK4.QMMKCW
203.177,10
203.225,220
204.253,520
204.978,515
205.284,505
205.860,500
206.343,520
206.879,545
207.512,550
208.000,570
208.146,575
208.293,250
208.296,10
208.537,15
209.219,275
209.512,550
209.560,540
210.097,10
210.633,525
210.636,510
211.121,10
211.607,480
211.611,520
212.193,10
212.880,520
213.314,550
213.850,570
214.386,580
214.972,590
215.508,575
216.093,555
216.629,545
217.068,515
217.071,495
217.608,10
218.142,530
218.774,530
219.262,555
219.946,545
220.383,555
220.386,550
220.924,10
221.504,540
221.943,540
222.479,510
223.016,505
223.454,515
224.237,550
224.575,540
225.111,560
225.115,565
225.599,10
225.602,305
225.696,15
225.700,230
226.773,545
227.354,515
227.749,525
227.844,510
228.330,10
228.865,515
229.450,535
230.527,560
231.644,1145
232.132,1165
232.480,395
232.638,460
232.668,90
232.783,75
232.914,10
235.154,1435
235.160,1005
235.690,10
235.696,510
235.983,255
235.989,10
236.129,20
236.135,135
236.666,355
236.812,275
236.817,30
236.863,15
236.868,10
237.105,25
238.079,310
238.766,1005
239.152,490
239.742,550
240.126,615
240.565,430
240.568,395
240.859,10
240.868,240
240.956,220
241.698,690
241.952,245
242.812,770
242.955,195
243.881,465
245.343,545
245.981,1340
246.172,765
246.808,170
247.098,440
247.539,480
247.543,380
247.927,100
248.367,340
249.340,460
249.344,905
249.779,10
250.023,530
250.027,170
250.072,10
250.076,50
250.079,10
250.316,220
250.710,500
251.303,10
251.340,465
251.681,10
252.320,500
252.802,530
253.339,530
253.777,515
254.313,510
254.898,530
255.142,535
255.435,520
257.092,540
258.360,1140
258.652,1295
259.042,250
259.334,480
259.338,220
259.432,10
259.435,10
259.636,10
260.602,240
261.040,1010
262.029,485
262.262,1010
262.357,170
262.362,15
262.368,10
262.373,10
262.454,10
262.460,10
262.564,15
262.942,250
263.527,495
263.917,510
264.502,470
264.892,480
265.574,445
265.581,625
265.867,10
266.452,390
267.673,525
268.112,1075
269.648,585
270.206,1595
270.742,525
271.181,475
271.327,530
271.478,240
271.482,10
271.498,10
272.692,295
272.696,970
272.859,10
272.984,160
272.989,10
273.130,10
273.134,10
273.228,240
274.646,1045
276.007,490
276.300,1295
277.421,385
277.425,1130
278.417,10
278.445,925
278.542,10
278.835,70
278.932,390
278.982,125
278.987,10
279.127,10
279.225,15
279.810,235
280.103,560
280.113,200
280.395,15
281.029,265
281.470,695
282.298,520
282.686,690
282.689,515
282.978,10
283.125,375
284.636,545
285.123,1030
286.197,485
286.735,1020
287.171,485
287.707,520
288.146,520
288.682,475
289.121,530
289.373,475
289.462,210
290.340,20
290.346,860
290.349,10
290.437,200
290.925,265
291.169,175
291.753,315
292.144,565
292.436,480
292.440,200
292.488,10
292.492,15
292.496,15
292.538,10
292.729,250
293.703,515
294.094,465
295.068,470
295.654,995
296.044,470
296.336,505
296.633,165
296.924,325
297.187,10
297.604,510
298.140,480
298.143,525
298.579,10
299.171,475
299.651,535
300.236,505
300.239,550
300.626,120
301.363,385
301.747,505
302.187,530
302.583,450
302.871,480
303.161,10
303.555,515
303.721,495
304.136,10
304.674,505
305.160,500
305.652,505
306.086,485
306.089,475
306.623,10
307.061,485
307.597,495
308.038,490
308.573,505
308.585,480
309.016,10
309.548,505
310.038,485
310.553,490
311.214,525
311.651,515
312.047,510
312.619,500
312.765,505
312.862,255
312.865,10
313.008,10
313.011,10
313.014,185
313.159,175
313.401,10
314.032,375
314.569,445
314.958,505
315.251,495
315.255,220
315.547,240
315.933,490
316.519,10
316.713,470
316.719,220
316.762,20
316.909,235
318.490,1080
319.541,475
320.321,1040
320.355,500
320.418,210
320.447,245
321.638,610
321.930,565
321.936,255
321.979,15
321.985,50
322.226,195
323.733,1105
324.270,505
325.245,565
325.834,1050
326.293,480
326.805,475
327.341,525
327.781,505
328.414,500
328.853,525
329.438,535
329.632,795
330.705,275
331.680,805
331.778,960
331.781,155
331.785,15
331.828,20
332.655,10
332.898,825
333.484,220
334.020,525
334.166,665
334.170,25
334.266,10
334.462,10
334.849,270
335.288,460
335.824,470
336.263,470
336.799,505
337.371,510
337.774,535
338.066,505
338.070,200
338.115,10
338.118,15
338.121,15
338.166,10
338.310,10
338.895,265
338.900,590
339.041,10
339.204,280
339.334,15
339.398,15
339.431,15
339.438,160
339.442,10
340.407,535
340.552,525
340.699,205
340.703,15
341.528,280
341.974,530
342.503,430
343.039,560
343.624,515
344.014,550
344.311,530
344.647,260
345.135,265
345.720,550
345.725,495
346.116,10
346.695,510
347.283,505
348.214,500
348.743,1060
349.868,540
350.307,1085
350.449,550
351.862,1080
351.965,510
352.936,505
353.473,555
354.057,525
354.451,500
355.033,505
355.567,515
356.153,540
356.981,525
356.985,930
357.230,10
357.813,235
358.639,285
358.785,1090
358.788,210
358.931,10
358.935,10
358.938,15
359.118,15
359.641,225
360.150,560
360.737,485
361.273,520
361.320,590
361.573,10
361.859,510
363.221,1070
363.234,345
363.368,230
363.672,210
364.109,115
365.611,725
365.954,1150
365.961,320
366.147,200
367.171,520
367.712,480
368.243,565
368.633,530
369.218,500
369.608,515
370.193,500
370.729,525
371.707,510
371.997,1055
372.290,250
372.972,310
373.508,585
373.654,565
373.801,265
373.947,15
374.483,255
375.073,535
375.701,490
376.192,505
376.594,525
377.138,540
377.554,525
378.687,515
378.977,1070
379.068,295
379.212,225
380.333,845
380.772,280
381.308,445
381.458,585
381.649,200
381.752,205
382.976,1080
383.258,395
384.800,340
384.919,1270
385.750,10
386.330,1010
386.777,530
386.866,425
387.012,155
387.015,40
387.161,10
387.315,15
387.596,255
388.279,400
388.289,620
388.330,10
388.334,15
388.337,10
388.426,10
388.669,195
388.672,185
388.961,195
388.965,65
389.010,10
389.013,10
389.793,300
390.473,625
390.914,580
391.080,260
391.594,320
392.325,610
392.890,645
393.300,570
394.032,480
394.129,605
394.133,255
394.373,10
394.665,285
394.669,150
394.714,15
394.718,25
394.721,10
394.958,10
395.495,280
396.088,550
396.300,540
396.470,210
397.058,315
397.593,555
398.127,530
398.712,540
399.274,510
399.838,540
400.516,550
400.813,760
401.421,300
401.783,505
402.320,530
402.905,530
403.597,530
403.601,505
404.415,205
404.573,830
404.722,280
404.857,10
404.952,225
407.342,1010
407.346,1465
408.712,1090
408.806,260
408.999,220
409.973,525
410.513,505
410.953,515
411.241,515
411.641,180
412.071,310
412.362,640
413.911,250
415.757,1545
416.945,1775
418.067,1330
418.165,1125
418.212,85
418.215,10
418.263,15
420.259,15
420.706,1990
421.235,480
421.967,505
422.016,710
422.264,260
422.648,505
424.364,890
424.744,750
425.866,460
426.134,1115
426.268,240
427.279,210
427.283,975
427.385,10
427.524,185
427.718,230
427.865,150
427.914,20
428.748,320
428.937,535
429.035,255
429.254,10
429.619,240
429.626,360
430.156,15
430.790,575
430.819,565
432.236,465
432.548,970
433.081,445
433.229,485
433.236,185
433.568,15
434.495,275
435.031,950
435.177,505
435.181,205
435.226,20
435.374,20
435.378,20
435.381,20
435.385,15
435.421,10
435.424,10
435.567,215
436.689,615
437.371,575
437.956,625
438.248,575
438.253,310
438.394,195
438.665,280
438.931,15
439.467,255
440.052,545
440.589,560
441.174,570
441.856,595
442.398,595
442.685,590
442.979,290
443.116,285
443.221,225
444.196,1100
444.199,10
444.353,115
444.661,210
446.293,555
446.587,1165
446.634,215
446.637,15
446.641,15
446.645,10
446.731,200
448.242,530
448.535,905
448.681,295
449.363,190
449.656,420
450.217,570
450.729,555
451.313,570
451.850,570
452.143,585
452.297,285
452.444,10
452.990,265
453.556,565
454.093,545
454.629,495
455.409,635
455.945,585
456.435,575
457.017,555
457.454,540
457.992,525
458.528,475
459.114,585
459.357,610
459.361,285
459.544,10
459.552,70
459.650,225
459.945,190
459.994,20
459.997,25
460.001,15
460.967,375
461.459,630
461.746,570
461.751,260
461.895,10
462.088,235
463.265,615
463.843,570
464.378,575
464.915,565
465.500,560
466.185,560
466.475,540
467.013,535
467.742,570
468.425,675
469.107,735
469.651,700
470.521,535
471.057,755
471.597,605
471.887,560
471.894,285
472.178,240
473.153,530
473.690,505
474.421,595
474.958,590
475.640,635
476.265,630
476.468,620
476.810,225
477.055,355
477.151,305
477.300,225
478.714,540
479.415,540
479.979,1055
480.808,530
481.490,805
482.027,670
482.318,580
482.324,340
482.465,10
482.837,345
483.733,265
484.417,805
484.708,505
485.537,490
485.878,780
486.414,285
486.661,555
487.486,240
487.730,820
487.733,285
487.876,225
489.440,1065
489.973,500
490.512,510
490.828,535
