df_hash,22ZHK4.GBZGPG
214.860,285
215.531,650
215.775,10
215.823,320
215.921,10
216.067,275
216.359,20
216.459,210
217.627,765
218.309,590
218.312,695
218.845,10
219.554,555
219.677,635
219.967,10
220.798,465
221.234,660
221.237,500
221.771,10
221.924,645
221.968,135
221.973,20
222.066,10
222.209,10
222.215,15
222.307,20
222.600,320
223.282,280
223.965,715
224.110,710
224.116,175
224.257,10
225.378,530
225.381,585
225.926,10
225.939,625
226.500,10
226.652,605
226.745,250
226.892,10
227.718,390
228.303,570
228.839,540
229.668,615
229.960,725
230.497,290
230.643,795
231.764,360
232.057,645
232.061,285
232.598,10
232.643,605
232.647,25
233.130,15
233.275,670
234.397,520
234.982,560
235.226,640
235.518,215
236.205,365
236.744,610
237.322,530
237.861,620
238.297,615
238.980,300
240.101,825
240.393,1005
241.029,325
241.084,510
241.766,265
242.087,370
242.443,600
242.881,425
243.180,345
243.708,320
244.391,600
244.683,680
244.927,225
244.930,245
244.975,10
244.978,15
244.982,15
245.658,15
245.804,740
245.808,60
245.853,20
245.859,15
245.863,10
246.198,15
246.342,395
246.487,185
246.490,15
247.360,30
247.462,910
247.852,160
248.437,440
249.120,455
249.412,695
249.471,355
249.512,10
250.923,1430
252.191,265
252.873,1120
253.556,620
253.851,690
253.997,455
254.970,550
255.652,430
255.656,660
255.700,40
255.703,10
255.706,10
255.749,15
255.753,10
255.851,15
255.855,15
255.860,30
255.863,45
255.899,20
255.903,10
255.908,10
255.911,10
256.056,15
256.633,250
256.776,550
257.212,10
257.797,540
258.285,540
258.821,580
259.503,580
260.088,610
260.625,615
261.356,585
261.892,680
262.581,595
263.159,595
263.988,675
264.671,720
265.210,705
265.893,595
266.479,710
267.011,535
267.742,610
267.985,990
269.643,945
270.375,755
270.765,940
270.790,135
271.594,255
272.276,625
273.007,650
273.838,720
274.664,805
275.351,800
275.494,750
276.029,160
276.033,570
276.763,10
277.468,690
277.593,735
278.129,10
278.809,695
279.642,680
279.786,790
280.466,10
280.470,800
281.296,10
281.303,865
282.172,10
283.001,845
283.829,850
284.659,785
284.805,940
285.048,10
285.052,360
285.351,10
285.490,265
285.779,10
285.783,390
285.877,80
285.880,75
286.031,10
286.852,390
287.584,630
288.656,690
289.631,1085
290.508,975
291.584,885
292.266,880
293.141,850
293.982,890
294.116,780
294.652,230
295.627,565
296.456,875
297.431,930
298.796,990
299.527,1420
300.359,675
300.892,705
301.721,730
302.554,795
302.989,860
303.429,415
303.674,395
304.257,10
305.185,840
305.477,1005
306.596,20
307.280,1375
308.205,725
308.834,765
309.521,700
310.350,770
311.178,805
312.007,785
312.690,830
313.375,750
313.521,720
314.104,10
314.932,700
314.936,765
315.087,10
315.178,150
315.182,20
315.185,10
315.616,10
316.298,500
317.126,760
317.130,780
317.906,10
318.540,730
319.368,690
320.051,785
320.742,755
321.465,690
322.294,760
323.128,790
323.805,790
323.809,705
324.487,10
325.316,780
326.050,740
326.053,790
326.730,10
327.561,675
328.241,765
329.094,800
329.170,785
329.510,10
329.898,490
329.902,365
330.827,10
330.830,820
331.579,10
332.287,825
333.116,750
333.800,785
334.627,745
334.632,815
335.456,10
336.285,785
337.113,820
337.118,870
337.260,175
338.093,595
339.089,185
339.795,1090
340.478,690
341.208,620
342.135,660
342.139,1060
342.183,15
342.187,10
342.190,10
342.305,15
342.590,60
342.963,10
343.402,740
343.406,380
343.646,10
343.651,310
343.864,10
343.952,195
344.186,10
344.943,335
346.133,710
346.181,1190
346.284,245
346.571,190
346.718,220
348.872,1350
349.643,735
350.325,750
351.233,690
352.131,925
352.665,675
353.406,800
353.594,740
354.079,10
354.761,685
354.775,750
354.908,10
355.053,225
355.057,10
355.105,10
355.203,55
355.248,20
355.251,40
355.255,20
355.349,15
356.175,270
356.182,670
356.865,10
357.540,695
357.545,740
358.223,10
358.518,720
359.158,10
359.198,790
359.989,15
360.645,765
360.760,760
361.440,10
362.171,775
362.951,790
362.954,780
363.097,10
363.731,190
364.319,465
364.371,660
365.047,10
365.050,705
365.732,10
366.492,765
367.199,745
367.973,695
368.670,745
369.484,800
369.487,805
370.169,10
370.995,710
371.824,785
372.555,785
372.558,730
373.237,10
373.774,655
374.603,695
375.486,775
376.162,795
376.166,735
376.845,10
377.540,705
378.357,740
379.236,805
380.014,850
380.749,770
381.435,680
381.439,675
382.110,10
382.113,755
382.842,10
383.670,760
384.352,780
385.035,775
385.794,670
386.408,640
386.449,720
386.704,10
387.132,265
387.960,485
387.967,815
388.789,10
389.479,750
390.057,700
390.300,675
390.885,170
390.888,560
391.567,10
391.571,710
392.250,10
392.933,745
393.912,660
394.346,645
395.029,715
395.711,740
396.565,755
397.271,770
397.999,680
398.636,700
399.319,720
399.904,675
400.587,665
401.502,720
401.516,760
402.244,10
402.247,790
402.927,10
403.660,765
403.707,715
404.486,10
405.169,755
406.025,785
406.680,755
407.366,705
408.094,710
408.148,765
408.925,10
409.607,760
410.732,775
411.019,735
411.126,685
411.848,10
412.424,785
413.749,475
413.753,1415
413.798,10
413.812,10
413.815,10
413.895,10
413.918,195
413.993,10
415.314,1320
415.845,15
416.528,600
417.357,715
418.088,725
418.919,735
418.946,815
419.599,10
420.428,760
420.576,790
420.723,205
421.939,600
422.671,715
423.385,720
424.185,695
425.020,865
425.693,850
426.521,715
426.668,835
426.672,120
426.717,20
426.720,10
426.724,10
427.399,10
428.081,605
428.911,820
429.593,770
429.598,680
430.276,10
431.104,725
431.835,780
432.664,815
433.590,815
433.594,890
433.639,20
433.643,15
433.691,10
433.694,15
434.321,20
434.481,650
434.617,110
434.620,10
434.624,20
435.150,15
435.686,645
436.421,630
437.101,750
438.075,715
438.079,885
438.082,10
438.466,10
439.294,395
439.733,810
440.611,430
441.829,860
442.512,1290
443.276,635
443.877,810
444.852,710
444.856,770
444.861,10
444.903,160
444.907,20
444.910,10
444.998,15
445.001,20
445.439,80
446.119,360
446.802,690
447.387,700
448.075,660
448.898,655
448.902,875
449.434,10
449.581,575
449.735,260
450.263,470
450.848,10
451.384,540
451.678,570
452.359,340
453.067,705
453.481,705
454.017,395
454.455,575
454.636,570
456.064,1210
456.113,260
456.649,610
456.796,10
457.088,95
457.103,255
457.186,10
457.235,170
458.356,350
459.038,785
459.721,675
