df_hash,22ZHK4.GBZGPG
319.176,37.156
320.200,37.156
321.172,37.156
322.196,37.125
323.209,37.125
324.195,37.125
325.171,37.094
326.194,37.031
327.189,37.031
328.193,37.062
329.177,37.062
330.191,37.094
331.561,37.125
332.190,37.125
333.165,37.125
334.189,37.094
335.164,37.125
336.188,37.125
337.163,37.125
338.248,37.125
339.210,37.125
340.234,37.125
341.213,37.094
342.301,37.094
343.159,37.094
344.227,37.094
345.158,37.094
346.279,37.094
347.156,37.094
348.180,37.125
349.253,37.094
350.178,37.125
351.351,37.094
352.178,37.094
353.201,37.094
354.176,37.125
355.200,37.125
356.347,37.125
357.199,37.125
358.174,37.094
359.241,37.125
360.172,37.125
361.198,37.156
362.176,37.188
363.195,37.188
364.229,37.188
365.242,37.188
366.169,37.188
367.330,37.188
368.168,37.219
369.192,37.219
370.166,37.250
371.482,37.250
372.165,37.188
373.189,37.188
374.456,37.188
375.199,37.156
376.215,37.156
377.187,37.125
378.162,37.125
379.185,37.125
380.160,37.125
381.184,37.094
382.159,37.125
383.183,37.062
384.158,37.094
385.182,37.062
386.354,37.094
387.180,37.062
388.209,37.062
389.179,37.062
390.154,37.062
391.178,37.094
392.157,37.094
393.176,37.125
394.152,37.125
395.175,37.125
396.445,37.125
397.174,37.125
398.198,37.125
399.213,37.125
400.197,37.219
401.172,37.219
402.196,37.219
403.170,37.250
404.195,37.250
405.172,37.219
406.193,37.250
407.363,37.188
408.202,37.250
409.167,37.250
410.442,37.125
411.189,37.125
412.189,37.094
413.164,37.094
414.188,37.062
415.186,37.125
416.192,37.125
417.162,37.125
418.481,37.094
419.209,37.094
420.184,37.125
421.411,37.125
422.183,37.094
423.159,37.094
424.181,37.125
425.157,37.031
426.180,37.062
427.255,37.062
428.182,37.094
429.154,37.094
430.182,37.062
431.158,37.031
432.374,37.094
433.152,37.094
434.176,37.062
435.155,37.125
436.175,37.094
437.149,37.094
438.173,37.094
439.148,37.125
440.197,37.094
441.147,37.125
442.183,37.125
443.270,37.156
444.169,37.125
445.193,37.125
446.168,37.156
447.192,37.188
448.167,37.125
449.191,37.125
450.166,37.125
451.190,37.062
452.164,37.031
453.188,37.062
454.174,37.031
455.187,37.125
456.162,37.125
457.189,37.094
458.161,37.094
459.184,37.094
460.160,37.125
