df_hash,22ZHK4.GBZGPG
422.088,74
422.919,68
424.136,56
425.014,49
425.891,47
427.160,44
427.988,54
428.865,60
430.084,64
431.058,74
432.085,71
433.057,78
433.935,61
434.812,65
436.077,67
436.911,36
437.786,29
439.005,33
439.931,46
440.857,27
442.176,0
442.858,3
443.784,9
444.953,0
445.830,34
446.756,45
448.069,63
448.805,63
449.730,59
450.902,58
451.777,31
452.704,19
453.874,20
455.045,18
455.677,17
456.992,0
457.725,0
458.657,0
459.822,0
