df_hash,22ZHK4.MYBFT3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.F30J
person_label,V40
date_time_start,2025-10-27_13-34-00.815000_+03
date_time_start_unix,1761557640.815
date_time_end,2025-10-27_13-42-19.414000_+03
length_difference_noticed,no

time,rr_int
361.718,10
362.368,375
363.051,690
363.930,710
365.195,750
366.122,1245
367.242,1070
367.246,1070
367.487,245
368.907,675
369.067,715
369.095,175
369.144,15
369.583,15
369.594,515
370.314,10
370.558,730
370.561,230
370.606,25
371.000,15
371.003,465
371.679,10
372.264,710
372.365,555
372.544,240
373.483,1005
373.973,10
374.656,405
376.362,735
377.241,1320
379.333,1250
380.456,2125
381.137,1060
381.284,770
381.296,90
381.429,115
381.432,10
381.478,10
382.707,505
383.379,760
383.382,745
383.672,10
383.769,285
383.919,185
383.964,10
383.967,10
383.971,10
384.013,10
384.017,10
384.020,10
384.023,15
384.062,160
384.452,455
385.576,10
385.726,990
386.158,205
386.548,455
386.694,445
386.697,135
387.824,1075
387.871,10
388.063,205
388.205,245
390.156,1115
391.667,825
391.720,1450
391.813,10
391.816,180
392.420,10
393.226,530
394.202,885
394.495,905
394.546,285
395.033,10
395.176,630
395.180,10
395.323,230
395.326,10
395.859,595
396.689,10
396.699,840
397.517,10
398.638,835
398.641,1120
398.785,10
399.467,150
400.881,610
401.758,1450
402.685,860
402.876,925
402.880,150
402.928,15
403.095,15
403.226,230
403.521,15
404.196,420
405.170,730
405.317,935
405.514,260
405.517,10
406.974,560
407.121,940
407.249,280
408.632,640
409.463,860
410.582,720
411.947,1140
412.146,1425
412.154,205
412.162,15
412.394,10
412.532,215
412.535,85
412.539,10
413.751,375
413.911,950
414.046,185
414.635,20
414.921,620
414.924,185
415.457,25
415.603,645
416.432,200
417.260,725
418.235,955
419.211,940
420.188,890
421.079,925
421.844,930
422.672,860
423.848,880
424.524,905
425.304,855
426.133,900
426.816,755
427.157,755
427.663,340
428.473,450
429.205,835
430.033,730
430.716,820
431.544,810
431.548,835
431.837,10
431.847,190
431.886,20
431.889,15
432.373,10
433.351,585
434.112,810
435.737,845
436.273,1680
436.576,840
437.394,810
437.937,10
438.272,835
440.027,930
441.007,915
441.977,900
442.810,975
443.781,960
444.073,955
444.077,190
444.902,20
445.494,845
446.754,540
446.757,1365
446.876,10
446.901,10
446.998,210
448.656,730
449.045,905
449.049,420
449.195,20
449.250,10
449.360,305
450.313,785
451.047,145
451.584,680
451.825,330
452.799,505
452.848,840
452.853,190
452.859,20
452.865,25
452.897,10
453.482,10
454.369,595
455.048,850
455.871,795
456.261,785
456.605,385
456.699,425
456.705,15
458.406,845
459.186,805
459.917,825
460.218,820
460.358,200
460.361,20
460.746,15
461.024,590
461.575,210
461.818,640
461.822,210
461.867,10
461.870,15
462.403,20
462.745,595
463.379,205
463.386,665
463.573,10
463.579,170
463.674,10
463.681,35
463.693,15
464.212,10
464.354,600
465.090,200
465.914,675
465.917,855
466.694,10
467.376,790
467.436,775
468.259,10
468.534,825
468.794,175
469.082,325
469.928,295
470.111,815
470.115,140
470.119,15
470.157,60
470.450,15
470.453,10
470.642,10
470.741,500
470.886,180
470.891,10
470.937,15
470.941,35
471.422,25
471.958,555
471.961,505
472.254,10
472.259,210
472.837,30
473.372,625
473.908,540
474.737,430
475.468,1025
475.615,860
478.783,1155
480.590,2060
480.733,1720
481.173,220
481.709,360
482.001,585
482.829,285
483.073,915
484.341,190
484.779,1260
485.999,490
488.103,1275
489.753,1990
490.123,1800
490.195,295
490.340,15
490.343,10
492.390,255
492.439,2045
492.443,20
492.449,10
492.531,10
492.823,20
