df_hash,22ZHK4.VJETEC
443.677,32
444.605,46
445.774,39
446.652,0
447.721,29
449.037,29
449.719,30
450.551,50
451.965,22
452.598,30
453.717,27
454.890,20
455.727,35
456.499,53
457.669,67
458.647,65
459.475,68
460.691,66
461.569,36
462.498,32
463.665,14
464.686,12
465.470,15
466.685,14
467.516,24
468.419,25
469.662,0
470.491,0
471.706,24
472.681,0
473.464,29
474.392,34
475.562,24
476.532,23
477.364,40
478.580,52
479.462,59
480.338,61
481.508,56
482.688,55
483.514,54
484.537,67
485.409,75
486.431,71
487.505,71
488.382,69
489.305,61
490.673,64
491.404,68
492.285,71
493.452,66
494.330,52
495.350,55
496.426,44
497.351,40
498.229,39
499.643,41
500.421,47
501.252,56
502.422,54
503.325,52
504.177,49
505.490,47
506.275,47
507.201,48
508.369,49
509.537,57
510.173,48
511.633,62
512.461,41
513.147,33
514.709,19
515.290,0
516.217,2
517.293,14
518.314,16
519.160,28
520.408,14
521.191,0
522.068,41
