df_hash,22ZHK4.V6E3X1
431.948,0
432.818,0
433.695,0
434.862,0
435.740,0
436.667,0
437.881,36
438.762,24
439.720,23
441.008,22
441.784,29
442.614,0
443.878,25
444.759,22
445.587,16
446.852,0
447.684,20
448.561,31
449.777,27
450.855,33
451.583,33
452.899,36
453.677,45
454.605,44
455.727,29
456.604,32
457.482,52
458.844,72
459.578,64
460.799,64
461.769,67
462.650,67
463.525,65
464.648,66
465.528,68
466.449,69
467.814,74
468.499,71
469.378,67
470.596,64
471.668,66
472.405,70
473.664,77
474.447,71
475.328,76
476.544,74
477.447,70
478.299,57
479.611,22
480.406,29
481.418,33
482.496,41
483.709,41
484.292,65
485.518,59
486.342,65
487.221,56
488.489,64
489.317,74
490.194,74
491.420,76
492.292,75
493.170,74
494.388,67
495.266,72
496.184,68
497.457,50
498.286,63
499.147,69
500.528,63
501.308,56
502.088,68
503.356,64
504.277,58
505.305,56
506.427,28
507.256,27
508.231,24
509.308,24
510.132,21
511.156,25
512.229,43
513.106,41
513.986,36
515.296,41
516.129,42
517.052,50
518.372,39
519.346,0
519.981,0
521.235,0
