df_hash,22ZHK4.V6E3X1
15.184,0.965
15.214,0.987
15.244,0.980
15.274,0.981
15.304,0.980
15.334,0.982
15.364,0.982
15.394,0.985
15.424,0.978
15.454,0.985
15.484,0.984
15.514,0.981
15.544,0.981
15.574,0.985
15.604,0.980
15.634,0.979
15.664,0.979
15.694,0.978
15.724,0.981
15.754,0.982
15.784,0.969
15.814,0.995
15.844,0.984
15.874,0.977
15.904,0.976
15.934,0.980
15.964,0.980
15.994,0.987
16.024,0.979
16.054,0.985
16.084,0.984
16.114,0.983
16.144,0.983
16.174,0.979
16.204,0.984
16.234,0.980
16.264,0.980
16.294,0.984
16.324,0.984
16.354,0.976
16.384,0.992
16.414,0.978
16.444,0.978
16.474,0.977
16.504,0.980
16.534,0.985
16.564,0.974
16.594,0.976
16.624,0.986
16.654,0.983
16.684,0.983
16.714,0.979
16.744,0.984
16.774,0.982
16.804,0.974
16.834,0.977
16.864,0.990
16.894,0.971
16.924,0.994
16.954,0.984
16.984,0.979
17.014,0.980
17.044,0.980
17.074,0.980
17.104,0.980
17.134,0.976
17.164,0.984
17.194,0.982
17.224,0.979
17.254,0.984
17.284,0.982
17.314,0.980
17.344,0.980
17.374,0.979
17.404,0.982
17.434,0.988
17.464,0.971
17.494,0.995
17.524,0.980
17.554,0.981
17.584,0.985
17.614,0.979
17.644,0.979
17.674,0.980
17.704,0.974
17.734,0.988
17.764,0.986
17.794,0.980
17.824,0.982
17.854,0.980
17.884,0.977
17.914,0.982
17.944,0.979
17.974,0.976
18.004,0.985
18.034,0.978
18.064,0.997
18.094,0.975
18.124,0.985
18.154,0.980
18.184,0.983
18.214,0.984
18.244,0.984
18.274,0.983
18.304,0.984
18.334,0.979
18.364,0.985
18.394,0.987
18.424,0.977
18.454,0.974
18.484,0.980
18.514,0.982
18.544,0.980
18.574,0.983
18.604,0.976
18.634,0.995
18.664,0.981
18.694,0.978
18.724,0.976
18.754,0.983
18.784,0.981
18.814,0.990
18.844,0.977
18.874,0.984
18.904,0.986
18.934,0.982
18.964,0.978
18.994,0.976
19.024,0.978
19.054,0.981
19.084,0.980
19.114,0.983
19.144,0.980
19.174,0.984
19.204,0.991
19.234,0.979
19.264,0.981
19.294,0.981
19.324,0.987
19.354,0.984
19.384,0.977
19.414,0.981
19.444,0.986
19.474,0.981
19.504,0.985
19.534,0.980
19.564,0.979
19.594,0.984
19.624,0.981
19.654,0.981
19.684,0.985
19.714,0.967
19.744,0.987
19.774,0.991
19.804,0.979
19.834,0.977
19.864,0.982
19.894,0.986
19.924,0.988
19.954,0.971
19.984,0.986
20.014,0.984
20.044,0.982
20.074,0.984
20.104,0.980
20.134,0.980
20.164,0.978
20.194,0.979
20.224,0.985
20.254,0.979
20.284,0.977
20.314,0.998
20.344,0.982
20.374,0.979
20.404,0.979
20.434,0.984
20.464,0.984
20.494,0.970
20.524,0.990
20.554,0.986
20.584,0.984
20.614,0.981
20.644,0.976
20.674,0.983
20.704,0.981
20.734,0.979
20.764,0.982
20.794,0.976
20.824,0.979
20.854,0.989
20.884,0.982
20.914,0.982
20.944,0.979
20.974,0.983
21.004,0.984
21.034,0.978
21.064,0.979
21.094,0.984
21.124,0.983
21.154,0.981
21.184,0.978
21.214,0.986
21.244,0.981
21.274,0.976
21.304,0.986
21.334,0.978
21.364,0.983
21.394,0.990
21.424,0.980
21.454,0.981
21.484,0.978
21.514,0.978
21.544,0.983
21.574,0.988
21.604,0.974
21.634,0.983
21.664,0.982
21.694,0.983
21.724,0.983
21.754,0.979
21.784,0.981
21.814,0.975
21.844,0.981
21.874,0.978
21.904,0.983
21.934,0.990
21.964,0.977
21.994,0.978
22.024,0.984
22.054,0.977
22.084,0.983
22.114,0.980
22.144,0.982
22.174,0.982
22.204,0.980
22.234,0.980
22.264,0.983
22.294,0.982
22.324,0.976
22.354,0.976
22.384,0.982
22.414,0.980
22.444,0.993
22.474,0.978
22.504,0.981
22.534,0.981
22.564,0.982
22.594,0.984
22.624,0.980
22.654,0.982
22.684,0.988
22.714,0.981
22.744,0.982
22.774,0.979
22.804,0.984
22.834,0.984
22.864,0.975
22.894,0.988
22.924,0.974
22.954,0.993
22.984,0.984
23.014,0.981
23.044,0.980
23.074,0.980
23.104,0.986
23.134,0.981
23.164,0.979
23.194,0.982
23.224,0.983
23.254,0.986
23.284,0.985
23.314,0.977
23.344,0.972
23.374,0.983
23.404,0.985
23.434,0.976
23.464,0.994
23.494,0.982
23.524,0.978
23.554,0.974
23.584,0.980
23.614,0.990
23.644,0.981
23.674,0.985
23.704,0.984
23.734,0.985
23.764,0.986
23.794,0.980
23.824,0.972
23.854,0.981
23.884,0.986
23.914,0.980
23.944,0.980
23.974,0.990
24.004,0.980
24.034,0.981
24.064,0.976
24.094,0.981
24.124,0.988
24.154,0.980
24.184,0.984
24.214,0.989
24.244,0.983
24.274,0.984
24.304,0.982
24.334,0.982
24.364,0.978
24.394,0.982
24.424,0.971
24.454,1.004
24.484,0.988
24.514,0.977
24.544,0.972
24.574,0.983
24.604,0.993
24.634,0.973
24.664,0.985
24.694,0.984
24.724,0.987
24.754,0.984
24.784,0.979
24.814,0.978
24.844,0.975
24.874,0.987
24.904,0.965
24.934,0.998
24.964,0.987
24.994,0.979
25.024,0.982
25.054,0.980
25.084,0.983
25.114,0.976
25.144,0.983
25.174,0.982
25.204,0.986
25.234,0.982
25.264,0.974
25.294,0.983
25.324,0.981
25.354,0.978
25.384,0.968
25.414,1.000
25.444,0.989
25.474,0.975
25.504,0.973
25.534,0.987
25.564,0.991
25.594,0.979
25.624,0.972
25.654,0.990
25.684,0.988
25.714,0.984
25.744,0.978
25.774,0.978
25.804,0.983
25.834,0.987
25.864,0.964
25.894,0.996
25.924,0.991
25.954,0.984
25.984,0.979
26.014,0.977
26.044,0.989
26.074,0.988
26.104,0.979
26.134,0.979
26.164,0.988
26.194,0.984
26.224,0.980
26.254,0.982
26.284,0.984
26.314,0.978
26.344,0.990
26.374,0.968
26.404,0.996
26.434,0.988
26.464,0.980
26.494,0.978
26.524,0.978
26.554,0.983
26.584,0.985
26.614,0.974
26.644,0.985
26.674,0.987
26.704,0.985
26.734,0.985
26.764,0.981
26.794,0.980
26.824,0.980
26.854,0.979
26.884,0.980
26.914,0.991
26.944,0.975
26.974,0.996
27.004,0.985
27.034,0.984
27.064,0.980
27.094,0.980
27.124,0.983
27.154,0.987
27.184,0.981
27.214,0.983
27.244,0.987
27.274,0.986
27.304,0.985
27.334,0.981
27.364,0.977
27.394,0.981
27.424,0.979
27.454,0.979
27.484,0.981
27.514,0.984
27.544,0.979
27.574,0.991
27.604,0.981
27.634,0.977
27.664,0.975
27.694,0.977
27.724,0.980
27.754,0.989
27.784,0.979
27.814,0.983
27.844,0.986
27.874,0.981
27.904,0.978
27.934,0.979
27.964,0.976
27.994,0.980
28.024,0.976
28.054,0.981
28.084,0.993
28.114,0.981
28.144,0.987
28.174,1.003
28.204,0.985
28.234,0.988
28.264,0.987
28.294,0.982
28.324,0.984
28.354,0.977
28.384,0.985
28.414,0.988
28.444,0.982
28.474,0.988
28.504,1.006
28.534,0.998
28.564,0.992
28.594,0.991
28.624,0.990
28.654,1.003
28.684,1.003
28.714,0.979
28.744,1.001
28.774,1.006
28.804,1.002
28.834,1.000
28.864,0.987
28.894,0.981
28.924,0.984
28.954,0.978
28.984,1.003
29.014,1.009
29.044,1.011
29.074,0.999
29.104,0.988
29.134,0.968
29.164,0.976
29.194,0.983
29.224,0.987
29.254,0.983
29.284,1.001
29.314,1.012
29.344,1.004
29.374,1.010
29.404,1.014
29.434,1.009
29.464,1.010
29.494,1.000
29.524,1.000
29.554,1.003
29.584,0.997
29.614,1.005
29.644,1.012
29.674,1.008
29.704,1.006
29.734,1.010
29.764,0.992
29.794,1.001
29.824,1.003
29.854,0.996
29.884,0.991
29.914,0.989
29.944,0.993
29.974,1.007
30.004,0.999
30.034,1.008
30.064,1.009
30.094,1.008
30.124,1.016
30.154,1.014
30.184,1.014
30.214,1.008
30.244,1.006
30.274,0.996
30.304,1.012
30.334,1.014
30.364,1.010
30.394,1.002
30.424,0.998
30.454,0.999
30.484,1.009
30.514,0.995
30.544,1.000
30.574,1.001
30.604,0.999
30.634,1.001
30.664,0.998
30.694,1.000
30.724,1.001
30.754,1.003
30.784,1.002
30.814,1.001
30.844,1.019
30.874,1.008
30.904,1.005
30.934,1.005
30.964,1.012
30.994,1.018
31.024,1.007
31.054,1.007
31.084,1.011
31.114,1.002
31.144,1.004
31.174,1.003
31.204,1.005
31.234,0.998
31.264,0.997
31.294,1.003
31.324,0.991
31.354,1.012
31.384,1.002
31.414,0.998
31.444,0.997
31.474,1.002
31.504,1.012
31.534,1.007
31.564,1.001
31.594,1.007
31.624,1.006
31.654,1.007
31.684,1.007
31.714,1.010
31.744,1.010
31.774,1.006
31.804,1.007
31.834,0.994
31.864,1.016
31.894,1.007
31.924,0.998
31.954,0.994
31.984,0.996
32.014,1.001
32.044,1.002
32.074,0.992
32.104,1.001
32.134,0.997
32.164,1.002
32.194,1.007
32.224,1.010
32.254,1.009
32.284,1.002
32.314,1.006
32.344,0.997
32.374,1.008
32.404,1.017
32.434,1.008
32.464,1.007
32.494,1.006
32.524,1.005
32.554,1.014
32.584,1.003
32.614,1.006
32.644,1.002
32.674,0.998
32.704,1.002
32.734,1.003
32.764,0.997
32.794,0.996
32.824,1.000
32.854,1.001
32.884,0.993
32.914,1.018
32.944,1.004
32.974,1.002
33.004,1.000
33.034,1.003
33.064,1.008
33.094,1.007
33.124,1.006
33.154,1.010
33.184,1.008
33.214,1.012
33.244,1.009
33.274,1.006
33.304,1.002
33.334,0.999
33.364,1.004
33.394,1.000
33.424,1.002
33.454,1.015
33.484,0.999
33.514,0.996
33.544,0.995
33.574,0.997
33.604,1.002
33.634,0.996
33.664,1.004
33.694,1.010
33.724,1.007
33.754,1.011
33.784,1.004
33.814,1.004
33.844,1.003
33.874,1.001
33.904,1.007
33.934,0.995
33.964,1.010
33.994,1.018
34.024,1.006
34.054,0.998
34.084,1.003
34.114,1.000
34.144,1.006
34.174,0.998
34.204,1.005
34.234,1.005
34.264,1.002
34.294,1.006
34.324,1.002
34.354,1.001
34.384,1.005
34.414,1.001
34.444,1.005
34.474,1.012
34.504,0.993
34.534,1.020
34.564,1.010
34.594,1.004
34.624,1.006
34.654,1.005
34.684,1.011
34.714,1.009
34.744,1.003
34.774,1.007
34.804,1.008
34.834,1.000
34.864,1.002
34.894,0.998
34.924,1.001
34.954,0.998
34.984,0.993
35.014,1.000
35.044,0.999
35.074,1.003
35.104,1.017
35.134,1.002
35.164,1.003
35.194,1.003
35.224,1.011
35.254,1.017
35.284,1.011
35.314,1.011
35.344,1.019
35.374,1.019
35.404,1.021
35.434,1.014
35.464,1.018
35.494,1.027
35.524,1.025
35.554,1.013
35.584,1.008
35.614,1.008
35.644,0.982
35.674,0.984
35.704,0.988
35.734,0.968
35.764,0.954
35.794,0.954
35.824,0.985
35.854,0.993
35.884,0.970
35.914,0.979
35.944,0.995
35.974,0.983
36.004,0.970
36.034,0.969
36.064,0.993
36.094,1.003
36.124,0.978
36.154,0.971
36.184,0.966
36.214,0.977
36.244,0.999
36.274,0.995
36.304,0.984
36.334,0.987
36.364,0.998
36.394,0.996
36.424,1.000
36.454,1.009
36.484,1.000
36.514,0.985
36.544,0.986
36.574,0.990
36.604,0.982
36.634,0.977
36.664,0.971
36.694,0.964
36.724,0.964
36.754,0.970
36.784,0.994
36.814,1.005
36.844,1.015
36.874,1.021
36.904,1.016
36.934,1.010
36.964,1.008
36.994,0.999
37.024,1.004
37.054,0.990
37.084,0.980
37.114,0.980
37.144,0.980
37.174,0.981
37.204,0.988
37.234,0.994
37.264,0.999
37.294,0.988
37.324,1.022
37.354,1.041
37.384,1.005
37.414,0.985
37.444,0.998
37.474,0.997
37.504,0.983
37.534,0.965
37.564,1.001
37.594,1.021
37.624,1.007
37.654,1.012
37.684,1.018
37.714,1.017
37.744,1.025
37.774,1.000
37.804,1.005
37.834,1.002
37.864,0.976
37.894,0.988
37.924,0.977
37.954,0.957
37.984,0.940
38.014,0.948
38.044,0.962
38.074,0.971
38.104,0.947
38.134,0.965
38.164,0.979
38.194,0.981
38.224,0.986
38.254,1.020
38.284,1.019
38.314,1.011
38.344,0.997
38.374,0.994
38.404,0.976
38.434,0.989
38.464,1.000
38.494,1.000
38.524,0.994
38.554,0.965
38.584,0.978
38.614,0.979
38.644,0.994
38.674,1.010
38.704,1.023
38.734,1.001
38.764,0.957
38.794,1.002
38.824,1.023
38.854,0.983
38.884,0.978
38.914,0.991
38.944,0.936
38.974,0.946
39.004,0.978
39.034,0.980
39.064,0.994
39.094,0.980
39.124,0.980
39.154,0.961
39.184,1.005
39.214,1.004
39.244,0.976
39.274,0.985
39.304,1.010
39.334,1.022
39.364,1.010
39.394,1.009
39.424,1.004
39.454,0.981
39.484,0.970
39.514,0.962
39.544,0.987
39.574,0.974
39.604,0.974
39.634,0.986
39.664,1.003
39.694,1.010
39.724,1.006
39.754,1.001
39.784,0.986
39.814,1.008
39.844,0.995
39.874,1.000
39.904,1.001
39.934,0.997
39.964,0.985
39.994,0.980
40.024,0.995
40.054,0.988
40.084,1.006
40.114,0.999
40.144,0.997
40.174,0.986
40.204,0.993
40.234,0.998
40.264,1.004
40.294,1.003
40.324,1.000
40.354,0.998
40.384,0.989
40.414,0.991
40.444,0.989
40.474,0.991
40.504,0.987
40.534,0.992
40.564,0.968
40.594,0.993
40.624,0.996
40.654,0.990
40.684,0.984
40.714,0.982
40.744,0.989
40.774,0.989
40.804,0.987
40.834,0.993
40.864,0.994
40.894,0.992
40.924,0.993
40.954,0.995
40.984,0.998
41.014,0.993
41.044,0.996
41.074,0.979
41.104,1.004
41.134,0.994
41.164,0.987
41.194,0.979
41.224,0.987
41.254,0.996
41.284,0.988
41.314,0.990
41.344,0.990
41.374,0.991
41.404,0.990
41.434,0.989
41.464,0.991
41.494,0.989
41.524,0.995
41.554,0.964
41.584,1.000
41.614,0.997
41.644,0.986
41.674,0.986
41.704,0.987
41.734,0.995
41.764,0.987
41.794,0.999
41.824,0.993
41.854,0.991
41.884,0.994
41.914,0.983
41.944,0.987
41.974,0.987
42.004,0.994
42.034,0.969
42.064,0.999
42.094,1.000
42.124,0.987
42.154,0.983
42.184,0.985
42.214,0.994
42.244,0.991
42.274,0.985
42.304,0.990
42.334,0.987
42.364,0.989
42.394,0.990
42.424,0.988
42.454,0.989
42.484,0.993
42.514,0.976
42.544,1.003
42.574,0.998
42.604,0.991
42.634,0.987
42.664,0.987
42.694,0.988
42.724,0.991
42.754,0.982
42.784,0.986
42.814,0.989
42.844,0.989
42.874,0.987
42.904,0.987
42.934,0.992
42.964,0.987
42.994,0.979
43.024,0.987
43.054,0.999
43.084,0.990
43.114,0.990
43.144,0.985
43.174,0.988
43.204,0.993
43.234,0.986
43.264,0.988
43.294,0.993
43.324,0.991
43.354,0.993
43.384,0.991
43.414,0.991
43.444,0.990
43.474,0.984
43.504,0.993
43.534,0.979
43.564,1.001
43.594,0.987
43.624,0.988
43.654,0.986
43.684,0.986
43.714,0.987
43.744,0.987
43.774,0.985
43.804,0.994
43.834,0.987
43.864,0.994
43.894,0.997
43.924,0.989
43.954,0.990
43.984,0.984
44.014,0.993
44.044,0.979
44.074,0.990
44.104,0.998
44.134,0.989
44.164,0.987
44.194,0.990
44.224,0.989
44.254,0.990
44.284,0.987
44.314,0.988
44.344,0.992
44.374,0.988
44.404,0.989
44.434,0.987
44.464,0.992
44.494,0.989
44.524,0.983
44.554,0.993
44.584,0.979
44.614,0.993
44.644,0.996
44.674,0.989
44.704,0.990
44.734,0.985
44.764,0.986
44.794,0.994
44.824,0.987
44.854,0.991
44.884,0.990
44.914,0.989
44.944,0.991
44.974,0.989
45.004,0.991
45.034,0.989
45.064,0.987
45.094,0.995
45.124,0.977
45.154,1.000
45.184,0.990
45.214,0.984
45.244,0.987
45.274,0.990
45.304,0.992
45.334,0.992
45.364,0.979
45.394,0.995
45.424,0.991
45.454,0.994
45.484,0.991
45.514,0.989
45.544,0.990
45.574,0.988
45.604,0.990
45.634,0.983
45.664,0.993
45.694,1.005
45.724,0.988
45.754,0.986
45.784,0.988
45.814,0.988
45.844,0.990
45.874,0.985
45.904,0.993
45.934,0.992
45.964,0.992
45.994,0.993
46.024,0.988
46.054,0.989
46.084,0.988
46.114,0.980
46.144,0.994
46.174,0.973
46.204,0.994
46.234,1.005
46.264,0.985
46.294,0.987
46.324,0.991
46.354,0.989
46.384,1.000
46.414,0.980
46.444,0.992
46.474,0.992
46.504,0.993
46.534,0.992
46.564,0.982
46.594,0.987
46.624,0.992
46.654,0.990
46.684,0.968
46.714,0.999
46.744,1.005
46.774,0.989
46.804,0.981
46.834,0.986
46.864,0.987
46.894,0.993
46.924,0.979
46.954,0.997
46.984,0.995
47.014,0.994
47.044,0.988
47.074,0.984
47.104,0.988
47.134,0.984
47.164,0.991
47.194,0.968
47.224,1.008
47.254,0.994
47.284,0.980
47.314,0.983
47.344,0.990
47.374,0.994
47.404,0.992
47.434,0.979
47.464,0.993
47.494,0.994
47.524,0.991
47.554,0.989
47.584,0.985
47.614,0.992
47.644,0.988
47.674,0.985
47.704,0.979
47.734,0.994
47.764,0.997
47.794,0.988
47.824,0.983
47.854,0.989
47.884,0.989
47.914,0.991
47.944,0.986
47.974,0.984
48.004,0.991
48.034,0.988
48.064,0.985
48.094,0.989
48.124,0.992
48.154,0.989
48.184,0.983
48.214,0.989
48.244,0.990
48.274,0.983
48.304,1.002
48.334,0.985
48.364,0.993
48.394,0.989
48.424,0.985
48.454,0.986
48.484,0.990
48.514,0.983
48.544,0.990
48.574,0.987
48.604,0.994
48.634,0.993
48.664,0.984
48.694,0.988
48.724,0.985
48.754,0.983
48.784,0.992
48.814,0.990
48.844,0.979
48.874,1.000
48.904,0.986
48.934,0.990
48.964,0.986
48.994,0.980
49.024,0.987
49.054,0.995
49.084,0.982
49.114,0.990
49.144,0.988
49.174,0.987
49.204,0.989
49.234,0.986
49.264,0.987
49.294,0.987
49.324,0.985
49.354,0.989
49.384,0.993
49.414,0.981
49.444,0.993
49.474,0.992
49.504,0.988
49.534,0.990
49.564,0.986
49.594,0.984
49.624,0.986
49.654,0.986
49.684,0.991
49.714,0.988
49.744,0.992
49.774,0.993
49.804,0.987
49.834,0.983
49.864,0.985
49.894,0.987
49.924,0.985
49.954,0.989
49.984,0.991
50.014,0.979
50.044,1.002
50.074,0.988
50.104,0.984
50.134,0.985
50.164,0.986
50.194,0.987
50.224,0.991
50.254,0.982
50.284,0.990
50.314,0.994
50.344,0.988
50.374,0.985
50.404,0.986
50.434,0.987
50.464,0.984
50.494,0.984
50.524,0.993
50.554,0.993
50.584,0.977
50.614,1.006
50.644,0.989
50.674,0.990
50.704,0.989
50.734,0.984
50.764,0.991
50.794,0.989
50.824,0.984
50.854,0.994
50.884,0.993
50.914,0.988
50.944,0.986
50.974,0.988
51.004,0.987
51.034,0.987
51.064,0.987
51.094,0.985
51.124,0.985
51.154,0.985
51.184,1.000
51.214,0.985
51.244,0.986
51.274,0.987
51.304,0.990
51.334,0.989
51.364,0.983
51.394,0.990
51.424,0.992
51.454,0.992
51.484,0.989
51.514,0.985
51.544,0.983
51.574,0.986
51.604,0.986
51.634,0.985
51.664,0.997
51.694,0.976
51.724,0.999
51.754,0.989
51.784,0.988
51.814,0.986
51.844,0.989
51.874,0.983
51.904,0.989
51.934,0.985
51.964,0.997
51.994,0.990
52.024,0.990
52.054,0.988
52.084,0.985
52.114,0.988
52.144,0.983
52.174,0.982
52.204,0.994
52.234,0.976
52.264,1.000
52.294,0.991
52.324,0.986
52.354,0.984
52.384,0.986
52.414,0.988
52.444,0.990
52.474,0.980
52.504,0.994
52.534,0.994
52.564,0.991
52.594,0.987
52.624,0.985
52.654,0.985
52.684,0.987
52.714,0.989
52.744,0.991
52.774,0.980
52.804,1.009
52.834,0.988
52.864,0.982
52.894,0.983
52.924,0.984
52.954,0.989
52.984,0.987
53.014,0.991
53.044,0.995
53.074,0.987
53.104,0.991
53.134,0.992
53.164,0.986
53.194,0.986
53.224,0.985
53.254,0.995
53.284,0.976
53.314,0.994
53.344,1.000
53.374,0.982
53.404,0.985
53.434,0.986
53.464,0.989
53.494,0.995
53.524,0.980
53.554,0.992
53.584,0.988
53.614,0.990
53.644,0.990
53.674,0.988
53.704,0.987
53.734,0.979
53.764,0.994
53.794,0.975
53.824,1.004
53.854,0.997
53.884,0.985
53.914,0.986
53.944,0.986
53.974,0.994
54.004,0.987
54.034,0.981
54.064,0.993
54.094,0.990
54.124,0.991
54.154,0.992
54.184,0.987
54.214,0.984
54.244,0.986
54.274,0.979
54.304,0.984
54.334,1.005
54.364,0.987
54.394,0.987
54.424,0.985
54.454,0.991
54.484,0.995
54.514,0.975
54.544,0.996
54.574,0.997
54.604,0.993
54.634,0.989
54.664,0.988
54.694,0.986
54.724,0.986
54.754,0.986
54.784,0.982
54.814,1.003
54.844,0.990
54.874,0.982
54.904,0.987
54.934,0.989
54.964,0.988
54.994,0.983
55.024,0.988
55.054,0.993
55.084,0.993
55.114,0.986
55.144,0.984
55.174,0.990
55.204,0.986
55.234,0.989
55.264,0.971
55.294,1.004
55.324,0.992
55.354,0.986
55.384,0.986
55.414,0.985
55.444,0.986
55.474,0.987
55.504,0.982
55.534,0.994
55.564,0.993
55.594,0.994
55.624,0.986
55.654,0.987
55.684,0.989
55.714,0.992
55.744,0.980
55.774,0.988
55.804,0.979
55.834,1.003
55.864,0.989
55.894,0.990
55.924,0.990
55.954,0.987
55.984,0.987
56.014,0.989
56.044,0.985
56.074,0.991
56.104,0.992
56.134,0.993
56.164,0.991
56.194,0.989
56.224,0.987
56.254,0.990
56.284,0.989
56.314,0.991
56.344,0.990
56.374,0.987
56.404,0.984
56.434,1.000
56.464,0.982
56.494,0.987
56.524,0.993
56.554,0.988
56.584,0.987
56.614,0.990
56.644,0.988
56.674,0.990
56.704,0.991
56.734,0.989
56.764,0.984
56.794,0.984
56.824,0.988
56.854,0.984
56.884,0.985
56.914,0.986
56.944,0.987
56.974,0.988
57.004,0.992
57.034,0.979
57.064,1.000
57.094,0.989
57.124,0.993
57.154,0.991
57.184,0.983
57.214,0.988
57.244,0.990
57.274,0.983
57.304,0.988
57.334,0.976
57.364,0.973
57.394,0.985
57.424,0.977
57.454,0.975
57.484,0.987
57.514,0.988
57.544,0.986
57.574,0.985
