df_hash,22ZHK4.M8H0SD
14.185,0.995
14.215,0.989
14.245,0.992
14.275,0.987
14.305,0.988
14.335,0.988
14.365,0.990
14.395,0.987
14.425,0.987
14.455,0.989
14.485,0.988
14.515,0.981
14.545,0.992
14.575,0.991
14.605,0.988
14.635,0.990
14.665,0.988
14.695,0.992
14.725,0.993
14.755,0.986
14.785,0.983
14.815,0.983
14.845,0.991
14.875,0.985
14.905,0.989
14.935,0.983
14.965,0.992
14.995,0.990
15.025,0.991
15.055,0.992
15.085,0.989
15.115,0.988
15.145,0.994
15.175,0.985
15.205,0.991
15.235,0.974
15.265,0.988
15.295,0.986
15.325,0.989
15.355,0.990
15.385,0.985
15.415,0.995
15.445,0.989
15.475,0.995
15.505,0.992
15.535,0.987
15.565,0.991
15.595,0.991
15.625,0.990
15.655,0.992
15.685,0.983
15.715,0.994
15.745,0.995
15.775,0.989
15.805,0.990
15.835,0.990
15.865,0.990
15.895,0.993
15.925,0.993
15.955,0.990
15.985,0.988
16.015,0.992
16.045,0.992
16.075,0.993
16.105,0.994
16.135,0.989
16.165,0.988
16.195,0.990
16.225,0.992
16.255,0.998
16.285,0.993
16.315,0.991
16.345,0.991
16.375,0.987
16.405,0.985
16.435,0.994
16.465,0.994
16.495,0.992
16.525,0.995
16.555,0.993
16.585,0.992
16.615,0.993
16.645,0.993
16.675,0.993
16.705,0.995
16.735,0.993
16.765,0.991
16.795,0.992
16.825,0.993
16.855,0.991
16.885,0.992
16.915,0.991
16.945,0.998
16.975,0.991
17.005,0.988
17.035,0.995
17.065,0.990
17.095,0.989
17.125,0.991
17.155,0.993
17.185,0.992
17.215,0.997
17.245,0.989
17.275,0.994
17.305,0.993
17.335,0.990
17.365,0.992
17.395,0.992
17.425,0.990
17.455,0.991
17.485,0.992
17.515,0.991
17.545,0.989
17.575,0.994
17.605,0.991
17.635,0.993
17.665,0.993
17.695,0.989
17.725,0.989
17.755,0.999
17.785,0.990
17.815,0.994
17.845,0.992
17.875,0.991
17.905,0.994
17.935,0.995
17.965,0.986
17.995,0.993
18.025,0.992
18.055,0.990
18.085,0.993
18.115,0.994
18.145,0.992
18.175,0.993
18.205,0.994
18.235,0.988
18.265,0.993
18.295,0.991
18.325,0.991
18.355,0.991
18.385,0.992
18.415,0.995
18.445,0.992
18.475,0.992
18.505,0.999
18.535,0.994
18.565,0.993
18.595,1.000
18.625,0.994
18.655,1.000
18.685,1.012
18.715,0.988
18.745,0.995
18.775,1.005
18.805,0.980
18.835,0.976
18.865,0.987
18.895,0.987
18.925,0.985
18.955,0.990
18.985,0.988
19.015,0.991
19.045,0.991
19.075,0.995
19.105,0.995
19.135,0.996
19.165,0.998
19.195,0.997
19.225,0.999
19.255,0.997
19.285,0.994
19.315,0.992
19.345,0.995
19.375,0.995
19.405,0.993
19.435,1.001
19.465,0.992
19.495,1.001
19.525,0.996
19.555,0.993
19.585,0.995
19.615,0.997
19.645,0.995
19.675,0.994
19.705,0.990
19.735,0.991
19.765,0.991
19.795,0.993
19.825,0.991
19.855,0.999
19.885,0.992
19.915,0.994
19.945,0.997
19.975,1.002
20.005,0.992
20.035,0.997
20.065,0.995
20.095,0.993
20.125,0.994
20.155,1.000
20.185,0.995
20.215,1.000
20.245,0.994
20.275,0.992
20.305,0.992
20.335,0.995
20.365,0.994
20.395,0.993
20.425,0.996
20.455,0.993
20.485,0.991
20.515,0.993
20.545,0.999
20.575,0.982
20.605,0.989
20.635,0.991
20.665,0.997
20.695,0.999
20.725,0.992
20.755,0.993
20.785,0.998
20.815,0.995
20.845,0.994
20.875,0.999
20.905,0.994
20.935,1.000
20.965,0.993
20.995,0.994
21.025,0.994
21.055,0.994
21.085,0.996
21.115,0.993
21.145,0.998
21.175,0.992
21.205,0.993
21.235,0.995
21.265,0.994
21.295,0.996
21.325,0.992
21.355,0.992
21.385,1.002
21.415,0.992
21.445,0.992
21.475,0.995
21.505,0.996
21.535,0.995
21.565,0.997
21.595,0.994
21.625,1.000
21.655,0.994
21.685,0.994
21.715,0.991
21.745,1.003
21.775,1.004
21.805,0.999
21.835,0.996
21.865,0.989
21.895,0.986
21.925,0.992
21.955,0.986
21.985,0.984
22.015,0.990
22.045,0.987
22.075,0.992
22.105,0.990
22.135,0.992
22.165,0.991
22.195,0.992
22.225,0.992
22.255,0.994
22.285,0.998
22.315,0.998
22.345,0.997
22.375,1.001
22.405,1.004
22.435,0.990
22.465,0.987
22.495,1.001
22.525,0.987
22.555,0.993
22.585,1.001
22.615,1.001
22.645,0.995
22.675,1.003
22.705,1.010
22.735,0.999
22.765,0.997
22.795,0.995
22.825,0.994
22.855,0.994
22.885,0.988
22.915,0.988
22.945,0.990
22.975,0.992
23.005,0.997
23.035,0.995
23.065,0.991
23.095,0.998
23.125,0.990
23.155,0.991
23.185,0.993
23.215,0.997
23.245,0.999
23.275,0.997
23.305,1.000
23.335,0.991
23.365,0.996
23.395,1.006
23.425,1.000
23.455,0.996
23.485,0.992
23.515,0.994
23.545,0.995
23.575,0.997
23.605,0.997
23.635,0.999
23.665,0.994
23.695,0.995
23.725,0.995
23.755,0.991
23.785,1.000
23.815,0.990
23.845,0.995
23.875,0.996
23.905,0.995
23.935,0.993
23.965,0.995
23.995,0.996
24.025,0.997
24.055,1.000
24.085,0.995
24.115,0.989
24.145,0.996
24.175,0.996
24.205,0.995
24.235,0.992
24.265,0.997
24.295,0.999
24.325,1.002
24.355,0.997
24.385,0.995
24.415,0.991
24.445,0.991
24.475,0.996
24.505,0.996
24.535,0.990
24.565,0.992
24.595,0.998
24.625,0.992
24.655,0.995
24.685,1.000
24.715,0.996
24.745,0.995
24.775,0.995
24.805,0.998
24.835,0.994
24.865,0.993
24.895,0.995
24.925,0.996
24.955,0.996
24.985,0.999
25.015,0.999
25.045,0.994
25.075,0.993
25.105,0.994
25.135,0.993
25.165,0.995
25.195,0.998
25.225,0.992
25.255,0.994
25.285,0.997
25.315,0.995
25.345,0.993
25.375,0.995
25.405,1.000
25.435,0.994
25.465,0.996
25.495,0.993
25.525,0.993
25.555,0.997
25.585,0.996
25.615,0.996
25.645,0.988
25.675,0.999
25.705,1.003
25.735,0.993
25.765,0.993
25.795,0.994
25.825,0.996
25.855,0.994
25.885,0.996
25.915,0.998
25.945,0.996
25.975,1.000
26.005,0.994
26.035,0.994
26.065,0.991
26.095,0.995
26.125,0.994
26.155,0.994
26.185,0.995
26.215,0.996
26.245,0.991
26.275,0.996
26.305,0.999
26.335,0.996
26.365,0.997
26.395,0.995
26.425,0.994
26.455,0.999
26.485,0.993
26.515,0.996
26.545,0.993
26.575,0.996
26.605,0.998
26.635,0.999
26.665,0.987
26.695,0.999
26.725,0.994
26.755,0.992
26.785,0.998
26.815,0.997
26.845,0.991
26.875,0.991
26.905,0.994
26.935,0.996
26.965,0.993
26.995,0.994
27.025,1.000
27.055,0.999
27.085,0.999
27.115,0.997
27.145,0.997
27.175,0.999
27.205,0.995
27.235,0.996
27.265,0.994
27.295,0.989
27.325,0.995
27.355,0.998
27.385,0.986
27.415,0.992
27.445,0.997
27.475,0.991
27.505,0.995
27.535,0.996
27.565,0.996
27.595,1.000
27.625,0.995
27.655,0.989
27.685,0.998
27.715,0.995
27.745,0.993
27.775,0.995
27.805,0.991
27.835,1.000
27.865,1.000
27.895,1.004
27.925,0.989
27.955,0.991
27.985,0.993
28.015,0.995
28.045,0.991
28.075,1.003
28.105,0.990
28.135,0.998
28.165,1.002
28.195,0.997
28.225,0.989
28.255,0.988
28.285,1.005
28.315,0.997
28.345,0.985
28.375,0.997
28.405,0.984
28.435,0.991
28.465,0.985
28.495,0.987
28.525,1.001
28.555,0.999
28.585,0.973
28.615,0.983
28.645,0.982
28.675,0.960
28.705,0.984
28.735,0.991
28.765,0.981
28.795,1.001
28.825,0.988
28.855,0.977
28.885,0.987
28.915,1.003
28.945,1.000
28.975,0.991
29.005,0.989
29.035,0.990
29.065,0.981
29.095,0.981
29.125,0.974
29.155,0.992
29.185,0.980
29.215,0.980
29.245,0.980
29.275,0.991
29.305,0.993
29.335,0.985
29.365,0.985
29.395,0.974
29.425,0.985
29.455,0.984
29.485,0.985
29.515,0.984
29.545,1.000
29.575,0.992
29.605,0.986
29.635,0.988
29.665,0.990
29.695,0.981
29.725,0.982
29.755,0.989
29.785,0.991
29.815,0.979
29.845,0.978
29.875,0.987
29.905,0.991
29.935,0.989
29.965,0.993
29.995,0.981
30.025,0.987
30.055,0.981
30.085,0.983
30.115,0.983
30.145,0.983
30.175,0.984
30.205,0.982
30.235,0.985
30.265,0.980
30.295,0.986
30.325,0.986
30.355,0.989
30.385,0.986
30.415,0.988
30.445,0.991
30.475,0.988
30.505,0.983
30.535,0.983
30.565,0.979
30.595,0.984
30.625,0.982
30.655,0.982
30.685,0.985
30.715,0.989
30.745,0.987
30.775,0.983
30.805,0.979
30.835,0.983
30.865,0.983
30.895,0.983
30.925,0.984
30.955,0.983
30.985,0.985
31.015,0.986
31.045,0.984
31.075,0.982
31.105,0.981
31.135,0.980
31.165,0.978
31.195,0.985
31.225,0.990
31.255,0.982
31.285,0.984
31.315,0.985
31.345,0.985
31.375,0.979
31.405,0.986
31.435,0.987
31.465,0.996
31.495,0.997
31.525,0.990
31.555,0.986
31.585,0.985
31.615,0.981
31.645,0.975
31.675,0.974
31.705,0.976
31.735,0.983
31.765,0.986
31.795,0.978
31.825,0.988
31.855,0.995
31.885,0.996
31.915,0.995
31.945,0.993
31.975,0.986
32.005,0.983
32.035,0.992
32.065,0.998
32.095,0.986
32.125,0.978
32.155,0.978
32.185,0.979
32.215,0.981
32.245,0.987
32.275,0.987
32.305,0.989
32.335,0.983
32.365,0.985
32.395,0.982
32.425,0.981
32.455,0.987
32.485,0.984
32.515,0.984
32.545,0.983
32.575,0.980
32.605,0.987
32.635,0.981
32.665,0.985
32.695,0.987
32.725,0.982
32.755,0.979
32.785,0.983
32.815,0.985
32.845,0.982
32.875,0.984
32.905,0.985
32.935,0.985
32.965,0.983
32.995,0.985
33.025,0.982
33.055,0.985
33.085,0.983
33.115,0.982
33.145,0.985
33.175,0.985
33.205,0.982
33.235,0.985
33.265,0.981
33.295,0.983
33.325,0.983
33.355,0.980
33.385,0.987
33.415,0.985
33.445,0.984
33.475,0.984
33.505,0.988
33.535,0.985
33.565,0.986
33.595,0.984
33.625,0.986
33.655,0.984
33.685,0.982
33.715,0.984
33.745,0.984
33.775,0.986
33.805,0.988
33.835,0.985
33.865,0.981
33.895,0.987
33.925,0.984
33.955,0.985
33.985,0.984
34.015,0.983
34.045,0.985
34.075,0.985
34.105,0.983
34.135,0.985
34.165,0.986
34.195,0.985
34.225,0.982
34.255,0.984
34.285,0.984
34.315,0.988
34.345,0.985
34.375,0.985
34.405,0.988
34.435,0.986
34.465,0.985
34.495,0.983
34.525,0.985
34.555,0.985
34.585,0.983
34.615,0.989
34.645,0.986
34.675,0.984
34.705,0.984
34.735,0.991
34.765,0.987
34.795,0.986
34.825,0.982
34.855,0.987
34.885,0.983
34.915,0.986
34.945,0.984
34.975,0.984
35.005,0.988
35.035,0.987
35.065,0.981
35.095,0.986
35.125,0.983
35.155,0.985
35.185,0.982
35.215,0.982
35.245,0.986
35.275,0.985
35.305,0.987
35.335,0.987
35.365,0.987
35.395,0.985
35.425,0.993
35.455,0.987
35.485,0.984
35.515,0.984
35.545,0.986
35.575,0.981
35.605,0.986
35.635,0.984
35.665,0.987
35.695,0.988
35.725,0.984
35.755,0.986
35.785,0.987
35.815,0.986
35.845,0.984
35.875,0.985
35.905,0.986
35.935,0.981
35.965,0.985
35.995,0.986
36.025,0.983
36.055,0.985
36.085,0.986
36.115,0.984
36.145,0.990
36.175,0.987
36.205,0.981
36.235,0.985
36.265,0.981
36.295,0.985
36.325,0.989
36.355,0.983
36.385,0.988
36.415,0.989
36.445,0.985
36.475,0.987
36.505,0.983
36.535,0.985
36.565,0.982
36.595,0.985
36.625,0.983
36.655,0.985
36.685,0.986
36.715,0.984
36.745,0.986
36.775,0.986
36.805,0.986
36.835,0.984
36.865,0.984
36.895,0.986
36.925,0.990
36.955,0.982
36.985,0.984
37.015,0.985
37.045,0.986
37.075,0.984
37.105,0.991
37.135,0.982
37.165,0.987
37.195,0.989
37.225,0.987
37.255,0.983
37.285,0.985
37.315,0.988
37.345,0.983
37.375,0.982
37.405,0.985
37.435,0.983
37.465,0.983
37.495,0.983
37.525,0.987
37.555,0.986
37.585,0.982
37.615,0.981
37.645,0.984
37.675,0.982
37.705,0.986
37.735,0.991
37.765,0.984
37.795,0.987
37.825,0.981
37.855,0.987
37.885,0.983
37.915,0.989
37.945,0.982
37.975,0.987
38.005,0.989
38.035,0.987
38.065,0.983
38.095,0.984
38.125,0.987
38.155,0.983
38.185,0.984
38.215,0.988
38.245,0.984
38.275,0.986
38.305,0.988
38.335,0.989
38.365,0.985
38.395,0.983
38.425,0.991
38.455,0.983
38.485,0.988
38.515,0.987
38.545,0.986
38.575,0.983
38.605,0.992
38.635,0.980
38.665,0.991
38.695,0.987
38.725,0.984
38.755,0.985
38.785,0.988
38.815,0.987
38.845,0.986
38.875,0.989
38.905,0.981
38.935,0.984
38.965,0.987
38.995,0.983
39.025,0.992
39.055,0.989
39.085,0.981
39.115,0.983
39.145,0.988
39.175,0.981
39.205,0.981
39.235,0.983
39.265,0.989
39.295,0.990
39.325,0.987
39.355,0.988
39.385,0.987
39.415,0.986
39.445,0.986
39.475,0.986
39.505,0.984
39.535,0.986
39.565,0.991
39.595,0.981
39.625,0.996
39.655,0.989
39.685,0.982
39.715,0.986
39.745,0.988
39.775,0.983
39.805,0.984
39.835,0.983
39.865,0.984
39.895,0.990
39.925,0.986
39.955,0.985
39.985,0.985
40.015,0.983
40.045,0.986
40.075,0.989
40.105,0.981
40.135,0.983
40.165,0.986
40.195,0.983
40.225,0.990
40.255,0.987
40.285,0.985
40.315,0.984
40.345,0.986
40.375,0.985
40.405,0.987
40.435,0.989
40.465,0.984
40.495,0.989
40.525,0.987
40.555,0.990
40.585,0.985
40.615,0.987
40.645,0.982
40.675,0.987
40.705,0.986
40.735,0.983
40.765,0.986
40.795,0.986
40.825,0.989
40.855,0.991
40.885,0.993
40.915,0.986
40.945,0.985
40.975,0.987
41.005,0.986
41.035,0.984
41.065,0.988
41.095,0.984
41.125,0.986
41.155,0.984
41.185,0.986
41.215,0.987
41.245,0.986
41.275,0.988
41.305,0.988
41.335,0.991
41.365,0.985
41.395,0.982
41.425,0.985
41.455,0.980
41.485,0.984
41.515,0.986
41.545,0.987
41.575,0.991
41.605,0.983
41.635,0.988
41.665,0.988
41.695,0.983
41.725,0.984
41.755,0.986
41.785,0.983
41.815,0.983
41.845,0.988
41.875,0.989
41.905,0.989
41.935,0.986
41.965,0.984
41.995,0.987
42.025,0.989
42.055,0.988
42.085,0.986
42.115,0.986
42.145,0.989
42.175,0.987
42.205,0.988
42.235,0.987
42.265,0.989
42.295,0.993
42.325,0.985
42.355,0.985
42.385,0.987
42.415,0.985
42.445,0.985
42.475,0.987
42.505,0.984
42.535,0.984
42.565,0.990
42.595,0.985
42.625,0.986
42.655,0.983
42.685,0.985
42.715,0.985
42.745,0.985
42.775,0.987
42.805,0.987
42.835,0.985
42.865,0.983
42.895,0.987
42.925,0.987
42.955,0.990
42.985,0.984
43.015,0.983
43.045,0.991
43.075,0.989
43.105,0.984
43.135,0.982
43.165,0.983
43.195,0.983
43.225,0.988
43.255,0.990
43.285,0.983
43.315,0.990
43.345,0.989
43.375,0.987
43.405,0.984
43.435,0.987
43.465,0.988
43.495,0.985
43.525,0.986
43.555,0.987
43.585,0.987
43.615,0.988
43.645,0.984
43.675,0.989
43.705,0.985
43.735,0.985
43.765,0.987
43.795,0.988
43.825,0.985
43.855,0.991
43.885,0.986
43.915,0.986
43.945,0.988
43.975,0.988
44.005,0.988
44.035,0.988
44.065,0.988
44.095,0.988
44.125,0.989
44.155,0.990
44.185,0.985
44.215,0.987
44.245,0.991
44.275,0.988
44.305,0.985
44.335,0.987
44.365,0.984
44.395,0.991
44.425,0.989
44.455,0.991
44.485,0.988
44.515,0.984
44.545,0.987
44.575,0.986
44.605,0.984
44.635,0.992
44.665,0.989
44.695,0.983
44.725,0.987
44.755,0.987
44.785,0.982
44.815,0.983
44.845,0.985
44.875,0.988
44.905,0.989
44.935,0.983
44.965,0.987
44.995,0.986
45.025,0.984
45.055,0.987
45.085,0.992
45.115,0.985
45.145,0.983
45.175,0.985
45.205,0.985
45.235,0.983
45.265,0.986
45.295,0.986
45.325,0.990
45.355,0.985
45.385,0.984
45.415,0.985
45.445,0.987
45.475,0.984
45.505,0.990
45.535,0.979
45.565,0.988
45.595,0.991
45.625,0.990
45.655,0.989
45.685,0.990
45.715,0.989
45.745,0.987
45.775,0.989
45.805,0.984
45.835,0.989
45.865,0.984
45.895,0.984
45.925,0.989
45.955,0.994
45.985,0.985
46.015,0.987
46.045,0.984
46.075,0.985
46.105,0.987
46.135,0.992
46.165,0.986
46.195,0.992
46.225,0.975
46.255,0.987
46.285,0.982
46.315,0.990
46.345,0.985
46.375,0.978
46.405,0.993
46.435,0.987
46.465,0.988
46.495,0.992
46.525,0.990
46.555,0.994
46.585,0.989
46.615,0.990
46.645,0.987
46.675,0.983
46.705,0.987
46.735,0.988
46.765,0.985
46.795,0.989
46.825,0.987
46.855,0.987
46.885,0.987
46.915,0.988
46.945,0.987
46.975,0.987
47.005,0.985
47.035,0.983
47.065,0.985
47.095,0.987
47.125,0.984
47.155,0.994
47.185,0.993
47.215,0.987
47.245,0.986
47.275,0.986
47.305,0.982
47.335,0.985
47.365,0.989
47.395,0.987
47.425,0.989
47.455,0.987
47.485,0.989
47.515,0.987
47.545,0.990
47.575,0.987
47.605,0.986
47.635,0.987
47.665,0.985
47.695,0.988
47.725,0.988
47.755,0.986
47.785,0.988
47.815,0.990
47.845,0.987
47.875,0.988
47.905,0.995
47.935,0.989
47.965,0.986
47.995,0.989
48.025,0.985
48.055,0.988
48.085,0.988
48.115,0.992
48.145,0.987
48.175,0.989
48.205,0.985
48.235,0.985
48.265,0.987
48.295,0.991
48.325,0.988
48.355,0.986
48.385,0.990
48.415,0.988
48.445,0.986
48.475,0.987
48.505,0.988
48.535,0.988
48.565,0.984
48.595,0.986
48.625,0.989
48.655,0.991
48.685,0.995
48.715,0.986
48.745,0.988
48.775,0.990
48.805,0.984
48.835,0.985
48.865,0.989
48.895,0.989
48.925,0.987
48.955,0.989
48.985,0.988
49.015,0.985
49.045,0.984
49.075,0.989
49.105,0.985
49.135,0.987
49.165,0.988
49.195,0.992
49.225,0.988
49.255,0.988
49.285,0.984
49.315,0.986
49.345,0.991
49.375,0.986
49.405,0.986
49.435,0.994
49.465,0.988
49.495,0.987
49.525,0.986
49.555,0.989
49.585,0.984
49.615,0.990
49.645,0.984
49.675,0.990
49.705,0.990
49.735,0.990
49.765,0.988
49.795,0.986
49.825,0.988
49.855,0.986
49.885,0.989
49.915,0.988
49.945,0.985
49.975,0.990
50.005,0.990
50.035,0.987
50.065,0.980
50.095,0.989
50.125,0.990
50.155,0.985
50.185,0.985
50.215,0.991
50.245,0.988
50.275,0.988
50.305,0.979
50.335,0.994
50.365,0.999
50.395,0.988
50.425,0.983
50.455,0.986
50.485,0.985
50.515,0.989
50.545,0.985
50.575,0.989
50.605,0.984
50.635,0.986
50.665,0.987
50.695,0.985
50.725,0.993
50.755,0.987
50.785,0.986
50.815,0.986
50.845,0.984
50.875,0.986
50.905,0.986
50.935,0.984
50.965,0.983
50.995,0.990
51.025,0.989
51.055,0.988
51.085,0.989
51.115,0.981
51.145,0.989
51.175,0.991
51.205,0.986
51.235,0.984
51.265,0.982
51.295,0.985
51.325,0.984
51.355,0.982
51.385,0.991
51.415,0.990
51.445,0.994
51.475,0.992
51.505,0.986
51.535,0.983
51.565,0.984
51.595,0.981
51.625,0.983
51.655,0.990
51.685,0.985
51.715,0.984
51.745,0.988
51.775,0.987
51.805,0.987
51.835,0.984
51.865,0.987
51.895,0.983
51.925,0.985
51.955,0.983
51.985,0.986
52.015,0.981
52.045,0.983
52.075,1.002
52.105,0.991
52.135,0.986
52.165,0.985
52.195,0.985
52.225,0.978
52.255,0.988
52.285,0.982
52.315,0.993
52.345,0.993
52.375,0.989
52.405,0.985
52.435,0.988
52.465,0.986
52.495,0.986
52.525,0.990
52.555,0.985
52.585,0.987
52.615,0.986
52.645,0.984
52.675,0.991
52.705,0.989
52.735,0.994
52.765,0.982
52.795,0.992
52.825,0.998
52.855,0.985
52.885,0.983
52.915,0.985
52.945,0.987
52.975,0.989
53.005,0.982
53.035,0.984
53.065,0.981
53.095,0.983
53.125,0.981
53.155,0.990
53.185,0.990
53.215,0.989
53.245,0.992
53.275,0.988
53.305,0.983
53.335,0.991
53.365,0.980
53.395,0.984
53.425,0.982
53.455,0.985
53.485,0.984
53.515,0.989
53.545,0.977
53.575,0.993
53.605,0.988
53.635,0.990
53.665,0.983
53.695,0.987
53.725,0.988
53.755,0.990
53.785,0.985
53.815,0.981
53.845,0.983
53.875,0.989
53.905,0.981
53.935,0.996
53.965,0.984
53.995,0.990
54.025,0.985
54.055,0.985
54.085,0.987
54.115,0.989
54.145,0.976
54.175,0.987
54.205,0.985
54.235,0.987
54.265,0.987
54.295,0.987
54.325,0.992
54.355,0.993
54.385,0.985
54.415,0.986
54.445,0.989
54.475,0.991
54.505,0.983
54.535,0.992
54.565,0.985
54.595,0.985
54.625,0.988
54.655,0.988
54.685,0.986
54.715,0.989
54.745,0.985
54.775,0.986
54.805,0.987
54.835,0.989
54.865,0.988
54.895,0.987
54.925,0.988
54.955,0.984
54.985,0.988
55.015,0.987
55.045,0.986
55.075,0.984
55.105,0.986
55.135,0.989
55.165,0.983
55.195,0.991
55.225,0.987
55.255,0.982
55.285,0.987
55.315,0.985
55.345,0.983
55.375,0.985
55.405,0.985
55.435,0.989
55.465,0.994
55.495,0.988
55.525,0.985
55.555,0.988
55.585,0.987
55.615,0.986
55.645,0.990
55.675,0.987
55.705,0.985
55.735,0.984
55.765,0.988
55.795,0.991
55.825,0.986
55.855,0.986
55.885,0.988
55.915,0.989
55.945,0.986
55.975,0.993
56.005,0.987
56.035,0.982
56.065,0.986
56.095,0.987
56.125,0.990
56.155,0.985
56.185,0.984
56.215,0.985
56.245,0.988
56.275,0.986
56.305,0.984
56.335,0.987
56.365,0.986
56.395,0.990
56.425,0.986
56.455,0.988
56.485,0.983
56.515,0.987
56.545,0.988
56.575,0.986
