df_hash,22ZHK4.TDZQKW
429.543,83
430.752,83
431.639,83
432.558,83
433.730,83
434.602,83
435.487,83
436.699,83
437.576,83
438.502,83
439.705,83
440.550,83
441.476,83
442.646,83
443.524,83
444.466,83
445.620,83
446.794,83
447.424,83
448.594,83
449.474,83
450.397,83
451.633,83
452.494,83
453.541,83
454.541,83
455.566,83
456.357,83
457.516,83
458.441,83
459.320,83
460.489,83
461.415,83
462.292,83
463.611,83
464.389,83
465.303,83
466.487,83
467.463,83
468.289,83
469.608,83
470.336,83
471.215,83
472.432,83
473.359,83
474.291,83
475.406,83
476.284,84
477.161,83
478.380,83
479.257,87
480.184,88
481.354,90
482.231,90
483.157,90
484.431,90
485.205,90
486.169,90
487.301,90
488.180,90
489.105,90
490.294,89
491.152,89
492.079,89
493.249,89
494.224,89
495.052,89
496.274,89
497.149,91
498.026,91
499.443,91
500.122,90
501.052,89
502.170,88
503.096,87
503.977,86
505.163,85
506.070,85
506.965,85
508.166,85
509.075,85
509.921,85
511.237,85
512.021,85
512.895,85
514.113,84
514.993,85
515.966,85
517.087,86
517.970,85
518.899,85
520.061,85
520.948,85
521.865,85
523.035,85
523.961,85
524.839,85
526.057,85
526.935,85
527.832,85
529.034,85
529.926,85
530.786,89
532.107,90
532.889,91
533.762,90
534.930,89
535.856,88
536.733,87
537.903,86
538.830,85
539.707,85
540.931,85
541.805,85
542.681,85
543.900,85
544.788,85
545.655,85
546.873,85
547.754,85
548.693,85
549.850,85
550.750,85
551.705,85
552.871,85
553.699,85
554.576,85
