df_hash,22ZHK4.RJ56NA
427.813,1
428.690,12
429.571,37
430.740,26
431.664,0
432.639,40
433.761,10
434.931,21
435.516,44
436.735,43
437.612,40
438.634,25
439.709,0
440.881,0
441.464,47
443.077,58
443.606,34
444.728,35
445.702,35
446.535,0
447.462,30
448.631,41
449.610,59
450.436,64
451.848,66
452.531,64
453.654,57
454.580,53
455.602,49
456.387,46
457.602,51
458.528,52
459.597,60
460.576,70
461.543,68
462.331,60
463.647,65
464.452,58
465.305,34
466.572,41
467.447,51
468.279,50
469.787,61
470.385,64
471.306,63
472.472,71
473.349,74
474.568,72
475.638,62
476.324,63
477.249,32
478.665,0
479.354,3
480.325,0
481.396,1
482.422,11
483.199,0
484.368,0
485.343,0
486.172,27
487.391,25
488.269,26
489.389,23
490.510,37
491.339,23
