df_hash,22ZHK4.L5WD3N
443.466,37
444.151,41
445.373,37
446.296,44
447.177,46
448.344,42
449.226,27
450.149,46
451.319,61
452.196,70
453.127,58
454.292,43
455.266,36
456.141,29
457.287,32
458.194,35
459.115,29
460.240,29
461.183,35
462.054,31
463.259,57
464.189,54
465.021,65
466.187,62
467.262,64
467.991,52
469.355,49
470.092,43
470.964,33
472.231,29
473.064,0
473.997,9
475.160,11
476.035,7
476.913,13
478.143,8
479.010,0
479.886,36
481.105,36
482.008,45
482.860,46
484.079,40
484.959,38
485.833,36
487.052,29
487.929,0
488.913,0
490.028,51
490.974,71
491.781,0
492.999,0
493.877,0
494.772,0
495.976,0
496.905,31
497.729,37
498.947,31
499.876,33
500.751,37
501.974,50
502.811,38
503.724,26
504.897,40
505.776,32
506.841,26
507.868,23
508.746,40
509.672,33
510.842,29
511.719,35
512.691,34
513.818,33
514.694,24
515.621,42
516.790,41
517.715,45
518.594,39
519.820,37
520.690,31
521.636,27
