df_hash,22ZHK4.L5WD3N
283.176,695
284.299,560
284.980,970
285.739,730
286.442,730
287.227,780
288.050,770
288.248,830
288.499,225
288.733,155
289.587,370
290.152,690
290.830,710
291.268,720
292.341,395
293.072,1035
293.754,740
294.583,775
294.875,765
295.266,275
295.558,440
296.046,260
296.240,495
297.076,295
297.508,795
298.239,395
298.507,780
298.727,465
299.848,295
300.506,885
301.164,580
301.944,710
302.641,740
303.538,785
304.187,770
304.723,780
305.848,505
306.822,1105
307.795,695
308.488,1270
309.159,690
309.851,675
310.573,710
310.842,740
311.255,250
312.695,475
313.352,1370
314.035,635
314.327,1015
315.448,470
316.280,665
317.505,845
318.325,1230
318.909,850
319.592,610
320.031,630
320.909,515
321.688,670
321.981,960
322.810,330
323.494,840
323.785,710
324.028,255
324.868,235
325.978,910
326.670,1090
327.392,620
327.928,740
328.367,640
330.025,335
330.560,1640
331.148,625
332.218,540
333.194,1180
333.778,990
334.467,445
334.851,730
335.146,435
335.729,290
336.265,535
337.122,550
338.458,930
338.752,1325
338.756,360
339.043,10
339.336,265
339.726,215
340.554,500
341.822,825
342.650,1210
343.918,865
344.601,1270
345.283,700
345.868,670
346.550,615
346.940,700
348.188,355
348.647,1080
349.329,650
349.866,705
351.284,520
351.815,1345
352.937,600
353.181,1135
353.327,220
353.333,240
353.473,15
353.914,20
354.155,415
354.159,305
354.449,15
355.137,285
355.960,705
356.252,800
356.935,280
357.910,770
358.640,925
359.324,700
359.591,770
359.716,220
359.860,245
360.688,595
361.002,285
361.274,280
361.956,295
362.492,675
362.638,525
362.787,255
363.175,110
363.905,345
364.442,700
364.881,545
365.417,555
365.563,685
365.856,285
366.295,10
366.867,310
367.912,645
368.058,1025
368.732,170
369.064,665
369.863,275
370.585,925
371.272,630
371.803,700
372.485,570
373.071,675
373.461,675
374.582,305
375.052,1170
375.118,430
375.121,15
375.264,205
376.100,735
376.142,160
376.145,35
377.219,10
377.920,1095
378.483,670
378.872,635
379.164,325
379.847,275
380.453,695
381.114,580
381.943,700
382.236,835
382.480,250
383.455,300
383.796,1005
384.580,330
385.307,785
386.087,690
386.526,910
387.251,420
387.895,665
388.622,685
389.324,700
389.987,685
390.670,710
391.645,700
391.937,1245
393.355,1125
394.034,310
394.716,645
395.009,725
396.129,305
396.959,1085
397.202,810
397.787,280
398.324,565
399.006,640
399.738,685
400.420,750
400.712,695
400.717,280
401.715,395
401.931,770
403.204,615
403.472,930
404.638,510
404.641,630
404.710,115
405.392,605
405.443,90
405.685,45
406.368,320
407.052,685
407.830,640
408.762,770
409.292,740
409.975,710
410.706,710
411.534,715
412.071,815
412.686,565
413.339,670
414.314,695
415.994,905
416.117,1645
417.348,260
417.921,1195
418.604,540
419.288,750
419.871,545
420.555,635
420.945,805
421.682,420
422.504,680
422.702,875
423.186,10
423.722,570
424.454,575
425.140,685
425.818,755
427.774,730
429.428,1865
430.157,1800
430.694,610
431.432,600
431.961,630
432.790,620
433.524,810
434.009,765
434.739,595
435.325,585
435.959,620
436.544,685
436.821,515
437.084,330
437.762,280
438.493,740
439.031,650
439.861,605
440.004,660
440.395,355
440.589,295
441.301,210
441.538,695
441.808,305
442.251,290
442.929,365
443.472,725
444.298,610
444.879,580
445.421,790
446.103,555
446.830,690
447.805,720
448.195,890
448.633,470
449.316,355
449.999,735
450.730,745
451.558,715
452.680,880
453.069,1030
453.899,385
455.215,850
455.995,1290
456.826,870
457.360,695
458.335,640
459.310,1015
460.443,1050
461.309,1080
462.089,805
463.356,795
463.892,1285
464.868,670
465.842,960
466.677,945
467.405,775
468.475,755
468.768,1400
469.888,615
470.210,445
470.571,325
470.574,455
471.693,955
472.814,185
474.617,1130
475.449,1745
475.868,595
476.811,745
477.641,925
478.079,900
479.086,390
479.737,915
480.275,790
480.565,455
481.004,370
481.251,345
481.978,345
482.227,695
483.051,310
484.320,790
485.294,1310
485.734,980
486.126,400
486.269,365
486.709,160
487.097,470
488.218,390
489.047,1165
490.705,705
491.387,1735
492.119,725
492.801,725
493.483,700
493.923,705
494.168,400
494.605,205
495.580,490
496.262,925
496.847,670
497.676,690
498.213,760
498.651,515
499.480,545
500.019,715
500.702,660
501.381,725
502.112,580
502.502,780
503.087,340
503.624,605
504.455,620
505.908,635
506.117,1500
506.875,365
508.060,660
508.794,1310
509.327,625
510.010,640
511.425,690
512.106,1335
512.272,665
512.789,275
513.081,440
513.374,305
514.098,345
514.739,635
515.863,680
517.080,1170
518.054,1195
518.347,980
519.760,340
520.590,1470
521.420,710
521.619,765
