df_hash,22ZHK4.E6KA8L
258.809,530
260.218,775
261.339,1595
261.633,1365
263.828,1370
263.971,845
264.264,190
265.629,355
267.432,1315
267.725,1855
267.731,270
269.070,10
269.296,1255
269.675,335
270.358,320
271.969,735
272.600,1530
273.992,700
274.261,1435
274.550,305
275.232,290
276.500,690
276.504,1195
278.157,10
278.699,1700
279.669,535
281.229,1060
281.236,1405
281.277,10
281.280,10
281.284,15
281.329,65
282.156,10
282.303,880
283.104,220
283.572,610
283.861,500
284.300,415
285.080,450
285.665,735
285.983,605
286.814,310
287.030,885
287.323,515
287.907,605
287.911,10
288.151,200
289.750,490
289.809,1080
289.955,10
290.247,270
291.080,305
291.369,735
291.515,380
291.614,150
292.587,30
293.416,1070
293.420,750
293.514,115
294.977,680
296.488,775
297.317,1645
297.462,740
298.438,190
298.441,900
298.584,235
300.242,1470
300.827,245
301.655,440
301.899,910
302.267,280
302.492,280
303.703,305
304.583,1195
305.117,800
305.800,615
305.803,695
305.806,10
305.848,10
305.946,200
308.237,695
308.727,1505
309.410,560
309.700,620
310.284,395
310.674,525
312.186,435
313.063,1460
313.745,845
314.580,740
315.403,810
315.406,885
315.551,10
315.566,25
316.671,20
317.352,1215
317.357,345
318.181,315
318.185,890
318.624,10
319.646,430
320.131,930
320.961,585
321.643,870
322.618,625
322.764,920
323.057,230
323.446,265
323.450,270
323.740,185
324.129,260
324.860,360
325.256,675
325.839,515
325.984,580
326.908,10
327.250,1025
327.641,295
328.858,370
329.979,1345
330.272,1105
330.954,265
331.246,745
332.224,255
332.527,1015
333.733,275
334.025,1210
335.311,295
335.536,1255
336.024,340
336.122,315
337.198,220
337.492,1130
337.926,220
338.608,385
339.583,770
340.265,960
340.558,695
341.386,265
341.834,860
342.361,480
342.654,480
342.903,330
344.039,260
344.848,1125
344.852,825
345.531,10
346.506,725
347.242,980
347.627,690
347.919,460
348.602,225
349.873,630
350.015,1500
350.269,230
352.384,1020
353.867,1040
355.282,1560
356.256,1465
356.548,900
357.767,325
358.059,1250
359.425,310
360.402,1315
360.887,1055
361.813,410
362.106,925
362.350,580
363.324,345
363.763,715
364.007,375
364.738,250
366.103,785
366.933,1370
367.907,830
368.345,960
368.638,375
370.149,325
370.686,1500
371.271,595
372.392,610
373.074,1145
374.488,625
375.029,1430
375.414,595
376.292,300
377.657,955
378.778,1410
379.168,1045
380.436,455
380.829,1215
381.118,400
381.559,370
381.654,320
382.630,10
382.922,1380
384.336,845
384.725,645
385.018,365
385.998,295
386.286,940
386.682,370
386.968,630
387.114,210
388.089,320
389.308,630
390.017,1310
391.404,650
392.818,1340
392.821,1505
392.919,10
393.209,15
393.501,295
394.476,380
394.626,1110
396.133,1290
397.255,270
398.473,1070
398.477,1320
400.569,1125
400.575,975
403.495,1295
403.787,1510
403.936,530
404.177,230
405.737,1210
406.127,335
406.566,435
406.956,400
407.151,380
407.249,175
407.788,205
408.077,490
408.371,325
408.614,250
409.734,340
409.739,1120
409.929,10
409.934,10
409.978,10
409.982,15
409.986,10
410.030,10
410.360,10
411.295,430
411.831,925
413.489,585
413.781,1710
414.074,265
414.512,280
415.439,490
416.462,870
416.710,1080
416.810,190
417.388,10
418.217,665
418.657,920
418.910,400
419.777,330
420.167,780
421.317,415
422.654,1100
423.629,1415
423.921,955
425.490,360
426.066,1465
427.384,570
428.114,1295
428.942,810
429.381,865
430.015,385
430.747,705
430.990,720
431.967,290
432.257,920
432.939,340
433.281,710
433.671,260
434.394,440
434.653,685
436.158,305
436.449,1515
437.833,325
439.765,1380
441.032,1955
441.714,1290
442.982,500
442.985,1460
444.058,15
444.495,1065
445.615,485
446.151,1005
447.564,640
447.569,1335
448.127,15
448.783,610
450.198,650
450.209,1425
450.881,10
451.806,690
452.394,870
452.683,515
453.225,445
454.194,485
454.198,1035
454.487,250
456.487,915
457.266,1090
457.412,1025
459.362,1600
460.629,290
461.313,1290
461.461,640
462.433,10
463.021,1190
463.804,540
464.919,890
466.041,1070
466.580,1110
466.724,340
467.162,395
468.673,320
469.356,1615
470.770,695
471.160,1375
472.574,395
473.940,1390
474.377,1495
474.767,375
475.499,460
475.742,640
476.039,305
476.571,250
477.546,520
477.549,765
477.713,250
477.790,180
477.793,10
478.034,220
478.960,305
479.642,765
480.081,610
480.471,480
480.910,450
481.202,350
481.885,360
482.031,575
482.714,210
483.006,940
483.932,340
484.911,620
486.468,1070
487.006,1515
488.812,490
490.757,1890
490.760,1915
490.806,25
491.732,10
492.025,1030
