df_hash,22ZHK4.S8EAUS
430.424,59
431.586,64
432.462,51
433.393,64
434.558,70
435.485,46
436.363,50
437.532,36
438.460,39
439.338,41
440.506,70
441.432,70
442.312,40
443.530,31
444.601,38
445.309,49
446.694,33
447.379,52
448.257,66
449.477,72
450.354,58
451.281,69
452.450,71
453.568,57
454.255,60
455.425,69
456.350,55
457.227,37
458.398,51
459.324,62
460.201,59
461.420,58
462.299,56
463.175,66
464.491,70
465.564,64
466.202,59
467.413,62
468.394,65
469.172,65
470.783,70
471.222,68
472.148,67
473.315,65
474.287,63
475.120,53
476.290,45
477.215,44
478.141,25
479.340,32
480.189,48
481.360,51
482.286,71
483.164,77
484.042,75
485.795,64
486.137,65
487.308,51
488.232,25
489.153,37
490.036,46
491.206,64
492.133,64
493.012,61
494.326,55
495.160,62
495.984,63
497.205,41
498.323,44
499.006,38
500.176,43
501.296,45
502.005,61
503.446,81
504.027,78
504.957,78
506.124,72
507.001,71
507.938,73
509.292,72
510.039,74
510.928,77
512.221,6
512.997,14
513.878,39
515.102,3
515.974,100
516.917,100
518.067,26
519.040,18
519.876,14
521.333,0
