Time_sec,Conductance_microS,Stage,RR_Interval_ms,Conductance_microS_Normalized,RR_Interval_ms_Normalized
92,12475.29890816184,Normal,360.0,0.4968899787921526,0.03973509933774835
93,12487.652833261112,Normal,662.5,0.502090168791602,0.24006622516556295
94,12279.656906386035,Normal,965.0,0.4145375626222778,0.4403973509933775
95,12649.341285552555,Normal,1052.5,0.57015037361524,0.4983443708609271
96,13031.489290722102,Normal,1140.0,0.7310095514735506,0.5562913907284768
97,12561.977657266538,Normal,320.0,0.5333760316568856,0.013245033112582794
98,12915.508037966429,Normal,550.0,0.6821890716780921,0.16556291390728475
99,12979.798242016126,Normal,1220.0,0.7092510194781054,0.609271523178808
100,12636.809256210045,Normal,805.0,0.5648752134425781,0.33443708609271516
101,12649.341285552555,Normal,742.5,0.57015037361524,0.29304635761589404
102,12877.089468729919,Normal,680.0,0.6660173806623675,0.2516556291390729
103,12279.656906386035,Normal,800.0,0.4145375626222778,0.33112582781456956
104,12851.554266973048,Normal,915.0,0.6552687400689567,0.4072847682119205
105,12826.087235349722,Normal,1030.0,0.6445487946184958,0.48344370860927155
106,12800.671779254975,Normal,980.0,0.6338505590736556,0.45033112582781454
107,12462.96940216382,Normal,950.0,0.49170006762838625,0.4304635761589404
108,12775.307884920028,Normal,975.0,0.623174027638683,0.4470198675496688
109,12661.866131154142,Normal,365.0,0.575422509905418,0.043046357615894065
110,13057.438365626555,Normal,785.0,0.7419324054433414,0.3211920529801324
111,12586.865102790633,Normal,785.0,0.5438520094765877,0.3211920529801324
112,13031.489290722102,Normal,550.0,0.7310095514735506,0.16556291390728475
113,12475.29890816184,Normal,530.0,0.4968899787921526,0.15231788079470202
114,12462.96940216382,Normal,760.0,0.49170006762838625,0.304635761589404
115,12574.424877242178,Normal,695.0,0.5386154926636619,0.26158940397350994
116,13083.422518663503,Normal,340.0,0.752870024999968,0.026490066225165587
117,13096.44483908398,Normal,440.0,0.7583515654720063,0.09271523178807947
118,12524.752041221464,Normal,420.0,0.5177064954790822,0.07947019867549668
119,12487.652833261112,Normal,650.0,0.502090168791602,0.23178807947019867
120,12762.639160626748,Normal,690.0,0.6178413278816173,0.2582781456953642
121,12316.074817691304,Normal,695.0,0.4298671082240748,0.26158940397350994
122,12524.752041221464,Normal,705.0,0.5177064954790822,0.26821192052980136
123,12328.236840223586,Normal,860.0,0.4349865198634717,0.3708609271523179
124,12267.530300799843,Normal,1015.0,0.4094330591879567,0.4735099337748344
125,12787.985431926994,Normal,625.0,0.6285104411779763,0.21523178807947022
126,12661.866131154142,Normal,662.5,0.575422509905418,0.24006622516556295
127,13057.438365626555,Normal,700.0,0.7419324054433414,0.26490066225165565
128,12864.317470772272,Normal,825.0,0.660641209484492,0.347682119205298
129,12877.089468729919,Normal,605.0,0.6660173806623675,0.20198675496688742
130,12624.3020339013,Normal,960.0,0.5596104953996743,0.4370860927152318
131,12724.750913000878,Normal,350.0,0.6018928673868791,0.033112582781456956
132,12649.341285552555,Normal,1350.0,0.57015037361524,0.695364238410596
133,12549.555055525507,Normal,410.0,0.5281469333078395,0.07284768211920531
134,12524.752041221464,Normal,455.0,0.5177064954790822,0.10264900662251655
135,12699.5576744062,Normal,420.0,0.5912881707952273,0.07947019867549668
136,12851.554266973048,Normal,695.0,0.6552687400689567,0.26158940397350994
137,13057.438365626555,Normal,385.0,0.7419324054433414,0.05629139072847686
138,13070.426069749023,Normal,640.0,0.7473993747304908,0.2251655629139073
139,12838.816363841785,Normal,650.0,0.6499069205707109,0.23178807947019867
140,13070.426069749023,Normal,530.0,0.7473993747304908,0.15231788079470202
141,13057.438365626555,Normal,410.0,0.7419324054433414,0.07284768211920531
142,12462.96940216382,Normal,870.0,0.49170006762838625,0.3774834437086092
143,12512.371607426843,Normal,735.0,0.5124951470622605,0.2880794701986755
144,12512.371607426843,Normal,837.5,0.5124951470622605,0.35596026490066224
145,13214.2814668381,Normal,940.0,0.8079530361213516,0.42384105960264895
146,12462.96940216382,Normal,900.0,0.49170006762838625,0.3973509933774835
147,12389.286240830379,Normal,930.0,0.46068430254846593,0.41721854304635764
148,13083.422518663503,Normal,750.0,0.752870024999968,0.29801324503311255
149,13174.866044549492,Normal,570.0,0.7913617355296596,0.17880794701986755
150,13214.2814668381,Normal,865.0,0.8079530361213516,0.3741721854304636
151,12826.087235349722,Normal,880.0,0.6445487946184958,0.3841059602649006
152,13044.459431078947,Normal,920.0,0.7364691275704693,0.4105960264900662
153,13083.422518663503,Normal,845.0,0.752870024999968,0.36092715231788075
154,12877.089468729919,Normal,885.0,0.6660173806623675,0.38741721854304634
155,12724.750913000878,Normal,905.0,0.6018928673868791,0.4006622516556291
156,12561.977657266538,Normal,945.0,0.5333760316568856,0.42715231788079466
157,13057.438365626555,Normal,970.0,0.7419324054433414,0.4437086092715231
158,12928.331792707128,Normal,960.0,0.6875870290577994,0.4370860927152318
159,12475.29890816184,Normal,960.0,0.4968899787921526,0.4370860927152318
160,12851.554266973048,Normal,925.0,0.6552687400689567,0.4139072847682119
161,12712.1498915018,Normal,860.0,0.5965886660536359,0.3708609271523179
162,12787.985431926994,Normal,885.0,0.6285104411779763,0.38741721854304634
163,12649.341285552555,Normal,935.0,0.57015037361524,0.42052980132450335
164,12512.371607426843,Normal,955.0,0.5124951470622605,0.4337748344370861
165,12303.921628940792,Normal,980.0,0.4247514150258418,0.45033112582781454
166,12512.371607426843,Normal,970.0,0.5124951470622605,0.4437086092715231
167,12915.508037966429,Normal,945.0,0.6821890716780921,0.42715231788079466
168,12524.752041221464,Normal,890.0,0.5177064954790822,0.39072847682119205
169,12450.66424293736,Normal,880.0,0.4865204048542582,0.3841059602649006
170,12500.0,Normal,905.0,0.5072875139657986,0.4006622516556291
171,12599.329967632322,Normal,947.5,0.5490988978115388,0.4288079470198676
172,12401.531837212533,Normal,990.0,0.4658388932823474,0.45695364238410596
173,12462.96940216382,Normal,875.0,0.49170006762838625,0.3807947019867549
174,13201.128432458407,Normal,870.0,0.8024164736690089,0.3774834437086092
175,13122.532963802803,Normal,795.0,0.7693329502689066,0.32781456953642385
176,13070.426069749023,Normal,870.0,0.7473993747304908,0.3774834437086092
177,12450.66424293736,Normal,862.5,0.4865204048542582,0.3725165562913907
178,12450.66424293736,Normal,855.0,0.4865204048542582,0.3675496688741722
179,13122.532963802803,Normal,630.0,0.7693329502689066,0.21854304635761593
180,12426.06491376311,Normal,845.0,0.47616570506960176,0.36092715231788075
181,13057.438365626555,Normal,860.0,0.7419324054433414,0.3708609271523179
182,12450.66424293736,Normal,830.0,0.4865204048542582,0.3509933774834437
183,12340.422906292999,Normal,840.0,0.44011605225075456,0.35761589403973504
184,12574.424877242178,Normal,900.0,0.5386154926636619,0.3973509933774835
185,12889.886852573209,Normal,850.0,0.6714042376285718,0.36423841059602646
186,12611.819545041222,Normal,800.0,0.5543561885120418,0.33112582781456956
187,13018.544917234602,Normal,400.0,0.7255608215340432,0.06622516556291394
188,12649.341285552555,Normal,715.0,0.57015037361524,0.2748344370860927
189,12462.96940216382,Normal,710.0,0.49170006762838625,0.2715231788079471
190,13044.459431078947,Normal,855.0,0.7364691275704693,0.3675496688741722
191,12851.554266973048,Normal,445.0,0.6552687400689567,0.09602649006622518
192,12712.1498915018,Normal,870.0,0.5965886660536359,0.3774834437086092
193,12649.341285552555,Normal,865.0,0.57015037361524,0.3741721854304636
194,13293.523661142764,Normal,895.0,0.8413087884871961,0.39403973509933776
195,12712.1498915018,Normal,860.0,0.5965886660536359,0.3708609271523179
196,12686.974283503127,Normal,845.0,0.5859913907834091,0.36092715231788075
197,12487.652833261112,Normal,745.0,0.502090168791602,0.29470198675496695
198,12438.352415838997,Normal,715.0,0.4813379353445777,0.2748344370860927
199,12303.921628940792,Normal,720.0,0.4247514150258418,0.2781456953642384
200,12979.798242016126,Normal,705.0,0.7092510194781054,0.26821192052980136
201,12889.886852573209,Normal,750.0,0.6714042376285718,0.29801324503311255
202,13057.438365626555,Normal,730.0,0.7419324054433414,0.2847682119205298
203,13135.598786270672,Normal,775.0,0.774832802241944,0.314569536423841
204,13044.459431078947,Normal,805.0,0.7364691275704693,0.33443708609271516
205,11724.140356718694,Normal,460.0,0.18070162927355327,0.10596026490066227
206,11851.655202165533,Normal,890.0,0.23437699307457027,0.39072847682119205
207,11294.853274208543,Normal,695.0,0.0,0.26158940397350994
208,11666.664722222547,Normal,500.0,0.15650816708909776,0.13245033112582785
209,11747.20945039506,Normal,780.0,0.19041220055095742,0.3178807947019867
210,12611.819545041222,Normal,755.0,0.5543561885120418,0.30132450331125826
211,12171.091466969483,Normal,740.0,0.36883865253474557,0.29139072847682124
212,,Normal,840.0,,0.35761589403973504
213,11701.106924715079,Normal,910.0,0.17100606921505523,0.4039735099337748
214,11428.57142857143,Normal,895.0,0.05628654888830642,0.39403973509933776
215,12004.29753851879,Normal,770.0,0.29862937801443845,0.3112582781456954
216,12699.5576744062,Normal,645.0,0.5912881707952273,0.228476821192053
217,,Normal,875.0,,0.3807947019867549
218,12649.341285552555,Normal,830.0,0.57015037361524,0.3509933774834437
219,13057.438365626555,Normal,870.0,0.7419324054433414,0.3774834437086092
220,13031.489290722102,Normal,925.0,0.7310095514735506,0.4139072847682119
221,12966.905862856816,Normal,955.0,0.7038241757313113,0.4337748344370861
222,12775.307884920028,Normal,921.6666666666666,0.623174027638683,0.4116997792494481
223,12674.41580448953,Normal,888.3333333333334,0.5807050970387078,0.38962472406181015
224,12800.671779254975,Normal,855.0,0.6338505590736556,0.3675496688741722
225,12219.20272146083,Normal,895.0,0.3890903265943191,0.39403973509933776
226,13096.44483908398,Normal,960.0,0.7583515654720063,0.4370860927152318
227,12838.816363841785,Normal,980.0,0.6499069205707109,0.45033112582781454
228,12966.905862856816,Normal,995.0,0.7038241757313113,0.4602649006622517
229,12889.886852573209,Normal,925.0,0.6714042376285718,0.4139072847682119
230,12450.66424293736,Normal,870.0,0.4865204048542582,0.3774834437086092
231,12401.531837212533,Normal,865.0,0.4658388932823474,0.3741721854304636
232,12291.7772926623,Normal,895.0,0.41963944813613807,0.39403973509933776
233,12941.181038063894,Normal,870.0,0.6929957163104579,0.3774834437086092
234,12279.656906386035,Normal,950.0,0.4145375626222778,0.4304635761589404
235,12586.865102790633,Normal,985.0,0.5438520094765877,0.45364238410596025
236,12649.341285552555,Normal,1010.0,0.57015037361524,0.4701986754966887
237,12864.317470772272,Normal,930.0,0.660641209484492,0.41721854304635764
238,13044.459431078947,Normal,885.0,0.7364691275704693,0.38741721854304634
239,13057.438365626555,Normal,860.0,0.7419324054433414,0.3708609271523179
240,12364.821587989307,Normal,860.0,0.45038629264296404,0.3708609271523179
241,12941.181038063894,Normal,905.0,0.6929957163104579,0.4006622516556291
242,12826.087235349722,Normal,975.0,0.6445487946184958,0.4470198675496688
243,12775.307884920028,Normal,1040.0,0.623174027638683,0.49006622516556286
244,13057.438365626555,Normal,905.0,0.7419324054433414,0.4006622516556291
245,12364.821587989307,Normal,1010.0,0.45038629264296404,0.4701986754966887
246,12775.307884920028,Normal,660.0,0.623174027638683,0.2384105960264901
247,12462.96940216382,Normal,835.0,0.49170006762838625,0.35430463576158944
248,12966.905862856816,Normal,720.0,0.7038241757313113,0.2781456953642384
249,12864.317470772272,Normal,605.0,0.660641209484492,0.20198675496688742
250,12979.798242016126,Normal,805.0,0.7092510194781054,0.33443708609271516
251,12762.639160626748,Normal,905.0,0.6178413278816173,0.4006622516556291
252,12966.905862856816,Normal,945.0,0.7038241757313113,0.42715231788079466
253,13174.866044549492,Normal,1000.0,0.7913617355296596,0.4635761589403974
254,12979.798242016126,Normal,985.0,0.7092510194781054,0.45364238410596025
255,12377.049484681544,Normal,710.0,0.4555334329714267,0.2715231788079471
256,13031.489290722102,Normal,680.0,0.7310095514735506,0.2516556291390729
257,12966.905862856816,Normal,645.0,0.7038241757313113,0.228476821192053
258,13070.426069749023,Normal,610.0,0.7473993747304908,0.20529801324503313
259,12649.341285552555,Normal,875.0,0.57015037361524,0.3807947019867549
260,12586.865102790633,Stress,900.0,0.5438520094765877,0.3973509933774835
261,12316.074817691304,Stress,920.0,0.4298671082240748,0.4105960264900662
262,12377.049484681544,Stress,890.0,0.4555334329714267,0.39072847682119205
263,12328.236840223586,Stress,920.0,0.4349865198634717,0.4105960264900662
264,12364.821587989307,Stress,915.0,0.45038629264296404,0.4072847682119205
265,13122.532963802803,Stress,920.0,0.7693329502689066,0.4105960264900662
266,12851.554266973048,Stress,620.0,0.6552687400689567,0.2119205298013245
267,13070.426069749023,Stress,965.0,0.7473993747304908,0.4403973509933775
268,12649.341285552555,Stress,865.0,0.57015037361524,0.3741721854304636
269,12624.3020339013,Stress,830.0,0.5596104953996743,0.3509933774834437
270,12992.6994022059,Stress,915.0,0.7146815594612326,0.4072847682119205
271,13240.63126033597,Stress,945.0,0.8190445662653412,0.42715231788079466
272,12864.317470772272,Stress,955.0,0.660641209484492,0.4337748344370861
273,12737.360716960558,Stress,885.0,0.6072007655584493,0.38741721854304634
274,12787.985431926994,Stress,890.0,0.6285104411779763,0.39072847682119205
275,12851.554266973048,Stress,900.0,0.6552687400689567,0.3973509933774835
276,12328.236840223586,Stress,935.0,0.4349865198634717,0.42052980132450335
277,12762.639160626748,Stress,940.0,0.6178413278816173,0.42384105960264895
278,12649.341285552555,Stress,920.0,0.57015037361524,0.4105960264900662
279,12649.341285552555,Stress,915.0,0.57015037361524,0.4072847682119205
280,13096.44483908398,Stress,895.0,0.7583515654720063,0.39403973509933776
281,12979.798242016126,Stress,895.0,0.7092510194781054,0.39403973509933776
282,13070.426069749023,Stress,890.0,0.7473993747304908,0.39072847682119205
283,12889.886852573209,Stress,905.0,0.6714042376285718,0.4006622516556291
284,12992.6994022059,Stress,890.0,0.7146815594612326,0.39072847682119205
285,12649.341285552555,Stress,885.0,0.57015037361524,0.38741721854304634
286,12512.371607426843,Stress,870.0,0.5124951470622605,0.3774834437086092
287,12377.049484681544,Stress,890.0,0.4555334329714267,0.39072847682119205
288,12316.074817691304,Stress,885.0,0.4298671082240748,0.38741721854304634
289,13109.475922481048,Stress,900.0,0.7638367945808833,0.3973509933774835
290,12426.06491376311,Stress,925.0,0.47616570506960176,0.4139072847682119
291,13148.67336460088,Stress,495.0,0.7803363398571888,0.12913907284768214
292,12450.66424293736,Stress,330.0,0.4865204048542582,0.01986754966887419
293,12889.886852573209,Stress,587.5,0.6714042376285718,0.19039735099337748
294,13031.489290722102,Stress,845.0,0.7310095514735506,0.36092715231788075
295,13240.63126033597,Stress,860.0,0.8190445662653412,0.3708609271523179
296,13070.426069749023,Stress,930.0,0.7473993747304908,0.41721854304635764
297,13057.438365626555,Stress,945.0,0.7419324054433414,0.42715231788079466
298,13096.44483908398,Stress,320.0,0.7583515654720063,0.013245033112582794
299,12928.331792707128,Stress,462.5,0.6875870290577994,0.10761589403973512
300,13267.051145808871,Stress,605.0,0.8301656005211564,0.20198675496688742
301,13083.422518663503,Stress,805.0,0.752870024999968,0.33443708609271516
302,13227.460737589665,Stress,720.0,0.8135006423607933,0.2781456953642384
303,12877.089468729919,Stress,610.0,0.6660173806623675,0.20529801324503313
304,13122.532963802803,Stress,565.0,0.7693329502689066,0.1754966887417219
305,13399.993836002834,Stress,780.0,0.8861257299934664,0.3178807947019867
306,12624.3020339013,Stress,712.5,0.5596104953996743,0.2731788079470199
307,13070.426069749023,Stress,645.0,0.7473993747304908,0.228476821192053
308,12902.676402166102,Stress,645.0,0.6767877968905864,0.228476821192053
309,13280.26539282361,Stress,835.0,0.835727929467148,0.35430463576158944
310,13057.438365626555,Stress,565.0,0.7419324054433414,0.1754966887417219
311,12838.816363841785,Stress,535.0,0.6499069205707109,0.15562913907284767
312,13122.532963802803,Stress,505.0,0.7693329502689066,0.1357615894039735
313,12512.371607426843,Stress,910.0,0.5124951470622605,0.4039735099337748
314,13201.128432458407,Stress,905.0,0.8024164736690089,0.4006622516556291
315,13201.128432458407,Stress,930.0,0.8024164736690089,0.41721854304635764
316,13044.459431078947,Stress,945.0,0.7364691275704693,0.42715231788079466
317,13267.051145808871,Stress,940.0,0.8301656005211564,0.42384105960264895
318,13267.051145808871,Stress,910.0,0.8301656005211564,0.4039735099337748
319,13214.2814668381,Stress,905.0,0.8079530361213516,0.4006622516556291
320,13253.828036882753,Stress,305.0,0.8245995412932858,0.0033112582781457123
321,13386.62996945171,Stress,550.0,0.880500421062524,0.16556291390728475
322,12586.865102790633,Stress,910.0,0.5438520094765877,0.4039735099337748
