Time_sec,Resistance_Ohm,Stage,HeartRate_BPM,Resistance_Ohm_Normalized,HeartRate_BPM_Normalized
92,10860.93,Normal,111.0,0.3996555334939327,0.6206896551724137
93,11097.37,Normal,,0.5349473286679682,
94,10807.93,Normal,111.0,0.36932874807596594,0.6206896551724137
95,10526.32,Normal,111.0,0.20819052087684486,0.6206896551724137
97,,Normal,111.0,,0.6206896551724137
98,10776.25,Normal,106.0,0.3512013412450008,0.4482758620689653
99,10797.36,Normal,,0.363280557097327,
100,10797.36,Normal,104.0,0.363280557097327,0.3793103448275863
101,10485.24,Normal,103.0,0.18468440116042917,0.34482758620689635
102,10860.93,Normal,,0.3996555334939327,
103,10829.09,Normal,103.0,0.38143657410321463,0.34482758620689635
104,10818.5,Normal,102.0,0.3753769390546058,0.31034482758620685
105,10526.32,Normal,101.0,0.20819052087684486,0.27586206896551735
106,10755.2,Normal,101.0,0.3391564576025825,0.27586206896551735
107,10734.18,Normal,101.0,0.32712874006511683,0.27586206896551735
108,10860.93,Normal,,0.3996555334939327,
109,10629.72,Normal,101.0,0.26735636261680096,0.27586206896551735
110,10850.31,Normal,101.0,0.39357873234036944,0.27586206896551735
111,10588.24,Normal,101.0,0.24362136150100433,0.27586206896551735
112,10485.24,Normal,101.0,0.18468440116042917,0.27586206896551735
113,10546.91,Normal,101.0,0.21997219090997522,0.27586206896551735
114,10567.55,Normal,103.0,0.23178247111802808,0.34482758620689635
115,10702.73,Normal,104.0,0.3091329400387952,0.3793103448275863
116,10681.82,Normal,105.0,0.29716816488615994,0.4137931034482758
117,10505.76,Normal,106.0,0.19642601694866801,0.4482758620689653
118,10567.55,Normal,107.0,0.23178247111802808,0.48275862068965525
119,10882.2,Normal,107.0,0.4118263019060109,0.48275862068965525
120,10681.82,Normal,107.0,0.29716816488615994,0.48275862068965525
121,10692.27,Normal,107.0,0.30314769144498577,0.48275862068965525
122,10807.93,Normal,107.0,0.36932874807596594,0.48275862068965525
123,10526.32,Normal,106.0,0.20819052087684486,0.4482758620689653
