df_hash,22ZHK4.34VB5M
14.188,0.979
14.218,0.979
14.248,0.979
14.278,0.979
14.308,0.987
14.338,0.972
14.368,0.981
14.398,0.978
14.428,0.979
14.458,0.982
14.488,0.979
14.518,0.981
14.548,0.980
14.578,0.982
14.608,0.974
14.638,0.982
14.668,0.981
14.698,0.974
14.728,0.978
14.758,0.983
14.788,0.983
14.818,0.974
14.848,0.978
14.878,0.977
14.908,0.974
14.938,0.981
14.968,0.983
14.998,0.981
15.028,0.978
15.058,0.976
15.088,0.983
15.118,0.985
15.148,0.981
15.178,0.973
15.208,0.978
15.238,0.983
15.268,0.983
15.298,0.973
15.328,0.979
15.358,0.982
15.388,0.975
15.418,0.983
15.448,0.980
15.478,0.979
15.508,0.978
15.538,0.982
15.568,0.983
15.598,0.982
15.628,0.982
15.658,0.976
15.688,0.975
15.718,0.981
15.748,0.982
15.778,0.985
15.808,0.980
15.838,0.980
15.868,0.979
15.898,0.980
15.928,0.983
15.958,0.982
15.988,0.983
16.018,0.980
16.048,0.984
16.078,0.978
16.108,0.984
16.138,0.979
16.168,0.975
16.198,0.978
16.228,0.984
16.258,0.984
16.288,0.974
16.318,0.979
16.348,0.979
16.378,0.977
16.408,0.985
16.438,0.982
16.468,0.979
16.498,0.985
16.528,0.979
16.558,0.972
16.588,0.983
16.618,0.986
16.648,0.976
16.678,0.979
16.708,0.980
16.738,0.983
16.768,0.986
16.798,0.979
16.828,0.982
16.858,0.981
16.888,0.979
16.918,0.982
16.948,0.979
16.978,0.980
17.008,0.981
17.038,0.985
17.068,0.979
17.098,0.986
17.128,0.980
17.158,0.978
17.188,0.981
17.218,0.979
17.248,0.980
17.278,0.971
17.308,0.979
17.338,0.980
17.368,0.978
17.398,0.983
17.428,0.983
17.458,0.977
17.488,0.982
17.518,0.983
17.548,0.986
17.578,0.979
17.608,0.984
17.638,0.973
17.668,0.977
17.698,0.977
17.728,0.982
17.758,0.985
17.788,0.974
17.818,0.982
17.848,0.982
17.878,0.977
17.908,0.981
17.938,0.979
17.968,0.978
17.998,0.982
18.028,0.981
18.058,0.983
18.088,0.974
18.118,0.983
18.148,0.983
18.178,0.977
18.208,0.973
18.238,0.979
18.268,0.985
18.298,0.977
18.328,0.979
18.358,0.981
18.388,0.975
18.418,0.979
18.448,0.984
18.478,0.980
18.508,0.979
18.538,0.980
18.568,0.982
18.598,0.979
18.628,0.984
18.658,0.976
18.688,0.974
18.718,0.983
18.748,0.982
18.778,0.984
18.808,0.980
18.838,0.982
18.868,0.980
18.898,0.977
18.928,0.979
18.958,0.978
18.988,0.981
19.018,0.979
19.048,0.982
19.078,0.980
19.108,0.983
19.138,0.976
19.168,0.976
19.198,0.978
19.228,0.988
19.258,0.986
19.288,0.980
19.318,0.979
19.348,0.979
19.378,0.977
19.408,0.983
19.438,0.981
19.468,0.981
19.498,0.979
19.528,0.979
19.558,0.974
19.588,0.985
19.618,0.983
19.648,0.976
19.678,0.979
19.708,0.983
19.738,0.986
19.768,0.975
19.798,0.978
19.828,0.980
19.858,0.979
19.888,0.981
19.918,0.982
19.948,0.980
19.978,0.979
20.008,0.977
20.038,0.976
20.068,0.985
20.098,0.989
20.128,0.978
20.158,0.977
20.188,0.986
20.218,0.981
20.248,0.982
20.278,0.975
20.308,0.984
20.338,0.978
20.368,0.978
20.398,0.980
20.428,0.981
20.458,0.984
20.488,0.982
20.518,0.984
20.548,0.976
20.578,0.984
20.608,0.979
20.638,0.981
20.668,0.980
20.698,0.980
20.728,0.980
20.758,0.978
20.788,0.979
20.818,0.978
20.848,0.978
20.878,0.983
20.908,0.984
20.938,0.981
20.968,0.980
20.998,0.981
21.028,0.976
21.058,0.979
21.088,0.987
21.118,0.977
21.148,0.980
21.178,0.980
21.208,0.981
21.238,0.984
21.268,0.979
21.298,0.979
21.328,0.977
21.358,0.976
21.388,0.982
21.418,0.982
21.448,0.986
21.478,0.980
21.508,0.981
21.538,0.976
21.568,0.983
21.598,0.985
21.628,0.978
21.658,0.980
21.688,0.979
21.718,0.981
21.748,0.977
21.778,0.979
21.808,0.979
21.838,0.982
21.868,0.984
21.898,0.975
21.928,0.981
21.958,0.983
21.988,0.980
22.018,0.983
22.048,0.980
22.078,0.987
22.108,0.978
22.138,0.979
22.168,0.980
22.198,0.987
22.228,0.985
22.258,0.979
22.288,0.983
22.318,0.978
22.348,0.975
22.378,0.984
22.408,0.982
22.438,0.980
22.468,0.980
22.498,0.980
22.528,0.978
22.558,0.984
22.588,0.981
22.618,0.978
22.648,0.981
22.678,0.981
22.708,0.986
22.738,0.976
22.768,0.979
22.798,0.979
22.828,0.980
22.858,0.985
22.888,0.980
22.918,0.976
22.948,0.980
22.978,0.981
23.008,0.979
23.038,0.985
23.068,0.985
23.098,0.975
23.128,0.980
23.158,0.982
23.188,0.984
23.218,0.986
23.248,0.974
23.278,0.982
23.308,0.981
23.338,0.982
23.368,0.981
23.398,0.982
23.428,0.983
23.458,0.979
23.488,0.982
23.518,0.975
23.548,0.984
23.578,0.982
23.608,0.978
23.638,0.978
23.668,0.981
23.698,0.984
23.728,0.982
23.758,0.977
23.788,0.983
23.818,0.980
23.848,0.981
23.878,0.984
23.908,0.980
23.938,0.979
23.968,0.982
23.998,0.989
24.028,0.977
24.058,0.982
24.088,0.981
24.118,0.980
24.148,0.979
24.178,0.984
24.208,0.981
24.238,0.975
24.268,0.978
24.298,0.979
24.328,0.978
24.358,0.986
24.388,0.988
24.418,0.983
24.448,0.979
24.478,0.979
24.508,0.979
24.538,0.979
24.568,0.973
24.598,0.981
24.628,0.977
24.658,0.980
24.688,0.980
24.718,0.984
24.748,0.986
24.778,0.981
24.808,0.981
24.838,0.982
24.868,0.978
24.898,0.979
24.928,0.981
24.958,0.979
24.988,0.977
25.018,0.978
25.048,0.986
25.078,0.976
25.108,0.986
25.138,0.976
25.168,0.978
25.198,0.979
25.228,0.980
25.258,0.985
25.288,0.976
25.318,0.983
25.348,0.978
25.378,0.978
25.408,0.984
25.438,0.979
25.468,0.979
25.498,0.976
25.528,0.981
25.558,0.980
25.588,0.983
25.618,0.978
25.648,0.971
25.678,0.979
25.708,0.985
25.738,0.983
25.768,0.978
25.798,0.974
25.828,0.978
25.858,0.977
25.888,0.986
25.918,0.985
25.948,0.981
25.978,0.975
26.008,0.979
26.038,0.982
26.068,0.989
26.098,0.982
26.128,0.972
26.158,0.974
26.188,0.982
26.218,0.984
26.248,0.979
26.278,0.979
26.308,0.983
26.338,0.980
26.368,0.983
26.398,0.982
26.428,0.977
26.458,0.981
26.488,0.980
26.518,0.982
26.548,0.983
26.578,0.983
26.608,0.975
26.638,0.977
26.668,0.976
26.698,0.987
26.728,0.984
26.758,0.974
26.788,0.980
26.818,0.983
26.848,0.980
26.878,0.981
26.908,0.980
26.938,0.978
26.968,0.980
26.998,0.985
27.028,0.976
27.058,0.984
27.088,0.982
27.118,0.980
27.148,0.980
27.178,0.984
27.208,0.988
27.238,0.973
27.268,0.983
27.298,0.985
27.328,0.977
27.358,0.979
27.388,0.979
27.418,0.981
27.448,0.983
27.478,0.986
27.508,0.973
27.538,0.983
27.568,0.985
27.598,0.977
27.628,0.978
27.658,0.981
27.688,0.983
27.718,0.981
27.748,0.977
27.778,0.986
27.808,0.979
27.838,0.981
27.868,0.984
27.898,0.985
27.928,0.986
27.958,0.982
27.988,0.975
28.018,0.981
28.048,0.987
28.078,0.974
28.108,0.977
28.138,0.985
28.168,0.983
28.198,0.982
28.228,0.981
28.258,0.983
28.288,0.979
28.318,0.983
28.348,0.985
28.378,0.985
28.408,0.980
28.438,0.982
28.468,0.980
28.498,0.986
28.528,0.981
28.558,0.977
28.588,0.976
28.618,0.987
28.648,0.982
28.678,0.980
28.708,0.982
28.738,0.983
28.768,0.974
28.798,0.982
28.828,0.988
28.858,0.980
28.888,0.983
28.918,0.979
28.948,0.988
28.978,0.984
29.008,0.984
29.038,0.976
29.068,0.979
29.098,0.983
29.128,0.982
29.158,0.989
29.188,0.977
29.218,0.983
29.248,0.978
29.278,0.981
29.308,0.983
29.338,0.979
29.368,0.982
29.398,0.981
29.428,0.986
29.458,0.980
29.488,0.985
29.518,0.983
29.548,0.975
29.578,0.981
29.608,0.983
29.638,0.985
29.668,0.972
29.698,0.980
29.728,0.984
29.758,0.978
29.788,0.982
29.818,0.982
29.848,0.980
29.878,0.981
29.908,0.979
29.938,0.982
29.968,0.985
29.998,0.988
30.028,0.979
30.058,0.983
30.088,0.979
30.118,0.984
30.148,0.983
30.178,0.974
30.208,0.979
30.238,0.983
30.268,0.979
30.298,0.980
30.328,0.978
30.358,0.980
30.388,0.982
30.418,0.983
30.448,0.983
30.478,0.975
30.508,0.986
30.538,0.981
30.568,0.979
30.598,0.979
30.628,0.981
30.658,0.982
30.688,0.982
30.718,0.980
30.748,0.984
30.778,0.980
30.808,0.981
30.838,0.984
30.868,0.982
30.898,0.981
30.928,0.985
30.958,0.982
30.988,0.973
31.018,0.982
31.048,0.987
31.078,0.978
31.108,0.978
31.138,0.983
31.168,0.980
31.198,0.988
31.228,0.980
31.258,0.987
31.288,0.983
31.318,0.980
31.348,0.979
31.378,0.979
31.408,0.983
31.438,0.982
31.468,0.985
31.498,0.984
31.528,0.977
31.558,0.987
31.588,0.978
31.618,0.980
31.648,0.978
31.678,0.984
31.708,0.983
31.738,0.978
31.768,0.977
31.798,0.983
31.828,0.980
31.858,0.982
31.888,0.978
31.918,0.979
31.948,0.982
31.978,0.982
32.008,0.983
32.038,0.988
32.068,0.977
32.098,0.983
32.128,0.981
32.158,0.979
32.188,0.978
32.218,0.987
32.248,0.982
32.278,0.974
32.308,0.984
32.338,0.978
32.368,0.978
32.398,0.987
32.428,0.983
32.458,0.982
32.488,0.980
32.518,0.983
32.548,0.983
32.578,0.974
32.608,0.982
32.638,0.978
32.668,0.978
32.698,0.979
32.728,0.983
32.758,0.984
32.788,0.976
32.818,0.982
32.848,0.983
32.878,0.976
32.908,0.980
32.938,0.978
32.968,0.978
32.998,0.979
33.028,0.980
33.058,0.985
33.088,0.979
33.118,0.986
33.148,0.979
33.178,0.978
33.208,0.979
33.238,0.983
33.268,0.985
33.298,0.979
33.328,0.981
33.358,0.977
33.388,0.979
33.418,0.982
33.448,0.981
33.478,0.984
33.508,0.982
33.538,0.983
33.568,0.977
33.598,0.985
33.628,0.985
33.658,0.979
33.688,0.977
33.718,0.982
33.748,0.985
33.778,0.983
33.808,0.976
33.838,0.982
33.868,0.979
33.898,0.982
33.928,0.981
33.958,0.979
33.988,0.981
34.018,0.979
34.048,0.981
34.078,0.977
34.108,0.984
34.138,0.980
34.168,0.981
34.198,0.979
34.228,0.983
34.258,0.987
34.288,0.978
34.318,0.979
34.348,0.982
34.378,0.979
34.408,0.985
34.438,0.982
34.468,0.979
34.498,0.980
34.528,0.984
34.558,0.979
34.588,0.980
34.618,0.985
34.648,0.978
34.678,0.981
34.708,0.976
34.738,0.984
34.768,0.984
34.798,0.975
34.828,0.981
34.858,0.984
34.888,0.984
34.918,0.984
34.948,0.983
34.978,0.979
35.008,0.982
35.038,0.984
35.068,0.983
35.098,0.979
35.128,0.987
35.158,0.983
35.188,0.976
35.218,0.981
35.248,0.983
35.278,0.985
35.308,0.977
35.338,0.981
35.368,0.983
35.398,0.979
35.428,0.980
35.458,0.979
35.488,0.981
35.518,0.979
35.548,0.982
35.578,0.981
35.608,0.982
35.638,0.984
35.668,0.985
35.698,0.976
35.728,0.981
35.758,0.986
35.788,0.985
35.818,0.987
35.848,0.982
35.878,0.983
35.908,0.979
35.938,0.980
35.968,0.982
35.998,0.984
36.028,0.985
36.058,0.981
36.088,0.983
36.118,0.984
36.148,0.986
36.178,0.981
36.208,0.968
36.238,0.979
36.268,0.985
36.298,0.985
36.328,0.993
36.358,0.983
36.388,0.978
36.418,0.978
36.448,0.979
36.478,0.986
36.508,0.981
36.538,0.982
36.568,0.979
36.598,0.979
36.628,0.982
36.658,0.985
36.688,0.987
36.718,0.974
36.748,0.980
36.778,0.985
36.808,0.984
36.838,0.986
36.868,0.977
36.898,0.984
36.928,0.980
36.958,0.981
36.988,0.984
37.018,0.984
37.048,0.983
37.078,0.984
37.108,0.978
37.138,0.972
37.168,0.985
37.198,0.985
37.228,0.977
37.258,0.979
37.288,0.982
37.318,0.990
37.348,0.984
37.378,0.982
37.408,0.984
37.438,0.977
37.468,0.982
37.498,0.982
37.528,0.983
37.558,0.980
37.588,0.985
37.618,0.982
37.648,0.975
37.678,0.983
37.708,0.985
37.738,0.981
37.768,0.978
37.798,0.980
37.828,0.983
37.858,0.987
37.888,0.980
37.918,0.987
37.948,0.978
37.978,0.979
38.008,0.981
38.038,0.983
38.068,0.982
38.098,0.987
38.128,0.983
38.158,0.974
38.188,0.986
38.218,0.980
38.248,0.981
38.278,0.982
38.308,0.984
38.338,0.984
38.368,0.978
38.398,0.976
38.428,0.985
38.458,0.981
38.488,0.985
38.518,0.982
38.548,0.982
38.578,0.981
38.608,0.984
38.638,0.985
38.668,0.979
38.698,0.988
38.728,0.982
38.758,0.983
38.788,0.981
38.818,0.982
38.848,0.983
38.878,0.977
38.908,0.979
38.938,0.985
38.968,0.977
38.998,0.983
39.028,0.984
39.058,0.979
39.088,0.981
39.118,0.983
39.148,0.979
39.178,0.985
39.208,0.981
39.238,0.974
39.268,0.983
39.298,0.984
39.328,0.984
39.358,0.979
39.388,0.981
39.418,0.982
39.448,0.975
39.478,0.985
39.508,0.985
39.538,0.984
39.568,0.978
39.598,0.981
39.628,0.986
39.658,0.981
39.688,0.980
39.718,0.977
39.748,0.980
39.778,0.985
39.808,0.988
39.838,0.978
39.868,0.982
39.898,0.985
39.928,0.979
39.958,0.985
39.988,0.981
40.018,0.979
40.048,0.981
40.078,0.979
40.108,0.984
40.138,0.987
40.168,0.988
40.198,0.975
40.228,0.977
40.258,0.982
40.288,0.984
40.318,0.990
40.348,0.979
40.378,0.986
40.408,0.979
40.438,0.982
40.468,0.988
40.498,0.984
40.528,0.978
40.558,0.983
40.588,0.984
40.618,0.979
40.648,0.987
40.678,0.985
40.708,0.981
40.738,0.976
40.768,0.984
40.798,0.985
40.828,0.971
40.858,0.983
40.888,0.983
40.918,0.981
40.948,0.983
40.978,0.980
41.008,0.976
41.038,0.979
41.068,0.982
41.098,0.981
41.128,0.980
41.158,0.988
41.188,0.981
41.218,0.979
41.248,0.977
41.278,0.985
41.308,0.984
41.338,0.972
41.368,0.979
41.398,0.981
41.428,0.980
41.458,0.981
41.488,0.984
41.518,0.982
41.548,0.982
41.578,0.981
41.608,0.985
41.638,0.971
41.668,0.981
41.698,0.982
41.728,0.979
41.758,0.979
41.788,0.979
41.818,0.987
41.848,0.984
41.878,0.980
41.908,0.985
41.938,0.986
41.968,0.978
41.998,0.983
42.028,0.984
42.058,0.980
42.088,0.983
42.118,0.979
42.148,0.983
42.178,0.986
42.208,0.984
42.238,0.984
42.268,0.974
42.298,0.979
42.328,0.986
42.358,0.986
42.388,0.981
42.418,0.976
42.448,0.986
42.478,0.979
42.508,0.979
42.538,0.983
42.568,0.983
42.598,0.980
42.628,0.982
42.658,0.979
42.688,0.977
42.718,0.980
42.748,0.985
42.778,0.980
42.808,0.975
42.838,0.980
42.868,0.985
42.898,0.986
42.928,0.980
42.958,0.979
42.988,0.985
43.018,0.975
43.048,0.983
43.078,0.982
43.108,0.980
43.138,0.979
43.168,0.981
43.198,0.988
43.228,0.985
43.258,0.973
43.288,0.985
43.318,0.983
43.348,0.976
43.378,0.980
43.408,0.982
43.438,0.981
43.468,0.979
43.498,0.980
43.528,0.985
43.558,0.981
43.588,0.984
43.618,0.982
43.648,0.979
43.678,0.980
43.708,0.984
43.738,0.980
43.768,0.981
43.798,0.980
43.828,0.984
43.858,0.984
43.888,0.982
43.918,0.981
43.948,0.986
43.978,0.983
44.008,0.972
44.038,0.983
44.068,0.984
44.098,0.978
44.128,0.983
44.158,0.983
44.188,0.981
44.218,0.981
44.248,0.985
44.278,0.981
44.308,0.975
44.338,0.983
44.368,0.988
44.398,0.977
44.428,0.979
44.458,0.984
44.488,0.986
44.518,0.981
44.548,0.979
44.578,0.986
44.608,0.983
44.638,0.982
44.668,0.980
44.698,0.982
44.728,0.981
44.758,0.985
44.788,0.984
44.818,0.983
44.848,0.974
44.878,0.984
44.908,0.986
44.938,0.980
44.968,0.982
44.998,0.984
45.028,0.984
45.058,0.989
45.088,0.981
45.118,0.987
45.148,0.975
45.178,0.981
45.208,0.979
45.238,0.981
45.268,0.985
45.298,0.985
45.328,0.982
45.358,0.982
45.388,0.980
45.418,0.982
45.448,0.980
45.478,0.978
45.508,0.981
45.538,0.983
45.568,0.981
45.598,0.979
45.628,0.985
45.658,0.984
45.688,0.979
45.718,0.985
45.748,0.978
45.778,0.978
45.808,0.985
45.838,0.983
45.868,0.985
45.898,0.983
45.928,0.982
45.958,0.979
45.988,0.973
46.018,0.979
46.048,0.985
46.078,0.986
46.108,0.978
46.138,0.981
46.168,0.981
46.198,0.979
46.228,0.988
46.258,0.979
46.288,0.979
46.318,0.982
46.348,0.986
46.378,0.985
46.408,0.985
46.438,0.985
46.468,0.979
46.498,0.973
46.528,0.981
46.558,0.987
46.588,0.986
46.618,0.975
46.648,0.983
46.678,0.981
46.708,0.982
46.738,0.988
46.768,0.979
46.798,0.981
46.828,0.981
46.858,0.983
46.888,0.979
46.918,0.988
46.948,0.986
46.978,0.979
47.008,0.979
47.038,0.979
47.068,0.984
47.098,0.988
47.128,0.974
47.158,0.980
47.188,0.981
47.218,0.979
47.248,0.985
47.278,0.980
47.308,0.979
47.338,0.980
47.368,0.987
47.398,0.984
47.428,0.981
47.458,0.988
47.488,0.979
47.518,0.981
47.548,0.981
47.578,0.985
47.608,0.984
47.638,0.977
47.668,0.982
47.698,0.980
47.728,0.979
47.758,0.980
47.788,0.979
47.818,0.979
47.848,0.984
47.878,0.986
47.908,0.985
47.938,0.976
47.968,0.985
47.998,0.980
48.028,0.983
48.058,0.980
48.088,0.984
48.118,0.982
48.148,0.978
48.178,0.982
48.208,0.983
48.238,0.978
48.268,0.983
48.298,0.980
48.328,0.983
48.358,0.987
48.388,0.985
48.418,0.979
48.448,0.971
48.478,0.982
48.508,0.987
48.538,0.979
48.568,0.983
48.598,0.981
48.628,0.986
48.658,0.988
48.688,0.979
48.718,0.985
48.748,0.977
48.778,0.981
48.808,0.985
48.838,0.982
48.868,0.984
48.898,0.983
48.928,0.984
48.958,0.979
48.988,0.987
49.018,0.987
49.048,0.978
49.078,0.989
49.108,0.986
49.138,0.987
49.168,0.976
49.198,0.985
49.228,0.979
49.258,0.979
49.288,0.983
49.318,0.983
49.348,0.982
49.378,0.979
49.408,0.981
49.438,0.987
49.468,0.986
49.498,0.980
49.528,0.977
49.558,0.979
49.588,0.985
49.618,0.984
49.648,0.982
49.678,0.979
49.708,0.983
49.738,0.979
49.768,0.984
49.798,0.987
49.828,0.981
49.858,0.980
49.888,0.984
49.918,0.985
49.948,0.983
49.978,0.987
50.008,0.982
50.038,0.979
50.068,0.978
50.098,0.985
50.128,0.989
50.158,0.978
50.188,0.986
50.218,0.979
50.248,0.979
50.278,0.986
50.308,0.984
50.338,0.979
50.368,0.983
50.398,0.981
50.428,0.973
50.458,0.984
50.488,0.984
50.518,0.983
50.548,0.981
50.578,0.986
50.608,0.982
50.638,0.982
50.668,0.979
50.698,0.985
50.728,0.977
50.758,0.983
50.788,0.983
50.818,0.980
50.848,0.982
50.878,0.984
50.908,0.988
50.938,0.979
50.968,0.989
50.998,0.983
51.028,0.981
51.058,0.981
51.088,0.983
51.118,0.987
51.148,0.977
51.178,0.980
51.208,0.982
51.238,0.983
51.268,0.983
51.298,0.984
51.328,0.980
51.358,0.983
51.388,0.985
51.418,0.987
51.448,0.979
51.478,0.988
51.508,0.980
51.538,0.980
51.568,0.979
51.598,0.986
51.628,0.984
51.658,0.975
51.688,0.981
51.718,0.983
51.748,0.982
51.778,0.981
51.808,0.981
51.838,0.981
51.868,0.984
51.898,0.983
51.928,0.981
51.958,0.984
51.988,0.985
52.018,0.972
52.048,0.982
52.078,0.987
52.108,0.991
52.138,0.987
52.168,0.979
52.198,0.983
52.228,0.974
52.258,0.979
52.288,0.984
52.318,0.985
52.348,0.983
52.378,0.980
52.408,0.981
52.438,0.978
52.468,0.983
52.498,0.981
52.528,0.977
52.558,0.979
52.588,0.986
52.618,0.989
52.648,0.979
52.678,0.979
52.708,0.984
52.738,0.978
52.768,0.985
52.798,0.985
52.828,0.984
52.858,0.984
52.888,0.980
52.918,0.985
52.948,0.980
52.978,0.985
53.008,0.983
53.038,0.977
53.068,0.980
53.098,0.987
53.128,0.989
53.158,0.985
53.188,0.979
53.218,0.987
53.248,0.983
53.278,0.983
53.308,0.982
53.338,0.980
53.368,0.979
53.398,0.985
53.428,0.987
53.458,0.978
53.488,0.983
53.518,0.979
53.548,0.980
53.578,0.979
53.608,0.987
53.638,0.985
53.668,0.977
53.698,0.982
53.728,0.984
53.758,0.981
53.788,0.984
53.818,0.983
53.848,0.979
53.878,0.986
53.908,0.983
53.938,0.987
53.968,0.978
53.998,0.986
54.028,0.984
54.058,0.982
54.088,0.979
54.118,0.987
54.148,0.985
54.178,0.980
54.208,0.978
54.238,0.986
54.268,0.979
54.298,0.984
54.328,0.981
54.358,0.982
54.388,0.983
54.418,0.980
54.448,0.981
54.478,0.977
54.508,0.986
54.538,0.983
54.568,0.973
54.598,0.980
54.628,0.988
54.658,0.984
54.688,0.981
54.718,0.985
54.748,0.984
54.778,0.976
54.808,0.986
54.838,0.989
54.868,0.984
54.898,0.983
54.928,0.983
54.958,0.985
54.988,0.984
55.018,0.985
55.048,0.978
55.078,0.979
55.108,0.983
55.138,0.987
55.168,0.985
55.198,0.978
55.228,0.984
55.258,0.983
55.288,0.985
55.318,0.985
55.348,0.982
55.378,0.979
55.408,0.983
55.438,0.980
55.468,0.978
55.498,0.986
55.528,0.984
55.558,0.978
55.588,0.981
55.618,0.985
55.648,0.983
55.678,0.987
55.708,0.979
55.738,0.984
55.768,0.980
55.798,0.980
55.828,0.983
55.858,0.981
55.888,0.985
55.918,0.984
55.948,0.982
55.978,0.978
56.008,0.985
56.038,0.980
56.068,0.980
56.098,0.981
56.128,0.987
56.158,0.983
56.188,0.984
56.218,0.979
56.248,0.981
56.278,0.983
56.308,0.981
56.338,0.983
56.368,0.983
56.398,0.979
56.428,0.987
56.458,0.981
56.488,0.984
56.518,0.990
56.548,0.976
56.578,0.979
56.608,0.981
