df_hash,22ZHK4.34VB5M
432.965,0
434.234,42
435.010,42
435.986,36
437.154,64
438.032,58
438.911,61
440.085,67
441.031,72
441.884,75
443.058,87
443.985,97
445.004,96
446.027,92
446.957,82
447.928,76
449.099,65
449.927,46
450.877,44
452.048,44
452.904,33
453.922,47
455.000,55
455.926,57
456.851,57
457.972,59
458.849,59
460.018,62
460.945,72
461.872,70
462.795,67
464.062,68
464.845,71
465.726,63
466.895,67
467.823,40
468.742,41
469.867,43
470.796,57
471.724,51
472.892,63
473.766,62
474.644,68
475.864,68
476.743,70
477.716,71
478.837,69
479.714,70
480.664,74
481.813,72
482.690,69
483.806,76
484.784,95
485.662,46
486.588,51
487.758,46
488.733,42
489.561,20
490.732,0
491.661,4
492.639,0
