df_hash,22ZHK4.BKX4E3
425.227,22
426.003,26
426.838,0
428.151,0
429.029,0
429.862,0
431.030,0
432.005,0
432.835,0
434.005,22
434.921,21
435.808,38
436.977,33
437.907,46
438.782,42
440.046,34
441.121,48
441.756,29
442.995,35
444.046,39
445.024,56
445.899,55
446.826,58
448.046,66
448.922,57
449.799,65
450.677,54
451.895,33
452.821,33
453.650,38
454.915,13
455.793,0
456.624,0
457.940,0
458.723,0
459.647,30
460.865,35
461.989,40
462.620,42
464.180,38
464.668,42
465.594,52
466.764,8
467.788,47
468.616,36
470.033,34
470.664,62
471.552,67
472.713,75
473.640,65
474.808,59
475.731,45
476.612,42
477.492,40
478.711,30
479.586,25
480.467,22
481.684,24
482.806,48
483.438,0
484.685,0
485.536,19
486.461,24
487.629,0
488.550,0
489.434,20
490.610,11
491.496,0
