df_hash,22ZHK4.A1FC45
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FG7V
person_label,V89
date_time_start,2025-11-04_15-27-15.507000_+03
date_time_start_unix,1762255635.507
date_time_end,2025-11-04_15-36-02.416000_+03
length_difference_noticed,no

time,acc_mag
22.970,1.023
23.000,1.024
23.030,1.025
23.060,1.023
23.090,1.023
23.120,1.024
23.150,1.029
23.180,1.021
23.210,1.027
23.240,1.024
23.270,1.023
23.300,1.025
23.330,1.025
23.360,1.026
23.390,1.024
23.420,1.026
23.450,1.022
23.480,1.024
23.510,1.027
23.540,1.026
23.570,1.024
23.600,1.022
23.630,1.021
23.660,1.026
23.690,1.031
23.720,1.022
23.750,1.026
23.780,1.021
23.810,1.029
23.840,1.023
23.870,1.020
23.900,1.027
23.930,1.025
23.960,1.023
23.990,1.028
24.020,1.029
24.050,1.018
24.080,1.027
24.110,1.025
24.140,1.021
24.170,1.020
24.200,1.025
24.230,1.026
24.260,1.025
24.290,1.026
24.320,1.025
24.350,1.023
24.380,1.024
24.410,1.025
24.440,1.023
24.470,1.024
24.500,1.025
24.530,1.026
24.560,1.025
24.590,1.021
24.620,1.021
24.650,1.026
24.680,1.029
24.710,1.022
24.740,1.022
24.770,1.023
24.800,1.023
24.830,1.026
24.860,1.025
24.890,1.026
24.920,1.020
24.950,1.028
24.980,1.020
25.010,1.023
25.040,1.025
25.070,1.027
25.100,1.024
25.130,1.028
25.160,1.027
25.190,1.026
25.220,1.023
25.250,1.024
25.280,1.026
25.310,1.024
25.340,1.024
25.370,1.030
25.400,1.024
25.430,1.024
25.460,1.022
25.490,1.033
25.520,1.024
25.550,1.022
25.580,1.024
25.610,1.024
25.640,1.027
25.670,1.025
25.700,1.026
25.730,1.019
25.760,1.026
25.790,1.029
25.820,1.021
25.850,1.021
25.880,1.024
25.910,1.024
25.940,1.025
25.970,1.027
26.000,1.026
26.030,1.023
26.060,1.024
26.090,1.025
26.120,1.027
26.150,1.025
26.180,1.026
26.210,1.024
26.240,1.028
26.270,1.028
26.300,1.023
26.330,1.021
26.360,1.025
26.390,1.026
26.420,1.027
26.450,1.024
26.480,1.025
26.510,1.026
26.540,1.027
26.570,1.025
26.600,1.023
26.630,1.023
26.660,1.024
26.690,1.023
26.720,1.025
26.750,1.027
26.780,1.023
26.810,1.025
26.840,1.026
26.870,1.028
26.900,1.025
26.930,1.021
26.960,1.025
26.990,1.030
27.020,1.022
27.050,1.020
27.080,1.026
27.110,1.026
27.140,1.025
27.170,1.028
27.200,1.028
27.230,1.020
27.260,1.029
27.290,1.024
27.320,1.022
27.350,1.025
27.380,1.023
27.410,1.022
27.440,1.024
27.470,1.024
27.500,1.026
27.530,1.026
27.560,1.022
27.590,1.027
27.620,1.025
27.650,1.021
27.680,1.023
27.710,1.027
27.740,1.029
27.770,1.021
27.800,1.024
27.830,1.025
27.860,1.029
27.890,1.025
27.920,1.026
27.950,1.022
27.980,1.025
28.010,1.031
28.040,1.023
28.070,1.022
28.100,1.021
28.130,1.024
28.160,1.025
28.190,1.023
28.220,1.028
28.250,1.027
28.280,1.025
28.310,1.022
28.340,1.023
28.370,1.023
28.400,1.029
28.430,1.024
28.460,1.024
28.490,1.023
28.520,1.035
28.550,1.024
28.580,1.021
28.610,1.025
28.640,1.026
28.670,1.023
28.700,1.028
28.730,1.026
28.760,1.023
28.790,1.028
28.820,1.027
28.850,1.022
28.880,1.024
28.910,1.026
28.940,1.026
28.970,1.025
29.000,1.027
29.030,1.025
29.060,1.025
29.090,1.024
29.120,1.030
29.150,1.023
29.180,1.029
29.210,1.025
29.240,1.028
29.270,1.022
29.300,1.026
29.330,1.027
29.360,1.032
29.390,1.024
29.420,1.021
29.450,1.028
29.480,1.027
29.510,1.024
29.540,1.026
29.570,1.029
29.600,1.022
29.630,1.031
29.660,1.024
29.690,1.024
29.720,1.023
29.750,1.024
29.780,1.025
29.810,1.029
29.840,1.026
29.870,1.023
29.900,1.023
29.930,1.025
29.960,1.026
29.990,1.023
30.020,1.026
30.050,1.026
30.080,1.025
30.110,1.021
30.140,1.034
30.170,1.028
30.200,1.020
30.230,1.021
30.260,1.025
30.290,1.023
30.320,1.025
30.350,1.029
30.380,1.023
30.410,1.027
30.440,1.030
30.470,1.021
30.500,1.020
30.530,1.024
30.560,1.029
30.590,1.026
30.620,1.025
30.650,1.026
30.680,1.027
30.710,1.026
30.740,1.030
30.770,1.025
30.800,1.029
30.830,1.025
30.860,1.025
30.890,1.028
30.920,1.031
30.950,1.024
30.980,1.013
31.010,1.021
31.040,1.022
31.070,1.025
31.100,1.025
31.130,1.024
31.160,1.024
31.190,1.031
31.220,1.039
31.250,1.026
31.280,1.021
31.310,1.028
31.340,1.034
31.370,1.030
31.400,1.022
31.430,1.015
31.460,1.015
31.490,1.018
31.520,1.021
31.550,1.025
31.580,1.041
31.610,1.033
31.640,1.023
31.670,1.025
31.700,1.037
31.730,1.017
31.760,1.011
31.790,1.026
31.820,1.025
31.850,1.027
31.880,1.040
31.910,1.037
31.940,1.021
31.970,1.022
32.000,1.028
32.030,1.019
32.060,1.009
32.090,1.023
32.120,1.036
32.150,1.028
32.180,1.029
32.210,1.026
32.240,1.020
32.270,1.024
32.300,1.027
32.330,1.031
32.360,1.026
32.390,1.028
32.420,1.025
32.450,1.029
32.480,1.027
32.510,1.023
32.540,1.025
32.570,1.027
32.600,1.027
32.630,1.025
32.660,1.030
32.690,1.020
32.720,1.027
32.750,1.024
32.780,1.030
32.810,1.034
32.840,1.028
32.870,1.030
32.900,1.027
32.930,1.027
32.960,1.030
32.990,1.033
33.020,1.024
33.050,1.024
33.080,1.021
33.110,1.021
33.140,1.024
33.170,1.031
33.200,1.027
33.230,1.021
33.260,1.026
33.290,1.028
33.320,1.026
33.350,1.027
33.380,1.031
33.410,1.026
33.440,1.031
33.470,1.026
33.500,1.021
33.530,1.023
33.560,1.029
33.590,1.030
33.620,1.027
33.650,1.028
33.680,1.026
33.710,1.029
33.740,1.024
33.770,1.026
33.800,1.027
33.830,1.031
33.860,1.029
33.890,1.020
33.920,1.025
33.950,1.029
33.980,1.028
34.010,1.025
34.040,1.030
34.070,1.024
34.100,1.031
34.130,1.027
34.160,1.024
34.190,1.025
34.220,1.031
34.250,1.028
34.280,1.026
34.310,1.027
34.340,1.030
34.370,1.033
34.400,1.023
34.430,1.026
34.460,1.025
34.490,1.033
34.520,1.027
34.550,1.019
34.580,1.026
34.610,1.032
34.640,1.028
34.670,1.032
34.700,1.031
34.730,1.023
34.760,1.031
34.790,1.029
34.820,1.023
34.850,1.024
34.880,1.025
34.910,1.025
34.940,1.027
34.970,1.025
35.000,1.029
35.030,1.026
35.060,1.024
35.090,1.022
35.120,1.033
35.150,1.024
35.180,1.021
35.210,1.027
35.240,1.029
35.270,1.027
35.300,1.026
35.330,1.034
35.360,1.026
35.390,1.030
35.420,1.028
35.450,1.022
35.480,1.025
35.510,1.028
35.540,1.025
35.570,1.026
35.600,1.025
35.630,1.026
35.660,1.027
35.690,1.027
35.720,1.023
35.750,1.024
35.780,1.032
35.810,1.031
35.840,1.023
35.870,1.026
35.900,1.026
35.930,1.027
35.960,1.027
35.990,1.026
36.020,1.024
36.050,1.029
36.080,1.029
36.110,1.022
36.140,1.024
36.170,1.028
36.200,1.028
36.230,1.026
36.260,1.027
36.290,1.027
36.320,1.026
36.350,1.026
36.380,1.030
36.410,1.025
36.440,1.026
36.470,1.025
36.500,1.029
36.530,1.030
36.560,1.023
36.590,1.025
36.620,1.026
36.650,1.027
36.680,1.026
36.710,1.026
36.740,1.026
36.770,1.029
36.800,1.029
36.830,1.024
36.860,1.023
36.890,1.024
36.920,1.027
36.950,1.024
36.980,1.026
37.010,1.028
37.040,1.026
37.070,1.026
37.100,1.027
37.130,1.028
37.160,1.029
37.190,1.024
37.220,1.025
37.250,1.024
37.280,1.032
37.310,1.025
37.340,1.026
37.370,1.026
37.400,1.027
37.430,1.024
37.460,1.030
37.490,1.028
37.520,1.021
37.550,1.031
37.580,1.024
37.610,1.023
37.640,1.029
37.670,1.028
37.700,1.027
37.730,1.024
37.760,1.027
37.790,1.026
37.820,1.027
37.850,1.029
37.880,1.029
37.910,1.028
37.940,1.024
37.970,1.025
38.000,1.030
38.030,1.028
38.060,1.022
38.090,1.025
38.120,1.028
38.150,1.028
38.180,1.024
38.210,1.028
38.240,1.024
38.270,1.027
38.300,1.033
38.330,1.023
38.360,1.024
38.390,1.028
38.420,1.025
38.450,1.028
38.480,1.028
38.510,1.025
38.540,1.026
38.570,1.027
38.600,1.029
38.630,1.031
38.660,1.026
38.690,1.027
38.720,1.031
38.750,1.030
38.780,1.024
38.810,1.024
38.840,1.027
38.870,1.025
38.900,1.027
38.930,1.030
38.960,1.024
38.990,1.029
39.020,1.029
39.050,1.023
39.080,1.023
39.110,1.026
39.140,1.027
39.170,1.025
39.200,1.029
39.230,1.027
39.260,1.025
39.290,1.025
39.320,1.025
39.350,1.028
39.380,1.028
39.410,1.025
39.440,1.025
39.470,1.029
39.500,1.030
39.530,1.022
39.560,1.024
39.590,1.024
39.620,1.027
39.650,1.027
39.680,1.027
39.710,1.028
39.740,1.027
39.770,1.033
39.800,1.029
39.830,1.027
39.860,1.029
39.890,1.028
39.920,1.021
39.950,1.026
39.980,1.028
40.010,1.025
40.040,1.025
40.070,1.025
40.100,1.029
40.130,1.025
40.160,1.023
40.190,1.024
40.220,1.034
40.250,1.027
40.280,1.023
40.310,1.025
40.340,1.029
40.370,1.027
40.400,1.025
40.430,1.027
40.460,1.026
40.490,1.032
40.520,1.025
40.550,1.025
40.580,1.027
40.610,1.027
40.640,1.027
40.670,1.025
40.700,1.027
40.730,1.027
40.760,1.027
40.790,1.024
40.820,1.024
40.850,1.025
40.880,1.029
40.910,1.032
40.940,1.023
40.970,1.021
41.000,1.025
41.030,1.030
41.060,1.032
41.090,1.033
41.120,1.023
41.150,1.028
41.180,1.033
41.210,1.024
41.240,1.025
41.270,1.024
41.300,1.025
41.330,1.023
41.360,1.027
41.390,1.024
41.420,1.028
41.450,1.027
41.480,1.023
41.510,1.026
41.540,1.031
41.570,1.028
41.600,1.026
41.630,1.022
41.660,1.025
41.690,1.026
41.720,1.025
41.750,1.032
41.780,1.025
41.810,1.029
41.840,1.029
41.870,1.023
41.900,1.022
41.930,1.026
41.960,1.026
41.990,1.025
42.020,1.026
42.050,1.027
42.080,1.030
42.110,1.030
42.140,1.024
42.170,1.024
42.200,1.030
42.230,1.024
42.260,1.023
42.290,1.027
42.320,1.026
42.350,1.023
42.380,1.027
42.410,1.028
42.440,1.026
42.470,1.030
42.500,1.026
42.530,1.026
42.560,1.027
42.590,1.025
42.620,1.027
42.650,1.027
42.680,1.029
42.710,1.026
42.740,1.032
42.770,1.029
42.800,1.027
42.830,1.023
42.860,1.033
42.890,1.026
42.920,1.023
42.950,1.026
42.980,1.026
43.010,1.027
43.040,1.030
43.070,1.026
43.100,1.028
43.130,1.032
43.160,1.026
43.190,1.023
43.220,1.026
43.250,1.027
43.280,1.024
43.310,1.028
43.340,1.028
43.370,1.029
43.400,1.025
43.430,1.029
43.460,1.027
43.490,1.023
43.520,1.024
43.550,1.030
43.580,1.030
43.610,1.022
43.640,1.024
43.670,1.027
43.700,1.028
43.730,1.025
43.760,1.031
43.790,1.020
43.820,1.031
43.850,1.030
43.880,1.022
43.910,1.027
43.940,1.027
43.970,1.027
44.000,1.026
44.030,1.027
44.060,1.027
44.090,1.029
44.120,1.027
44.150,1.026
44.180,1.025
44.210,1.024
44.240,1.031
44.270,1.026
44.300,1.023
44.330,1.028
44.360,1.026
44.390,1.031
44.420,1.027
44.450,1.024
44.480,1.028
44.510,1.028
44.540,1.029
44.570,1.024
44.600,1.026
44.630,1.026
44.660,1.026
44.690,1.028
44.720,1.029
44.750,1.026
44.780,1.027
44.810,1.028
44.840,1.027
44.870,1.030
44.900,1.023
44.930,1.030
44.960,1.024
44.990,1.023
45.020,1.027
45.050,1.028
45.080,1.030
45.110,1.029
45.140,1.026
45.170,1.026
45.200,1.030
45.230,1.025
45.260,1.021
45.290,1.027
45.320,1.029
45.350,1.028
45.380,1.027
45.410,1.027
45.440,1.028
45.470,1.025
45.500,1.029
45.530,1.027
45.560,1.025
45.590,1.028
45.620,1.031
45.650,1.030
45.680,1.026
45.710,1.023
45.740,1.029
45.770,1.027
45.800,1.029
45.830,1.029
45.860,1.027
45.890,1.030
45.920,1.031
45.950,1.027
45.980,1.022
46.010,1.027
46.040,1.026
46.070,1.025
46.100,1.029
46.130,1.031
46.160,1.026
46.190,1.026
46.220,1.027
46.250,1.029
46.280,1.026
46.310,1.027
46.340,1.023
46.370,1.030
46.400,1.032
46.430,1.023
46.460,1.025
46.490,1.025
46.520,1.027
46.550,1.030
46.580,1.029
46.610,1.023
46.640,1.033
46.670,1.028
46.700,1.021
46.730,1.026
46.760,1.029
46.790,1.027
46.820,1.023
46.850,1.029
46.880,1.027
46.910,1.027
46.940,1.029
46.970,1.025
47.000,1.027
47.030,1.025
47.060,1.033
47.090,1.022
47.120,1.021
47.150,1.029
47.180,1.029
47.210,1.030
47.240,1.027
47.270,1.032
47.300,1.027
47.330,1.031
47.360,1.028
47.390,1.023
47.420,1.027
47.450,1.029
47.480,1.026
47.510,1.031
47.540,1.030
47.570,1.026
47.600,1.026
47.630,1.026
47.660,1.021
47.690,1.027
47.720,1.028
47.750,1.034
47.780,1.027
47.810,1.026
47.840,1.028
47.870,1.027
47.900,1.024
47.930,1.028
47.960,1.027
47.990,1.026
48.020,1.032
48.050,1.028
48.080,1.023
48.110,1.030
48.140,1.028
48.170,1.030
48.200,1.030
48.230,1.031
48.260,1.029
48.290,1.025
48.320,1.029
48.350,1.027
48.380,1.027
48.410,1.027
48.440,1.034
48.470,1.030
48.500,1.024
48.530,1.028
48.560,1.030
48.590,1.029
48.620,1.030
48.650,1.028
48.680,1.028
48.710,1.030
48.740,1.030
48.770,1.023
48.800,1.025
48.830,1.027
48.860,1.027
48.890,1.026
48.920,1.029
48.950,1.028
48.980,1.028
49.010,1.026
49.040,1.029
49.070,1.029
49.100,1.025
49.130,1.030
49.160,1.029
49.190,1.036
49.220,1.026
49.250,1.026
49.280,1.029
49.310,1.030
49.340,1.030
49.370,1.029
49.400,1.029
49.430,1.025
49.460,1.033
49.490,1.026
49.520,1.025
49.550,1.031
49.580,1.028
49.610,1.027
49.640,1.026
49.670,1.028
49.700,1.025
49.730,1.032
49.760,1.028
49.790,1.026
49.820,1.026
49.850,1.033
49.880,1.033
49.910,1.021
49.940,1.023
49.970,1.030
50.000,1.029
50.030,1.028
50.060,1.036
50.090,1.021
50.120,1.028
50.150,1.029
50.180,1.024
50.210,1.026
50.240,1.027
50.270,1.027
50.300,1.028
50.330,1.028
50.360,1.025
50.390,1.029
50.420,1.029
50.450,1.026
50.480,1.028
50.510,1.036
50.540,1.030
50.570,1.022
50.600,1.026
50.630,1.031
50.660,1.027
50.690,1.029
50.720,1.030
50.750,1.027
50.780,1.028
50.810,1.034
50.840,1.027
50.870,1.021
50.900,1.026
50.930,1.031
50.960,1.031
50.990,1.031
51.020,1.029
51.050,1.028
51.080,1.027
51.110,1.028
51.140,1.029
51.170,1.025
51.200,1.026
51.230,1.035
51.260,1.027
51.290,1.025
51.320,1.025
51.350,1.028
51.380,1.027
51.410,1.029
51.440,1.032
51.470,1.025
51.500,1.030
51.530,1.029
51.560,1.027
51.590,1.028
51.620,1.025
51.650,1.027
51.680,1.028
51.710,1.026
51.740,1.028
51.770,1.029
51.800,1.030
51.830,1.027
51.860,1.030
51.890,1.029
51.920,1.023
51.950,1.027
51.980,1.033
52.010,1.029
52.040,1.025
52.070,1.026
52.100,1.027
52.130,1.027
52.160,1.030
52.190,1.034
52.220,1.024
52.250,1.030
52.280,1.034
52.310,1.022
52.340,1.026
52.370,1.030
52.400,1.027
52.430,1.027
52.460,1.027
52.490,1.030
52.520,1.025
52.550,1.029
52.580,1.026
52.610,1.029
52.640,1.026
52.670,1.024
52.700,1.028
52.730,1.039
52.760,1.029
52.790,1.021
52.820,1.026
52.850,1.030
52.880,1.027
52.910,1.028
52.940,1.031
52.970,1.024
53.000,1.031
53.030,1.027
53.060,1.021
53.090,1.029
53.120,1.030
53.150,1.027
53.180,1.028
53.210,1.027
53.240,1.028
53.270,1.030
53.300,1.025
53.330,1.028
53.360,1.029
53.390,1.033
53.420,1.029
53.450,1.021
53.480,1.028
53.510,1.029
53.540,1.028
53.570,1.027
53.600,1.029
53.630,1.023
53.660,1.032
53.690,1.030
53.720,1.026
53.750,1.027
53.780,1.027
53.810,1.026
53.840,1.026
53.870,1.027
53.900,1.031
53.930,1.033
53.960,1.030
53.990,1.026
54.020,1.024
54.050,1.033
54.080,1.028
54.110,1.023
54.140,1.028
54.170,1.033
54.200,1.026
54.230,1.027
54.260,1.032
54.290,1.022
54.320,1.032
54.350,1.031
54.380,1.024
54.410,1.024
54.440,1.031
54.470,1.029
54.500,1.030
54.530,1.028
54.560,1.025
54.590,1.029
54.620,1.030
54.650,1.028
54.680,1.025
54.710,1.029
54.740,1.032
54.770,1.024
54.800,1.026
54.830,1.029
54.860,1.028
54.890,1.028
54.920,1.027
54.950,1.027
54.980,1.028
55.010,1.028
55.040,1.024
55.070,1.025
55.100,1.028
55.130,1.028
55.160,1.029
55.190,1.026
55.220,1.027
55.250,1.024
