time,heart_rate,Stage
186,0.1956521739130435,Normal - Watch Video (4 min)
187,0.1956521739130435,Normal - Watch Video (4 min)
188,0.1956521739130435,Normal - Watch Video (4 min)
189,0.21739130434782608,Normal - Watch Video (4 min)
190,0.2391304347826087,Normal - Watch Video (4 min)
191,0.21739130434782608,Normal - Watch Video (4 min)
192,0.1956521739130435,Normal - Watch Video (4 min)
193,0.17391304347826086,Normal - Watch Video (4 min)
194,0.15217391304347827,Normal - Watch Video (4 min)
195,0.15217391304347827,Normal - Watch Video (4 min)
196,0.15217391304347827,Normal - Watch Video (4 min)
197,0.15217391304347827,Normal - Watch Video (4 min)
198,0.15217391304347827,Normal - Watch Video (4 min)
199,0.13043478260869565,Normal - Watch Video (4 min)
200,0.10869565217391304,Normal - Watch Video (4 min)
201,0.08695652173913043,Normal - Watch Video (4 min)
202,0.08695652173913043,Normal - Watch Video (4 min)
203,0.08695652173913043,Normal - Watch Video (4 min)
204,0.10869565217391304,Normal - Watch Video (4 min)
205,0.10869565217391304,Normal - Watch Video (4 min)
206,0.10869565217391304,Normal - Watch Video (4 min)
207,0.13043478260869565,Normal - Watch Video (4 min)
208,0.13043478260869565,Normal - Watch Video (4 min)
209,0.15217391304347827,Normal - Watch Video (4 min)
210,0.15217391304347827,Normal - Watch Video (4 min)
211,0.15217391304347827,Normal - Watch Video (4 min)
212,0.15217391304347827,Normal - Watch Video (4 min)
213,0.17391304347826086,Normal - Watch Video (4 min)
214,0.21739130434782608,Normal - Watch Video (4 min)
215,0.2391304347826087,Normal - Watch Video (4 min)
216,0.2608695652173913,Normal - Watch Video (4 min)
217,0.2608695652173913,Normal - Watch Video (4 min)
218,0.2826086956521739,Normal - Watch Video (4 min)
219,0.2826086956521739,Normal - Watch Video (4 min)
220,0.30434782608695654,Normal - Watch Video (4 min)
221,0.32608695652173914,Normal - Watch Video (4 min)
222,0.3695652173913043,Normal - Watch Video (4 min)
223,0.391304347826087,Normal - Watch Video (4 min)
224,0.43478260869565216,Normal - Watch Video (4 min)
225,0.45652173913043476,Normal - Watch Video (4 min)
226,0.43478260869565216,Normal - Watch Video (4 min)
227,0.43478260869565216,Normal - Watch Video (4 min)
228,0.43478260869565216,Normal - Watch Video (4 min)
229,0.30434782608695654,Normal - Watch Video (4 min)
230,0.2391304347826087,Normal - Watch Video (4 min)
231,0.17391304347826086,Normal - Watch Video (4 min)
232,0.10869565217391304,Normal - Watch Video (4 min)
233,0.15217391304347827,Normal - Watch Video (4 min)
234,0.08695652173913043,Normal - Watch Video (4 min)
235,0.06521739130434782,Normal - Watch Video (4 min)
236,0.021739130434782608,Normal - Watch Video (4 min)
237,0.021739130434782608,Normal - Watch Video (4 min)
238,0.0,Normal - Watch Video (4 min)
239,0.021739130434782608,Normal - Watch Video (4 min)
240,0.0,Normal - Watch Video (4 min)
241,0.0,Normal - Watch Video (4 min)
242,0.0,Normal - Watch Video (4 min)
243,0.0,Normal - Watch Video (4 min)
244,0.0,Normal - Watch Video (4 min)
245,0.17391304347826086,Normal - Watch Video (4 min)
246,0.18478260869565216,Normal - Watch Video (4 min)
247,0.1956521739130435,Normal - Watch Video (4 min)
248,0.22826086956521738,Normal - Watch Video (4 min)
249,0.24456521739130435,Normal - Watch Video (4 min)
250,0.2608695652173913,Normal - Watch Video (4 min)
251,0.32608695652173914,Normal - Watch Video (4 min)
252,0.31521739130434784,Normal - Watch Video (4 min)
253,0.30434782608695654,Normal - Watch Video (4 min)
254,0.30434782608695654,Normal - Watch Video (4 min)
255,0.30434782608695654,Normal - Watch Video (4 min)
256,0.30434782608695654,Normal - Watch Video (4 min)
257,0.30434782608695654,Normal - Watch Video (4 min)
258,0.30434782608695654,Normal - Watch Video (4 min)
259,0.30434782608695654,Normal - Watch Video (4 min)
260,0.391304347826087,Remove 5 Easy Pieces (3 min)
261,0.4782608695652174,Remove 5 Easy Pieces (3 min)
262,0.5869565217391305,Remove 5 Easy Pieces (3 min)
263,0.6304347826086957,Remove 5 Easy Pieces (3 min)
264,0.6739130434782609,Remove 5 Easy Pieces (3 min)
265,0.7391304347826086,Remove 5 Easy Pieces (3 min)
266,0.782608695652174,Remove 5 Easy Pieces (3 min)
267,0.8260869565217391,Remove 5 Easy Pieces (3 min)
268,0.8478260869565217,Remove 5 Easy Pieces (3 min)
269,0.8695652173913043,Remove 5 Easy Pieces (3 min)
270,0.9130434782608695,Remove 5 Easy Pieces (3 min)
271,0.9347826086956522,Remove 5 Easy Pieces (3 min)
272,0.9565217391304348,Remove 5 Easy Pieces (3 min)
273,0.9782608695652174,Remove 5 Easy Pieces (3 min)
