df_hash,22ZHK4.LL4ER7
433.669,0
434.552,17
435.429,11
436.648,13
437.525,9
438.419,0
439.619,0
440.497,0
441.569,0
442.594,25
443.473,29
444.399,38
445.571,19
446.459,0
447.371,5
448.590,8
449.661,0
450.345,0
451.514,0
452.441,29
453.318,0
454.632,0
455.415,0
456.349,29
457.511,0
458.391,0
459.266,0
460.485,1
461.459,6
462.241,0
463.461,0
464.338,0
465.377,0
466.478,0
467.333,23
468.187,0
469.408,42
470.285,26
471.210,0
472.385,11
473.303,23
474.185,36
475.365,45
476.325,29
477.158,1
478.327,39
479.205,0
480.132,22
481.303,16
482.329,16
483.105,27
484.426,31
485.201,25
486.102,25
487.249,0
488.175,0
489.293,0
490.368,6
491.197,0
492.027,0
493.246,0
494.136,0
495.001,32
496.219,35
497.097,26
498.024,25
499.193,23
500.071,0
500.975,0
502.167,19
503.065,34
503.923,25
505.140,29
506.034,33
506.964,37
508.163,31
508.992,30
509.919,34
511.137,41
511.965,0
512.892,0
514.064,28
514.998,66
515.868,73
517.038,71
517.963,53
518.840,23
520.106,0
520.954,0
521.815,0
522.983,0
523.909,23
524.787,47
526.005,63
526.896,71
527.781,45
528.979,46
529.906,28
530.735,0
532.001,0
532.831,21
533.708,23
534.929,0
535.804,57
536.731,67
538.046,74
538.826,73
539.704,73
540.874,74
541.801,76
542.680,76
543.849,77
544.784,71
545.697,71
546.871,69
547.748,70
548.626,71
549.846,73
550.774,73
551.620,72
552.885,72
553.792,73
554.622,72
555.792,69
556.719,68
557.596,62
558.814,51
559.697,36
560.571,37
561.741,44
562.667,43
563.559,36
564.713,0
565.646,26
566.516,17
567.736,30
568.614,47
569.547,64
570.710,67
571.590,66
572.464,26
573.930,0
574.561,20
575.484,30
576.705,24
577.574,21
578.432,44
579.631,41
580.512,41
582.021,75
582.650,73
583.482,76
584.408,72
585.579,68
586.510,70
587.383,67
588.650,67
589.479,68
590.403,66
591.526,29
592.646,0
593.331,29
594.648,39
595.426,44
596.303,52
597.522,48
598.411,31
599.309,22
600.542,4
601.373,1
602.254,28
603.470,39
604.349,47
605.274,53
606.443,57
607.369,57
608.248,61
609.431,64
610.392,60
611.229,60
612.592,57
613.338,45
614.200,37
615.435,41
616.292,46
617.169,51
618.468,57
619.267,58
620.144,59
621.411,68
622.239,76
623.117,78
624.337,67
625.213,52
626.148,33
627.311,26
628.206,27
629.115,0
630.526,27
631.210,32
632.232,49
633.257,55
634.198,53
635.060,38
636.282,23
637.159,0
638.038,5
639.447,0
640.131,3
641.013,0
642.226,0
643.104,38
643.981,42
645.297,20
646.080,19
646.972,21
648.173,23
649.051,26
649.977,41
651.175,50
652.028,43
653.048,51
654.121,55
655.047,56
655.924,54
657.242,60
658.035,63
658.996,53
660.069,54
660.995,57
661.875,53
663.042,59
663.969,67
664.905,55
666.065,48
666.942,52
667.820,39
669.040,34
669.969,34
670.794,19
672.013,0
672.938,23
673.820,29
674.990,23
675.946,22
676.791,36
678.115,36
678.837,0
679.768,0
680.936,0
681.814,0
682.737,17
683.907,21
684.833,25
685.712,30
686.884,61
687.808,64
688.706,61
689.855,67
690.781,63
691.660,56
693.122,56
693.755,58
694.683,42
695.852,44
696.777,44
697.660,49
699.121,32
699.702,38
700.628,35
701.799,44
702.678,41
703.602,0
704.772,0
705.657,21
706.624,25
707.746,36
708.727,37
709.669,0
710.720,0
711.650,0
712.523,26
713.743,36
714.621,30
715.512,40
716.716,34
717.595,23
718.471,13
719.743,41
720.569,32
721.445,32
722.667,44
723.545,40
724.616,53
725.641,40
726.516,16
727.393,29
728.708,47
729.489,54
730.415,63
731.633,72
732.605,73
733.389,71
734.656,69
735.436,68
736.378,60
737.540,36
738.458,30
739.340,0
740.519,28
741.434,0
742.311,36
743.480,56
744.407,55
745.284,61
746.456,59
747.380,67
748.306,67
749.473,69
750.500,70
751.280,67
752.401,69
753.330,67
754.209,68
755.426,69
756.351,71
757.324,71
758.400,68
759.619,54
760.155,51
761.396,48
762.249,47
763.126,45
764.345,50
765.232,71
766.149,70
767.320,75
768.235,72
769.123,68
770.389,62
771.171,57
772.096,50
773.266,50
774.192,47
775.070,44
776.240,45
777.120,42
778.290,47
779.214,62
780.186,60
781.018,48
782.217,44
783.114,35
783.991,31
785.161,48
786.135,39
787.059,30
788.136,28
789.062,55
789.939,66
791.159,76
792.046,73
792.913,74
794.131,75
795.029,72
795.886,75
797.105,73
797.984,73
799.006,71
800.080,73
800.991,77
801.931,72
803.055,77
803.931,75
804.857,70
806.029,55
806.903,43
807.927,41
809.000,42
809.980,40
810.850,49
811.982,62
812.900,70
813.777,55
814.949,56
815.875,56
816.752,52
817.940,53
818.908,53
819.752,59
821.138,47
821.841,60
822.796,62
823.918,36
824.801,38
825.721,41
826.892,42
827.817,43
828.887,44
829.922,63
830.788,63
831.668,68
832.839,56
833.718,52
834.737,58
835.813,34
836.840,28
837.618,24
838.869,25
839.665,29
840.665,36
841.760,45
842.687,66
843.610,66
844.734,67
845.661,67
846.538,70
847.805,63
848.647,60
849.514,61
850.682,70
851.609,74
852.485,71
853.703,68
854.582,68
855.468,71
856.726,66
857.555,64
858.434,69
859.655,76
860.583,73
861.457,71
862.628,73
863.553,70
864.380,64
865.744,33
866.476,25
867.402,0
868.572,0
869.451,0
870.379,25
871.548,29
872.520,39
873.350,35
874.520,30
875.453,30
876.324,52
877.496,44
878.421,36
879.297,36
880.610,38
881.393,39
882.271,4
883.441,0
884.412,37
885.244,36
886.618,42
887.343,63
888.220,66
889.483,66
890.315,70
891.289,68
892.411,72
893.290,14
894.165,26
895.384,25
896.265,22
897.188,23
898.358,32
899.528,27
900.211,28
901.575,0
902.210,0
903.283,0
904.308,32
1131.543,99
1132.420,100
1133.345,100
1134.516,8
1135.537,4
1136.321,0
1137.585,0
1138.414,18
1139.319,29
1140.559,24
1141.580,29
