df_hash,22ZHK4.PMY16R
243.775,10
244.245,15
245.073,560
245.918,800
246.792,860
247.609,825
248.436,815
249.267,800
250.143,855
251.069,880
252.044,935
253.701,980
255.214,1695
256.082,1630
256.943,800
257.752,805
258.828,860
258.832,920
259.551,10
259.703,840
260.383,200
261.111,655
261.892,795
262.037,810
262.720,130
263.553,640
263.605,930
264.479,10
264.621,785
265.231,10
265.799,820
266.108,280
266.912,555
267.771,890
268.722,870
268.814,850
269.545,10
270.374,840
271.206,855
271.260,825
271.885,10
272.616,745
273.445,730
274.128,750
274.477,815
274.525,210
274.549,20
274.572,15
274.615,10
274.956,10
275.667,475
276.468,730
276.760,835
277.589,330
279.198,750
280.221,1620
280.964,980
281.782,800
282.616,830
282.779,840
282.854,155
282.857,15
282.861,10
282.864,10
283.293,20
284.127,580
285.731,795
286.511,1590
287.388,820
287.758,825
288.169,460
288.899,320
290.118,690
290.265,1240
290.362,345
290.800,330
290.803,115
290.849,10
290.852,15
291.483,15
292.458,655
292.461,875
294.311,10
294.897,1685
295.676,785
295.823,815
295.922,215
295.968,15
295.972,10
296.017,10
296.020,20
296.023,45
296.266,195
296.309,15
296.312,10
296.315,15
296.319,20
296.504,215
298.364,890
298.454,1050
298.844,10
299.580,455
300.463,770
300.654,855
300.697,210
300.702,15
301.087,15
302.062,425
302.069,900
302.691,10
303.430,675
304.257,845
305.097,795
305.925,810
306.645,805
306.938,805
307.039,350
307.180,10
308.309,425
308.497,810
308.500,195
308.503,20
308.506,10
308.595,10
308.599,10
308.602,15
308.604,10
308.643,15
308.645,15
308.743,15
308.986,20
309.822,420
310.788,870
310.937,890
310.940,10
311.226,10
311.617,435
311.620,425
312.055,15
312.738,385
313.451,685
314.152,690
314.835,690
315.517,700
315.521,705
316.204,10
316.931,720
317.759,780
318.588,780
318.734,785
318.890,210
318.931,10
318.934,10
319.274,10
319.417,545
319.563,170
319.566,15
320.782,15
321.513,1255
321.516,755
322.198,10
322.488,715
322.491,275
322.588,15
322.878,10
323.564,370
324.157,665
324.925,655
325.510,655
326.242,670
326.785,740
327.900,510
328.582,1090
329.947,740
329.952,1410
330.678,10
331.361,670
332.048,720
332.920,755
333.555,720
334.312,720
334.972,755
335.651,730
336.479,685
336.772,785
336.775,290
338.039,10
338.869,1305
339.405,740
340.136,675
340.964,685
341.647,755
342.330,745
343.109,760
343.938,685
344.718,760
344.841,850
345.011,355
345.014,10
345.111,10
345.254,175
345.257,10
346.086,715
346.229,10
346.233,230
346.522,20
346.913,375
347.258,395
348.180,305
349.008,865
349.495,840
349.499,220
349.691,30
350.568,540
351.495,820
351.787,920
351.845,310
351.849,10
352.226,10
353.103,420
353.249,860
353.252,140
353.883,20
354.712,715
354.718,840
355.151,10
355.157,385
355.541,10
356.126,370
356.131,550
356.369,255
358.759,865
359.593,1595
360.270,690
360.811,775
361.942,585
363.739,1080
364.560,1810
365.391,910
366.266,790
367.145,885
367.150,885
367.963,10
368.752,845
369.581,815
370.031,780
370.037,420
370.267,15
371.092,315
371.921,845
372.804,845
373.189,870
373.629,385
374.456,340
374.553,820
374.705,285
375.967,605
376.796,770
377.820,845
378.600,875
379.432,915
380.257,855
381.232,785
381.235,925
381.536,310
383.036,490
383.830,1005
384.659,785
385.279,785
386.107,770
387.707,770
388.204,1450
388.886,690
389.471,675
390.310,625
390.983,805
391.672,720
392.566,715
394.081,855
394.821,1485
395.460,665
396.004,680
397.076,615
397.127,820
397.413,335
398.783,265
398.880,1400
399.026,310
399.029,25
400.001,255
400.881,650
401.425,645
401.967,655
402.639,700
403.472,705
404.193,675
404.876,795
405.564,760
405.770,705
405.949,175
405.956,65
406.000,15
406.241,15
407.804,405
408.191,1295
408.922,700
409.650,700
410.307,635
410.580,750
410.726,220
410.729,230
410.733,15
410.872,15
410.875,20
411.021,225
412.091,805
412.108,305
412.263,15
412.384,230
413.359,775
414.693,220
414.783,1190
414.793,185
414.797,20
414.801,15
414.895,20
415.162,380
416.430,635
416.969,565
417.503,575
418.087,580
419.943,565
420.330,1445
420.573,865
420.579,170
420.625,15
421.159,10
421.987,600
422.963,875
423.793,920
424.913,910
425.846,1095
426.478,930
427.789,575
428.764,1345
429.056,1065
429.498,260
429.889,445
431.007,375
431.884,1180
432.664,740
432.810,875
432.957,320
434.468,505
436.455,965
437.397,1970
437.931,1070
439.050,470
439.781,1125
439.784,750
440.610,10
441.297,805
441.453,750
441.634,235
443.036,1025
443.242,445
443.397,325
444.754,575
445.198,910
446.896,250
447.825,1840
448.654,935
448.849,825
448.853,155
448.897,10
448.901,10
448.905,15
449.482,15
450.165,635
450.901,715
451.436,685
451.485,560
451.489,15
451.581,150
452.561,930
452.586,15
452.611,15
452.617,15
452.749,15
452.752,20
452.778,25
452.849,15
453.344,25
454.212,440
454.652,1170
455.727,390
455.871,1145
456.015,225
456.019,10
456.161,125
456.165,70
456.213,15
456.216,10
456.307,15
456.311,20
456.408,10
456.457,120
456.603,15
457.871,430
458.647,950
458.651,875
459.769,10
460.305,1090
461.280,645
461.573,900
461.577,240
462.158,10
462.853,660
463.963,720
464.352,1110
465.035,340
465.180,695
465.350,305
465.354,10
466.838,570
467.131,915
468.007,310
468.641,640
469.666,875
471.421,975
472.297,1800
472.396,950
474.496,145
474.930,2030
476.198,415
478.297,1265
480.049,1965
480.196,1965
480.342,230
480.731,25
480.878,450
482.395,135
483.267,1420
483.982,1040
484.489,695
485.111,555
485.656,480
486.051,545
486.582,485
487.118,570
487.562,465
487.949,420
488.094,490
