df_hash,22ZHK4.NFTM31
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SGEY
person_label,V79
date_time_start,2025-11-03_15-27-37.395000_+03
date_time_start_unix,1762169257.395
date_time_end,2025-11-03_15-35-52.731000_+03
length_difference_noticed,no

time,acc_mag
22.386,1.036
22.416,1.036
22.446,1.035
22.476,1.037
22.506,1.034
22.536,1.034
22.566,1.035
22.596,1.036
22.626,1.036
22.656,1.035
22.686,1.035
22.716,1.035
22.746,1.034
22.776,1.035
22.806,1.037
22.836,1.035
22.866,1.034
22.896,1.034
22.926,1.039
22.956,1.034
22.986,1.031
23.016,1.032
23.046,1.037
23.076,1.039
23.106,1.034
23.136,1.032
23.166,1.032
23.196,1.035
23.226,1.035
23.256,1.036
23.286,1.034
23.316,1.032
23.346,1.037
23.376,1.038
23.406,1.037
23.436,1.035
23.466,1.032
23.496,1.034
23.526,1.034
23.556,1.034
23.586,1.034
23.616,1.036
23.646,1.041
23.676,1.037
23.706,1.033
23.736,1.037
23.766,1.034
23.796,1.037
23.826,1.034
23.856,1.030
23.886,1.034
23.916,1.035
23.946,1.035
23.976,1.037
24.006,1.034
24.036,1.036
24.066,1.037
24.096,1.034
24.126,1.036
24.156,1.030
24.186,1.032
24.216,1.035
24.246,1.035
24.276,1.033
24.306,1.032
24.336,1.037
24.366,1.039
24.396,1.036
24.426,1.032
24.456,1.033
24.486,1.036
24.516,1.034
24.546,1.038
24.576,1.034
24.606,1.034
24.636,1.037
24.666,1.033
24.696,1.032
24.726,1.034
24.756,1.040
24.786,1.037
24.816,1.032
24.846,1.034
24.876,1.032
24.906,1.035
24.936,1.035
24.966,1.036
24.996,1.035
25.026,1.032
25.056,1.039
25.086,1.036
25.116,1.036
25.146,1.036
25.176,1.029
25.206,1.037
25.236,1.035
25.266,1.038
25.296,1.035
25.326,1.036
25.356,1.035
25.386,1.035
25.416,1.034
25.446,1.036
25.476,1.039
25.506,1.037
25.536,1.033
25.566,1.034
25.596,1.034
25.626,1.036
25.656,1.038
25.686,1.037
25.716,1.032
25.746,1.034
25.776,1.038
25.806,1.040
25.836,1.030
25.866,1.033
25.896,1.039
25.926,1.037
25.956,1.037
25.986,1.036
26.016,1.034
26.046,1.035
26.076,1.034
26.106,1.032
26.136,1.038
26.166,1.038
26.196,1.036
26.226,1.034
26.256,1.034
26.286,1.033
26.316,1.039
26.346,1.033
26.376,1.033
26.406,1.038
26.436,1.038
26.466,1.037
26.496,1.031
26.526,1.039
26.556,1.041
26.586,1.035
26.616,1.032
26.646,1.035
26.676,1.039
26.706,1.039
26.736,1.039
26.766,1.034
26.796,1.036
26.826,1.034
26.856,1.034
26.886,1.038
26.916,1.034
26.946,1.035
26.976,1.039
27.006,1.036
27.036,1.036
27.066,1.036
27.096,1.039
27.126,1.033
27.156,1.038
27.186,1.034
27.216,1.035
27.246,1.033
27.276,1.034
27.306,1.037
27.336,1.037
27.366,1.036
27.396,1.035
27.426,1.037
27.456,1.036
27.486,1.034
27.516,1.032
27.546,1.033
27.576,1.035
27.606,1.035
27.636,1.038
27.666,1.034
27.696,1.038
27.726,1.038
27.756,1.035
27.786,1.035
27.816,1.034
27.846,1.032
27.876,1.036
27.906,1.037
27.936,1.035
27.966,1.035
27.996,1.034
28.026,1.032
28.056,1.036
28.086,1.036
28.116,1.035
28.146,1.030
28.176,1.032
28.206,1.036
28.236,1.038
28.266,1.036
28.296,1.036
28.326,1.036
28.356,1.037
28.386,1.031
28.416,1.037
28.446,1.039
28.476,1.034
28.506,1.034
28.536,1.036
28.566,1.034
28.596,1.035
28.626,1.036
28.656,1.035
28.686,1.035
28.716,1.039
28.746,1.035
28.776,1.034
28.806,1.035
28.836,1.038
28.866,1.037
28.896,1.037
28.926,1.035
28.956,1.035
28.986,1.034
29.016,1.039
29.046,1.035
29.076,1.035
29.106,1.041
29.136,1.035
29.166,1.036
29.196,1.038
29.226,1.036
29.256,1.033
29.286,1.037
29.316,1.038
29.346,1.036
29.376,1.038
29.406,1.034
29.436,1.033
29.466,1.034
29.496,1.035
29.526,1.038
29.556,1.036
29.586,1.035
29.616,1.035
29.646,1.039
29.676,1.037
29.706,1.029
29.736,1.040
29.766,1.038
29.796,1.038
29.826,1.033
29.856,1.036
29.886,1.035
29.916,1.038
29.946,1.038
29.976,1.035
30.006,1.034
30.036,1.037
30.066,1.035
30.096,1.034
30.126,1.034
30.156,1.035
30.186,1.037
30.216,1.034
30.246,1.035
30.276,1.035
30.306,1.039
30.336,1.034
30.366,1.034
30.396,1.039
30.426,1.038
30.456,1.037
30.486,1.035
30.516,1.035
30.546,1.034
30.576,1.037
30.606,1.036
30.636,1.038
30.666,1.034
30.696,1.035
30.726,1.033
30.756,1.036
30.786,1.035
30.816,1.032
30.846,1.036
30.876,1.036
30.906,1.037
30.936,1.032
30.966,1.037
30.996,1.037
31.026,1.040
31.056,1.035
31.086,1.036
31.116,1.038
31.146,1.031
31.176,1.035
31.206,1.037
31.236,1.036
31.266,1.033
31.296,1.037
31.326,1.034
31.356,1.040
31.386,1.036
31.416,1.032
31.446,1.032
31.476,1.035
31.506,1.037
31.536,1.033
31.566,1.037
31.596,1.034
31.626,1.034
31.656,1.036
31.686,1.039
31.716,1.033
31.746,1.036
31.776,1.037
31.806,1.038
31.836,1.036
31.866,1.036
31.896,1.034
31.926,1.035
31.956,1.039
31.986,1.035
32.016,1.033
32.046,1.038
32.076,1.035
32.106,1.031
32.136,1.032
32.166,1.034
32.196,1.036
32.226,1.035
32.256,1.036
32.286,1.031
32.316,1.036
