df_hash,22ZHK4.4549PD
430.568,65
431.397,64
432.617,60
433.495,48
434.396,64
435.346,78
436.713,81
437.590,86
438.417,81
439.449,74
440.659,67
441.353,71
442.415,67
443.294,64
444.268,60
445.629,51
446.315,71
447.484,75
448.364,70
449.291,61
450.215,49
451.337,55
452.262,54
453.287,43
454.311,61
455.480,83
456.318,66
457.284,65
458.210,78
459.090,87
460.259,70
461.186,66
