df_hash,22ZHK4.4549PD
357.830,920
358.658,965
359.634,940
360.463,880
361.438,920
362.315,940
363.241,910
364.216,960
365.191,985
366.020,935
366.995,865
367.824,915
368.656,890
369.383,800
370.359,815
371.211,855
372.016,865
372.850,860
373.820,900
374.649,885
375.331,830
376.160,805
376.989,795
377.866,800
378.695,815
379.524,855
380.352,850
381.181,860
381.863,825
382.697,750
383.424,775
384.106,765
384.814,725
385.471,695
386.886,705
387.034,1540
389.255,1505
389.921,700
390.638,700
391.468,745
392.173,725
392.839,740
393.516,705
394.246,680
395.465,675
395.810,1390
395.953,350
397.708,1035
398.390,750
399.121,730
399.854,705
400.486,705
401.170,710
401.900,715
402.582,690
403.265,700
403.948,685
404.679,670
405.361,720
406.190,755
406.873,730
407.705,760
408.433,780
409.115,765
409.945,745
410.782,775
411.601,805
412.284,825
413.113,785
413.943,790
414.819,805
415.647,870
416.477,865
417.451,910
418.280,875
419.258,910
420.230,940
421.059,930
422.034,915
422.870,910
424.133,925
424.521,870
425.495,845
426.324,900
427.153,895
428.136,865
428.812,875
429.664,775
430.516,790
431.345,900
432.324,850
433.295,965
434.227,970
435.099,900
436.025,915
436.903,915
437.734,875
438.560,855
439.586,820
439.601,965
440.218,10
441.193,680
442.021,980
442.851,885
443.825,890
444.801,930
445.664,915
446.458,870
447.287,910
448.116,845
448.852,775
449.529,700
450.358,725
451.187,815
452.162,900
452.990,920
453.966,915
454.648,875
455.484,800
456.208,770
457.036,790
457.868,810
458.694,790
459.673,840
460.498,940
461.354,915
