df_hash,22ZHK4.4549PD
15.153,-314
15.178,-411
15.203,-431
15.228,-336
15.253,-152
15.278,45
15.303,196
15.328,299
15.353,398
15.378,522
15.403,652
15.428,744
15.453,778
15.478,775
15.503,771
15.528,775
15.553,771
15.578,742
15.603,690
15.628,629
15.653,565
15.678,491
15.703,405
15.728,311
15.753,214
15.778,114
15.803,6
15.828,-106
15.853,-217
15.878,-327
15.903,-447
15.928,-573
15.953,-664
15.978,-661
16.003,-537
16.028,-328
16.053,-111
16.078,67
16.103,218
16.128,386
16.153,585
16.178,774
16.203,895
16.228,933
16.253,928
16.278,927
16.303,946
16.328,959
16.353,939
16.378,888
16.403,831
16.428,780
16.453,726
16.478,655
16.503,571
16.528,490
16.553,422
16.578,359
16.603,286
16.628,202
16.653,119
16.678,45
16.703,-27
16.728,-114
16.753,-214
16.778,-307
16.803,-380
16.828,-452
16.853,-552
16.878,-678
16.903,-776
16.928,-773
16.953,-640
16.978,-418
17.003,-186
17.028,5
17.053,167
17.078,339
17.103,536
17.128,725
17.153,853
17.178,899
17.203,888
17.228,866
17.253,860
17.278,863
17.303,854
17.328,819
17.353,765
17.378,704
17.403,644
17.428,582
17.453,509
17.478,424
17.503,338
17.528,266
17.553,213
17.578,174
17.603,135
17.628,85
17.653,23
17.678,-45
17.703,-120
17.728,-201
17.753,-284
17.778,-363
17.803,-442
17.828,-529
17.853,-629
17.878,-719
17.903,-749
17.928,-675
17.953,-499
17.978,-280
18.003,-84
18.028,64
18.053,191
18.078,335
18.103,497
18.128,636
18.153,717
18.178,740
18.203,744
18.228,758
18.253,780
18.278,787
18.303,770
18.328,738
18.353,707
18.378,678
18.403,638
18.428,583
18.453,523
18.478,469
18.503,421
18.528,372
18.553,328
18.578,302
18.603,302
18.628,316
18.653,321
18.678,314
18.703,308
18.728,309
18.753,285
18.778,191
18.803,15
18.828,-188
18.853,-329
18.878,-353
18.903,-282
18.928,-176
18.953,-80
18.978,16
19.003,141
19.028,293
19.053,435
19.078,529
19.103,574
19.128,599
19.153,629
19.178,658
19.203,670
19.228,661
19.253,643
19.278,630
19.303,614
19.328,585
19.353,541
19.378,492
19.403,447
19.428,400
19.453,343
19.478,280
19.503,222
19.528,167
19.553,104
19.578,20
19.603,-73
19.628,-160
19.653,-240
19.678,-338
19.703,-468
19.728,-600
19.753,-665
19.778,-613
19.803,-459
19.828,-276
19.853,-124
19.878,-9
19.903,109
19.928,259
19.953,420
19.978,546
20.003,610
20.028,630
20.053,641
20.078,661
20.103,680
20.128,681
20.153,661
20.178,631
20.203,600
20.228,565
20.253,521
20.278,465
20.303,404
20.328,345
20.353,293
20.378,255
20.403,239
20.428,250
20.453,279
20.478,300
20.503,283
20.528,215
20.553,111
20.578,6
20.603,-74
20.628,-139
20.653,-223
20.678,-350
20.703,-498
20.728,-599
20.753,-589
20.778,-460
20.803,-269
20.828,-88
20.853,53
20.878,183
20.903,341
20.928,527
20.953,699
20.978,810
21.003,854
21.028,864
21.053,881
21.078,908
21.103,924
21.128,907
21.153,861
21.178,809
21.203,767
21.228,732
21.253,688
21.278,630
21.303,565
21.328,505
21.353,449
21.378,385
21.403,302
21.428,207
21.453,112
21.478,23
21.503,-64
21.528,-159
21.553,-258
21.578,-347
21.603,-425
21.628,-507
21.653,-611
21.678,-723
21.703,-788
21.728,-745
21.753,-584
21.778,-361
21.803,-156
21.828,-4
21.853,118
21.878,263
21.903,441
21.928,612
21.953,729
21.978,784
22.003,810
22.028,837
22.053,866
22.078,871
22.103,844
22.128,799
22.153,758
22.178,721
22.203,676
22.228,617
22.253,556
22.278,504
22.303,458
22.328,403
22.353,332
22.378,259
22.403,192
22.428,126
22.453,47
22.478,-45
22.503,-131
22.528,-202
22.553,-272
22.578,-367
22.603,-474
22.628,-534
22.653,-485
22.678,-326
22.703,-121
22.728,52
22.753,174
22.778,282
22.803,415
22.828,564
22.853,681
22.878,735
22.903,743
22.928,743
22.953,756
22.978,767
23.003,753
23.028,713
23.053,666
23.078,622
23.103,578
23.128,523
23.153,457
23.178,391
23.203,329
23.228,265
23.253,194
23.278,121
23.303,51
23.328,-18
23.353,-97
23.378,-184
23.403,-265
23.428,-333
23.453,-407
23.478,-504
23.503,-611
23.528,-670
23.553,-620
23.578,-458
23.603,-249
23.628,-69
23.653,61
23.678,179
23.703,328
23.728,504
23.753,656
23.778,743
23.803,772
23.828,782
23.853,802
23.878,827
23.903,838
23.928,829
23.953,808
23.978,780
24.003,737
24.028,676
24.053,604
24.078,534
24.103,470
24.128,401
24.153,326
24.178,258
24.203,212
24.228,178
24.253,129
24.278,54
24.303,-18
24.328,-45
24.353,-27
24.378,-24
24.403,-105
24.428,-268
24.453,-424
24.478,-458
24.503,-333
24.528,-115
24.553,87
24.578,218
24.603,299
24.628,386
24.653,503
24.678,618
24.703,690
24.728,707
24.753,699
24.778,695
24.803,700
24.828,695
24.853,670
24.878,631
24.903,590
24.928,550
24.953,502
24.978,442
25.003,378
25.028,319
25.053,265
25.078,208
25.103,141
25.128,71
25.153,6
25.178,-56
25.203,-126
25.228,-207
25.253,-289
25.278,-364
25.303,-437
25.328,-522
25.353,-613
25.378,-668
25.403,-635
25.428,-499
25.453,-299
25.478,-98
25.503,67
25.528,211
25.553,365
25.578,531
25.603,678
25.628,769
25.653,802
25.678,808
25.703,816
25.728,833
25.753,843
25.778,836
25.803,814
25.828,782
25.853,738
25.878,678
25.903,609
25.928,544
25.953,488
25.978,433
26.003,368
26.028,290
26.053,207
26.078,125
26.103,43
26.128,-40
26.153,-122
26.178,-200
26.203,-285
26.228,-391
26.253,-504
26.278,-574
26.303,-546
26.328,-407
26.353,-210
26.378,-27
26.403,113
26.428,240
26.453,397
26.478,582
26.503,742
26.528,830
26.553,850
26.578,847
26.603,858
26.628,875
26.653,866
26.678,816
26.703,743
26.728,676
26.753,620
26.778,559
26.803,485
26.828,408
26.853,343
26.878,289
26.903,229
26.928,153
26.953,69
26.978,-8
27.003,-79
27.028,-155
27.053,-243
27.078,-332
27.103,-408
27.128,-478
27.153,-563
27.178,-669
27.203,-759
27.228,-772
27.253,-675
27.278,-493
27.303,-291
27.328,-112
27.353,47
27.378,229
27.403,450
27.428,678
27.453,854
27.478,943
27.503,964
27.528,961
27.553,968
27.578,982
27.603,981
27.628,952
27.653,905
27.678,860
27.703,821
27.728,777
27.753,718
27.778,647
27.803,577
27.828,512
27.853,445
27.878,365
27.903,277
27.928,192
27.953,118
27.978,46
28.003,-35
28.028,-123
28.053,-205
28.078,-277
28.103,-353
28.128,-452
28.153,-561
28.178,-631
28.203,-605
28.228,-474
28.253,-288
28.278,-110
28.303,28
28.328,154
28.353,304
28.378,482
28.403,648
28.428,759
28.453,803
28.478,806
28.503,804
28.528,807
28.553,805
28.578,784
28.603,742
28.628,686
28.653,627
28.678,566
28.703,503
28.728,436
28.753,363
28.778,286
28.803,209
28.828,132
28.853,54
28.878,-33
28.903,-129
28.928,-228
28.953,-321
28.978,-412
29.003,-506
29.028,-588
29.053,-615
29.078,-534
29.103,-339
29.128,-81
29.153,156
29.178,324
29.203,440
29.228,552
29.253,683
29.278,806
29.303,873
29.328,864
29.353,809
29.378,752
29.403,717
29.428,694
29.453,666
29.478,623
29.503,572
29.528,518
29.553,462
29.578,401
29.603,338
29.628,275
29.653,212
29.678,145
29.703,74
29.728,0
29.753,-78
29.778,-159
29.803,-240
29.828,-315
29.853,-384
29.878,-460
29.903,-552
29.928,-639
29.953,-668
29.978,-596
30.003,-424
30.028,-208
30.053,-12
30.078,145
30.103,299
30.128,482
30.153,682
30.178,848
30.203,941
30.228,968
30.253,969
30.278,976
30.303,984
30.328,972
30.353,929
30.378,868
30.403,806
30.428,742
30.453,672
30.478,593
30.503,516
30.528,444
30.553,369
30.578,281
30.603,186
30.628,96
30.653,17
30.678,-59
30.703,-147
30.728,-245
30.753,-337
30.778,-417
30.803,-504
30.828,-613
30.853,-722
30.878,-771
30.903,-705
30.928,-525
30.953,-299
30.978,-98
31.003,57
31.028,206
31.053,390
31.078,601
31.103,783
31.128,887
31.153,916
31.178,915
31.203,924
31.228,943
31.253,945
31.278,918
31.303,873
31.328,829
31.353,790
31.378,739
31.403,668
31.428,589
31.453,518
31.478,457
31.503,392
31.528,308
31.553,208
31.578,109
31.603,22
31.628,-61
31.653,-148
31.678,-237
31.703,-322
31.728,-411
31.753,-518
31.778,-634
31.803,-714
31.828,-697
31.853,-558
31.878,-342
31.903,-127
31.928,38
31.953,173
31.978,325
32.003,508
32.028,683
32.053,797
32.078,837
32.103,836
32.128,838
32.153,853
32.178,860
32.203,840
32.228,799
32.253,754
32.278,711
32.303,660
32.328,595
32.353,522
32.378,454
32.403,392
32.428,329
32.453,260
32.478,187
32.503,112
32.528,30
32.553,-62
32.578,-158
32.603,-243
32.628,-320
32.653,-406
32.678,-513
32.703,-612
32.728,-639
32.753,-547
32.778,-354
32.803,-132
32.828,51
32.853,189
32.878,321
32.903,476
32.928,635
32.953,750
32.978,797
33.003,798
33.028,788
33.053,784
33.078,772
33.103,738
33.128,685
33.153,632
33.178,583
33.203,532
33.228,467
33.253,392
33.278,315
33.303,237
33.328,154
33.353,68
33.378,-8
33.403,-63
33.428,-104
33.453,-151
33.478,-214
33.503,-283
33.528,-341
33.553,-393
33.578,-464
33.603,-559
33.628,-636
33.653,-623
33.678,-484
33.703,-254
33.728,-17
33.753,166
33.778,303
33.803,444
33.828,621
33.853,807
33.878,947
33.903,1012
33.928,1022
33.953,1021
33.978,1031
34.003,1038
34.028,1021
34.053,978
34.078,921
34.103,863
34.128,800
34.153,724
34.178,640
34.203,559
34.228,484
34.253,406
34.278,312
34.303,209
34.328,109
34.353,17
34.378,-77
34.403,-183
34.428,-290
34.453,-380
34.478,-455
34.503,-545
34.528,-668
34.553,-787
34.578,-825
34.603,-724
34.628,-507
34.653,-265
34.678,-76
34.703,54
34.728,181
34.753,341
34.778,517
34.803,654
34.828,722
34.853,742
34.878,758
34.903,788
34.928,818
34.953,829
34.978,820
35.003,802
35.028,783
35.053,755
35.078,712
35.103,657
35.128,596
35.153,529
35.178,450
35.203,361
35.228,270
35.253,180
35.278,84
35.303,-25
35.328,-139
35.353,-241
35.378,-328
35.403,-424
35.428,-546
35.453,-664
35.478,-707
35.503,-617
35.528,-413
35.553,-177
35.578,14
35.603,152
35.628,283
35.653,446
35.678,622
35.703,755
35.728,811
35.753,815
35.778,814
35.803,832
35.828,851
35.853,846
35.878,814
35.903,775
35.928,739
35.953,695
35.978,629
36.003,547
36.028,470
36.053,410
36.078,355
36.103,287
36.128,203
36.153,120
36.178,50
36.203,-15
36.228,-95
36.253,-192
36.278,-288
36.303,-369
36.328,-447
36.353,-551
36.378,-677
36.403,-774
36.428,-766
36.453,-619
36.478,-376
36.503,-127
36.528,66
36.553,209
36.578,350
36.603,518
36.628,693
36.653,824
36.678,884
36.703,894
36.728,896
36.753,913
36.778,930
36.803,922
36.828,882
36.853,827
36.878,773
36.903,722
36.928,665
36.953,599
36.978,530
37.003,464
37.028,395
37.053,314
37.078,224
37.103,138
37.128,63
37.153,-12
37.178,-102
37.203,-202
37.228,-290
37.253,-356
37.278,-422
37.303,-519
37.328,-642
37.353,-728
37.378,-698
37.403,-528
37.428,-280
37.453,-52
37.478,101
37.503,203
37.528,310
37.553,449
37.578,591
37.603,687
37.628,724
37.653,728
37.678,735
37.703,751
37.728,761
37.753,748
37.778,712
37.803,666
37.828,617
37.853,565
37.878,510
37.903,452
37.928,389
37.953,318
37.978,238
38.003,156
38.028,80
38.053,5
38.078,-77
38.103,-170
38.128,-260
38.153,-339
38.178,-418
38.203,-519
38.228,-629
38.253,-687
38.278,-621
38.303,-419
38.328,-150
38.353,87
38.378,249
38.403,368
38.428,505
38.453,675
38.478,830
38.503,918
38.528,937
38.553,931
38.578,935
38.603,942
38.628,922
38.653,869
38.678,809
38.703,767
38.728,733
38.753,675
38.778,576
38.803,459
38.828,357
38.853,279
38.878,207
38.903,126
38.928,45
38.953,-23
38.978,-92
39.003,-189
39.028,-319
39.053,-430
39.078,-442
39.103,-316
39.128,-98
39.153,120
39.178,278
39.203,383
39.228,488
39.253,619
39.278,748
39.303,824
39.328,829
39.353,795
39.378,763
39.403,742
39.428,707
39.453,631
39.478,524
39.503,416
39.528,331
39.553,260
39.578,182
39.603,91
39.628,0
39.653,-80
39.678,-155
39.703,-237
39.728,-331
39.753,-423
39.778,-507
39.803,-599
39.828,-722
39.853,-860
39.878,-950
39.903,-914
39.928,-733
39.953,-465
39.978,-208
40.003,-20
40.028,115
40.053,256
40.078,430
40.103,611
40.128,742
40.153,801
40.178,813
40.203,823
40.228,851
40.253,884
40.278,899
40.303,890
40.328,868
40.353,844
40.378,819
40.403,791
40.428,763
40.453,736
40.478,702
40.503,643
40.528,553
40.553,444
40.578,339
40.603,242
40.628,139
40.653,19
40.678,-109
40.703,-222
40.728,-317
40.753,-420
40.778,-556
40.803,-705
40.828,-790
40.853,-733
40.878,-524
40.903,-239
40.928,17
40.953,193
40.978,316
41.003,447
41.028,610
41.053,771
41.078,874
41.103,901
41.128,885
41.153,873
41.178,883
41.203,896
41.228,885
41.253,849
41.278,806
41.303,769
41.328,726
41.353,662
41.378,575
41.403,484
41.428,403
41.453,331
41.478,251
41.503,156
41.528,57
41.553,-31
41.578,-115
41.603,-207
41.628,-307
41.653,-400
41.678,-479
41.703,-560
41.728,-671
41.753,-801
41.778,-878
41.803,-817
41.828,-596
41.853,-286
41.878,-2
41.903,195
41.928,328
41.953,460
41.978,618
42.003,770
42.028,866
42.053,896
42.078,892
42.103,891
42.128,899
42.153,899
42.178,876
42.203,837
42.228,790
42.253,739
42.278,677
42.303,601
42.328,516
42.353,427
42.378,337
42.403,249
42.428,165
42.453,83
42.478,-3
42.503,-101
42.528,-199
42.553,-283
42.578,-357
42.603,-451
42.628,-581
42.653,-711
42.678,-752
42.703,-636
42.728,-380
42.753,-86
42.778,139
42.803,271
42.828,365
42.853,486
42.878,637
42.903,768
42.928,834
42.953,845
42.978,849
43.003,875
43.028,908
43.053,908
43.078,859
43.103,782
43.128,711
43.153,656
43.178,605
43.203,533
43.228,439
43.253,337
43.278,245
43.303,165
43.328,79
43.353,-22
43.378,-132
43.403,-232
43.428,-319
43.453,-417
43.478,-552
43.503,-711
43.528,-822
43.553,-804
43.578,-632
43.603,-368
43.628,-114
43.653,65
43.678,183
43.703,290
43.728,414
43.753,537
43.778,634
43.803,711
43.828,803
43.853,926
43.878,1050
43.903,1124
43.928,1124
43.953,1076
43.978,1026
44.003,995
44.028,964
44.053,901
44.078,796
44.103,662
44.128,513
44.153,348
44.178,162
44.203,-34
44.228,-213
44.253,-351
44.278,-457
44.303,-568
44.328,-711
44.353,-863
44.378,-951
44.403,-899
44.428,-693
44.453,-396
44.478,-110
44.503,99
44.528,242
44.553,374
44.578,531
44.603,691
44.628,801
44.653,837
44.678,825
44.703,816
44.728,828
44.753,839
44.778,815
44.803,755
44.828,685
44.853,625
44.878,567
44.903,492
44.928,396
44.953,298
44.978,215
45.003,134
45.028,35
45.053,-80
45.078,-190
45.103,-281
45.128,-374
45.153,-500
45.178,-640
45.203,-711
45.228,-630
45.253,-396
45.278,-102
45.303,135
45.328,279
45.353,377
45.378,496
45.403,641
45.428,759
45.453,802
45.478,787
45.503,768
45.528,774
45.553,789
45.578,776
45.603,726
45.628,661
45.653,599
45.678,538
45.703,464
45.728,378
45.753,290
45.778,204
45.803,108
45.828,0
45.853,-106
45.878,-189
45.903,-263
45.928,-363
45.953,-495
45.978,-601
46.003,-589
46.028,-417
46.053,-141
46.078,127
46.103,319
46.128,442
46.153,553
46.178,677
46.203,788
46.228,845
46.253,844
46.278,816
46.303,791
46.328,772
46.353,743
46.378,692
46.403,626
46.428,551
46.453,473
46.478,389
46.503,297
46.528,198
46.553,89
46.578,-23
46.603,-130
46.628,-228
46.653,-334
46.678,-468
46.703,-614
46.728,-707
46.753,-668
46.778,-481
46.803,-218
46.828,10
46.853,153
46.878,238
46.903,325
46.928,427
46.953,505
46.978,531
47.003,534
47.028,576
47.053,676
47.078,789
47.103,847
47.128,832
47.153,776
47.178,715
47.203,644
47.228,537
47.253,392
47.278,245
47.303,126
47.328,32
47.353,-58
47.378,-153
47.403,-236
47.428,-304
47.453,-383
47.478,-493
47.503,-602
47.528,-619
47.553,-473
47.578,-186
47.603,137
47.628,397
47.653,576
47.678,731
47.703,913
47.728,1104
47.753,1229
47.778,1240
47.803,1153
47.828,1036
47.853,942
47.878,877
47.903,809
47.928,717
47.953,605
47.978,496
48.003,400
48.028,309
48.053,209
48.078,104
48.103,10
48.128,-64
48.153,-133
48.178,-216
48.203,-317
48.228,-415
48.253,-488
48.278,-547
48.303,-629
48.328,-750
48.353,-861
48.378,-871
48.403,-718
48.428,-433
48.453,-120
48.478,127
48.503,299
48.528,444
48.553,607
48.578,775
48.603,896
48.628,943
48.653,938
48.678,928
48.703,935
48.728,941
48.753,919
48.778,863
48.803,789
48.828,717
48.853,648
48.878,570
48.903,474
48.928,367
48.953,263
48.978,170
49.003,84
49.028,-7
49.053,-115
49.078,-231
49.103,-335
49.128,-422
49.153,-513
49.178,-634
49.203,-775
49.228,-865
49.253,-819
49.278,-613
49.303,-319
49.328,-52
49.353,127
49.378,252
49.403,396
49.428,576
49.453,735
49.478,806
49.503,800
49.528,799
49.553,872
49.578,1005
49.603,1121
49.628,1162
49.653,1135
49.678,1087
49.703,1043
49.728,989
49.753,910
49.778,814
49.803,723
49.828,634
49.853,519
49.878,360
49.903,178
49.928,13
49.953,-121
49.978,-243
50.003,-370
50.028,-494
50.053,-591
50.078,-668
50.103,-763
50.128,-890
50.153,-995
50.178,-976
50.203,-775
50.228,-445
50.253,-112
50.278,124
50.303,271
50.328,401
50.353,565
50.378,738
50.403,860
50.428,903
50.453,902
50.478,908
50.503,936
50.528,956
50.553,938
50.578,889
50.603,837
50.628,794
50.653,742
50.678,665
50.703,570
50.728,484
50.753,418
50.778,354
50.803,270
50.828,168
50.853,71
50.878,-8
50.903,-87
50.928,-186
50.953,-300
50.978,-399
51.003,-474
51.028,-555
51.053,-676
51.078,-816
51.103,-885
51.128,-794
51.153,-537
51.178,-212
51.203,60
51.228,232
51.253,346
51.278,471
51.303,626
51.328,767
51.353,842
51.378,849
51.403,831
51.428,837
51.453,878
51.478,929
51.503,953
51.528,935
51.553,884
51.578,816
51.603,744
51.628,668
51.653,580
51.678,480
51.703,375
51.728,277
51.753,186
51.778,92
51.803,-15
51.828,-127
51.853,-229
51.878,-317
51.903,-418
51.928,-552
51.953,-690
51.978,-750
52.003,-658
52.028,-415
52.053,-113
52.078,135
52.103,288
52.128,384
52.153,488
52.178,615
52.203,722
52.228,768
52.253,762
52.278,752
52.303,767
52.328,791
52.353,783
52.378,728
52.403,650
52.428,585
52.453,536
52.478,481
52.503,401
52.528,304
52.553,210
52.578,126
52.603,37
52.628,-64
52.653,-169
52.678,-256
52.703,-326
52.728,-412
52.753,-541
52.778,-689
52.803,-778
52.828,-725
52.853,-517
52.878,-229
52.903,35
52.928,223
52.953,362
52.978,511
53.003,693
53.028,869
53.053,979
53.078,1006
53.103,990
53.128,980
53.153,987
53.178,983
53.203,940
53.228,864
53.253,781
53.278,706
53.303,626
53.328,526
53.353,412
53.378,302
53.403,200
53.428,86
53.453,-59
53.478,-226
53.503,-376
53.528,-491
53.553,-592
53.578,-716
53.603,-855
53.628,-938
53.653,-883
53.678,-674
53.703,-381
53.728,-104
53.753,104
53.778,273
53.803,458
53.828,669
53.853,860
53.878,972
53.903,999
53.928,982
53.953,972
53.978,977
54.003,968
54.028,923
54.053,849
54.078,773
54.103,708
54.128,637
54.153,543
54.178,430
54.203,321
54.228,228
54.253,139
54.278,36
54.303,-77
54.328,-180
54.353,-264
54.378,-354
54.403,-484
54.428,-646
54.453,-770
54.478,-770
54.503,-615
54.528,-359
54.553,-98
54.578,111
54.603,279
54.628,445
54.653,621
54.678,773
54.703,859
54.728,875
54.753,858
54.778,849
54.803,856
54.828,855
54.853,821
54.878,759
54.903,689
54.928,626
54.953,562
54.978,480
55.003,381
55.028,284
55.053,203
55.078,130
55.103,40
55.128,-73
55.153,-189
55.178,-281
55.203,-354
55.228,-444
55.253,-579
55.278,-726
55.303,-797
55.328,-720
55.353,-499
55.378,-222
55.403,18
55.428,195
55.453,344
55.478,509
55.503,683
55.528,821
55.553,889
55.578,899
55.603,892
55.628,895
55.653,899
55.678,882
55.703,838
55.728,780
55.753,720
55.778,660
55.803,594
55.828,519
55.853,441
55.878,363
55.903,282
55.928,195
55.953,102
55.978,5
56.003,-97
56.028,-203
56.053,-304
56.078,-393
56.103,-484
56.128,-596
56.153,-724
56.178,-817
56.203,-797
56.228,-624
56.253,-346
56.278,-62
56.303,153
56.328,307
56.353,461
56.378,652
56.403,844
56.428,972
56.453,1009
56.478,993
56.503,983
56.528,998
56.553,1011
56.578,989
56.603,933
56.628,870
56.653,812
56.678,748
56.703,662
56.728,561
56.753,466
56.778,384
56.803,302
56.828,204
56.853,95
56.878,-5
56.903,-94
56.928,-190
56.953,-309
56.978,-436
57.003,-540
57.028,-617
57.053,-701
57.078,-824
57.103,-962
57.128,-1029
57.153,-947
57.178,-721
57.203,-438
57.228,-196
57.253,-24
57.278,118
57.303,283
57.328,470
57.353,636
57.378,746
57.403,812
57.428,874
57.453,958
57.478,1047
57.503,1103
57.528,1101
57.553,1045
57.578,968
57.603,901
57.628,857
57.653,826
57.678,786
57.703,721
57.728,631
57.753,533
57.778,440
57.803,354
57.828,267
57.853,179
57.878,95
57.903,16
57.928,-72
57.953,-179
57.978,-283
58.003,-325
58.028,-248
58.053,-46
58.078,220
58.103,462
58.128,627
58.153,718
58.178,766
58.203,789
58.228,778
58.253,729
58.278,662
58.303,618
58.328,614
58.353,630
58.378,627
58.403,579
58.428,498
58.453,412
58.478,334
58.503,257
58.528,166
58.553,56
58.578,-64
58.603,-184
58.628,-305
58.653,-426
58.678,-540
58.703,-629
58.728,-682
58.753,-714
58.778,-760
58.803,-845
58.828,-957
58.853,-1042
58.878,-1030
58.903,-884
58.928,-626
58.953,-320
58.978,-37
59.003,188
59.028,359
59.053,495
59.078,607
59.103,686
59.128,725
59.153,730
59.178,726
59.203,731
59.228,736
59.253,711
59.278,637
59.303,533
59.328,455
59.353,457
59.378,550
59.403,685
59.428,783
59.453,780
59.478,673
59.503,509
59.528,352
59.553,235
59.578,142
59.603,37
59.628,-98
59.653,-244
59.678,-364
