df_hash,22ZHK4.KQAWQ2
429.415,0
430.587,0
431.511,0
432.680,31
433.654,38
434.582,45
435.364,35
436.583,36
437.466,46
438.337,41
439.555,0
440.527,25
441.311,35
442.626,35
443.406,52
444.332,70
445.506,52
446.429,42
447.258,62
448.519,66
449.448,62
450.232,64
451.495,76
452.473,70
453.205,71
454.425,72
455.350,69
456.179,46
457.399,37
458.288,40
459.203,34
460.407,27
461.394,25
462.175,28
463.345,30
464.225,34
465.151,42
466.318,41
467.514,19
468.123,26
469.439,46
470.174,78
471.242,75
472.271,74
473.144,53
474.167,36
475.240,28
476.366,37
477.044,23
478.292,37
479.092,37
480.018,46
481.188,50
482.404,61
482.992,60
484.185,61
485.282,63
486.044,69
487.137,69
488.065,69
488.940,69
490.109,70
491.036,55
492.202,58
493.083,59
494.029,54
494.887,56
496.105,65
497.275,62
498.052,71
499.083,76
500.249,75
500.980,59
502.052,48
503.222,42
503.808,37
505.025,31
505.907,33
506.927,40
507.952,44
508.878,38
509.850,40
511.001,39
512.047,43
512.729,34
513.950,24
514.831,0
515.995,29
516.921,33
517.799,46
518.874,54
519.896,65
520.821,76
521.651,84
522.869,73
523.788,66
524.624,67
525.843,68
526.770,50
527.598,34
528.818,32
529.694,0
530.574,0
531.815,0
532.763,25
533.546,19
535.105,30
535.642,0
536.520,37
537.739,27
538.616,0
539.494,37
540.955,36
541.686,0
542.507,26
543.880,32
544.602,46
545.492,28
546.661,0
547.538,0
548.470,19
549.634,27
550.659,27
551.438,31
552.607,31
553.485,34
554.424,31
555.582,45
556.459,45
557.482,46
558.555,43
559.673,38
560.359,33
561.536,0
562.406,6
563.333,0
564.505,0
565.526,0
566.598,36
567.484,32
568.405,34
569.282,46
570.455,48
571.568,35
572.445,29
573.426,34
574.396,29
575.227,36
576.543,33
577.324,38
578.201,37
579.371,40
580.492,37
581.176,24
582.639,26
583.417,26
584.149,24
585.367,0
586.245,26
587.124,38
588.584,60
589.413,82
590.391,75
591.266,55
592.338,59
593.074,34
594.291,26
595.166,40
596.336,46
597.214,39
598.143,38
599.017,0
600.382,24
601.208,21
601.991,18
603.304,17
604.088,23
604.968,22
606.184,0
607.063,27
607.939,22
609.163,0
610.035,24
610.961,24
612.323,30
613.074,12
613.886,34
615.113,0
616.010,24
616.864,26
618.081,0
619.111,0
620.126,0
621.054,0
621.930,17
622.857,0
624.124,0
624.906,0
626.077,0
627.001,0
627.906,15
628.804,100
629.979,17
631.046,0
631.875,0
632.958,0
633.825,27
634.753,40
635.964,40
636.799,37
637.728,17
638.898,11
639.835,0
