df_hash,22ZHK4.1R5J5W
276.321,665
277.004,685
277.150,675
277.203,175
277.588,10
278.271,455
278.661,675
278.954,360
279.539,265
280.221,675
281.050,655
281.735,770
282.708,440
283.292,1235
283.988,670
284.657,690
285.487,690
285.687,750
285.925,265
286.169,250
287.290,220
287.878,1115
288.559,605
289.094,630
289.679,585
291.044,635
291.635,1405
292.312,500
292.611,690
292.704,355
292.853,250
294.262,585
294.944,745
295.626,720
296.358,735
296.601,710
297.723,260
298.405,1150
299.136,660
300.358,750
301.038,1260
301.769,665
302.452,730
303.721,630
304.553,1345
305.230,710
305.767,790
307.180,555
307.717,1330
308.448,670
308.739,705
309.130,280
309.813,395
310.105,695
310.496,305
311.178,330
311.470,705
311.474,325
311.763,10
312.153,335
312.445,595
314.005,665
314.249,960
315.517,280
315.809,1205
316.591,310
317.027,555
318.441,675
319.124,1455
319.983,710
320.635,800
321.366,700
322.049,715
322.732,695
323.417,670
324.145,735
324.828,725
325.513,670
326.342,730
327.070,740
327.609,750
327.753,520
328.874,205
329.264,1120
330.678,330
330.922,1510
330.933,220
330.973,40
330.976,10
331.360,10
332.043,335
332.725,695
333.310,685
333.993,680
334.675,700
335.406,690
336.089,625
336.771,730
337.454,650
338.039,700
338.868,640
339.258,860
339.989,415
340.672,640
340.679,680
340.817,10
340.823,50
341.017,40
341.652,15
341.944,845
342.475,315
343.450,535
343.743,1035
344.029,300
344.032,300
344.966,310
345.644,625
346.230,650
346.619,625
346.622,390
346.765,180
348.179,730
348.862,625
349.417,640
350.129,645
350.667,610
351.348,605
351.933,655
352.233,605
352.494,330
353.154,320
353.591,685
354.565,340
355.399,1000
355.836,875
356.369,350
357.051,665
357.490,615
358.758,505
359.441,1260
360.025,610
360.269,655
361.390,185
361.780,1120
361.927,385
362.901,200
363.347,1045
364.022,335
365.147,755
366.412,870
367.094,1465
367.343,750
367.777,220
368.459,450
369.141,730
369.437,670
369.873,210
370.702,510
371.387,775
371.921,700
372.261,665
372.798,280
373.481,530
374.162,610
375.008,785
375.674,770
376.407,740
377.088,665
377.814,760
378.599,700
379.282,755
379.574,740
380.013,270
380.695,410
381.378,675
382.355,720
382.889,1025
383.182,530
383.474,570
385.132,480
385.571,1210
386.253,380
387.081,775
387.913,765
388.496,735
389.422,775
390.153,895
390.983,780
392.103,765
392.108,1125
392.347,10
393.137,345
394.053,685
394.593,910
395.857,570
396.249,1310
396.396,290
398.199,285
398.733,1540
399.026,790
399.565,280
399.861,525
400.293,285
400.975,425
401.804,785
402.535,740
403.252,740
403.901,695
404.583,705
405.411,730
406.143,740
406.825,795
406.976,345
408.534,420
409.072,1430
409.902,735
410.017,780
410.140,250
410.144,15
410.191,15
410.195,15
410.199,15
410.290,165
411.408,310
412.091,795
413.212,670
413.217,1120
414.187,10
414.479,940
414.723,410
414.895,160
415.458,260
416.137,480
416.828,730
417.111,730
417.648,285
418.233,470
418.476,590
418.916,350
419.208,400
419.461,185
420.724,380
421.158,1265
422.376,360
422.962,1335
424.332,475
425.009,1480
425.838,675
426.569,740
427.398,745
427.934,845
427.940,575
428.292,10
429.055,325
429.908,825
430.713,765
431.550,845
432.528,905
433.199,885
433.371,730
433.376,140
433.931,10
434.770,525
435.003,825
436.026,280
436.856,1095
437.684,825
438.366,740
439.488,740
440.463,1090
440.629,1090
441.493,105
442.267,820
442.949,810
444.217,785
445.191,1140
446.167,1075
446.264,1015
446.995,15
447.678,740
448.361,725
449.073,720
449.921,725
450.018,860
450.024,10
450.069,10
450.073,10
450.180,225
451.968,865
452.261,880
452.463,380
452.797,10
453.772,505
454.513,925
455.332,770
456.307,830
457.233,965
457.964,935
458.793,785
459.769,820
460.743,1000
461.431,870
462.255,755
462.400,780
462.547,320
464.058,405
465.772,1090
465.862,1695
465.865,30
465.869,10
465.910,215
466.837,310
467.129,645
467.666,280
468.495,540
469.326,830
470.200,870
471.030,810
471.858,790
472.687,850
473.369,820
474.052,750
474.929,755
475.173,795
475.760,265
476.440,545
476.833,780
477.269,360
478.098,370
478.244,955
478.981,10
479.512,775
480.487,575
481.322,985
481.563,755
481.998,290
482.827,515
483.656,755
484.338,830
485.072,735
485.318,775
486.731,265
487.556,1415
488.384,800
488.921,750
489.652,605
491.017,700
491.188,1400
