df_hash,22ZHK4.K83A0A
14.174,0.968
14.204,0.957
14.234,0.985
14.264,0.978
14.294,0.965
14.324,0.965
14.354,0.970
14.384,0.978
14.414,0.975
14.444,0.965
14.474,0.963
14.504,0.958
14.534,0.945
14.564,0.961
14.594,0.969
14.624,0.958
14.654,0.938
14.684,0.971
14.714,0.979
14.744,0.938
14.774,0.971
14.804,0.994
14.834,0.989
14.864,0.982
14.894,0.974
14.924,0.958
14.954,0.968
14.984,0.982
15.014,0.972
15.044,0.967
15.074,0.972
15.104,0.976
15.134,0.966
15.164,0.968
15.194,0.990
15.224,0.988
15.254,0.973
15.284,0.974
15.314,0.975
15.344,0.965
15.374,0.982
15.404,0.995
15.434,0.972
15.464,0.975
15.494,0.982
15.524,0.977
15.554,0.982
15.584,0.984
15.614,0.982
15.644,0.973
15.674,0.979
15.704,0.975
15.734,0.970
15.764,0.979
15.794,0.978
15.824,0.976
15.854,0.977
15.884,0.980
15.914,0.982
15.944,0.967
15.974,0.989
16.004,0.985
16.034,0.969
16.064,0.975
16.094,0.977
16.124,0.974
16.154,0.975
16.184,0.982
16.214,0.973
16.244,0.978
16.274,0.979
16.304,0.970
16.334,0.977
16.364,0.978
16.394,0.976
16.424,0.973
16.454,0.976
16.484,0.976
16.514,0.976
16.544,0.974
16.574,0.974
16.604,0.970
16.634,0.996
16.664,0.972
16.694,0.975
16.724,0.975
16.754,0.972
16.784,0.973
16.814,0.978
16.844,0.983
16.874,0.972
16.904,0.980
16.934,0.975
16.964,0.975
16.994,0.980
17.024,0.974
17.054,0.976
17.084,0.978
17.114,0.976
17.144,0.978
17.174,0.971
17.204,0.980
17.234,0.979
17.264,0.977
17.294,0.977
17.324,0.974
17.354,0.975
17.384,0.989
17.414,0.967
17.444,0.971
17.474,0.975
17.504,0.979
17.534,0.974
17.564,0.980
17.594,0.975
17.624,0.975
17.654,0.982
17.684,0.973
17.714,0.972
17.744,0.979
17.774,0.975
17.804,0.979
17.834,0.970
17.864,0.975
17.894,0.982
17.924,0.973
17.954,0.977
17.984,0.976
18.014,0.976
18.044,0.973
18.074,0.973
18.104,0.971
18.134,0.998
18.164,0.975
18.194,0.971
18.224,0.974
18.254,0.976
18.284,0.969
18.314,0.976
18.344,0.973
18.374,0.978
18.404,0.979
18.434,0.971
18.464,0.977
18.494,0.982
18.524,0.976
18.554,0.969
18.584,0.976
18.614,0.979
18.644,0.974
18.674,0.975
18.704,0.976
18.734,0.981
18.764,0.966
18.794,0.980
18.824,0.987
18.854,0.973
18.884,0.971
18.914,0.978
18.944,0.979
18.974,0.970
19.004,0.978
19.034,0.968
19.064,0.985
19.094,0.980
19.124,0.974
19.154,0.982
19.184,0.973
19.214,0.971
19.244,0.977
19.274,0.978
19.304,0.974
19.334,0.973
19.364,0.971
19.394,0.985
19.424,0.965
19.454,0.978
19.484,0.978
19.514,0.974
19.544,0.973
19.574,0.966
19.604,0.968
19.634,0.976
19.664,0.979
19.694,0.963
19.724,0.977
19.754,0.982
19.784,0.975
19.814,0.975
19.844,0.985
19.874,0.978
19.904,0.970
19.934,0.980
19.964,0.981
19.994,0.978
20.024,0.974
20.054,0.977
20.084,0.969
20.114,0.979
20.144,0.988
20.174,0.964
20.204,0.972
20.234,0.974
20.264,0.977
20.294,0.977
20.324,0.978
20.354,0.975
20.384,0.970
20.414,0.977
20.444,0.972
20.474,0.978
20.504,0.979
20.534,0.976
20.564,0.970
20.594,0.972
20.624,0.974
20.654,0.974
20.684,0.975
20.714,0.975
20.744,0.977
20.774,0.969
20.804,0.976
20.834,0.988
20.864,0.971
20.894,0.976
20.924,0.969
20.954,0.976
20.984,0.974
21.014,0.976
21.044,0.978
21.074,0.965
21.104,0.981
21.134,0.976
21.164,0.974
21.194,0.976
21.224,0.979
21.254,0.975
21.284,0.974
21.314,0.973
21.344,0.974
21.374,0.976
21.404,0.975
21.434,0.972
21.464,0.978
21.494,0.970
21.524,0.978
21.554,0.978
21.584,0.973
21.614,0.972
21.644,0.973
21.674,0.977
21.704,0.972
21.734,0.973
21.764,0.976
21.794,0.974
21.824,0.971
21.854,0.970
21.884,0.976
21.914,0.975
21.944,0.971
21.974,0.970
22.004,0.971
22.034,0.970
22.064,0.974
22.094,0.977
22.124,0.969
22.154,0.970
22.184,0.976
22.214,0.964
22.244,0.974
22.274,0.990
22.304,0.968
22.334,0.966
22.364,0.970
22.394,0.978
22.424,0.972
22.454,0.979
22.484,0.967
22.514,0.982
22.544,0.973
22.574,0.972
22.604,0.974
22.634,0.975
22.664,0.974
22.694,0.971
22.724,0.974
22.754,0.973
22.784,0.969
22.814,0.970
22.844,0.967
22.874,0.973
22.904,0.970
22.934,0.964
22.964,0.985
22.994,0.974
23.024,0.966
23.054,0.970
23.084,0.969
23.114,0.971
23.144,0.975
23.174,0.969
23.204,0.981
23.234,0.979
23.264,0.972
23.294,0.962
23.324,0.969
23.354,0.967
23.384,0.970
23.414,0.971
23.444,0.974
23.474,0.973
23.504,0.973
23.534,0.972
23.564,0.959
23.594,0.969
23.624,0.986
23.654,0.965
23.684,0.964
23.714,0.969
23.744,0.969
23.774,0.973
23.804,0.975
23.834,0.971
23.864,0.974
23.894,0.969
23.924,0.972
23.954,0.970
23.984,0.972
24.014,0.971
24.044,0.970
24.074,0.970
24.104,0.967
24.134,0.973
24.164,0.974
24.194,0.967
24.224,0.961
24.254,0.985
24.284,0.974
24.314,0.971
24.344,0.969
24.374,0.971
24.404,0.972
24.434,0.970
24.464,0.979
24.494,0.968
24.524,0.979
24.554,0.970
24.584,0.972
24.614,0.974
24.644,0.967
24.674,0.972
24.704,0.969
24.734,0.971
24.764,0.978
24.794,0.970
24.824,0.967
24.854,0.974
24.884,0.969
24.914,0.985
24.944,0.968
24.974,0.964
25.004,0.969
25.034,0.975
25.064,0.978
25.094,0.974
25.124,0.972
25.154,0.969
25.184,0.974
25.214,0.977
25.244,0.968
25.274,0.974
25.304,0.973
25.334,0.969
25.364,0.972
25.394,0.971
25.424,0.973
25.454,0.973
25.484,0.972
25.514,0.971
25.544,0.974
25.574,0.964
25.604,0.980
25.634,0.979
25.664,0.964
25.694,0.971
25.724,0.973
25.754,0.972
25.784,0.971
25.814,0.975
25.844,0.967
25.874,0.971
25.904,0.975
25.934,0.970
25.964,0.974
25.994,0.974
26.024,0.970
26.054,0.968
26.084,0.971
26.114,0.971
26.144,0.972
26.174,0.969
26.204,0.975
26.234,0.969
26.264,0.968
26.294,0.967
26.324,0.969
26.354,0.989
26.384,0.967
26.414,0.961
26.444,0.965
26.474,0.968
26.504,0.966
26.534,0.973
26.564,0.973
26.594,0.969
26.624,0.976
26.654,0.966
26.684,0.973
26.714,0.969
26.744,0.974
26.774,0.968
26.804,0.967
26.834,0.970
26.864,0.970
26.894,0.970
26.924,0.974
26.954,0.970
26.984,0.971
27.014,0.971
27.044,0.970
27.074,0.966
27.104,0.967
27.134,0.988
27.164,0.969
27.194,0.967
27.224,0.967
27.254,0.967
27.284,0.973
27.314,0.973
27.344,0.974
27.374,0.971
27.404,0.974
27.434,0.970
27.464,0.969
27.494,0.972
27.524,0.974
27.554,0.972
27.584,0.963
27.614,0.966
27.644,0.972
27.674,0.975
27.704,0.971
27.734,0.970
27.764,0.973
27.794,0.973
27.824,0.969
27.854,0.971
27.884,0.973
27.914,0.962
27.944,0.988
27.974,0.971
28.004,0.966
28.034,0.966
28.064,0.975
28.094,0.975
28.124,0.968
28.154,0.979
28.184,0.967
28.214,0.976
28.244,0.974
28.274,0.971
28.304,0.975
28.334,0.970
28.364,0.971
28.394,0.970
28.424,0.973
28.454,0.971
28.484,0.972
28.514,0.973
28.544,0.972
28.574,0.971
28.604,0.969
28.634,0.975
28.664,0.959
28.694,0.976
28.724,0.984
28.754,0.965
28.784,0.966
28.814,0.970
28.844,0.971
28.874,0.975
28.904,0.973
28.934,0.961
28.964,0.980
28.994,0.973
29.024,0.973
29.054,0.969
29.084,0.970
29.114,0.968
29.144,0.970
29.174,0.965
29.204,0.970
29.234,0.971
29.264,0.973
29.294,0.969
29.324,0.969
29.354,0.970
29.384,0.970
29.414,0.983
29.444,0.972
29.474,0.965
29.504,0.969
29.534,0.970
29.564,0.973
29.594,0.970
29.624,0.976
29.654,0.968
29.684,0.970
29.714,0.968
29.744,0.974
29.774,0.976
29.804,0.969
29.834,0.970
29.864,0.969
29.894,0.969
29.924,0.972
29.954,0.968
29.984,0.966
30.014,0.975
30.044,0.964
30.074,0.981
30.104,0.976
30.134,0.972
30.164,0.967
30.194,0.969
30.224,0.969
30.254,0.974
30.284,0.975
30.314,0.966
30.344,0.976
30.374,0.970
30.404,0.967
30.434,0.969
30.464,0.969
30.494,0.972
30.524,0.969
30.554,0.967
30.584,0.971
30.614,0.970
30.644,0.973
30.674,0.971
30.704,0.965
30.734,0.971
30.764,0.986
30.794,0.963
30.824,0.969
30.854,0.970
30.884,0.969
30.914,0.970
30.944,0.973
30.974,0.978
31.004,0.969
31.034,0.977
31.064,0.972
31.094,0.966
31.124,0.969
31.154,0.967
31.184,0.966
31.214,0.967
31.244,0.967
31.274,0.969
31.304,0.968
31.334,0.964
31.364,0.966
31.394,0.970
31.424,0.958
31.454,0.980
31.484,0.973
31.514,0.960
31.544,0.967
31.574,0.966
31.604,0.965
31.634,0.969
31.664,0.971
31.694,0.962
31.724,0.968
31.754,0.969
31.784,0.967
31.814,0.974
31.844,0.969
31.874,0.971
31.904,0.971
31.934,0.969
31.964,0.967
31.994,0.963
32.024,0.970
32.054,0.970
32.084,0.966
32.114,0.972
32.144,0.968
32.174,0.961
32.204,0.978
32.234,0.979
32.264,0.961
32.294,0.966
32.324,0.965
32.354,0.969
32.384,0.971
32.414,0.972
32.444,0.966
32.474,0.967
32.504,0.971
32.534,0.967
32.564,0.968
32.594,0.970
32.624,0.965
32.654,0.968
32.684,0.966
32.714,0.968
32.744,0.970
32.774,0.968
32.804,0.970
32.834,0.970
32.864,0.970
32.894,0.965
32.924,0.963
32.954,0.969
32.984,0.960
33.014,0.983
33.044,0.967
33.074,0.963
33.104,0.963
33.134,0.967
33.164,0.970
33.194,0.973
33.224,0.972
33.254,0.966
33.284,0.975
33.314,0.967
33.344,0.973
33.374,0.972
33.404,0.973
33.434,0.968
33.464,0.964
33.494,0.963
33.524,0.965
33.554,0.955
33.584,0.974
33.614,0.970
33.644,0.975
33.674,0.971
33.704,0.972
33.734,0.976
33.764,0.959
33.794,0.967
33.824,0.980
33.854,0.963
33.884,0.966
33.914,0.970
33.944,0.963
33.974,0.964
34.004,0.967
34.034,0.959
34.064,0.964
34.094,0.964
34.124,0.967
34.154,0.962
34.184,0.965
34.214,0.963
34.244,0.953
34.274,0.958
34.304,0.964
34.334,0.965
34.364,0.960
34.394,0.965
34.424,0.964
34.454,0.966
34.484,0.959
34.514,0.956
34.544,0.982
34.574,0.963
34.604,0.950
34.634,0.961
34.664,0.958
34.694,0.955
34.724,0.966
34.754,0.970
34.784,0.951
34.814,0.971
34.844,0.965
34.874,0.963
34.904,0.963
34.934,0.963
34.964,0.956
34.994,0.962
35.024,0.958
35.054,0.955
35.084,0.961
35.114,0.961
35.144,0.971
35.174,0.947
35.204,0.964
35.234,0.972
35.264,0.954
35.294,0.953
35.324,0.956
35.354,0.965
35.384,0.961
35.414,0.954
35.444,0.954
35.474,0.975
35.504,0.958
35.534,0.957
35.564,0.964
35.594,0.968
35.624,0.952
35.654,0.954
35.684,0.961
35.714,0.969
35.744,0.961
35.774,0.964
35.804,0.953
35.834,0.956
35.864,0.976
35.894,0.960
35.924,0.967
35.954,0.958
35.984,0.957
36.014,0.968
36.044,0.968
36.074,0.968
36.104,0.963
36.134,0.965
36.164,0.960
36.194,0.961
36.224,0.965
36.254,0.960
36.284,0.955
36.314,0.960
36.344,0.954
36.374,0.958
36.404,0.971
36.434,0.962
36.464,0.960
36.494,0.970
36.524,0.963
36.554,0.955
36.584,0.956
36.614,0.957
36.644,0.969
36.674,0.974
36.704,0.971
36.734,0.956
36.764,0.967
36.794,0.962
36.824,0.959
36.854,0.965
36.884,0.965
36.914,0.958
36.944,0.962
36.974,0.962
37.004,0.965
37.034,0.964
37.064,0.962
37.094,0.962
37.124,0.974
37.154,0.959
37.184,0.963
37.214,0.956
37.244,0.961
37.274,0.965
37.304,0.968
37.334,0.966
37.364,0.958
37.394,0.967
37.424,0.969
37.454,0.965
37.484,0.961
37.514,0.964
37.544,0.964
37.574,0.962
37.604,0.960
37.634,0.962
37.664,0.953
37.694,0.966
37.724,0.974
37.754,0.960
37.784,0.975
37.814,0.979
37.844,0.964
37.874,0.962
37.904,0.958
37.934,0.960
37.964,0.969
37.994,0.969
38.024,0.965
38.054,0.963
38.084,0.967
38.114,0.966
38.144,0.965
38.174,0.970
38.204,0.959
38.234,0.963
38.264,0.962
38.294,0.967
38.324,0.962
38.354,0.964
38.384,0.968
38.414,0.964
38.444,0.965
38.474,0.963
38.504,0.963
38.534,0.979
38.564,0.961
38.594,0.961
38.624,0.961
38.654,0.961
38.684,0.966
38.714,0.966
38.744,0.969
38.774,0.962
38.804,0.969
38.834,0.963
38.864,0.963
38.894,0.968
38.924,0.964
38.954,0.962
38.984,0.966
39.014,0.962
39.044,0.961
39.074,0.963
39.104,0.963
39.134,0.964
39.164,0.962
39.194,0.962
39.224,0.960
39.254,0.967
39.284,0.956
39.314,0.975
39.344,0.967
39.374,0.958
39.404,0.964
39.434,0.956
39.464,0.959
39.494,0.961
39.524,0.964
39.554,0.950
39.584,0.960
39.614,0.960
39.644,0.955
39.674,0.959
39.704,0.964
39.734,0.963
39.764,0.964
39.794,0.966
39.824,0.968
39.854,0.966
39.884,0.970
39.914,0.968
39.944,0.971
39.974,0.974
40.004,0.973
40.034,0.974
40.064,0.973
40.094,0.971
40.124,0.988
40.154,0.983
40.184,0.977
40.214,0.976
40.244,0.980
40.274,0.976
40.304,0.983
40.334,0.980
40.364,0.973
40.394,0.982
40.424,0.977
40.454,0.975
40.484,0.979
40.514,0.985
40.544,0.984
40.574,0.978
40.604,0.974
40.634,0.979
40.664,0.976
40.694,0.985
40.724,0.982
40.754,0.982
40.784,0.976
40.814,0.977
40.844,0.972
40.874,0.996
40.904,0.983
40.934,0.973
40.964,0.976
40.994,0.975
41.024,0.977
41.054,0.979
41.084,0.981
41.114,0.975
41.144,0.981
41.174,0.979
41.204,0.979
41.234,0.979
41.264,0.979
41.294,0.978
41.324,0.978
41.354,0.977
41.384,0.979
41.414,0.977
41.444,0.985
41.474,0.981
41.504,0.989
41.534,0.967
41.564,0.972
41.594,0.993
41.624,0.979
41.654,0.973
41.684,0.975
41.714,0.979
41.744,0.984
41.774,0.982
41.804,0.978
41.834,0.971
41.864,0.988
41.894,0.995
41.924,0.970
41.954,0.972
41.984,0.979
42.014,0.975
42.044,0.982
42.074,0.983
42.104,0.985
42.134,0.982
42.164,0.966
42.194,0.960
42.224,0.953
42.254,0.962
42.284,0.988
42.314,0.981
42.344,0.975
42.374,0.958
42.404,0.979
42.434,0.978
42.464,0.974
42.494,0.986
42.524,0.969
42.554,0.966
42.584,0.984
42.614,0.969
42.644,0.969
42.674,0.985
42.704,0.998
42.734,0.988
42.764,0.979
42.794,0.971
42.824,0.959
42.854,0.964
42.884,0.969
42.914,0.977
42.944,0.979
42.974,0.991
43.004,0.978
43.034,0.973
43.064,0.977
43.094,0.981
43.124,0.980
43.154,0.982
43.184,0.988
43.214,0.987
43.244,0.982
43.274,0.986
43.304,0.980
43.334,0.979
43.364,0.990
43.394,1.004
43.424,0.987
43.454,0.989
43.484,0.995
43.514,0.984
43.544,0.984
43.574,1.000
43.604,1.001
43.634,0.988
43.664,0.994
43.694,1.002
43.724,0.999
43.754,1.001
43.784,0.984
43.814,0.995
43.844,1.002
43.874,0.993
43.904,0.990
43.934,0.988
43.964,1.000
43.994,1.000
44.024,0.993
44.054,0.994
44.084,1.005
44.114,0.987
44.144,0.963
44.174,0.976
44.204,1.012
44.234,0.971
44.264,0.961
44.294,1.038
44.324,1.020
44.354,0.956
44.384,1.011
44.414,1.021
44.444,0.991
44.474,0.974
44.504,1.010
44.534,0.998
44.564,1.014
44.594,1.017
44.624,1.017
44.654,1.026
44.684,1.020
44.714,1.022
44.744,1.009
44.774,0.988
44.804,0.992
44.834,0.981
44.864,0.998
44.894,1.010
44.924,0.981
44.954,0.973
44.984,0.990
45.014,0.992
45.044,0.990
45.074,0.985
45.104,0.980
45.134,0.972
45.164,0.960
45.194,0.961
45.224,0.962
45.254,0.969
45.284,0.981
45.314,0.963
45.344,0.970
45.374,0.980
45.404,0.984
45.434,0.975
45.464,0.969
45.494,0.968
45.524,0.977
45.554,0.974
45.584,0.967
45.614,0.983
45.644,0.971
45.674,0.958
45.704,0.980
45.734,0.969
45.764,0.966
45.794,0.983
45.824,0.987
45.854,0.976
45.884,0.988
45.914,0.993
45.944,0.981
45.974,0.965
46.004,0.982
46.034,0.981
46.064,0.956
46.094,0.978
46.124,0.975
46.154,0.973
46.184,0.982
46.214,1.001
46.244,0.951
46.274,0.969
46.304,0.950
46.334,0.938
46.364,0.947
46.394,0.958
46.424,0.954
46.454,0.941
46.484,0.960
46.514,0.956
46.544,0.955
46.574,0.954
46.604,0.951
46.634,0.955
46.664,0.958
46.694,0.947
46.724,0.958
46.754,0.974
46.784,0.952
46.814,0.936
46.844,0.942
46.874,0.958
46.904,0.959
46.934,0.938
46.964,0.997
46.994,0.941
47.024,0.951
47.054,0.977
47.084,0.954
47.114,0.920
47.144,0.973
47.174,0.969
47.204,0.958
47.234,0.955
47.264,0.951
47.294,0.969
47.324,0.967
47.354,0.971
47.384,0.940
47.414,0.978
47.444,0.967
47.474,0.929
47.504,0.985
47.534,0.975
47.564,0.929
47.594,0.973
47.624,0.961
47.654,0.959
47.684,0.994
47.714,1.004
47.744,0.936
47.774,0.948
47.804,0.969
47.834,0.998
47.864,0.985
47.894,0.946
47.924,0.960
47.954,0.980
47.984,0.985
48.014,0.965
48.044,0.960
48.074,0.961
48.104,0.971
48.134,0.958
48.164,0.979
48.194,0.982
48.224,0.967
48.254,0.970
48.284,0.977
48.314,0.970
48.344,0.968
48.374,0.973
48.404,0.961
48.434,0.977
48.464,0.972
48.494,0.973
48.524,0.976
48.554,0.972
48.584,0.972
48.614,0.973
48.644,0.974
48.674,0.965
48.704,0.968
48.734,0.978
48.764,0.960
48.794,0.973
48.824,0.990
48.854,0.968
48.884,0.972
48.914,0.976
48.944,0.978
48.974,0.977
49.004,0.982
49.034,0.974
49.064,0.978
49.094,0.974
49.124,0.976
49.154,0.980
49.184,0.977
49.214,0.975
49.244,0.979
49.274,0.978
49.304,0.974
49.334,0.970
49.364,0.981
49.394,0.965
49.424,0.987
49.454,0.979
49.484,0.965
49.514,0.973
49.544,0.975
49.574,0.978
49.604,0.974
49.634,0.982
49.664,0.971
49.694,0.979
49.724,0.974
49.754,0.974
49.784,0.976
49.814,0.973
49.844,0.972
49.874,0.975
49.904,0.975
49.934,0.979
49.964,0.975
49.994,0.972
50.024,0.971
50.054,0.996
50.084,0.975
50.114,0.972
50.144,0.973
50.174,0.975
50.204,0.972
50.234,0.977
50.264,0.984
50.294,0.971
50.324,0.980
50.354,0.976
50.384,0.976
50.414,0.970
50.444,0.976
50.474,0.971
50.504,0.971
50.534,0.973
50.564,0.976
50.594,0.979
50.624,0.980
50.654,0.965
50.684,0.976
50.714,0.982
50.744,0.972
50.774,0.974
50.804,0.971
50.834,0.969
50.864,0.975
50.894,0.973
50.924,0.979
50.954,0.970
50.984,0.978
51.014,0.975
51.044,0.972
51.074,0.973
51.104,0.977
51.134,0.973
51.164,0.970
51.194,0.979
51.224,0.974
51.254,0.971
51.284,0.971
51.314,0.971
51.344,0.972
51.374,0.985
51.404,0.971
51.434,0.969
51.464,0.967
51.494,0.972
51.524,0.972
51.554,0.977
51.584,0.976
51.614,0.973
51.644,0.979
51.674,0.973
51.704,0.968
51.734,0.974
51.764,0.974
51.794,0.976
51.824,0.975
51.854,0.973
51.884,0.973
51.914,0.976
51.944,0.969
51.974,0.970
52.004,0.979
52.034,0.977
52.064,0.963
52.094,0.975
52.124,0.987
52.154,0.973
52.184,0.974
52.214,0.970
52.244,0.969
52.274,0.974
52.304,0.975
52.334,0.974
52.364,0.972
52.394,0.979
52.424,0.973
52.454,0.970
52.484,0.970
52.514,0.973
52.544,0.979
52.574,0.971
52.604,0.972
52.634,0.971
52.664,0.979
52.694,0.979
52.724,0.975
52.754,0.972
52.784,0.978
52.814,0.975
52.844,0.966
52.874,0.979
52.904,0.988
52.934,0.969
52.964,0.968
52.994,0.977
53.024,0.974
53.054,0.978
53.084,0.977
53.114,0.968
53.144,0.985
53.174,0.976
53.204,0.976
53.234,0.976
53.264,0.973
53.294,0.978
53.324,0.975
53.354,0.976
53.384,0.975
53.414,0.977
53.444,0.974
53.474,0.978
53.504,0.973
53.534,0.974
53.564,0.978
53.594,0.961
53.624,0.985
53.654,0.985
53.684,0.971
53.714,0.966
53.744,0.970
53.774,0.978
53.804,0.978
53.834,0.975
53.864,0.969
53.894,0.985
53.924,0.977
53.954,0.979
53.984,0.980
54.014,0.973
54.044,0.969
54.074,0.977
54.104,0.981
54.134,0.981
54.164,0.979
54.194,0.975
54.224,0.976
54.254,0.976
54.284,0.979
54.314,0.965
54.344,0.976
54.374,0.984
54.404,0.971
54.434,0.972
54.464,0.976
54.494,0.976
54.524,0.977
54.554,0.975
54.584,0.979
54.614,0.974
54.644,0.981
54.674,0.975
54.704,0.976
54.734,0.974
54.764,0.972
54.794,0.977
54.824,0.974
54.854,0.974
54.884,0.981
54.914,0.980
54.944,0.973
54.974,0.978
55.004,0.978
55.034,0.967
55.064,0.979
55.094,0.986
55.124,0.970
55.154,0.973
55.184,0.972
55.214,0.978
55.244,0.977
55.274,0.977
55.304,0.978
55.334,0.974
55.364,0.983
55.394,0.975
55.424,0.976
55.454,0.977
55.484,0.974
55.514,0.976
55.544,0.973
55.574,0.973
55.604,0.975
55.634,0.974
55.664,0.976
55.694,0.975
55.724,0.976
55.754,0.970
55.784,0.975
55.814,0.991
55.844,0.968
55.874,0.974
55.904,0.976
55.934,0.973
55.964,0.975
55.994,0.979
56.024,0.978
56.054,0.974
56.084,0.979
56.114,0.979
56.144,0.974
56.174,0.974
56.204,0.974
56.234,0.976
56.264,0.978
56.294,0.976
56.324,0.977
56.354,0.977
56.384,0.971
56.414,0.977
56.444,0.976
56.474,0.974
56.504,0.968
56.534,0.975
56.564,0.991
