df_hash,22ZHK4.DKUMNH
149.534,10
149.651,670
149.791,165
149.805,80
149.940,10
150.327,15
150.331,425
150.474,195
150.912,15
151.597,500
151.741,685
152.277,190
153.009,515
153.544,680
153.837,655
154.229,205
154.958,465
155.060,685
155.225,180
155.252,15
155.266,10
155.274,10
155.280,10
155.497,20
155.648,45
155.787,345
155.793,190
156.177,20
156.874,450
157.153,645
157.591,240
157.738,415
158.127,170
158.130,465
158.810,10
159.105,635
159.549,220
160.272,455
160.375,685
160.665,185
160.760,20
161.491,465
162.176,680
162.368,685
162.861,10
163.003,685
163.539,175
164.124,475
164.807,625
165.391,650
165.643,625
165.684,200
165.687,10
165.690,20
165.732,20
165.736,20
165.739,15
165.742,10
165.824,10
165.836,10
165.860,15
166.074,10
166.610,300
167.292,645
167.297,640
167.439,10
167.443,165
167.487,15
167.591,10
167.634,15
167.638,15
167.641,15
167.645,10
167.732,10
167.757,15
168.024,75
168.804,280
169.389,695
169.392,715
170.120,10
170.803,705
171.486,705
171.632,695
172.071,155
172.753,500
173.143,595
173.150,435
173.290,240
175.245,630
175.408,1215
175.778,250
176.360,375
177.043,610
177.191,655
177.287,155
177.342,25
177.485,40
177.489,15
177.729,15
178.312,370
178.457,660
178.554,130
178.558,55
178.606,15
178.993,15
179.140,395
179.578,195
180.261,455
180.265,630
180.943,15
181.089,675
181.096,120
181.236,60
181.244,15
181.334,10
181.519,400
182.211,705
182.215,10
182.383,10
182.454,125
182.474,10
182.603,60
182.899,15
183.430,405
183.576,675
184.990,10
185.673,1415
186.365,695
186.940,690
186.943,640
187.185,10
187.623,235
188.158,410
188.890,620
189.426,620
189.572,620
189.576,180
189.719,15
190.742,15
190.791,1075
190.841,10
190.938,100
191.230,30
192.644,420
192.648,1380
192.744,10
192.887,120
192.891,70
192.895,15
193.034,10
193.326,415
194.594,670
194.839,665
194.843,195
194.846,10
194.850,15
194.892,10
194.984,10
194.989,10
195.277,10
195.861,375
196.495,660
196.642,630
196.645,155
196.690,20
196.693,15
196.788,10
196.791,15
197.080,20
197.763,400
198.348,615
198.596,630
199.030,180
199.183,445
199.225,175
199.229,15
199.235,15
199.238,10
199.566,15
200.305,415
200.395,645
200.406,165
200.547,20
200.555,10
200.693,10
200.696,10
200.699,15
200.980,25
201.517,395
201.809,655
201.813,165
201.956,20
201.967,20
202.199,35
202.346,400
203.180,185
203.473,470
204.150,640
204.734,655
205.432,630
205.767,655
206.099,325
206.392,375
207.521,205
207.662,1145
207.903,10
209.317,505
210.000,1340
210.584,665
210.828,645
210.832,175
210.878,15
210.887,10
210.894,15
210.974,10
211.269,10
211.852,375
211.869,640
212.501,10
213.082,625
213.754,640
214.485,650
215.024,650
215.703,665
215.854,670
216.001,270
216.044,15
216.975,355
217.121,645
217.654,10
217.799,630
218.238,155
218.970,470
219.458,620
220.140,620
220.725,620
220.871,635
220.973,175
221.017,10
221.020,10
221.023,15
221.115,10
221.118,15
221.407,65
221.411,325
221.997,10
222.714,635
222.858,650
223.359,195
223.504,495
223.508,180
223.553,15
223.556,15
223.559,10
223.650,10
223.653,10
223.894,40
224.040,365
224.674,10
225.307,650
225.311,650
225.844,10
226.575,645
227.111,625
227.794,625
228.404,620
228.528,615
228.623,10
228.627,170
228.671,10
228.674,15
228.677,10
228.866,10
228.929,15
229.598,350
230.879,625
231.011,1230
231.015,190
231.157,10
231.161,15
231.172,25
231.206,15
231.210,10
231.213,15
231.217,85
231.464,195
232.669,1225
232.815,10
232.819,175
232.864,10
232.867,10
232.878,15
232.961,15
233.259,15
233.352,400
233.355,10
233.360,10
233.400,175
233.498,15
235.058,350
235.594,1205
236.276,640
237.012,640
237.106,680
237.134,10
237.545,125
238.227,465
239.495,695
240.091,1270
241.545,620
242.030,1375
243.102,580
243.105,1010
243.248,245
245.347,1385
246.035,670
246.710,665
246.761,735
247.982,10
248.683,1265
249.280,645
249.537,640
249.830,225
250.464,350
251.050,610
251.585,595
251.588,580
251.731,10
251.734,130
251.737,20
251.877,15
251.880,10
252.316,10
253.048,430
253.340,695
253.343,270
253.534,10
253.539,25
253.828,250
254.266,275
254.949,425
255.339,650
256.758,590
257.045,1290
258.023,265
258.027,1040
258.117,10
258.122,115
258.215,15
258.222,10
258.316,15
258.557,10
259.824,350
260.019,1315
260.116,135
260.121,65
260.360,10
261.194,385
261.779,635
262.749,690
262.782,950
262.915,10
262.918,170
262.944,10
263.139,225
264.553,785
265.410,715
266.064,750
266.851,700
267.332,700
267.676,640
267.680,180
267.683,40
268.014,10
268.992,435
269.331,1030
270.110,300
270.114,720
270.964,10
271.917,845
272.620,950
272.748,830
273.620,10
273.623,855
274.303,10
274.401,810
275.134,10
275.278,725
275.473,170
275.524,80
275.863,10
276.012,455
276.015,200
276.497,20
277.179,495
277.183,675
277.325,10
277.329,215
277.618,10
277.764,390
278.061,190
278.593,255
279.279,300
279.327,730
279.330,10
279.333,10
279.720,15
279.961,370
280.982,230
280.985,1065
281.372,10
281.375,400
281.521,10
281.570,90
281.576,20
281.665,15
281.811,235
281.815,15
281.958,10
281.966,10
281.970,10
282.007,10
282.203,235
283.809,695
284.057,990
284.099,280
284.739,10
285.272,715
285.959,590
286.101,720
286.248,215
287.226,345
287.515,660
287.758,265
288.541,330
288.544,705
289.172,10
289.176,605
289.319,275
290.440,305
291.366,720
291.853,940
292.828,440
292.832,870
293.024,165
293.404,15
294.342,525
294.784,990
295.412,475
296.145,690
296.388,680
296.924,310
298.094,340
298.776,1330
299.605,630
299.946,730
299.950,285
299.995,15
300.001,10
300.007,10
300.092,10
300.098,10
300.144,10
300.290,10
300.294,10
300.296,15
301.555,990
302.246,720
302.823,660
303.115,660
303.652,290
304.871,455
306.138,1235
306.822,1350
307.113,635
307.551,330
308.917,385
309.746,1450
310.331,790
311.308,560
311.996,895
312.671,785
314.100,675
314.620,1455
314.962,590
314.965,180
315.352,10
315.790,460
315.794,460
316.574,10
316.717,850
316.719,10
316.723,10
316.863,10
316.866,170
317.887,350
318.037,600
318.280,250
318.283,10
318.485,10
319.106,325
320.326,675
320.958,1270
322.274,665
322.569,1375
322.616,220
322.619,15
322.624,15
322.627,20
322.730,30
322.772,15
322.781,10
322.784,10
322.789,15
323.006,15
323.690,270
324.225,675
324.371,660
324.517,155
324.520,25
324.956,25
325.638,435
325.785,690
326.321,130
326.467,530
326.617,255
326.906,25
327.023,405
327.060,10
327.150,25
327.589,190
328.010,450
328.154,585
329.246,700
329.539,310
330.373,350
330.904,675
331.054,740
331.196,220
333.000,520
333.682,1330
334.268,655
334.513,655
334.519,165
334.522,30
334.560,10
334.953,15
336.364,425
337.193,1380
338.022,860
338.854,890
339.825,750
340.508,975
341.239,695
341.242,745
341.246,10
341.336,10
341.483,240
342.486,335
343.189,705
343.192,705
343.873,10
344.022,600
344.423,130
344.700,460
344.705,260
345.139,10
345.443,435
346.504,270
347.187,1110
348.016,730
348.769,775
349.429,835
349.433,635
349.722,260
350.843,400
350.945,880
352.744,1160
353.037,610
353.366,320
353.768,280
354.310,475
354.841,525
355.572,490
355.575,785
355.816,15
355.819,15
356.111,285
356.260,10
357.571,310
358.058,1295
358.740,580
359.472,650
360.057,675
360.691,610
360.983,725
360.986,295
361.032,15
361.324,10
362.105,290
362.787,730
362.982,680
362.987,135
363.030,10
363.372,15
364.055,485
364.737,700
365.727,705
366.249,735
366.995,735
367.662,740
368.345,690
369.174,685
369.613,805
370.978,485
371.274,1330
372.391,305
372.684,1200
373.073,290
373.659,365
373.903,635
374.198,330
375.170,260
376.437,865
376.442,1225
376.730,25
377.412,360
378.565,695
378.772,1200
380.486,1460
380.630,295
382.142,265
382.824,1445
382.831,730
382.922,55
383.132,180
384.629,395
385.457,1275
386.042,795
386.578,480
387.163,570
387.846,675
388.528,585
389.382,745
390.916,780
391.014,1635
391.018,55
391.063,15
391.066,10
391.070,10
391.998,20
392.138,930
392.428,15
392.721,455
393.111,235
393.843,515
394.263,635
394.525,440
394.690,280
395.063,195
397.449,980
397.741,10
397.839,345
397.988,180
397.992,10
399.253,1280
399.546,15
399.550,330
399.789,225
400.960,905
400.963,210
401.349,10
401.397,470
402.860,10
402.863,1460
403.543,10
404.128,665
404.826,660
405.639,660
406.078,835
406.809,405
406.812,690
406.956,10
407.321,100
408.131,535
408.174,735
408.177,15
408.223,10
408.226,15
408.229,10
408.419,210
408.664,10
408.856,340
408.859,165
409.247,10
410.124,445
410.514,790
411.201,420
411.782,635
412.464,640
413.293,720
413.443,770
413.488,165
413.497,15
413.500,10
413.503,10
414.560,10
414.563,1060
414.609,10
414.612,15
414.618,25
414.707,165
416.218,775
417.632,755
418.168,1295
418.825,670
418.855,705
419.680,655
420.462,10
421.191,760
421.924,790
422.192,865
422.196,10
422.211,110
422.218,10
422.312,10
422.315,10
422.363,10
422.751,15
423.725,620
423.872,1020
425.140,15
425.286,1350
425.383,165
425.386,55
426.212,10
426.261,815
426.360,110
426.655,15
427.334,325
427.918,660
428.162,920
429.283,530
430.551,545
430.697,1305
430.712,155
430.746,10
430.848,15
431.234,15
432.062,540
432.650,825
433.623,310
434.841,1220
435.185,1270
435.239,250
435.252,15
435.263,10
435.572,15
436.792,345
437.426,1245
438.062,625
438.595,620
439.180,590
439.869,630
440.691,695
440.695,715
440.740,85
440.743,15
440.746,10
440.750,15
440.842,10
440.935,10
440.988,10
440.992,200
440.995,20
441.001,10
441.277,215
442.251,685
442.255,300
442.300,15
442.303,10
442.306,10
442.351,10
442.355,20
442.357,15
442.495,15
442.498,15
442.501,10
442.511,185
443.470,665
444.445,340
444.592,1020
445.128,155
445.420,470
446.395,295
446.541,1020
446.836,85
446.882,250
446.885,15
446.889,10
446.892,15
446.932,15
446.980,195
448.507,615
448.589,910
449.028,10
449.617,445
450.152,585
450.348,610
450.855,10
450.929,630
451.417,10
451.958,555
452.538,615
452.541,590
452.636,10
452.785,260
452.790,10
453.757,340
454.637,635
455.180,755
455.323,665
455.463,10
455.560,240
455.564,130
455.853,35
455.856,260
456.683,10
458.096,765
458.636,1380
459.460,650
459.484,690
459.539,140
459.662,15
459.665,55
459.668,15
459.757,10
459.899,20
460.582,340
460.584,635
461.167,10
462.385,615
463.653,1155
463.835,1365
464.044,10
464.336,415
465.750,270
466.434,1385
466.441,715
466.724,10
467.261,280
