df_hash,22ZHK4.PAAYSG
181.271,755
181.280,345
181.415,10
181.423,80
181.951,10
181.957,275
182.390,10
182.536,750
183.219,205
183.755,595
184.486,600
185.175,715
186.387,625
186.679,1305
187.314,290
188.240,610
188.243,975
188.630,10
189.459,435
190.287,805
190.580,755
190.583,325
191.019,15
191.262,370
191.265,285
191.850,10
192.534,525
192.696,775
192.847,240
192.971,10
193.900,415
194.626,690
195.309,730
196.142,760
196.430,735
196.432,310
196.723,20
197.551,330
198.234,760
199.063,775
199.788,750
200.574,765
201.305,775
201.454,690
201.463,265
201.548,10
201.552,15
201.695,135
201.698,10
202.670,255
203.551,775
204.230,770
205.107,745
205.744,810
206.570,765
207.406,795
208.132,830
208.538,805
208.562,340
208.666,10
208.672,20
208.763,135
208.973,260
210.474,760
211.153,735
211.889,710
212.713,805
213.395,785
214.223,730
214.907,785
215.637,750
215.881,690
215.884,195
215.930,15
215.933,10
215.936,10
216.320,15
217.149,485
217.831,785
217.978,735
218.155,255
218.270,10
218.273,160
218.276,10
218.416,35
218.419,35
218.515,15
218.563,195
220.079,775
220.464,770
220.618,485
220.707,15
220.711,15
220.716,50
220.908,180
222.023,725
222.999,385
223.145,1060
223.535,395
224.948,965
225.631,610
226.313,705
227.142,705
227.623,735
227.727,505
227.733,10
227.737,155
227.828,10
229.239,795
230.067,750
230.807,720
231.887,780
232.164,990
233.578,390
233.821,1370
235.089,305
235.479,1325
236.604,290
236.606,1125
237.039,10
238.014,480
238.554,1000
239.023,570
239.529,385
240.549,495
242.060,1080
242.542,1485
243.182,455
243.279,735
243.287,85
245.229,1290
245.673,625
246.496,420
247.910,915
247.913,1425
248.007,10
248.011,20
248.154,45
248.158,60
248.164,10
248.397,25
248.407,10
248.592,45
248.739,600
249.568,790
249.812,10
251.277,285
251.907,940
251.911,1105
251.914,10
252.054,130
253.711,1145
254.832,560
256.100,1095
257.221,1345
257.470,1110
258.050,280
259.709,490
259.854,1680
259.858,165
259.954,15
259.958,70
260.000,10
260.005,10
260.146,15
260.149,185
262.340,1365
262.926,865
263.461,605
263.607,585
263.998,10
265.511,550
265.954,1275
267.215,595
267.225,1225
267.264,15
267.267,10
267.270,10
267.313,10
267.317,10
267.321,15
267.324,10
267.757,10
267.900,530
268.337,15
268.873,565
269.458,485
269.994,630
270.287,600
270.583,220
271.408,315
272.236,845
272.529,860
273.212,270
273.468,660
273.748,265
274.431,340
275.016,630
275.576,615
275.603,545
276.234,10
276.283,620
276.381,225
278.087,995
279.452,715
279.598,1340
279.602,185
279.764,10
279.793,10
279.796,25
280.036,75
280.573,285
281.553,485
281.842,995
281.849,265
282.529,10
283.100,680
283.352,570
283.355,310
283.400,10
283.404,10
283.407,15
283.791,35
284.327,315
285.009,660
285.596,625
286.328,630
286.332,655
286.813,10
287.550,585
287.934,710
288.080,375
288.086,125
288.768,65
288.960,665
289.499,15
289.548,630
289.738,10
290.030,310
290.036,285
290.713,10
290.718,660
290.764,15
290.769,10
291.298,15
291.834,580
292.547,505
292.956,710
293.101,370
293.930,255
294.905,745
295.198,1040
296.710,260
297.245,1475
297.249,615
297.939,10
298.516,650
299.786,610
300.027,1245
301.145,265
301.150,1165
301.196,10
301.199,15
301.438,10
301.974,275
303.096,550
303.242,1145
303.246,10
303.396,120
303.486,15
303.681,10
304.369,400
304.900,590
305.488,565
305.731,640
306.020,10
306.703,540
306.706,635
307.434,10
307.437,665
307.532,10
307.539,75
307.548,10
307.583,10
308.409,320
308.412,650
308.946,10
309.628,585
310.214,610
310.903,590
311.578,665
312.016,670
312.992,410
313.235,1045
313.239,220
313.528,10
313.967,380
314.119,340
315.332,235
315.478,1130
315.770,140
316.307,305
316.892,545
317.143,615
317.197,245
317.428,20
318.013,305
318.696,585
319.232,625
320.060,625
320.207,780
320.210,175
320.890,410
321.865,280
322.450,965
323.132,630
323.717,635
324.402,630
324.936,600
325.524,625
326.203,600
326.886,645
327.422,635
327.425,585
328.162,10
328.166,590
328.690,10
329.274,640
329.961,565
329.995,690
330.401,100
331.615,425
332.591,1265
332.735,925
332.739,175
332.882,30
334.150,10
335.430,1385
335.514,1170
335.807,10
335.811,485
337.027,10
337.172,1215
337.175,10
337.464,345
337.467,15
337.513,20
337.516,25
337.519,20
337.615,140
337.760,10
340.097,1175
340.780,1305
341.364,640
341.657,635
342.876,280
343.492,1230
343.998,605
344.534,540
344.826,565
345.272,265
345.801,455
346.386,565
346.487,545
346.532,90
346.536,15
346.539,15
347.081,20
347.458,525
348.287,440
348.290,780
348.580,10
348.730,295
349.172,240
350.140,10
350.676,1290
352.089,580
352.235,1370
352.240,235
352.333,130
352.336,10
352.626,255
353.309,10
353.893,630
355.258,625
355.404,1435
355.551,10
355.709,280
355.751,10
355.757,10
355.762,70
355.771,10
355.973,210
356.684,725
356.821,10
356.824,10
357.355,30
358.476,710
358.866,1005
359.305,495
360.426,405
361.109,1135
361.791,730
361.794,625
362.376,10
363.598,640
365.008,1240
365.015,1355
365.301,10
365.305,20
365.309,20
365.694,450
367.104,1325
367.349,250
367.497,315
367.790,220
367.793,10
369.201,345
369.298,1230
369.304,140
369.458,100
369.494,10
369.499,10
369.907,360
370.033,240
371.687,960
372.662,660
373.344,1050
373.783,630
373.789,500
373.883,10
375.734,1525
375.831,340
376.416,190
376.419,500
376.562,125
376.565,85
377.245,10
377.391,740
377.394,20
377.537,230
377.540,10
377.790,250
378.073,260
378.219,150
378.223,10
378.372,15
379.734,760
379.831,745
379.834,15
379.838,55
380.170,10
380.559,310
380.563,505
381.291,10
381.681,640
381.827,495
381.833,15
381.879,115
381.884,10
381.982,125
383.924,1145
384.613,745
386.264,740
386.507,1835
389.884,2035
389.922,1455
390.166,10
390.264,255
392.113,10
393.088,2010
395.039,960
396.701,1860
397.281,1725
398.683,635
400.060,1300
401.035,1435
402.549,975
403.375,1605
404.204,810
405.363,785
405.621,1170
406.300,285
406.739,735
406.987,300
407.720,280
407.957,755
407.983,25
408.786,305
409.526,730
410.200,825
411.618,630
411.716,1410
411.720,10
411.734,30
411.742,15
411.768,10
412.150,10
412.832,430
414.106,815
414.782,1155
416.196,720
416.210,1450
416.602,15
417.732,380
417.854,1320
419.950,425
421.461,1625
421.753,1475
422.973,355
423.265,1225
423.560,300
424.532,310
425.068,980
425.654,570
426.336,510
426.496,760
426.659,10
426.926,185
427.165,10
427.311,515
427.316,210
427.459,100
427.555,15
429.115,1045
429.554,600
430.480,515
430.773,590
431.602,565
431.747,865
431.751,160
431.796,10
431.801,20
431.817,20
432.332,10
433.161,550
433.990,845
434.673,830
435.355,610
435.687,715
436.915,325
438.036,1190
438.427,1130
439.693,455
439.840,1350
440.523,10
441.507,810
442.472,865
442.475,1010
442.521,15
442.524,10
442.527,15
442.570,10
442.574,15
442.576,15
443.012,20
443.984,520
444.130,925
444.134,155
444.187,10
444.429,15
444.813,300
445.544,325
446.374,830
446.423,785
446.472,10
447.737,10
447.743,1380
447.789,10
448.030,210
449.687,760
449.693,1005
450.565,10
451.496,830
452.369,895
453.343,825
453.350,885
453.545,230
455.001,560
455.008,1000
455.151,10
455.294,245
455.297,65
455.586,10
456.367,350
456.659,770
456.805,455
457.249,330
457.787,10
458.770,310
460.559,1285
460.705,1840
460.709,80
460.756,15
460.760,10
461.390,15
462.217,560
462.509,910
462.512,315
463.045,10
463.923,510
464.751,930
464.849,800
464.853,145
464.897,20
464.901,15
464.907,10
464.996,15
464.999,10
465.092,20
465.096,30
465.337,245
465.434,240
465.440,10
465.483,10
465.581,145
465.726,10
465.731,15
465.775,40
465.780,30
465.784,10
465.788,10
467.093,585
467.189,725
468.069,10
468.652,765
469.480,860
469.900,855
469.903,395
470.319,10
471.137,420
471.141,810
471.820,10
472.942,675
473.773,1165
474.604,775
474.916,850
475.332,255
476.855,530
477.238,1495
477.494,600
479.620,1050
480.207,1085
480.742,405
481.863,725
482.252,1100
482.545,465
482.695,445
484.206,825
484.641,695
