df_hash,22ZHK4.PAAYSG
434.383,44
435.309,25
436.188,26
437.403,27
438.283,0
439.161,25
440.334,0
441.259,17
442.138,30
443.353,36
444.423,19
445.108,45
446.330,43
447.207,43
448.084,37
449.493,34
450.182,40
451.107,42
452.276,39
453.203,47
454.370,68
455.248,56
456.174,46
457.052,36
458.222,28
459.197,17
460.083,0
461.246,27
462.165,34
463.000,24
464.218,33
465.144,54
466.119,51
467.240,36
468.366,44
468.996,45
470.309,48
471.044,55
471.969,60
473.139,58
474.017,31
474.943,35
476.164,27
477.231,0
477.918,0
479.335,0
480.014,29
481.137,0
482.112,41
483.003,55
483.865,8
