df_hash,22ZHK4.LYE8RS
429.899,87
431.161,83
432.033,82
432.962,78
434.037,79
435.088,79
435.842,71
437.033,64
437.981,60
438.812,70
439.990,73
440.909,74
441.834,75
443.057,79
444.031,76
444.760,75
445.980,73
446.873,77
447.742,79
448.954,84
449.924,85
450.708,80
451.933,78
452.804,77
453.687,77
454.900,73
456.024,79
456.704,81
457.920,82
459.040,74
459.677,73
460.848,57
461.774,47
462.710,65
463.845,64
464.748,68
465.626,82
466.904,82
467.721,83
468.599,79
469.818,79
470.697,75
471.574,73
472.855,80
473.815,79
474.787,72
476.054,69
476.740,55
477.521,46
478.739,45
479.616,32
480.783,27
481.713,30
482.886,30
483.517,29
484.832,33
485.564,48
486.492,60
487.664,62
488.587,65
489.563,57
490.635,74
491.561,85
492.438,82
493.702,72
494.682,63
495.412,64
496.631,75
497.605,27
498.434,19
499.605,0
500.482,0
501.654,0
502.578,0
503.459,0
504.381,37
505.696,40
506.431,56
507.596,59
508.526,55
509.412,11
510.330,21
511.645,0
512.437,0
513.303,6
514.473,6
515.403,100
516.517,100
517.447,0
518.375,0
