df_hash,22ZHK4.DWJ61Z
190.167,575
190.171,560
190.800,10
190.803,580
191.288,10
191.873,570
191.876,560
192.560,10
193.092,595
193.677,605
194.359,610
194.895,590
194.900,565
195.481,10
196.017,585
196.563,575
197.284,620
197.287,670
198.503,10
199.089,1185
199.819,595
200.307,665
200.453,605
200.599,210
200.605,10
200.746,110
200.752,70
200.892,95
200.898,120
201.060,10
201.895,625
201.898,240
202.260,15
202.695,350
202.988,580
203.378,225
203.943,370
204.060,545
204.064,240
204.353,10
204.646,295
205.036,265
206.157,340
206.161,1090
206.595,90
206.599,430
207.132,10
207.863,480
207.964,795
208.741,10
209.375,705
209.526,725
209.570,185
209.575,15
209.579,10
209.618,10
210.058,25
210.739,470
211.470,710
212.153,705
212.835,705
212.839,680
213.518,10
214.250,675
214.786,680
215.079,655
215.468,185
216.200,480
216.882,665
217.419,675
217.431,670
218.149,10
218.832,670
218.835,635
218.880,10
219.076,240
219.908,825
219.953,15
220.051,235
222.147,1270
222.591,800
223.415,355
223.808,900
224.097,405
224.243,285
224.246,165
224.398,30
224.536,15
224.682,315
224.687,10
224.730,10
224.736,45
224.741,20
224.782,10
224.787,15
225.120,10
225.901,1115
225.906,15
225.949,15
225.953,20
226.198,15
227.044,325
227.171,745
227.174,10
227.314,270
227.318,10
227.495,205
228.707,1260
229.661,250
229.947,740
230.388,295
230.483,315
231.068,225
231.458,600
231.478,335
231.604,210
232.726,545
233.164,550
233.700,425
234.432,575
234.823,700
235.505,410
235.514,690
235.650,10
235.654,85
236.089,20
236.626,445
237.308,590
238.137,670
238.429,760
239.550,295
239.843,1195
240.087,260
241.647,325
241.799,1435
241.802,185
241.804,15
241.891,15
241.894,10
242.037,220
244.673,1375
246.086,1295
246.765,1200
247.351,930
248.180,555
248.423,850
248.426,205
249.156,10
249.303,710
249.544,10
250.137,500
250.666,560
251.055,525
251.061,385
251.348,10
251.933,270
251.937,550
252.469,10
252.615,550
252.619,140
252.624,50
253.444,15
254.127,830
254.579,595
255.394,490
255.398,880
255.446,10
255.701,235
255.735,10
256.225,520
257.491,645
257.737,655
258.173,235
259.002,385
259.005,865
259.148,10
259.152,155
259.299,15
259.304,10
259.441,210
260.415,1075
260.567,15
260.659,135
262.076,40
262.365,1405
262.369,320
262.414,10
262.418,10
262.422,10
262.561,10
262.565,10
262.568,10
262.618,240
262.902,230
264.030,415
264.198,700
264.416,150
264.422,75
264.427,10
264.705,10
265.243,385
265.834,650
266.510,610
267.095,610
267.631,610
267.923,610
267.926,200
267.980,10
268.313,20
268.898,375
268.995,595
268.999,155
269.046,15
269.049,20
269.052,10
269.057,10
269.143,10
269.434,25
270.117,325
270.702,655
270.708,565
271.948,10
272.508,1260
273.042,575
273.045,575
273.627,10
274.167,570
274.312,595
274.846,10
275.430,580
275.967,590
276.113,565
276.117,165
276.162,10
276.165,10
276.169,10
276.311,15
276.504,15
277.088,355
277.091,555
277.653,10
278.355,560
279.332,725
279.338,910
279.428,115
279.730,20
280.403,375
281.525,685
282.120,1095
282.353,590
282.507,320
282.548,10
282.654,240
283.182,505
283.767,10
283.913,530
284.888,195
285.425,990
286.112,585
286.692,630
287.277,560
287.280,590
287.529,10
287.765,240
288.351,280
288.886,605
289.861,505
289.864,1060
290.448,10
290.478,520
290.546,10
290.597,90
290.694,90
290.838,10
290.842,10
291.526,295
292.152,540
292.156,560
292.249,115
292.253,115
292.398,15
293.468,285
293.473,895
293.625,10
293.763,180
293.770,10
295.419,1470
296.102,315
296.247,690
296.693,175
297.368,455
297.954,630
298.100,605
298.197,280
298.200,10
299.174,320
299.318,625
299.323,160
299.370,10
299.373,15
299.467,15
299.566,10
299.860,10
300.293,415
300.586,540
301.420,195
301.959,820
302.649,640
303.514,615
303.901,955
303.904,335
304.050,15
304.194,240
305.466,520
305.510,785
305.518,10
305.851,15
306.436,385
307.125,570
307.313,635
307.801,10
308.337,685
308.436,665
308.439,10
308.495,15
308.630,185
308.776,135
308.779,10
308.922,225
309.166,170
309.214,50
309.756,590
309.947,30
310.094,15
310.189,15
310.203,285
310.729,10
311.263,620
311.847,480
312.920,625
313.363,1075
314.333,525
315.162,975
315.165,715
315.212,10
315.459,265
316.435,535
317.258,540
318.769,855
318.916,1440
319.062,305
319.065,20
319.111,10
319.599,555
320.573,10
321.092,925
321.597,530
321.600,455
322.136,10
322.691,615
323.206,515
324.181,565
325.448,945
325.985,1305
326.131,590
326.136,190
326.305,10
326.423,145
326.570,135
327.545,565
328.227,535
328.230,640
329.063,10
329.741,890
330.714,595
331.055,1010
332.127,290
332.140,1185
332.275,10
332.419,145
332.425,10
333.645,1335
333.784,10
333.789,15
333.792,105
333.795,20
333.931,30
333.934,15
334.077,155
334.081,10
334.614,565
334.760,10
335.052,150
335.735,360
336.320,590
336.326,620
336.417,10
336.619,180
336.712,85
336.718,10
336.856,280
337.538,10
338.221,585
338.224,610
338.269,155
338.272,10
338.276,60
338.367,20
338.659,15
339.491,300
339.793,885
340.327,290
341.000,505
341.292,715
341.584,245
341.588,315
341.636,10
341.639,65
343.242,15
343.245,1560
343.390,155
344.088,335
344.220,295
345.339,270
345.874,1065
346.850,575
346.854,935
347.434,10
348.117,650
348.127,655
348.556,10
349.092,350
349.629,580
349.775,580
350.364,230
350.945,435
351.589,630
351.871,665
352.163,530
353.534,1500
353.967,10
354.260,320
355.478,280
355.631,1295
355.871,90
356.903,10
357.136,1245
357.867,305
358.332,695
359.378,410
359.381,1120
359.866,10
359.869,495
361.036,10
361.621,1165
362.157,580
362.742,550
363.333,630
363.364,570
363.524,10
363.571,155
363.668,10
363.673,20
363.676,15
363.839,10
364.107,355
364.111,250
364.399,10
364.936,300
365.521,550
366.062,565
366.593,510
366.596,540
367.178,10
367.715,545
368.300,560
368.840,525
369.421,590
369.957,580
369.963,540
370.494,10
371.227,605
371.761,675
372.593,585
372.736,795
372.882,115
374.006,255
374.686,1105
374.836,605
374.979,260
374.982,10
375.078,65
375.125,180
376.831,1090
376.929,495
377.172,250
377.176,225
377.514,10
378.296,560
378.300,550
378.304,10
378.830,10
379.805,480
380.926,1045
380.930,1080
381.514,10
381.609,545
382.050,10
382.057,520
382.486,10
382.683,530
382.692,130
382.701,10
382.772,10
382.782,20
382.786,25
382.790,10
383.028,10
383.853,265
384.154,545
384.680,565
385.313,555
386.093,600
386.387,900
387.081,265
387.312,890
389.262,880
389.848,1105
390.240,520
391.269,515
391.364,775
391.949,320
392.870,495
393.461,1040
394.429,510
395.552,1060
395.563,1115
396.477,10
396.916,870
397.105,555
397.599,10
398.091,600
398.574,505
399.158,465
399.162,540
399.307,95
400.527,945
400.718,480
400.962,10
401.498,320
402.185,600
402.281,515
402.526,10
403.082,480
403.448,465
403.458,455
403.894,10
404.329,480
404.570,315
404.867,275
405.252,385
406.669,340
407.495,1275
408.324,985
409.737,840
410.033,1445
410.447,305
410.450,395
410.453,15
410.566,10
410.715,255
410.956,215
410.960,10
411.053,10
411.056,10
411.060,15
411.104,10
411.200,75
411.204,15
411.208,10
412.224,610
412.370,495
413.227,210
414.027,745
414.320,905
414.859,255
416.124,255
417.100,1645
418.467,930
418.903,1390
419.441,485
419.731,515
419.996,235
420.706,365
421.096,615
421.681,480
421.687,530
421.779,10
422.363,55
422.656,670
423.631,255
424.705,1030
425.435,1090
425.825,695
426.412,445
427.385,495
427.483,1055
427.489,10
427.636,155
428.072,440
428.458,10
428.750,470
429.579,245
429.724,780
430.148,235
430.407,355
431.382,335
431.675,1015
431.919,485
434.015,705
434.870,1375
435.429,880
436.111,620
436.501,605
436.794,395
436.940,380
436.943,30
437.089,80
437.486,325
437.947,235
438.061,455
438.064,105
438.210,55
438.353,10
438.502,340
440.011,1005
440.401,545
441.137,445
441.528,615
442.204,525
442.790,630
443.195,645
443.478,295
443.521,340
444.155,10
444.740,700
445.276,490
446.549,635
446.593,1235
446.602,15
446.609,30
446.787,175
446.793,10
446.836,10
446.841,20
446.846,20
446.937,10
447.080,210
448.347,645
448.495,685
448.499,145
448.503,15
449.031,10
449.176,460
449.322,270
449.325,15
449.371,10
449.374,15
449.569,15
450.297,350
450.980,610
452.101,685
452.247,1140
452.251,145
452.344,85
452.349,10
452.498,10
453.076,265
453.759,565
454.298,580
454.880,485
454.887,710
455.123,235
455.127,15
455.172,10
455.175,10
455.180,10
455.318,15
455.425,200
455.563,10
456.684,640
457.366,655
457.903,655
458.633,625
458.639,660
458.780,10
459.170,160
459.862,480
460.976,640
461.145,650
461.803,645
462.539,655
463.216,665
463.755,700
464.435,660
465.166,685
465.850,675
466.385,655
467.069,615
467.799,635
467.945,680
468.335,240
469.075,405
469.752,695
470.285,655
470.968,645
471.650,645
472.235,650
472.385,625
472.775,165
472.918,430
473.504,10
474.039,615
474.575,595
475.306,600
475.988,620
476.135,655
476.138,200
476.538,15
477.256,415
477.939,670
477.948,655
478.108,235
478.231,10
478.234,125
478.475,225
479.743,615
479.889,615
480.291,175
480.864,425
481.107,620
481.552,185
482.108,420
482.765,630
483.350,640
483.887,625
484.620,600
485.153,630
485.836,635
486.421,635
487.104,625
487.640,595
488.225,630
488.907,575
489.444,675
491.248,530
491.543,1835
491.832,330
492.953,285
493.490,1080
493.784,570
494.031,220
494.082,10
494.085,305
494.611,10
495.148,530
495.881,605
496.415,620
497.098,640
497.634,635
498.219,610
498.901,600
499.438,595
500.023,595
500.558,585
501.241,595
501.883,615
503.483,570
503.630,1665
503.633,145
503.873,10
503.876,10
504.312,10
504.898,705
505.044,635
505.153,135
505.434,50
505.582,485
507.238,490
507.384,1220
507.530,210
507.922,300
508.505,10
508.511,635
508.553,20
508.566,15
508.602,10
508.607,10
508.610,10
508.613,15
508.678,15
508.895,20
509.046,10
509.209,455
509.371,215
509.480,15
509.497,15
509.525,255
509.870,280
510.751,10
510.845,850
510.850,195
510.896,25
510.901,15
511.138,275
512.259,530
512.648,505
513.267,525
513.477,735
513.623,245
513.627,10
515.135,1010
515.573,485
516.110,465
516.402,530
516.699,210
517.670,280
517.767,1030
517.773,70
518.064,25
518.111,315
519.181,10
519.328,1080
519.620,220
519.623,265
520.156,10
520.844,540
