df_hash,22ZHK4.DA4SRM
431.145,24
432.217,20
433.242,0
434.120,0
435.045,0
435.930,18
437.092,27
438.115,34
438.896,31
440.258,40
441.020,26
442.066,33
443.089,28
443.966,32
444.941,26
446.074,33
446.944,50
447.817,66
449.040,68
449.916,60
450.845,41
452.088,35
452.923,31
453.815,36
455.030,24
456.053,27
456.790,44
458.203,60
458.886,55
459.801,38
460.932,35
461.858,54
462.978,53
464.054,65
464.881,64
465.709,42
466.928,44
467.855,37
468.683,31
469.901,32
470.876,46
471.656,55
472.875,57
473.753,70
474.725,71
475.849,58
476.870,52
477.653,59
479.212,35
479.793,33
480.727,59
481.796,65
482.674,49
483.892,51
484.816,55
485.696,49
486.577,55
487.746,28
488.672,34
489.697,43
490.718,61
491.644,78
492.522,47
493.740,10
494.618,12
495.497,0
496.716,0
497.594,0
498.473,0
499.691,0
500.611,0
501.537,0
502.664,0
503.648,24
504.465,100
505.707,100
506.517,100
507.534,25
508.695,0
509.486,0
510.507,17
511.628,15
512.554,10
513.386,10
514.561,8
515.486,8
516.458,9
517.533,10
518.474,13
519.336,14
520.647,10
521.436,11
522.344,12
