df_hash,22ZHK4.KE15WD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1X32
person_label,V155
date_time_start,2026-06-08_19-32-32.863000_+03
date_time_start_unix,1780929152.863
date_time_end,2026-06-08_19-45-47.480000_+03
length_difference_noticed,no

time,acc_mag
31.962,1.048
31.992,1.054
32.022,1.044
32.052,1.036
32.082,1.047
32.112,1.045
32.142,1.037
32.172,1.044
32.202,1.035
32.232,1.032
32.262,1.026
32.292,1.029
32.322,1.029
32.352,1.036
32.382,1.030
32.412,1.038
32.442,1.042
32.472,1.049
32.502,1.044
32.532,1.054
32.562,1.053
32.592,1.049
32.622,1.043
32.652,1.046
32.682,1.038
32.712,1.044
32.742,1.051
32.772,1.047
32.802,1.037
32.832,1.039
32.862,1.044
32.892,1.032
32.922,1.033
32.952,1.046
32.982,1.038
33.012,1.039
33.042,1.043
33.072,1.044
33.102,1.038
33.132,1.037
33.162,1.040
33.192,1.043
33.222,1.031
33.252,1.028
33.282,1.022
33.312,1.028
33.342,1.040
33.372,1.047
33.402,1.056
33.432,1.055
33.462,1.054
33.492,1.044
33.522,1.049
33.552,1.062
33.582,1.051
33.612,1.041
33.642,1.033
33.672,1.031
33.702,1.032
33.732,1.021
33.762,1.001
33.792,1.035
33.822,1.036
33.852,1.040
33.882,1.045
33.912,1.061
33.942,1.064
33.972,1.058
34.002,1.053
34.032,1.042
34.062,1.032
34.092,1.040
34.122,1.043
34.152,1.039
34.182,1.044
34.212,1.051
34.242,1.062
34.272,1.040
34.302,1.062
34.332,1.062
34.362,1.056
34.392,1.057
34.422,1.062
34.452,1.054
34.482,1.046
34.512,1.051
34.542,1.047
34.572,1.052
34.602,1.055
34.632,1.046
34.662,1.051
34.692,1.052
34.722,1.049
34.752,1.041
34.782,1.030
34.812,1.035
34.842,1.047
34.872,1.037
34.902,1.046
34.932,1.051
34.962,1.053
34.992,1.059
35.022,1.061
35.052,1.061
35.082,1.063
35.112,1.061
35.142,1.052
35.172,1.044
35.202,1.039
35.232,1.040
35.262,1.036
35.292,1.038
35.322,1.045
35.352,1.039
35.382,1.033
35.412,1.025
35.442,1.029
35.472,1.036
35.502,1.036
35.532,1.028
35.562,1.023
35.592,1.008
35.622,1.022
35.652,1.034
35.682,1.049
35.712,1.052
35.742,1.051
35.772,1.046
35.802,1.036
35.832,1.037
35.862,1.056
35.892,1.039
35.922,1.034
35.952,1.036
35.982,1.021
36.012,1.020
