df_hash,22ZHK4.W0890N
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.T31E
person_label,V42
date_time_start,2025-10-27_14-12-39.001000_+03
date_time_start_unix,1761559959.001
date_time_end,2025-10-27_14-20-55.956000_+03
length_difference_noticed,no

time,acc_mag
38.036,1.015
38.066,1.014
38.096,1.019
38.126,1.021
38.156,1.020
38.186,1.018
38.216,1.021
38.246,1.017
38.276,1.013
38.306,1.019
38.336,1.021
38.366,1.024
38.396,1.010
38.426,1.013
38.456,1.017
38.486,1.019
38.516,1.023
38.546,1.011
38.576,1.007
38.606,1.027
38.636,1.016
38.666,1.017
38.696,1.018
38.726,1.014
38.756,1.020
38.786,1.018
38.816,1.019
38.846,1.018
38.876,1.019
38.906,1.019
38.936,1.019
38.966,1.022
38.996,1.015
39.026,1.012
39.056,1.006
39.086,1.027
39.116,1.020
39.146,1.019
39.176,1.014
39.206,1.017
39.236,1.020
39.266,1.021
39.296,1.014
39.326,1.018
39.356,1.026
39.386,1.016
39.416,1.016
39.446,1.016
39.476,1.016
39.506,1.021
39.536,1.021
39.566,1.021
39.596,1.017
39.626,1.020
39.656,1.015
39.686,1.020
39.716,1.020
39.746,1.016
39.776,1.015
39.806,1.014
39.836,1.021
39.866,1.018
39.896,1.015
39.926,1.018
39.956,1.021
39.986,1.017
40.016,1.013
40.046,1.018
40.076,1.012
40.106,1.023
40.136,1.018
40.166,1.016
40.196,1.018
40.226,1.017
40.256,1.023
40.286,1.020
40.316,1.019
40.346,1.017
40.376,1.016
40.406,1.022
40.436,1.018
40.466,1.020
40.496,1.021
40.526,1.018
40.556,1.024
40.586,1.020
40.616,1.018
40.646,1.016
40.676,1.023
40.706,1.015
40.736,1.026
40.766,1.012
40.796,1.021
40.826,1.022
40.856,1.013
40.886,1.019
40.916,1.017
40.946,1.020
40.976,1.021
41.006,1.019
41.036,1.017
41.066,1.019
41.096,1.018
41.126,1.020
41.156,1.013
41.186,1.018
41.216,1.026
41.246,1.018
41.276,1.015
41.306,1.015
41.336,1.016
41.366,1.028
41.396,1.022
41.426,1.018
41.456,1.024
41.486,1.023
41.516,1.014
41.546,1.017
41.576,1.022
41.606,1.012
41.636,1.021
41.666,1.022
41.696,1.018
41.726,1.016
41.756,1.015
41.786,1.016
41.816,1.024
41.846,1.024
41.876,1.009
41.906,1.017
41.936,1.014
41.966,1.028
41.996,1.029
42.026,1.005
42.056,1.021
42.086,1.024
42.116,1.012
42.146,1.018
42.176,1.021
42.206,1.015
42.236,1.020
42.266,1.028
42.296,1.008
42.326,1.008
42.356,1.021
42.386,1.026
42.416,1.017
42.446,1.011
42.476,1.016
42.506,1.021
42.536,1.028
42.566,1.012
42.596,1.018
42.626,1.020
42.656,1.021
42.686,1.018
42.716,1.015
42.746,1.020
42.776,1.014
42.806,1.022
42.836,1.017
42.866,1.018
42.896,1.020
42.926,1.020
42.956,1.027
42.986,1.007
43.016,1.010
43.046,1.022
43.076,1.020
43.106,1.022
43.136,1.020
43.166,1.013
43.196,1.022
43.226,1.020
43.256,1.017
43.286,1.018
43.316,1.016
43.346,1.026
43.376,1.024
43.406,1.016
43.436,1.013
43.466,1.020
43.496,1.026
43.526,1.014
43.556,1.011
43.586,1.021
43.616,1.021
43.646,1.026
43.676,1.018
43.706,1.010
43.736,1.021
43.766,1.026
43.796,1.011
43.826,1.019
43.856,1.016
43.886,1.024
43.916,1.022
43.946,1.022
43.976,1.014
44.006,1.009
44.036,1.031
44.066,1.023
44.096,1.009
44.126,1.014
44.156,1.023
44.186,1.021
44.216,1.028
44.246,1.015
44.276,1.017
44.306,1.020
44.336,1.019
44.366,1.014
44.396,1.021
44.426,1.023
44.456,1.021
44.486,1.014
44.516,1.017
44.546,1.010
44.576,1.022
44.606,1.022
44.636,1.011
44.666,1.019
44.696,1.017
44.726,1.021
44.756,1.021
44.786,1.015
44.816,1.021
44.846,1.021
44.876,1.020
44.906,1.018
44.936,1.018
44.966,1.021
44.996,1.020
45.026,1.021
45.056,1.021
45.086,1.021
45.116,1.006
45.146,1.023
45.176,1.025
45.206,1.015
45.236,1.017
45.266,1.021
45.296,1.022
45.326,1.028
45.356,1.015
45.386,1.024
45.416,1.018
45.446,1.021
45.476,1.018
45.506,1.021
45.536,1.019
45.566,1.023
45.596,1.024
45.626,1.020
45.656,1.016
45.686,1.011
45.716,1.024
45.746,1.021
45.776,1.019
45.806,1.013
45.836,1.020
45.866,1.011
45.896,1.027
45.926,1.020
45.956,1.018
45.986,1.015
46.016,1.017
46.046,1.019
46.076,1.015
46.106,1.021
46.136,1.026
46.166,1.022
46.196,1.025
46.226,1.020
46.256,1.016
46.286,1.017
46.316,1.032
46.346,1.019
46.376,1.014
46.406,1.015
46.436,1.019
46.466,1.022
46.496,1.024
46.526,1.015
46.556,1.016
46.586,1.021
46.616,1.017
46.646,1.022
46.676,1.014
46.706,1.026
46.736,1.022
46.766,1.017
46.796,1.020
46.826,1.016
46.856,1.025
46.886,1.022
46.916,1.028
46.946,1.027
46.976,1.020
47.006,1.017
47.036,1.019
47.066,1.016
47.096,1.012
47.126,1.015
47.156,1.027
47.186,1.018
47.216,1.020
47.246,1.019
47.276,1.020
47.306,1.024
47.336,1.021
47.366,1.019
47.396,1.023
47.426,1.018
47.456,1.011
47.486,1.022
47.516,1.021
47.546,1.018
47.576,1.018
47.606,1.021
47.636,1.015
47.666,1.020
47.696,1.017
47.726,1.021
47.756,1.020
47.786,1.016
47.816,1.023
47.846,1.017
47.876,1.020
47.906,1.024
47.936,1.020
47.966,1.018
47.996,1.013
48.026,1.026
48.056,1.021
48.086,1.017
48.116,1.019
48.146,1.015
48.176,1.018
48.206,1.026
48.236,1.021
