df_hash,22ZHK4.724P3P
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YWVP
person_label,V66
date_time_start,2025-10-31_17-05-59.075000_+03
date_time_start_unix,1761915959.075
date_time_end,2025-10-31_17-14-45.320000_+03
length_difference_noticed,no

time,acc_mag
21.527,1.026
21.557,1.027
21.587,1.026
21.617,1.024
21.647,1.026
21.677,1.024
21.707,1.031
21.737,1.029
21.767,1.026
21.797,1.024
21.827,1.022
21.857,1.024
21.887,1.028
21.917,1.028
21.947,1.031
21.977,1.028
22.007,1.031
22.037,1.029
22.067,1.027
22.097,1.029
22.127,1.026
22.157,1.020
22.187,1.031
22.217,1.029
22.247,1.030
22.277,1.033
22.307,1.029
22.337,1.027
22.367,1.025
22.397,1.024
22.427,1.025
22.457,1.027
22.487,1.028
22.517,1.028
22.547,1.028
22.577,1.024
22.607,1.024
22.637,1.029
22.667,1.027
22.697,1.027
22.727,1.025
22.757,1.026
22.787,1.031
22.817,1.030
22.847,1.026
22.877,1.026
22.907,1.028
22.937,1.023
22.967,1.029
22.997,1.026
23.027,1.025
23.057,1.025
23.087,1.024
23.117,1.023
23.147,1.028
23.177,1.030
23.207,1.024
23.237,1.028
23.267,1.030
23.297,1.028
23.327,1.026
23.357,1.025
23.387,1.024
23.417,1.030
23.447,1.028
23.477,1.030
23.507,1.028
23.537,1.028
23.567,1.033
23.597,1.032
23.627,1.030
23.657,1.025
23.687,1.026
23.717,1.022
23.747,1.031
23.777,1.030
23.807,1.025
23.837,1.027
23.867,1.024
23.897,1.024
23.927,1.027
23.957,1.028
23.987,1.023
24.017,1.027
24.047,1.030
24.077,1.028
24.107,1.028
24.137,1.024
24.167,1.024
24.197,1.025
24.227,1.027
24.257,1.025
24.287,1.027
24.317,1.028
24.347,1.030
24.377,1.030
24.407,1.030
24.437,1.021
24.467,1.026
24.497,1.025
24.527,1.027
24.557,1.032
24.587,1.029
24.617,1.028
24.647,1.026
24.677,1.024
24.707,1.024
24.737,1.023
24.767,1.023
24.797,1.027
24.827,1.030
24.857,1.026
24.887,1.028
24.917,1.025
24.947,1.024
24.977,1.029
25.007,1.028
25.037,1.027
25.067,1.025
25.097,1.023
25.127,1.026
25.157,1.032
25.187,1.030
25.217,1.029
25.247,1.021
25.277,1.024
25.307,1.023
25.337,1.027
25.367,1.029
25.397,1.027
25.427,1.028
25.457,1.031
25.487,1.024
25.517,1.023
25.547,1.025
25.577,1.026
25.607,1.027
25.637,1.030
25.667,1.025
25.697,1.025
25.727,1.028
25.757,1.029
25.787,1.035
25.817,1.028
25.847,1.026
25.877,1.025
25.907,1.021
25.937,1.029
25.967,1.029
25.997,1.032
26.027,1.027
26.057,1.021
26.087,1.024
26.117,1.022
26.147,1.027
26.177,1.030
26.207,1.032
26.237,1.034
26.267,1.033
26.297,1.027
26.327,1.025
26.357,1.027
26.387,1.022
26.417,1.030
26.447,1.031
26.477,1.028
26.507,1.028
26.537,1.027
26.567,1.024
26.597,1.026
26.627,1.030
26.657,1.027
26.687,1.027
26.717,1.028
26.747,1.030
26.777,1.030
26.807,1.027
26.837,1.022
26.867,1.023
26.897,1.021
26.927,1.029
26.957,1.030
26.987,1.025
27.017,1.030
27.047,1.022
27.077,1.026
27.107,1.025
27.137,1.028
27.167,1.027
27.197,1.029
27.227,1.027
27.257,1.027
27.287,1.025
27.317,1.027
27.347,1.021
27.377,1.024
27.407,1.024
27.437,1.023
27.467,1.027
27.497,1.028
27.527,1.029
27.557,1.028
