df_hash,22ZHK4.FHJRBH
317.525,33.031
318.938,33.062
319.527,33.062
320.547,33.062
321.536,33.094
322.547,33.125
323.591,33.125
324.545,33.125
325.568,33.094
326.543,33.062
327.567,33.031
328.542,33.062
329.587,32.938
330.541,32.969
331.564,33.000
332.540,33.000
333.562,33.031
334.686,33.062
335.563,33.094
336.537,33.125
337.560,33.156
338.572,33.125
339.559,33.219
340.829,33.281
341.557,33.250
342.535,33.281
343.556,33.250
344.531,33.281
345.555,33.281
346.530,33.281
347.555,33.312
348.528,33.312
349.554,33.344
350.527,33.312
351.609,33.312
352.526,33.312
353.649,33.312
354.816,33.312
355.584,33.312
356.523,33.312
357.546,33.281
358.522,33.281
359.545,33.281
360.544,33.281
361.544,33.250
362.519,33.281
363.542,33.250
364.517,33.219
365.833,33.219
366.540,33.219
367.540,33.250
368.807,33.250
369.684,33.250
370.513,33.281
371.606,33.281
372.561,33.312
373.535,33.312
374.560,33.312
375.534,33.344
376.558,33.375
377.533,33.344
378.608,33.344
379.778,33.344
380.559,33.375
381.534,33.375
382.687,33.469
383.675,33.500
384.552,33.469
385.528,33.469
386.551,33.469
387.528,33.500
388.554,33.469
389.525,33.438
390.549,33.438
391.624,33.438
392.547,33.344
393.522,33.312
394.546,33.344
395.521,33.375
396.545,33.375
397.519,33.375
398.622,33.406
399.518,33.438
400.542,33.438
401.712,33.438
402.540,33.469
403.518,33.500
404.540,33.500
405.514,33.469
406.538,33.500
407.513,33.500
408.536,33.500
409.560,33.531
410.535,33.531
411.517,33.562
412.829,33.531
413.711,33.500
414.553,33.531
415.753,33.531
416.531,33.500
417.514,33.469
418.530,33.438
419.524,33.438
420.547,33.438
421.510,33.438
422.527,33.469
423.550,33.469
424.526,33.469
425.550,33.469
426.720,33.469
427.553,33.531
428.574,33.562
429.548,33.594
430.557,33.625
431.548,33.625
432.520,33.625
433.544,33.656
434.519,33.688
435.543,33.750
436.518,33.781
437.588,33.719
438.809,33.719
439.540,33.719
440.762,33.719
441.539,33.750
442.514,33.750
443.537,33.781
444.759,33.750
445.543,33.781
446.511,33.781
447.535,33.844
448.582,33.875
449.541,33.906
450.508,33.938
451.581,33.938
452.507,33.938
453.536,33.969
454.752,34.031
455.529,34.000
456.504,34.062
457.528,34.062
458.582,34.094
459.527,34.125
460.704,34.125
461.525,34.125
462.500,34.156
463.548,34.188
464.499,34.156
465.523,34.188
466.498,34.188
467.521,34.188
468.496,34.188
469.565,34.156
470.495,34.156
471.519,34.188
472.545,34.188
473.517,34.156
474.541,34.094
475.539,34.094
476.547,34.062
477.515,34.062
478.585,34.062
479.513,34.031
480.537,34.031
481.512,34.000
482.535,33.969
483.514,33.969
484.536,34.062
485.511,34.062
486.561,34.062
487.518,34.062
488.539,34.031
489.507,34.031
490.530,34.000
491.509,33.969
492.531,34.000
493.504,34.000
494.528,34.000
495.506,33.969
496.527,33.969
497.501,33.938
498.626,33.906
499.502,33.906
500.524,33.875
501.550,33.812
502.522,33.750
503.594,33.656
504.521,33.562
505.506,33.469
506.520,33.406
507.495,33.312
508.529,33.219
509.494,33.094
510.517,33.000
511.497,32.938
512.593,32.812
513.494,32.719
514.533,32.656
515.594,32.562
516.513,32.469
517.488,32.375
518.514,32.250
