df_hash,22ZHK4.PSDHWK
12.604,1.040
12.634,1.048
12.664,1.041
12.694,1.041
12.724,1.041
12.754,1.049
12.784,1.044
12.814,1.045
12.844,1.041
12.874,1.042
12.904,1.041
12.934,1.048
12.964,1.047
12.994,1.040
13.024,1.041
13.054,1.045
13.084,1.046
13.114,1.039
13.144,1.043
13.174,1.043
13.204,1.044
13.234,1.044
13.264,1.043
13.294,1.039
13.324,1.040
13.354,1.047
13.384,1.040
13.414,1.041
13.444,1.043
13.474,1.041
13.504,1.047
13.534,1.047
13.564,1.044
13.594,1.041
13.624,1.042
13.654,1.046
13.684,1.052
13.714,1.038
13.744,1.041
13.774,1.042
13.804,1.043
13.834,1.040
13.864,1.040
13.894,1.039
13.924,1.043
13.954,1.041
13.984,1.039
14.014,1.044
14.044,1.044
14.074,1.051
14.104,1.038
14.134,1.040
14.164,1.046
14.194,1.043
14.224,1.043
14.254,1.039
14.284,1.040
14.314,1.044
14.344,1.044
14.374,1.045
14.404,1.046
14.434,1.044
14.464,1.042
14.494,1.046
14.524,1.045
14.554,1.040
14.584,1.043
14.614,1.040
14.644,1.043
14.674,1.046
14.704,1.045
14.734,1.041
14.764,1.042
14.794,1.043
14.824,1.045
14.854,1.043
14.884,1.041
14.914,1.046
14.944,1.044
14.974,1.044
15.004,1.042
15.034,1.043
15.064,1.043
15.094,1.041
15.124,1.044
15.154,1.039
15.184,1.040
15.214,1.043
15.244,1.041
15.274,1.040
15.304,1.046
15.334,1.042
15.364,1.044
15.394,1.042
15.424,1.042
15.454,1.043
15.484,1.041
15.514,1.039
15.544,1.042
15.574,1.051
15.604,1.042
15.634,1.038
15.664,1.049
15.694,1.044
15.724,1.044
15.754,1.040
15.784,1.040
15.814,1.044
15.844,1.043
15.874,1.047
15.904,1.041
15.934,1.041
15.964,1.043
15.994,1.038
16.024,1.042
16.054,1.041
16.084,1.043
16.114,1.041
16.144,1.046
16.174,1.041
16.204,1.042
16.234,1.043
16.264,1.041
16.294,1.043
16.324,1.047
16.354,1.041
16.384,1.041
16.414,1.047
16.444,1.044
16.474,1.045
16.504,1.038
16.534,1.043
16.564,1.043
16.594,1.044
16.624,1.039
16.654,1.037
16.684,1.042
16.714,1.047
16.744,1.043
16.774,1.040
16.804,1.043
16.834,1.042
16.864,1.046
16.894,1.042
16.924,1.045
16.954,1.044
16.984,1.041
17.014,1.043
17.044,1.038
17.074,1.039
17.104,1.043
17.134,1.044
17.164,1.048
17.194,1.043
17.224,1.040
17.254,1.033
17.284,1.043
17.314,1.050
17.344,1.053
17.374,1.039
17.404,1.038
17.434,1.039
17.464,1.046
17.494,1.041
17.524,1.044
17.554,1.042
17.584,1.043
17.614,1.041
17.644,1.044
17.674,1.040
17.704,1.044
17.734,1.041
17.764,1.040
17.794,1.043
17.824,1.044
17.854,1.042
17.884,1.046
17.914,1.042
17.944,1.040
17.974,1.038
18.004,1.039
18.034,1.048
18.064,1.045
18.094,1.041
18.124,1.042
18.154,1.039
18.184,1.039
18.214,1.039
18.244,1.041
18.274,1.042
18.304,1.044
18.334,1.046
18.364,1.044
18.394,1.043
18.424,1.046
18.454,1.044
18.484,1.046
18.514,1.040
18.544,1.044
18.574,1.049
18.604,1.043
18.634,1.041
18.664,1.042
18.694,1.039
18.724,1.040
18.754,1.045
18.784,1.048
18.814,1.046
18.844,1.041
18.874,1.040
18.904,1.039
18.934,1.040
18.964,1.044
18.994,1.042
19.024,1.046
19.054,1.043
19.084,1.040
19.114,1.040
19.144,1.044
19.174,1.035
19.204,1.039
19.234,1.039
19.264,1.041
19.294,1.037
19.324,1.040
19.354,1.041
19.384,1.040
19.414,1.043
19.444,1.052
19.474,1.058
19.504,1.049
19.534,1.049
19.564,1.047
19.594,1.039
19.624,1.040
19.654,1.032
19.684,1.027
19.714,1.024
19.744,1.028
19.774,1.025
19.804,1.025
19.834,1.023
19.864,1.021
19.894,1.023
19.924,1.012
19.954,1.020
19.984,1.008
20.014,1.013
20.044,1.019
20.074,1.019
20.104,1.009
20.134,1.013
20.164,1.000
20.194,1.005
20.224,1.006
20.254,0.996
20.284,0.994
20.314,0.995
20.344,0.980
20.374,0.972
20.404,0.994
20.434,0.989
20.464,0.999
20.494,1.010
20.524,1.020
20.554,1.019
20.584,1.008
20.614,1.002
20.644,1.008
20.674,1.009
20.704,1.008
20.734,1.004
20.764,1.003
20.794,1.004
20.824,1.001
20.854,1.003
20.884,1.005
20.914,1.001
20.944,1.009
20.974,1.013
21.004,1.000
21.034,1.007
21.064,1.011
21.094,1.003
21.124,1.009
21.154,1.012
21.184,1.008
21.214,1.012
21.244,1.017
21.274,1.013
21.304,1.006
21.334,1.010
21.364,1.009
21.394,1.008
21.424,1.011
21.454,1.007
21.484,1.006
21.514,1.005
21.544,1.006
21.574,1.015
21.604,1.005
21.634,0.996
21.664,1.000
21.694,1.016
21.724,1.019
21.754,1.040
21.784,1.062
21.814,1.063
21.844,1.074
21.874,1.055
21.904,0.979
21.934,0.951
21.964,1.013
21.994,1.017
22.024,0.987
22.054,1.019
22.084,1.039
22.114,1.001
22.144,0.996
22.174,1.019
22.204,1.023
22.234,1.006
22.264,1.016
22.294,1.040
22.324,1.047
22.354,0.989
22.384,1.017
22.414,1.027
22.444,1.002
22.474,1.019
22.504,1.013
22.534,1.016
22.564,1.014
22.594,1.027
22.624,1.015
22.654,1.015
22.684,1.016
22.714,1.026
22.744,1.021
22.774,1.004
22.804,1.018
22.834,1.018
22.864,1.020
22.894,1.017
22.924,1.018
22.954,1.007
22.984,1.000
23.014,0.965
23.044,1.002
23.074,1.009
23.104,1.011
23.134,1.057
23.164,1.071
23.194,1.039
23.224,1.016
23.254,1.054
23.284,1.042
23.314,1.030
23.344,1.016
23.374,0.996
23.404,1.019
23.434,1.024
23.464,1.029
23.494,1.016
23.524,1.025
23.554,1.034
23.584,1.031
23.614,1.021
23.644,1.026
23.674,1.036
23.704,1.026
23.734,1.014
23.764,1.032
23.794,1.032
23.824,1.023
23.854,1.019
23.884,1.021
23.914,1.021
23.944,1.022
23.974,1.031
24.004,1.029
24.034,1.059
24.064,1.054
24.094,1.022
24.124,1.028
24.154,0.938
24.184,0.982
24.214,1.009
24.244,1.063
24.274,1.062
24.304,1.039
24.334,1.005
24.364,1.059
24.394,1.029
24.424,1.041
24.454,1.015
24.484,1.045
24.514,1.031
24.544,1.003
24.574,0.970
24.604,1.150
24.634,1.025
24.664,1.034
24.694,1.050
24.724,1.024
24.754,0.976
24.784,0.970
24.814,1.048
24.844,1.057
24.874,1.150
24.904,0.777
24.934,1.009
24.964,1.052
24.994,1.047
25.024,1.066
25.054,1.043
25.084,1.045
25.114,1.023
25.144,1.048
25.174,1.109
25.204,1.098
25.234,1.016
25.264,1.088
25.294,0.976
25.324,1.048
25.354,1.013
25.384,1.007
25.414,1.053
25.444,0.996
25.474,1.011
25.504,1.045
25.534,1.059
25.564,1.029
25.594,0.982
25.624,1.047
25.654,0.977
25.684,1.138
25.714,1.072
25.744,1.017
25.774,1.170
25.804,1.124
25.834,0.997
25.864,0.953
25.894,0.833
25.924,1.062
25.954,1.133
25.984,0.963
26.014,1.080
26.044,1.061
26.074,0.961
26.104,0.975
26.134,1.040
26.164,0.500
26.194,1.765
26.224,1.086
26.254,1.063
26.284,1.167
26.314,0.939
26.344,0.969
26.374,1.271
26.404,1.014
26.434,1.039
26.464,0.963
26.494,1.147
26.524,1.036
26.554,1.015
26.584,0.928
26.614,0.990
26.644,1.214
26.674,1.059
26.704,0.960
26.734,1.012
26.764,0.994
26.794,1.145
26.824,1.019
26.854,1.192
26.884,1.069
26.914,1.073
26.944,1.005
26.974,1.020
27.004,1.032
27.034,1.071
27.064,1.038
27.094,0.971
27.124,1.082
27.154,1.005
27.184,1.059
27.214,1.041
27.244,1.118
27.274,1.631
27.304,0.856
27.334,1.056
27.364,1.035
27.394,0.938
27.424,0.960
27.454,1.136
27.484,1.017
27.514,0.919
27.544,1.164
27.574,1.083
27.604,1.059
27.634,0.916
27.664,1.024
27.694,1.119
27.724,1.063
27.754,1.023
27.784,1.059
27.814,0.951
27.844,1.269
27.874,0.984
27.904,0.843
27.934,1.309
27.964,0.928
27.994,1.003
28.024,1.114
28.054,0.979
28.084,1.039
28.114,1.044
28.144,1.149
28.174,0.930
28.204,0.908
28.234,1.119
28.264,1.118
28.294,1.142
28.324,0.989
28.354,1.010
28.384,1.090
28.414,1.033
28.444,1.079
28.474,3.674
28.504,2.064
28.534,0.951
28.564,1.039
28.594,1.272
28.624,1.116
28.654,0.924
28.684,0.862
28.714,0.913
28.744,1.206
28.774,1.023
28.804,0.961
28.834,1.283
28.864,1.037
28.894,0.956
28.924,1.010
28.954,1.139
28.984,1.151
29.014,1.356
29.044,1.173
29.074,0.981
29.104,1.604
29.134,1.078
29.164,1.326
29.194,0.838
29.224,0.947
29.254,1.466
29.284,0.910
29.314,0.903
29.344,1.194
29.374,1.273
29.404,1.123
29.434,0.784
29.464,1.195
29.494,0.917
29.524,0.949
29.554,0.991
29.584,1.050
29.614,1.133
29.644,1.101
29.674,1.021
29.704,1.038
29.734,1.067
29.764,1.026
29.794,0.990
29.824,0.923
29.854,1.219
29.884,1.054
29.914,0.995
29.944,1.107
29.974,0.941
30.004,1.068
30.034,0.998
30.064,0.974
30.094,1.028
30.124,1.131
30.154,1.019
30.184,1.053
30.214,1.075
30.244,0.898
30.274,1.002
30.304,1.083
30.334,1.023
30.364,1.029
30.394,1.001
30.424,1.646
30.454,1.127
30.484,1.016
30.514,0.891
30.544,1.001
30.574,1.054
30.604,0.915
30.634,1.077
30.664,1.138
30.694,1.166
30.724,1.030
30.754,1.023
30.784,0.978
30.814,1.044
30.844,0.961
30.874,1.109
30.904,1.092
30.934,0.975
30.964,1.019
30.994,1.031
31.024,1.014
31.054,1.053
31.084,1.002
31.114,1.033
31.144,1.084
31.174,1.064
31.204,1.037
31.234,1.084
31.264,1.020
31.294,1.010
31.324,1.057
31.354,0.969
31.384,1.254
31.414,0.832
31.444,1.052
31.474,1.050
31.504,1.019
31.534,1.074
31.564,0.998
31.594,0.962
31.624,1.044
31.654,1.026
31.684,1.024
31.714,1.030
31.744,1.203
31.774,1.107
31.804,1.028
31.834,1.112
31.864,1.043
31.894,1.159
31.924,1.039
31.954,1.026
31.984,1.022
32.014,1.021
32.044,1.021
32.074,1.023
32.104,1.030
32.134,1.024
32.164,1.018
32.194,1.017
32.224,1.021
32.254,1.022
32.284,1.020
32.314,1.023
32.344,1.021
32.374,1.022
32.404,1.018
32.434,1.021
32.464,1.026
32.494,1.022
32.524,1.022
32.554,1.026
32.584,1.021
32.614,1.014
32.644,1.015
32.674,1.030
32.704,1.032
32.734,1.023
32.764,1.015
32.794,1.021
32.824,1.029
32.854,1.023
32.884,1.023
32.914,1.018
32.944,1.025
32.974,1.011
33.004,1.027
33.034,1.018
33.064,1.033
33.094,1.040
33.124,1.029
33.154,1.022
33.184,1.024
33.214,1.019
33.244,1.017
33.274,1.021
33.304,1.017
33.334,1.021
33.364,1.021
33.394,1.018
33.424,1.024
33.454,1.020
33.484,1.023
33.514,1.026
33.544,1.022
33.574,1.024
33.604,1.021
33.634,1.017
33.664,1.015
33.694,1.053
33.724,0.950
33.754,1.181
33.784,1.123
33.814,1.009
33.844,1.030
33.874,0.986
33.904,1.138
33.934,1.061
33.964,0.891
33.994,1.055
34.024,0.967
34.054,1.134
34.084,0.903
34.114,1.161
34.144,0.929
34.174,0.911
34.204,1.061
34.234,1.085
34.264,1.008
34.294,1.128
34.324,1.001
34.354,1.104
34.384,1.109
34.414,0.953
34.444,1.006
34.474,0.997
34.504,1.007
34.534,1.101
34.564,1.031
34.594,0.997
34.624,1.017
34.654,1.082
34.684,1.090
34.714,0.991
34.744,1.045
34.774,1.088
34.804,1.076
34.834,1.041
34.864,1.006
34.894,1.035
34.924,1.138
34.954,0.990
34.984,1.051
35.014,1.161
35.044,0.965
35.074,1.080
35.104,1.076
35.134,1.094
35.164,0.922
35.194,1.071
35.224,1.040
35.254,1.133
35.284,1.038
35.314,1.024
35.344,1.051
35.374,1.015
35.404,0.971
35.434,1.020
35.464,1.065
35.494,1.107
35.524,1.002
35.554,1.062
35.584,1.021
35.614,1.041
35.644,1.049
35.674,1.038
35.704,1.118
35.734,0.968
35.764,1.066
35.794,1.113
35.824,1.056
35.854,1.008
35.884,1.202
35.914,1.017
35.944,1.061
35.974,1.103
36.004,1.037
36.034,1.032
36.064,1.038
36.094,1.041
36.124,1.106
36.154,1.015
36.184,1.021
36.214,0.986
36.244,1.028
36.274,1.054
36.304,1.063
36.334,0.997
36.364,1.009
36.394,1.065
36.424,1.019
36.454,1.105
36.484,1.056
36.514,1.122
36.544,1.288
36.574,0.970
36.604,0.939
36.634,0.972
36.664,1.120
36.694,0.852
36.724,1.138
36.754,1.021
36.784,1.151
36.814,1.097
36.844,1.099
36.874,1.031
36.904,0.982
36.934,1.127
36.964,0.985
36.994,1.279
37.024,1.122
37.054,1.071
37.084,1.181
37.114,0.975
37.144,1.077
37.174,1.074
37.204,1.074
37.234,1.064
37.264,1.127
37.294,1.089
37.324,1.093
37.354,1.158
37.384,0.927
37.414,1.297
37.444,0.974
37.474,1.212
37.504,0.990
37.534,1.104
37.564,1.009
37.594,1.106
37.624,1.088
37.654,1.004
37.684,1.255
37.714,1.083
37.744,1.034
37.774,1.053
37.804,1.040
37.834,1.018
37.864,1.001
37.894,1.031
37.924,1.004
37.954,1.052
37.984,1.007
38.014,1.084
38.044,0.982
38.074,1.032
38.104,0.904
38.134,1.147
38.164,1.102
38.194,0.975
38.224,1.113
38.254,1.046
38.284,1.068
38.314,1.000
38.344,1.126
38.374,1.020
38.404,1.064
38.434,1.061
38.464,1.003
38.494,1.109
38.524,0.951
38.554,1.055
38.584,0.941
38.614,1.116
38.644,1.013
38.674,1.034
38.704,0.991
38.734,1.124
38.764,0.822
38.794,1.016
38.824,1.007
38.854,1.028
38.884,0.973
38.914,1.051
38.944,1.053
38.974,1.026
39.004,1.046
39.034,0.816
39.064,1.033
39.094,0.993
39.124,1.042
39.154,1.203
39.184,1.053
39.214,0.986
39.244,1.073
39.274,1.061
39.304,1.104
39.334,0.985
39.364,0.967
39.394,0.994
39.424,1.033
39.454,1.000
39.484,1.039
39.514,1.056
39.544,1.041
39.574,1.086
39.604,1.085
39.634,0.936
39.664,1.051
39.694,1.137
39.724,0.914
39.754,1.038
39.784,1.038
39.814,1.024
39.844,1.009
39.874,1.022
39.904,1.056
39.934,1.040
39.964,1.038
39.994,1.021
40.024,1.077
40.054,1.042
40.084,1.038
40.114,1.039
40.144,1.029
40.174,1.076
40.204,1.064
40.234,0.996
40.264,1.081
40.294,1.064
40.324,1.032
40.354,0.998
40.384,1.033
40.414,0.984
40.444,1.074
40.474,1.022
40.504,1.076
40.534,0.993
40.564,1.069
40.594,1.109
40.624,1.030
40.654,1.038
40.684,0.978
40.714,1.013
40.744,1.021
40.774,1.056
40.804,1.046
40.834,1.079
40.864,1.186
40.894,1.023
40.924,1.022
40.954,1.151
40.984,0.969
41.014,1.065
41.044,0.982
41.074,1.095
41.104,1.014
41.134,0.983
41.164,1.026
41.194,0.976
41.224,1.093
41.254,1.037
41.284,1.007
41.314,0.993
41.344,1.079
41.374,1.097
41.404,1.032
41.434,1.066
41.464,1.016
41.494,1.017
41.524,1.010
41.554,1.123
41.584,0.944
41.614,1.027
41.644,1.096
41.674,1.043
41.704,1.087
41.734,1.032
41.764,1.105
41.794,1.015
41.824,1.047
41.854,0.949
41.884,1.042
41.914,1.077
41.944,1.035
41.974,1.013
42.004,1.034
42.034,1.100
42.064,1.008
42.094,1.054
42.124,1.044
42.154,0.967
42.184,1.078
42.214,0.994
42.244,1.050
42.274,1.067
42.304,1.041
42.334,1.016
42.364,1.054
42.394,0.998
42.424,1.005
42.454,1.003
42.484,1.027
42.514,1.034
42.544,1.043
42.574,1.035
42.604,1.023
42.634,1.027
42.664,1.039
42.694,1.074
42.724,1.091
42.754,0.977
42.784,1.030
42.814,1.039
42.844,1.030
42.874,1.021
42.904,1.021
42.934,1.021
42.964,1.045
42.994,1.055
43.024,1.049
43.054,1.037
43.084,1.028
43.114,1.015
43.144,1.015
43.174,1.034
43.204,1.039
43.234,1.031
43.264,1.018
43.294,1.021
43.324,1.023
43.354,1.019
43.384,1.032
43.414,1.038
43.444,1.032
43.474,1.035
43.504,1.031
43.534,1.028
43.564,1.033
43.594,1.027
43.624,1.037
43.654,1.034
43.684,1.036
43.714,1.036
43.744,1.029
43.774,1.014
43.804,1.019
43.834,1.022
43.864,1.020
43.894,1.023
43.924,1.046
43.954,1.037
43.984,1.024
44.014,1.023
44.044,1.031
44.074,1.028
44.104,1.031
44.134,1.040
44.164,1.031
44.194,1.029
44.224,1.036
44.254,1.017
44.284,1.016
44.314,1.015
44.344,1.027
44.374,1.009
44.404,1.030
44.434,1.052
44.464,1.038
44.494,1.030
44.524,1.035
44.554,1.044
44.584,1.034
44.614,1.023
44.644,1.021
44.674,1.037
44.704,1.040
44.734,1.035
44.764,1.021
44.794,1.029
44.824,1.035
44.854,1.033
44.884,1.023
44.914,1.032
44.944,1.033
44.974,1.032
45.004,1.023
45.034,1.026
45.064,1.031
45.094,1.032
45.124,1.040
45.154,1.037
45.184,1.032
45.214,1.018
45.244,1.029
45.274,1.027
45.304,1.038
45.334,1.033
45.364,1.029
45.394,1.026
45.424,1.021
45.454,1.030
45.484,1.026
45.514,1.032
45.544,1.036
45.574,1.032
45.604,1.025
45.634,1.025
45.664,1.030
45.694,1.036
45.724,1.031
45.754,1.028
45.784,1.028
45.814,1.026
45.844,1.028
45.874,1.025
45.904,1.025
45.934,1.032
45.964,1.034
45.994,1.035
46.024,1.035
46.054,1.023
46.084,1.026
46.114,1.027
46.144,1.032
46.174,1.032
46.204,1.034
46.234,1.026
46.264,1.029
46.294,1.025
46.324,1.036
46.354,1.036
46.384,1.026
46.414,1.026
46.444,1.028
46.474,1.024
46.504,1.026
46.534,1.032
46.564,1.028
46.594,1.029
46.624,1.029
46.654,1.001
46.684,1.015
46.714,0.999
46.744,1.067
46.774,1.033
46.804,1.071
46.834,1.034
46.864,1.081
46.894,1.013
46.924,1.002
46.954,1.058
46.984,1.055
47.014,1.058
47.044,1.028
47.074,1.045
47.104,0.999
47.134,1.069
47.164,1.055
47.194,1.039
47.224,1.035
47.254,1.036
47.284,1.101
47.314,1.045
47.344,1.061
47.374,1.050
47.404,1.021
47.434,1.003
47.464,1.000
47.494,1.056
47.524,1.045
47.554,1.034
47.584,0.999
47.614,1.078
47.644,1.000
47.674,1.074
47.704,1.067
47.734,1.054
47.764,1.056
47.794,1.065
47.824,1.075
47.854,1.036
47.884,1.008
47.914,1.148
47.944,1.055
47.974,0.966
48.004,1.118
48.034,1.022
48.064,1.078
48.094,0.953
48.124,0.963
48.154,1.093
48.184,1.051
48.214,1.036
48.244,1.016
48.274,1.038
48.304,1.011
48.334,1.035
48.364,0.945
48.394,1.054
48.424,1.053
48.454,1.013
48.484,1.055
48.514,1.047
48.544,0.976
48.574,0.989
48.604,1.049
48.634,1.214
48.664,1.192
48.694,0.973
48.724,1.152
48.754,1.048
48.784,1.056
48.814,1.015
48.844,1.018
48.874,1.400
48.904,0.954
48.934,1.069
48.964,1.073
48.994,1.103
49.024,1.064
49.054,1.093
49.084,1.119
49.114,1.075
49.144,0.997
49.174,1.076
49.204,0.945
49.234,0.891
49.264,1.042
49.294,1.034
49.324,1.011
49.354,1.027
49.384,1.068
49.414,1.075
49.444,1.064
49.474,1.068
49.504,1.039
49.534,1.035
49.564,1.014
49.594,1.016
49.624,1.033
49.654,1.014
49.684,1.109
49.714,1.019
49.744,0.987
49.774,1.103
49.804,1.032
49.834,1.044
49.864,0.996
49.894,1.075
49.924,1.092
49.954,1.030
49.984,1.026
50.014,1.103
50.044,1.109
50.074,0.985
50.104,0.964
50.134,1.057
50.164,0.965
50.194,0.995
50.224,1.014
50.254,0.990
50.284,1.131
50.314,1.066
50.344,0.996
50.374,0.990
50.404,0.993
50.434,1.044
50.464,1.029
50.494,1.036
50.524,1.093
50.554,1.069
50.584,1.103
50.614,0.990
50.644,0.847
50.674,1.035
50.704,1.031
50.734,1.034
50.764,1.023
50.794,1.057
50.824,1.001
50.854,1.045
50.884,1.034
50.914,1.027
50.944,1.023
50.974,1.025
51.004,1.028
51.034,1.022
51.064,1.074
51.094,1.002
51.124,1.059
51.154,1.065
51.184,1.036
51.214,1.008
51.244,0.979
51.274,1.060
51.304,1.081
51.334,1.059
51.364,1.056
51.394,0.996
51.424,1.027
51.454,1.029
51.484,1.026
51.514,1.037
51.544,1.050
51.574,1.035
51.604,1.033
51.634,1.013
51.664,0.998
51.694,1.001
51.724,1.033
51.754,1.042
51.784,1.041
51.814,1.038
51.844,1.016
51.874,0.995
51.904,1.060
51.934,1.013
51.964,1.090
51.994,1.022
52.024,0.990
52.054,1.037
52.084,1.021
52.114,1.045
52.144,1.012
52.174,1.084
52.204,1.016
52.234,1.034
52.264,1.020
52.294,0.968
52.324,1.062
52.354,1.094
52.384,1.159
52.414,1.007
52.444,1.033
52.474,1.037
52.504,1.020
52.534,1.112
52.564,1.073
52.594,1.010
52.624,1.089
52.654,0.981
52.684,1.007
52.714,1.028
52.744,1.095
52.774,0.989
52.804,1.048
52.834,1.049
52.864,1.000
52.894,1.039
52.924,1.009
52.954,1.014
52.984,1.009
53.014,1.082
53.044,1.056
53.074,1.060
53.104,1.062
53.134,1.067
53.164,1.129
53.194,0.965
53.224,1.091
53.254,1.066
53.284,1.046
53.314,1.005
53.344,1.070
53.374,1.040
53.404,1.091
53.434,1.076
53.464,1.035
53.494,1.053
53.524,0.973
53.554,0.986
53.584,1.039
53.614,1.021
53.644,1.075
53.674,0.971
53.704,1.022
53.734,1.033
53.764,1.028
53.794,1.038
53.824,1.037
53.854,1.047
53.884,1.060
53.914,1.069
53.944,1.051
53.974,0.976
54.004,1.020
54.034,1.037
54.064,1.072
54.094,1.038
54.124,1.050
54.154,1.041
54.184,1.052
54.214,1.064
54.244,1.044
54.274,1.028
54.304,1.027
54.334,1.039
54.364,1.026
54.394,1.000
54.424,0.949
54.454,1.053
54.484,1.029
54.514,1.006
54.544,1.137
54.574,1.062
54.604,1.034
54.634,1.032
54.664,1.071
54.694,1.062
54.724,1.017
54.754,1.010
54.784,1.009
54.814,1.009
54.844,1.054
54.874,1.028
54.904,1.041
54.934,1.034
54.964,1.042
54.994,1.055
