df_hash,22ZHK4.J6TT4M
420.848,43
422.016,41
422.798,0
423.774,0
424.897,0
425.867,3
426.699,34
428.014,38
428.795,33
429.678,37
431.329,32
431.823,31
432.743,30
434.065,29
434.793,30
435.963,37
436.793,0
438.061,0
438.639,32
440.053,44
440.736,51
441.567,53
442.986,36
443.665,22
444.636,22
445.760,14
446.683,14
447.711,18
448.733,19
449.657,24
450.537,33
451.756,27
452.590,30
453.511,28
454.732,0
455.753,29
456.579,48
457.655,36
458.679,35
459.751,41
460.772,37
461.569,26
462.625,32
463.651,36
464.821,0
465.455,26
466.773,42
467.503,44
468.523,53
469.744,62
470.769,68
471.402,73
472.621,68
473.549,71
474.568,68
476.133,71
476.624,56
477.352,39
478.521,42
479.693,41
480.324,39
481.614,39
482.469,52
483.343,61
484.857,56
485.395,47
486.273,46
487.636,51
488.662,60
489.339,65
490.463,67
491.390,69
492.267,71
493.437,68
494.344,61
495.241,64
496.411,59
497.484,20
498.215,21
499.385,17
500.406,20
501.287,0
502.551,0
503.330,25
504.209,55
505.334,49
506.259,55
507.185,54
508.307,53
509.523,54
510.110,46
511.332,38
512.206,23
513.324,0
514.302,28
515.236,0
516.058,13
517.278,12
518.155,0
519.179,0
520.250,0
521.285,1
522.099,47
523.276,53
524.349,20
525.077,0
