df_hash,22ZHK4.J6TT4M
420.752,88
421.966,87
422.795,87
423.770,87
424.891,87
425.771,87
426.695,86
427.867,86
428.791,85
429.669,84
430.960,84
431.805,84
432.643,84
434.011,84
434.788,84
435.958,84
436.786,84
438.057,84
438.594,84
440.031,84
440.690,77
441.564,74
442.981,72
443.661,74
444.538,74
445.756,73
446.680,73
447.569,73
448.730,73
449.608,73
450.534,76
451.749,74
452.582,76
453.508,78
454.723,77
455.607,76
456.509,76
457.651,76
458.675,76
459.528,76
460.696,76
461.552,76
462.575,76
463.648,75
464.536,75
465.451,75
466.673,71
467.499,69
468.474,68
469.598,68
470.594,68
471.399,68
472.618,68
473.544,68
474.522,68
476.129,68
476.618,69
477.346,68
478.517,68
479.690,68
480.320,68
481.611,69
482.465,72
483.294,73
484.536,75
485.390,78
486.268,81
487.490,85
488.371,85
489.244,87
490.460,87
491.386,87
492.264,87
493.434,87
494.340,87
495.238,87
496.408,87
497.480,87
498.211,87
499.381,87
500.280,87
501.283,87
502.393,87
503.286,87
504.184,83
505.329,83
506.255,82
507.182,82
508.303,81
509.232,81
510.107,81
511.325,81
512.203,81
513.130,81
514.299,81
515.200,81
516.054,81
517.273,81
518.150,81
519.031,81
520.246,81
521.281,81
522.053,81
523.270,73
524.344,77
525.073,76
