df_hash,22ZHK4.J6TT4M
315.457,33.969
316.374,33.969
317.398,33.969
318.373,33.969
319.396,33.938
320.372,33.875
321.396,33.906
322.419,33.938
323.492,33.906
324.369,33.906
325.402,33.938
326.563,33.938
327.391,33.938
328.367,33.938
329.391,34.000
330.366,34.062
331.535,34.062
332.413,34.062
333.388,34.031
334.658,34.031
335.436,33.969
336.365,34.031
337.588,34.000
338.363,34.000
339.440,33.969
340.373,33.938
341.383,33.938
342.406,33.969
343.431,34.000
344.405,33.938
345.410,33.969
346.405,33.969
347.379,34.000
348.374,34.000
349.381,34.000
350.363,34.031
351.377,34.062
352.352,34.031
353.380,34.031
354.360,34.062
355.423,34.031
356.505,34.000
357.373,34.000
358.348,34.031
359.373,34.062
360.347,34.125
361.371,34.062
362.612,34.125
363.369,34.125
364.368,34.125
365.483,34.156
366.376,34.125
367.366,34.125
368.391,34.094
369.366,34.094
370.389,34.031
371.369,34.062
372.388,34.062
373.509,34.062
374.387,34.062
375.377,34.094
376.827,34.188
377.753,34.219
378.384,34.250
379.412,34.281
380.678,34.281
381.359,34.281
382.382,34.281
383.357,34.250
384.380,34.250
385.356,34.250
386.384,34.156
387.747,34.156
388.771,34.156
389.353,34.156
390.390,34.125
391.352,34.188
392.399,34.156
393.448,34.156
394.395,34.125
395.349,34.156
396.373,34.156
397.348,34.156
398.471,34.156
399.885,34.156
400.374,34.156
401.394,34.156
402.397,34.188
403.637,34.219
404.368,34.219
405.343,34.219
406.367,34.250
407.378,34.281
408.514,34.281
409.390,34.281
410.364,34.281
411.340,34.281
412.658,34.281
413.389,34.188
414.366,34.188
415.386,34.188
416.361,34.188
417.384,34.125
418.359,34.094
419.383,34.094
420.748,34.094
421.432,34.125
422.406,34.094
423.381,34.219
424.454,34.219
425.476,34.250
426.355,34.219
427.438,34.281
428.401,34.312
429.378,34.312
430.647,34.312
431.430,34.312
432.399,34.344
433.472,34.344
434.398,34.344
435.373,34.344
436.467,34.344
437.372,34.312
438.590,34.312
439.494,34.312
440.384,34.312
441.466,34.344
442.346,34.312
443.417,34.312
444.343,34.344
445.450,34.344
446.416,34.344
447.366,34.375
448.341,34.375
449.372,34.375
450.342,34.375
451.465,34.375
452.338,34.375
453.362,34.375
454.337,34.375
455.604,34.375
456.336,34.406
457.359,34.406
458.334,34.375
459.358,34.438
460.334,34.438
461.480,34.469
462.395,34.469
463.432,34.469
464.527,34.438
465.358,34.438
466.670,34.375
467.353,34.406
468.377,34.438
469.352,34.406
470.424,34.438
471.354,34.438
472.399,34.562
473.497,34.562
474.519,34.594
475.544,34.625
476.372,34.719
477.444,34.719
478.374,34.688
479.687,34.688
480.369,34.688
481.393,34.719
482.368,34.625
483.586,34.656
484.367,34.656
485.342,34.656
486.366,34.625
487.486,34.656
488.364,34.688
489.344,34.688
490.363,34.688
491.438,34.656
492.366,34.688
493.359,34.688
494.361,34.719
495.339,34.719
496.359,34.750
497.776,34.750
498.383,34.719
499.336,34.750
500.411,34.688
501.353,34.688
502.383,34.656
503.476,34.625
504.363,34.625
505.428,34.594
506.356,34.562
507.328,34.594
508.355,34.562
509.573,34.531
510.455,34.594
511.423,34.625
512.353,34.625
513.489,34.562
514.348,34.562
515.379,34.594
516.346,34.594
517.371,34.625
518.394,34.625
519.369,34.625
520.344,34.625
521.383,34.625
522.438,34.594
523.367,34.625
524.442,34.625
