df_hash,22ZHK4.TRV2GV
422.967,28
423.744,34
424.820,50
425.746,49
426.724,58
427.940,25
428.817,23
429.750,23
430.865,0
431.693,0
432.669,0
433.792,0
434.667,0
435.886,0
436.770,5
437.665,0
438.570,0
439.788,0
440.617,0
441.541,26
442.769,22
443.726,0
444.530,0
445.685,0
446.613,43
447.500,55
448.661,53
449.585,52
450.511,42
451.683,29
452.559,33
453.726,30
454.655,30
455.536,28
456.556,0
457.639,0
458.506,34
459.433,0
460.652,29
461.580,36
462.410,35
463.580,0
464.792,35
465.526,25
466.553,25
467.431,25
468.357,28
469.524,32
470.452,60
471.715,79
472.563,74
473.474,76
474.688,79
475.530,77
476.398,70
477.328,69
478.496,55
479.421,55
480.347,53
481.514,48
482.346,50
483.223,27
484.442,23
485.329,0
486.246,0
487.418,0
488.294,21
489.219,35
490.435,29
491.366,43
492.339,54
493.460,54
494.338,37
495.264,36
496.386,0
497.263,8
498.191,38
499.341,0
500.286,0
501.164,0
502.334,20
503.214,27
504.089,24
505.355,0
506.245,0
507.111,8
508.432,10
509.160,1
510.086,19
511.255,23
512.232,33
513.153,32
514.277,29
515.108,26
516.127,22
517.207,0
518.131,31
519.353,41
520.209,29
521.102,17
522.126,9
