df_hash,22ZHK4.TRV2GV
14.048,0.962
14.078,0.962
14.108,0.962
14.138,0.971
14.168,0.970
14.198,0.976
14.228,0.999
14.258,0.955
14.288,0.938
14.318,0.955
14.348,0.952
14.378,0.959
14.408,0.962
14.438,0.959
14.468,0.956
14.498,0.951
14.528,0.962
14.558,0.992
14.588,0.987
14.618,0.953
14.648,0.949
14.678,0.982
14.708,0.958
14.738,0.945
14.768,0.972
14.798,0.970
14.828,0.962
14.858,0.946
14.888,0.962
14.918,0.977
14.948,0.973
14.978,0.982
15.008,0.975
15.038,0.982
15.068,0.994
15.098,0.958
15.128,0.965
15.158,0.945
15.188,0.946
15.218,0.930
15.248,0.961
15.278,0.983
15.308,0.918
15.338,0.947
15.368,0.940
15.398,0.951
15.428,0.976
15.458,0.967
15.488,0.983
15.518,0.968
15.548,0.970
15.578,0.973
15.608,0.979
15.638,0.961
15.668,0.975
15.698,0.978
15.728,0.961
15.758,0.967
15.788,0.956
15.818,0.972
15.848,0.962
15.878,0.959
15.908,0.953
15.938,0.960
15.968,0.960
15.998,0.961
16.028,0.971
16.058,0.973
16.088,0.963
16.118,0.972
16.148,0.959
16.178,0.967
16.208,0.967
16.238,0.960
16.268,0.965
16.298,0.963
16.328,0.964
16.358,0.962
16.388,0.976
16.418,0.978
16.448,0.957
16.478,0.967
16.508,0.958
16.538,0.958
16.568,0.980
16.598,0.968
16.628,0.956
16.658,0.975
16.688,0.965
16.718,0.960
16.748,0.964
16.778,0.962
16.808,0.960
16.838,0.958
16.868,0.961
16.898,0.960
16.928,0.958
16.958,0.974
16.988,0.965
17.018,0.959
17.048,0.972
17.078,0.955
17.108,0.952
17.138,0.970
17.168,0.961
17.198,0.952
17.228,0.958
17.258,0.961
17.288,0.964
17.318,0.963
17.348,0.955
17.378,0.957
17.408,0.957
17.438,0.951
17.468,0.964
17.498,0.977
17.528,0.959
17.558,0.950
17.588,0.957
17.618,0.966
17.648,0.966
17.678,0.965
17.708,0.950
17.738,0.938
17.768,0.946
17.798,0.949
17.828,0.946
17.858,0.963
17.888,0.976
17.918,0.972
17.948,0.965
17.978,0.972
18.008,0.974
18.038,0.975
18.068,0.974
18.098,0.964
18.128,0.958
18.158,0.943
18.188,0.948
18.218,0.965
18.248,0.958
18.278,0.941
18.308,0.960
18.338,0.940
18.368,0.973
18.398,0.965
18.428,0.961
18.458,1.003
18.488,0.956
18.518,0.931
18.548,0.959
18.578,0.983
18.608,0.979
18.638,0.976
18.668,0.956
18.698,0.955
18.728,0.940
18.758,0.918
18.788,0.917
18.818,0.956
18.848,0.986
18.878,0.998
18.908,0.984
18.938,0.970
18.968,0.959
18.998,0.959
19.028,0.977
19.058,0.975
19.088,0.964
19.118,0.961
19.148,0.968
19.178,0.946
19.208,0.945
19.238,0.957
19.268,0.955
19.298,0.953
19.328,0.956
19.358,0.960
19.388,0.954
19.418,0.964
19.448,0.962
19.478,0.958
19.508,0.967
19.538,0.968
19.568,0.961
19.598,0.955
19.628,0.959
19.658,0.953
19.688,0.956
19.718,0.960
19.748,0.962
19.778,0.964
19.808,0.958
19.838,0.963
19.868,0.958
19.898,0.964
19.928,0.973
19.958,0.963
19.988,0.955
20.018,0.956
20.048,0.961
20.078,0.967
20.108,0.967
20.138,0.967
20.168,0.959
20.198,0.963
20.228,0.965
20.258,0.963
20.288,0.961
20.318,0.963
20.348,0.966
20.378,0.968
20.408,0.962
20.438,0.955
20.468,0.957
20.498,0.952
20.528,0.957
20.558,0.961
20.588,0.964
20.618,0.961
20.648,0.966
20.678,0.965
20.708,0.962
20.738,0.963
20.768,0.977
20.798,0.966
20.828,0.954
20.858,0.952
20.888,0.954
20.918,0.959
20.948,0.968
20.978,0.966
21.008,0.958
21.038,0.967
21.068,0.965
21.098,0.962
21.128,0.969
21.158,0.959
21.188,0.956
21.218,0.959
21.248,0.956
21.278,0.957
21.308,0.955
21.338,0.959
21.368,0.963
21.398,0.964
21.428,0.968
21.458,0.963
21.488,0.967
21.518,0.967
21.548,0.963
21.578,0.959
21.608,0.970
21.638,0.960
21.668,0.955
21.698,0.958
21.728,0.960
21.758,0.961
21.788,0.967
21.818,0.970
21.848,0.965
21.878,0.967
21.908,0.960
21.938,0.983
21.968,0.983
21.998,0.955
22.028,0.933
22.058,0.935
22.088,0.943
22.118,0.955
22.148,0.973
22.178,0.982
22.208,0.979
22.238,0.960
22.268,0.949
22.298,0.950
22.328,0.953
22.358,0.967
22.388,0.979
22.418,0.981
22.448,0.975
22.478,0.958
22.508,0.963
22.538,0.959
22.568,0.949
22.598,0.949
22.628,0.952
22.658,0.957
22.688,0.965
22.718,0.970
22.748,0.966
22.778,0.964
22.808,0.968
22.838,0.962
22.868,0.960
22.898,0.963
22.928,0.961
22.958,0.963
22.988,0.961
23.018,0.960
23.048,0.959
23.078,0.960
23.108,0.962
23.138,0.968
23.168,0.963
23.198,0.964
23.228,0.962
23.258,0.957
23.288,0.960
23.318,0.959
23.348,0.960
23.378,0.974
23.408,0.958
23.438,0.954
23.468,0.952
23.498,0.962
23.528,0.964
23.558,0.966
23.588,0.961
23.618,0.956
23.648,0.959
23.678,0.958
23.708,0.962
23.738,0.963
23.768,0.964
23.798,0.961
23.828,0.963
23.858,0.962
23.888,0.958
23.918,0.962
23.948,0.961
23.978,0.962
24.008,0.965
24.038,0.960
24.068,0.962
24.098,0.964
24.128,0.957
24.158,0.959
24.188,0.975
24.218,0.960
24.248,0.961
24.278,0.957
24.308,0.958
24.338,0.960
24.368,0.963
24.398,0.964
24.428,0.958
24.458,0.963
24.488,0.963
24.518,0.961
24.548,0.963
24.578,0.962
24.608,0.962
24.638,0.964
24.668,0.961
24.698,0.963
24.728,0.963
24.758,0.960
24.788,0.963
24.818,0.961
24.848,0.966
24.878,0.959
24.908,0.964
24.938,0.971
24.968,0.960
24.998,0.954
25.028,0.954
25.058,0.968
25.088,0.969
25.118,0.958
25.148,0.960
25.178,0.959
25.208,0.959
25.238,0.964
25.268,0.964
25.298,0.961
25.328,0.962
25.358,0.965
25.388,0.960
25.418,0.961
25.448,0.963
25.478,0.962
25.508,0.962
25.538,0.962
25.568,0.961
25.598,0.961
25.628,0.961
25.658,0.959
25.688,0.959
25.718,0.961
25.748,0.964
25.778,0.964
25.808,0.964
25.838,0.961
25.868,0.962
25.898,0.961
25.928,0.960
25.958,0.962
25.988,0.956
26.018,0.964
26.048,0.968
26.078,0.957
26.108,0.958
26.138,0.969
26.168,0.960
26.198,0.965
26.228,0.965
26.258,0.960
26.288,0.955
26.318,0.963
26.348,0.963
26.378,0.963
26.408,0.963
26.438,0.958
26.468,0.960
26.498,0.965
26.528,0.958
26.558,0.960
26.588,0.965
26.618,0.964
26.648,0.962
26.678,0.966
26.708,0.962
26.738,0.962
26.768,0.964
26.798,0.962
26.828,0.962
26.858,0.961
26.888,0.966
26.918,0.964
26.948,0.961
26.978,0.959
27.008,0.973
27.038,0.961
27.068,0.962
27.098,0.972
27.128,0.963
27.158,0.954
27.188,0.967
27.218,0.965
27.248,0.961
27.278,0.964
27.308,0.958
27.338,0.962
27.368,0.964
27.398,0.962
27.428,0.960
27.458,0.961
27.488,0.959
27.518,0.963
27.548,0.960
27.578,0.960
27.608,0.964
27.638,0.965
27.668,0.965
27.698,0.962
27.728,0.960
27.758,0.960
27.788,0.969
27.818,0.958
27.848,0.959
27.878,0.959
27.908,0.963
27.938,0.968
27.968,0.965
27.998,0.959
28.028,0.960
28.058,0.968
28.088,0.963
28.118,0.963
28.148,0.963
28.178,0.959
28.208,0.964
28.238,0.963
28.268,0.964
28.298,0.962
28.328,0.962
28.358,0.960
28.388,0.964
28.418,0.963
28.448,0.966
28.478,0.965
28.508,0.965
28.538,0.961
28.568,0.960
28.598,0.959
28.628,0.960
28.658,0.965
28.688,0.964
28.718,0.959
28.748,0.960
28.778,0.958
28.808,0.965
28.838,0.965
28.868,0.969
28.898,0.967
28.928,0.957
28.958,0.964
28.988,0.965
29.018,0.959
29.048,0.960
29.078,0.966
29.108,0.965
29.138,0.959
29.168,0.960
29.198,0.958
29.228,0.963
29.258,0.962
29.288,0.961
29.318,0.962
29.348,0.964
29.378,0.961
29.408,0.966
29.438,0.969
29.468,0.961
29.498,0.962
29.528,0.963
29.558,0.957
29.588,0.974
29.618,0.990
29.648,0.960
29.678,0.944
29.708,0.958
29.738,0.970
29.768,0.969
29.798,0.974
29.828,0.970
29.858,0.957
29.888,0.962
29.918,0.954
29.948,0.964
29.978,0.972
30.008,0.959
30.038,0.958
30.068,0.960
30.098,0.973
30.128,0.966
30.158,0.960
30.188,0.967
30.218,0.961
30.248,0.962
30.278,0.963
30.308,0.964
30.338,0.965
30.368,0.968
30.398,0.962
30.428,0.965
30.458,0.968
30.488,0.965
30.518,0.955
30.548,0.967
30.578,0.966
30.608,0.957
30.638,0.960
30.668,0.961
30.698,0.961
30.728,0.968
30.758,0.967
30.788,0.965
30.818,0.961
30.848,0.960
30.878,0.959
30.908,0.964
30.938,0.959
30.968,0.963
30.998,0.969
31.028,0.964
31.058,0.959
31.088,0.962
31.118,0.966
31.148,0.964
31.178,0.960
31.208,0.960
31.238,0.964
31.268,0.964
31.298,0.962
31.328,0.961
31.358,0.969
31.388,0.977
31.418,0.959
31.448,0.955
31.478,0.959
31.508,0.961
31.538,0.964
31.568,0.970
31.598,0.964
31.628,0.960
31.658,0.963
31.688,0.959
31.718,0.961
31.748,0.965
31.778,0.965
31.808,0.963
31.838,0.964
31.868,0.963
31.898,0.959
31.928,0.963
31.958,0.964
31.988,0.966
32.018,0.964
32.048,0.960
32.078,0.964
32.108,0.967
32.138,0.964
32.168,0.962
32.198,0.961
32.228,0.967
32.258,0.965
32.288,0.965
32.318,0.970
32.348,0.967
32.378,0.958
32.408,0.957
32.438,0.961
32.468,0.966
32.498,0.964
32.528,0.966
32.558,0.959
32.588,0.959
32.618,0.966
32.648,0.964
32.678,0.961
32.708,0.958
32.738,0.959
32.768,0.962
32.798,0.963
32.828,0.958
32.858,0.965
32.888,0.967
32.918,0.966
32.948,0.961
32.978,0.963
33.008,0.960
33.038,0.963
33.068,0.965
33.098,0.967
33.128,0.958
33.158,0.962
33.188,0.974
33.218,0.964
33.248,0.961
33.278,0.960
33.308,0.958
33.338,0.963
33.368,0.970
33.398,0.970
33.428,0.957
33.458,0.959
33.488,0.961
33.518,0.966
33.548,0.964
33.578,0.965
33.608,0.967
33.638,0.960
33.668,0.962
33.698,0.964
33.728,0.962
33.758,0.962
33.788,0.959
33.818,0.964
33.848,0.965
33.878,0.965
33.908,0.966
33.938,0.961
33.968,0.962
33.998,0.962
34.028,0.966
34.058,0.958
34.088,0.965
34.118,0.968
34.148,0.957
34.178,0.958
34.208,0.964
34.238,0.965
34.268,0.966
34.298,0.964
34.328,0.964
34.358,0.961
34.388,0.965
34.418,0.962
34.448,0.964
34.478,0.961
34.508,0.963
34.538,0.964
34.568,0.957
34.598,0.961
34.628,0.965
34.658,0.960
34.688,0.963
34.718,0.964
34.748,0.962
34.778,0.962
34.808,0.964
34.838,0.966
34.868,0.963
34.898,0.961
34.928,0.965
34.958,0.961
34.988,0.965
35.018,0.963
35.048,0.968
35.078,0.971
35.108,0.959
35.138,0.959
35.168,0.961
35.198,0.963
35.228,0.967
35.258,0.969
35.288,0.963
35.318,0.958
35.348,0.966
35.378,0.962
35.408,0.963
35.438,0.967
35.468,0.969
35.498,0.970
35.528,0.954
35.558,0.951
35.588,0.962
35.618,0.965
35.648,0.962
35.678,0.967
35.708,0.965
35.738,0.958
35.768,0.962
35.798,0.966
35.828,0.963
35.858,0.961
35.888,0.968
35.918,0.970
35.948,0.953
35.978,0.962
36.008,0.959
36.038,0.960
36.068,0.962
36.098,0.976
36.128,0.970
36.158,0.962
36.188,0.955
36.218,0.963
36.248,0.964
36.278,0.963
36.308,0.966
36.338,0.962
36.368,0.958
36.398,0.964
36.428,0.965
36.458,0.969
36.488,0.960
36.518,0.963
36.548,0.966
36.578,0.961
36.608,0.955
36.638,0.967
36.668,0.967
36.698,0.963
36.728,0.969
36.758,0.960
36.788,0.966
36.818,0.972
36.848,0.963
36.878,0.961
36.908,0.959
36.938,0.963
36.968,0.965
36.998,0.965
37.028,0.964
37.058,0.963
37.088,0.963
37.118,0.961
37.148,0.963
37.178,0.965
37.208,0.963
37.238,0.964
37.268,0.964
37.298,0.965
37.328,0.966
37.358,0.963
37.388,0.960
37.418,0.965
37.448,0.964
37.478,0.963
37.508,0.963
37.538,0.961
37.568,0.966
37.598,0.963
37.628,0.961
37.658,0.962
37.688,0.958
37.718,0.965
37.748,0.970
37.778,0.958
37.808,0.957
37.838,0.962
37.868,0.965
37.898,0.964
37.928,0.967
37.958,0.964
37.988,0.958
38.018,0.966
38.048,0.961
38.078,0.960
38.108,0.965
38.138,0.967
38.168,0.960
38.198,0.964
38.228,0.959
38.258,0.963
38.288,0.960
38.318,0.962
38.348,0.964
38.378,0.965
38.408,0.963
38.438,0.965
38.468,0.965
38.498,0.964
38.528,0.965
38.558,0.958
38.588,0.966
38.618,0.958
38.648,0.966
38.678,0.975
38.708,0.963
38.738,0.955
38.768,0.958
38.798,0.961
38.828,0.967
38.858,0.972
38.888,0.966
38.918,0.959
38.948,0.966
38.978,0.964
39.008,0.964
39.038,0.962
39.068,0.962
39.098,0.961
39.128,0.962
39.158,0.961
39.188,0.963
39.218,0.961
39.248,0.960
39.278,0.961
39.308,0.960
39.338,0.963
39.368,0.966
39.398,0.965
39.428,0.964
39.458,0.966
39.488,0.962
39.518,0.965
39.548,0.969
39.578,0.960
39.608,0.961
39.638,0.958
39.668,0.961
39.698,0.970
39.728,0.968
39.758,0.962
39.788,0.958
39.818,0.964
39.848,0.962
39.878,0.959
39.908,0.962
39.938,0.962
39.968,0.964
39.998,0.964
40.028,0.966
40.058,0.963
40.088,0.959
40.118,0.963
40.148,0.964
40.178,0.962
40.208,0.962
40.238,0.962
40.268,0.963
40.298,0.959
40.328,0.963
40.358,0.960
40.388,0.960
40.418,0.971
40.448,0.962
40.478,0.958
40.508,0.959
40.538,0.963
40.568,0.966
40.598,0.967
40.628,0.964
40.658,0.958
40.688,0.960
40.718,0.965
40.748,0.964
40.778,0.966
40.808,0.964
40.838,0.962
40.868,0.959
40.898,0.962
40.928,0.962
40.958,0.962
40.988,0.966
41.018,0.963
41.048,0.963
41.078,0.965
41.108,0.963
41.138,0.965
41.168,0.965
41.198,0.962
41.228,0.965
41.258,0.963
41.288,0.963
41.318,0.963
41.348,0.970
41.378,0.961
41.408,0.956
41.438,0.959
41.468,0.961
41.498,0.966
41.528,0.969
41.558,0.964
41.588,0.959
41.618,0.960
41.648,0.967
41.678,0.963
41.708,0.961
41.738,0.964
41.768,0.962
41.798,0.962
41.828,0.964
41.858,0.962
41.888,0.963
41.918,0.965
41.948,0.965
41.978,0.963
42.008,0.963
42.038,0.963
42.068,0.965
42.098,0.966
42.128,0.963
42.158,0.967
42.188,0.965
42.218,0.957
42.248,0.963
42.278,0.979
42.308,0.968
42.338,0.956
42.368,0.956
42.398,0.965
42.428,0.966
42.458,0.969
42.488,0.961
42.518,0.957
42.548,0.963
42.578,0.963
42.608,0.965
42.638,0.966
42.668,0.958
42.698,0.960
42.728,0.962
42.758,0.965
42.788,0.961
42.818,0.964
42.848,0.965
42.878,0.966
42.908,0.965
42.938,0.963
42.968,0.963
42.998,0.965
43.028,0.964
43.058,0.958
43.088,0.966
43.118,0.970
43.148,0.958
43.178,0.963
43.208,0.964
43.238,0.962
43.268,0.965
43.298,0.964
43.328,0.964
43.358,0.960
43.388,0.970
43.418,0.963
43.448,0.965
43.478,0.965
43.508,0.966
43.538,0.963
43.568,0.966
43.598,0.961
43.628,0.962
43.658,0.963
43.688,0.964
43.718,0.964
43.748,0.965
43.778,0.966
43.808,0.966
43.838,0.964
43.868,0.964
43.898,0.960
43.928,0.959
43.958,0.960
43.988,0.965
44.018,0.968
44.048,0.958
44.078,0.963
44.108,0.959
44.138,0.966
44.168,0.967
44.198,0.965
44.228,0.963
44.258,0.958
44.288,0.969
44.318,0.961
44.348,0.964
44.378,0.963
44.408,0.962
44.438,0.963
44.468,0.964
44.498,0.964
44.528,0.964
44.558,0.962
44.588,0.964
44.618,0.963
44.648,0.966
44.678,0.963
44.708,0.961
44.738,0.962
44.768,0.965
44.798,0.960
44.828,0.962
44.858,0.965
44.888,0.962
44.918,0.964
44.948,0.973
44.978,0.965
45.008,0.958
45.038,0.958
45.068,0.964
45.098,0.964
45.128,0.969
45.158,0.963
45.188,0.962
45.218,0.966
45.248,0.963
45.278,0.954
45.308,0.949
45.338,0.971
45.368,0.975
45.398,0.963
45.428,0.962
45.458,0.975
45.488,0.968
45.518,0.949
45.548,0.963
45.578,0.965
45.608,0.962
45.638,0.959
45.668,0.963
45.698,0.964
45.728,0.966
45.758,0.959
45.788,0.967
45.818,0.976
45.848,0.962
45.878,0.963
45.908,0.959
45.938,0.964
45.968,0.966
45.998,0.968
46.028,0.963
46.058,0.966
46.088,0.966
46.118,0.959
46.148,0.967
46.178,0.965
46.208,0.962
46.238,0.963
46.268,0.963
46.298,0.963
46.328,0.963
46.358,0.962
46.388,0.961
46.418,0.965
46.448,0.966
46.478,0.965
46.508,0.962
46.538,0.964
46.568,0.964
46.598,0.960
46.628,0.962
46.658,0.975
46.688,0.961
46.718,0.954
46.748,0.961
46.778,0.966
46.808,0.964
46.838,0.968
46.868,0.968
46.898,0.962
46.928,0.966
46.958,0.960
46.988,0.960
47.018,0.966
47.048,0.964
47.078,0.962
47.108,0.968
47.138,0.966
47.168,0.959
47.198,0.958
47.228,0.962
47.258,0.966
47.288,0.968
47.318,0.965
47.348,0.962
47.378,0.962
47.408,0.959
47.438,0.962
47.468,0.965
47.498,0.963
47.528,0.961
47.558,0.972
47.588,0.964
47.618,0.961
47.648,0.961
47.678,0.962
47.708,0.959
47.738,0.969
47.768,0.964
47.798,0.959
47.828,0.963
47.858,0.964
47.888,0.959
47.918,0.965
47.948,0.962
47.978,0.960
48.008,0.965
48.038,0.964
48.068,0.967
48.098,0.965
48.128,0.965
48.158,0.962
48.188,0.964
48.218,0.962
48.248,0.963
48.278,0.969
48.308,0.961
48.338,0.969
48.368,0.959
48.398,0.958
48.428,0.970
48.458,0.963
48.488,0.965
48.518,0.960
48.548,0.962
48.578,0.962
48.608,0.967
48.638,0.965
48.668,0.959
48.698,0.965
48.728,0.964
48.758,0.964
48.788,0.966
48.818,0.962
48.848,0.964
48.878,0.965
48.908,0.964
48.938,0.963
48.968,0.962
48.998,0.960
49.028,0.964
49.058,0.964
49.088,0.963
49.118,0.962
49.148,0.966
49.178,0.962
49.208,0.962
49.238,0.970
49.268,0.963
49.298,0.961
49.328,0.958
49.358,0.964
49.388,0.964
49.418,0.969
49.448,0.968
49.478,0.964
49.508,0.964
49.538,0.963
49.568,0.959
49.598,0.965
49.628,0.964
49.658,0.962
49.688,0.964
49.718,0.964
49.748,0.963
49.778,0.964
49.808,0.965
49.838,0.966
49.868,0.963
49.898,0.966
49.928,0.963
49.958,0.966
49.988,0.966
50.018,0.964
50.048,0.964
50.078,0.962
50.108,0.973
50.138,0.962
50.168,0.957
50.198,0.962
50.228,0.964
50.258,0.966
50.288,0.964
50.318,0.964
50.348,0.962
50.378,0.966
50.408,0.966
50.438,0.960
50.468,0.963
50.498,0.962
50.528,0.962
50.558,0.964
50.588,0.964
50.618,0.965
50.648,0.960
50.678,0.963
50.708,0.965
50.738,0.965
50.768,0.966
50.798,0.963
50.828,0.963
50.858,0.968
50.888,0.966
50.918,0.956
50.948,0.961
50.978,0.965
51.008,0.966
51.038,0.962
51.068,0.976
51.098,0.961
51.128,0.962
51.158,0.963
51.188,0.963
51.218,0.964
51.248,0.969
51.278,0.965
51.308,0.961
51.338,0.964
51.368,0.960
51.398,0.962
51.428,0.960
51.458,0.962
51.488,0.961
51.518,0.963
51.548,0.963
51.578,0.965
51.608,0.963
51.638,0.963
51.668,0.965
51.698,0.968
51.728,0.966
51.758,0.964
51.788,0.963
51.818,0.962
51.848,0.960
51.878,0.965
51.908,0.959
51.938,0.964
51.968,0.973
51.998,0.964
52.028,0.959
52.058,0.960
52.088,0.961
52.118,0.967
52.148,0.971
52.178,0.966
52.208,0.959
52.238,0.968
52.268,0.962
52.298,0.962
52.328,0.963
52.358,0.963
52.388,0.962
52.418,0.965
52.448,0.959
52.478,0.960
52.508,0.968
52.538,0.968
52.568,0.968
52.598,0.964
52.628,0.962
52.658,0.964
52.688,0.966
52.718,0.962
52.748,0.966
52.778,0.960
52.808,0.959
52.838,0.967
52.868,0.962
52.898,0.958
52.928,0.962
52.958,0.961
52.988,0.968
53.018,0.965
53.048,0.969
53.078,0.959
53.108,0.959
53.138,0.964
53.168,0.961
53.198,0.964
53.228,0.961
53.258,0.962
53.288,0.962
53.318,0.964
53.348,0.964
53.378,0.961
53.408,0.965
53.438,0.965
53.468,0.962
53.498,0.963
53.528,0.959
53.558,0.967
53.588,0.966
53.618,0.961
53.648,0.966
53.678,0.963
53.708,0.959
53.738,0.960
53.768,0.966
53.798,0.975
53.828,0.958
53.858,0.960
53.888,0.958
53.918,0.963
53.948,0.966
53.978,0.965
54.008,0.965
54.038,0.961
54.068,0.966
54.098,0.964
54.128,0.966
54.158,0.965
54.188,0.963
54.218,0.961
54.248,0.961
54.278,0.966
54.308,0.959
54.338,0.964
54.368,0.962
54.398,0.963
54.428,0.965
54.458,0.962
54.488,0.964
54.518,0.965
54.548,0.961
54.578,0.964
54.608,0.960
54.638,0.964
54.668,0.964
54.698,0.959
54.728,0.965
54.758,0.972
54.788,0.961
54.818,0.961
54.848,0.959
54.878,0.964
54.908,0.966
54.938,0.965
54.968,0.960
54.998,0.960
55.028,0.966
55.058,0.958
55.088,0.965
55.118,0.963
55.148,0.963
55.178,0.963
55.208,0.968
55.238,0.961
55.268,0.965
55.298,0.964
55.328,0.965
55.358,0.965
55.388,0.965
55.418,0.962
55.448,0.967
55.478,0.963
55.508,0.960
55.538,0.967
55.568,0.958
55.598,0.963
55.628,0.975
55.658,0.959
55.688,0.962
55.718,0.959
55.748,0.964
55.778,0.965
55.808,0.966
55.838,0.963
55.868,0.964
55.898,0.966
55.928,0.966
55.958,0.959
55.988,0.960
56.018,0.961
56.048,0.962
56.078,0.966
56.108,0.965
56.138,0.966
56.168,0.968
56.198,0.965
56.228,0.965
56.258,0.961
56.288,0.963
56.318,0.964
56.348,0.965
56.378,0.964
56.408,0.964
56.438,0.963
