df_hash,22ZHK4.TRV2GV
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.PCK3
person_label,v118
date_time_start,2026-03-10_17-31-48.958000_+03
date_time_start_unix,1773149508.958
date_time_end,2026-03-10_17-40-36.666000_+03
length_difference_noticed,no

time,temperature
494.774,35.094
495.763,35.281
496.724,35.250
497.748,35.250
498.723,35.250
499.747,35.312
500.771,35.312
501.786,35.281
502.773,35.281
503.744,35.312
504.758,35.312
505.792,35.188
506.718,35.188
507.742,35.219
508.717,35.219
509.740,35.219
511.008,35.219
511.740,35.188
512.764,35.219
513.741,35.188
514.713,35.156
516.078,35.125
516.716,35.125
517.736,35.125
518.761,35.156
519.734,35.156
520.760,35.125
521.733,35.125
