df_hash,22ZHK4.QT9BDF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SU53
person_label,V49
date_time_start,2025-10-30_17-54-05.050000_+03
date_time_start_unix,1761832445.05
date_time_end,2025-10-30_18-02-50.778000_+03
length_difference_noticed,no

time,acc_mag
42.141,1.017
42.171,1.013
42.201,1.015
42.231,1.013
42.261,1.018
42.291,1.014
42.321,1.014
42.351,1.012
42.381,1.019
42.411,1.015
42.441,1.009
42.471,1.015
42.501,1.010
42.531,1.013
42.561,1.020
42.591,1.017
42.621,1.010
42.651,1.015
42.681,1.017
42.711,1.019
42.741,1.013
42.771,1.015
42.801,1.020
42.831,1.014
42.861,1.011
42.891,1.014
42.921,1.018
42.951,1.016
42.981,1.013
43.011,1.014
43.041,1.020
43.071,1.011
43.101,1.015
43.131,1.011
43.161,1.012
43.191,1.013
43.221,1.018
43.251,1.015
43.281,1.012
43.311,1.017
43.341,1.011
43.371,1.020
43.401,1.017
43.431,1.010
43.461,1.013
43.491,1.014
43.521,1.017
43.551,1.016
43.581,1.015
43.611,1.015
43.641,1.014
43.671,1.013
43.701,1.017
43.731,1.018
43.761,1.016
43.791,1.009
43.821,1.016
43.851,1.014
43.881,1.018
43.911,1.017
43.941,1.013
43.971,1.015
44.001,1.018
44.031,1.017
44.061,1.011
44.091,1.011
44.121,1.010
44.151,1.014
44.181,1.020
44.211,1.016
44.241,1.012
44.271,1.011
44.301,1.016
44.331,1.021
44.361,1.016
44.391,1.007
44.421,1.011
44.451,1.013
44.481,1.012
44.511,1.011
44.541,1.018
44.571,1.014
44.601,1.013
44.631,1.014
44.661,1.015
44.691,1.014
44.721,1.019
44.751,1.011
44.781,1.013
44.811,1.016
44.841,1.019
44.871,1.014
44.901,1.016
44.931,1.017
44.961,1.002
44.991,1.015
45.021,1.019
45.051,1.011
45.081,1.012
45.111,1.014
45.141,1.018
45.171,1.017
45.201,1.015
45.231,1.014
45.261,1.011
45.291,1.015
45.321,1.016
45.351,1.018
45.381,1.016
45.411,1.014
45.441,1.010
45.471,1.013
45.501,1.017
45.531,1.014
45.561,1.016
45.591,1.011
45.621,1.009
45.651,1.010
45.681,1.017
45.711,1.017
45.741,1.017
45.771,1.017
45.801,1.003
45.831,1.018
45.861,1.019
45.891,1.015
45.921,1.014
45.951,1.013
45.981,1.017
46.011,1.015
46.041,1.016
46.071,1.016
46.101,1.020
46.131,1.013
46.161,1.013
46.191,1.017
46.221,1.013
46.251,1.010
46.281,1.014
46.311,1.021
46.341,1.012
46.371,1.017
46.401,1.014
46.431,1.012
46.461,1.013
46.491,1.018
46.521,1.017
46.551,1.013
46.581,1.018
46.611,1.006
46.641,1.013
46.671,1.021
46.701,1.017
46.731,1.014
46.761,1.015
46.791,1.016
46.821,1.014
46.851,1.015
46.881,1.013
46.911,1.013
46.941,1.014
46.971,1.016
47.001,1.014
47.031,1.014
47.061,1.014
47.091,1.014
