df_hash,22ZHK4.EBWR1B
431.305,0
432.182,14
433.108,18
434.278,13
435.205,12
436.083,12
437.256,0
438.324,0
439.058,12
440.274,21
441.197,8
442.034,0
443.264,0
444.125,0
445.029,21
446.223,26
447.103,0
447.977,34
449.439,27
450.073,29
450.996,32
452.171,0
453.109,0
453.976,0
455.145,9
456.130,1
456.950,28
458.211,0
459.088,35
459.921,44
461.090,31
462.017,0
462.895,25
464.117,36
464.994,60
465.868,66
467.133,53
468.064,49
468.887,49
470.134,56
470.939,56
471.863,59
473.034,63
473.912,75
475.180,74
476.106,75
476.990,75
477.857,78
478.982,75
479.907,75
480.835,81
481.955,72
482.922,56
483.809,46
485.078,43
485.998,43
486.735,34
488.102,38
488.926,57
489.706,54
491.020,58
491.803,42
492.680,46
493.896,50
494.777,25
495.654,30
496.826,0
497.804,33
498.629,43
500.093,50
500.725,0
501.678,0
502.820,16
503.698,11
504.577,47
505.795,37
506.672,10
507.842,26
508.768,0
509.645,0
510.572,0
511.793,0
512.620,10
513.546,24
514.716,20
515.605,0
516.519,0
517.691,0
518.595,0
519.493,0
521.049,0
521.589,0
