df_hash,22ZHK4.Z1ZPL9
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.UH07
person_label,V67
date_time_start,2025-10-31_17-31-54.657000_+03
date_time_start_unix,1761917514.657
date_time_end,2025-10-31_17-40-10.548000_+03
length_difference_noticed,no

time,acc_mag
20.691,1.004
20.721,1.007
20.751,1.006
20.781,0.998
20.811,1.009
20.841,0.995
20.871,1.009
20.901,1.010
20.931,1.002
20.961,1.007
20.991,1.008
21.021,1.007
21.051,1.009
21.081,0.997
21.111,1.010
21.141,1.013
21.171,1.001
21.201,0.998
21.231,1.001
21.261,1.021
21.291,1.007
21.321,1.009
21.351,1.001
21.381,1.001
21.411,1.014
21.441,1.005
21.471,0.997
21.501,1.011
21.531,1.002
21.561,1.008
21.591,1.008
21.621,1.005
21.651,0.991
21.681,1.005
21.711,1.012
21.741,1.009
21.771,1.017
21.801,1.003
21.831,1.016
21.861,1.004
21.891,1.006
21.921,1.000
21.951,1.000
21.981,0.997
22.011,1.017
22.041,1.004
22.071,1.014
22.101,1.002
22.131,1.016
22.161,0.996
22.191,0.997
22.221,1.005
22.251,1.007
22.281,1.008
22.311,1.007
22.341,1.011
22.371,1.003
22.401,1.017
22.431,1.000
22.461,1.006
22.491,1.007
22.521,1.000
22.551,1.011
22.581,1.011
22.611,1.001
22.641,1.021
22.671,0.997
22.701,1.012
22.731,1.000
22.761,1.010
22.791,1.007
22.821,1.002
22.851,1.008
22.881,1.011
22.911,1.005
22.941,1.016
22.971,1.022
23.001,0.997
23.031,1.020
23.061,0.999
23.091,1.003
23.121,1.011
23.151,1.006
23.181,1.013
23.211,1.021
23.241,1.017
23.271,0.993
23.301,1.000
23.331,1.015
23.361,1.006
23.391,1.021
23.421,1.020
23.451,1.006
23.481,1.013
23.511,1.011
23.541,1.022
23.571,1.021
23.601,1.014
23.631,1.015
23.661,1.013
23.691,1.018
23.721,1.006
23.751,1.021
23.781,1.019
23.811,1.020
23.841,1.022
23.871,1.030
23.901,1.013
23.931,1.028
23.961,1.010
23.991,1.017
24.021,1.025
24.051,1.023
24.081,1.019
24.111,1.021
24.141,1.025
24.171,1.020
24.201,1.019
24.231,1.024
24.261,1.024
24.291,1.021
24.321,1.018
24.351,1.021
24.381,1.019
24.411,1.026
24.441,1.028
24.471,1.027
24.501,1.019
24.531,1.018
24.561,1.029
24.591,1.025
24.621,1.018
24.651,1.021
24.681,1.022
24.711,1.013
24.741,1.021
24.771,1.032
24.801,1.038
24.831,1.016
24.861,1.016
24.891,1.024
24.921,1.022
24.951,1.021
24.981,1.021
25.011,1.026
25.041,1.007
25.071,1.023
25.101,1.030
25.131,1.021
25.161,1.021
25.191,1.024
25.221,1.020
25.251,1.012
25.281,1.022
25.311,1.028
25.341,1.022
25.371,1.020
25.401,1.030
25.431,1.021
25.461,1.018
25.491,1.024
25.521,1.021
25.551,1.021
25.581,1.029
25.611,1.024
25.641,1.021
25.671,1.027
25.701,1.020
25.731,1.021
25.761,1.023
25.791,1.020
25.821,1.026
25.851,1.027
25.881,1.025
25.911,1.025
25.941,1.016
25.971,1.023
26.001,1.026
26.031,1.021
26.061,1.021
26.091,1.022
26.121,1.017
26.151,1.020
26.181,1.016
26.211,1.025
26.241,1.023
26.271,1.019
26.301,1.019
26.331,1.021
26.361,1.017
26.391,1.021
26.421,1.024
26.451,1.016
26.481,1.027
26.511,1.021
26.541,1.026
26.571,1.018
26.601,1.014
26.631,1.021
26.661,1.018
26.691,1.026
26.721,1.021
26.751,1.021
26.781,1.024
