df_hash,22ZHK4.6M747Q
428.182,0
429.035,0
429.913,0
431.131,0
432.054,19
433.126,27
434.250,23
435.079,26
435.860,30
437.125,33
437.956,34
438.884,1
440.247,8
441.013,0
441.856,15
443.121,16
444.099,10
444.830,0
446.048,0
446.927,0
447.804,44
449.027,32
450.143,0
450.783,34
451.961,0
452.880,2
453.752,0
454.979,0
455.850,34
456.730,42
457.946,43
458.825,50
459.998,57
460.917,48
461.795,52
462.965,69
463.891,66
464.769,74
465.695,76
466.865,83
468.041,78
468.669,75
469.889,78
470.750,81
471.643,67
472.813,37
473.983,41
474.616,27
475.786,26
476.671,44
477.590,63
478.760,64
479.639,80
480.658,79
481.734,83
482.706,85
483.537,82
485.001,79
485.634,83
486.535,84
487.685,74
488.708,64
489.677,43
490.747,27
491.676,25
492.467,0
493.681,10
494.565,4
495.434,3
496.671,0
497.529,20
498.407,0
499.671,0
500.503,0
501.526,17
502.647,17
503.509,0
504.354,0
505.573,2
506.451,4
507.474,0
508.547,0
509.424,0
510.350,0
511.522,3
512.399,20
513.472,31
514.496,100
515.420,0
516.541,4
517.468,0
518.439,0
