df_hash,22ZHK4.7HTV1R
430.962,0
431.843,1
432.741,0
433.937,0
434.815,0
435.739,0
436.907,36
437.786,49
438.806,59
439.881,72
440.930,66
441.879,59
443.000,37
443.732,47
444.815,47
445.840,37
446.756,30
447.729,53
448.804,72
449.741,64
450.609,73
451.823,70
452.850,72
453.625,67
454.753,65
455.676,71
456.554,72
457.772,74
458.650,73
459.531,77
460.759,77
461.666,71
462.501,67
463.720,48
464.601,51
465.475,48
466.693,34
467.571,39
468.448,55
469.674,52
470.546,52
471.471,65
472.735,65
473.576,60
474.445,0
475.615,0
476.492,0
477.419,20
478.630,20
479.515,29
480.435,23
481.563,26
482.489,0
483.412,5
484.536,8
485.462,7
486.347,15
487.561,14
488.440,6
489.605,0
490.635,0
491.410,7
492.336,12
