df_hash,22ZHK4.EMHYEC
431.782,27
432.416,37
433.293,28
434.509,25
435.389,20
436.366,24
437.486,23
438.409,30
439.240,50
440.413,71
441.345,73
442.214,64
443.826,68
444.360,69
445.188,68
446.699,64
447.335,65
448.208,70
449.628,63
450.309,43
451.138,54
452.549,56
453.385,44
454.136,41
455.331,59
456.303,64
457.178,59
458.347,57
459.181,72
460.152,74
461.279,73
462.301,76
463.081,79
464.252,71
465.127,76
466.054,77
467.223,76
468.103,77
469.073,82
470.197,80
471.174,74
472.006,64
473.220,64
474.097,64
475.021,66
476.239,69
477.168,74
477.997,77
479.312,79
480.093,78
480.923,74
482.287,68
483.313,72
483.898,69
485.258,66
485.992,74
486.967,62
488.134,37
488.969,25
489.895,0
491.063,23
491.981,31
492.866,27
494.036,39
494.913,23
495.840,21
497.010,0
497.936,0
498.814,24
500.230,36
500.910,8
501.933,24
503.010,16
503.884,13
504.771,0
505.984,0
506.859,0
507.737,0
509.002,0
509.832,0
510.910,100
511.927,2
512.904,0
513.734,0
515.000,0
515.781,0
516.707,0
