df_hash,22ZHK4.S3ZK9C
836.494,78
838.514,60
840.534,51
841.544,50
842.554,50
845.584,50
847.604,65
848.614,62
849.624,64
851.644,68
853.664,61
854.674,54
855.684,46
856.694,33
858.714,37
860.734,31
862.754,25
863.764,25
864.774,32
866.794,36
868.814,38
870.834,30
871.844,35
873.864,36
874.874,36
875.884,50
877.904,34
879.924,34
881.944,38
882.954,34
884.974,34
885.984,32
886.994,38
889.014,52
891.034,38
893.054,29
896.084,24
897.094,24
898.104,13
900.124,5
902.144,32
903.154,35
