df_hash,22ZHK4.S3ZK9C
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1ELE
person_label,V34
date_time_start,2025-10-14_16-34-28.479000_+03
date_time_start_unix,1760441668.479
date_time_end,2025-10-14_16-49-33.625000_+03
length_difference_noticed,no

time,temperature
552.908,35.969
553.885,35.969
555.006,36.000
555.953,36.031
556.954,35.969
558.032,35.969
558.904,36.094
559.979,36.094
560.908,36.062
561.878,36.094
562.902,36.094
563.901,36.094
564.909,36.125
565.875,36.125
566.907,36.125
567.877,36.125
568.937,36.125
569.878,36.125
570.896,36.156
571.971,36.156
572.904,36.125
573.870,36.156
575.079,36.156
575.870,36.188
576.895,36.219
577.867,36.219
578.891,36.250
579.866,36.281
581.136,36.250
581.865,36.281
582.988,36.281
583.863,36.281
584.941,36.281
586.280,36.250
586.934,36.219
587.891,36.219
589.177,36.281
590.055,36.281
590.900,36.312
591.907,36.312
593.226,36.344
593.905,36.344
595.032,36.344
595.904,36.312
596.976,36.312
597.953,36.375
598.878,36.344
599.902,36.344
600.877,36.375
601.903,36.375
602.926,36.344
603.901,36.375
605.315,36.406
605.898,36.406
607.119,36.438
607.899,36.406
608.871,36.469
609.895,36.375
611.164,36.375
611.894,36.375
612.923,36.406
613.941,36.406
615.017,36.406
615.891,36.438
616.875,36.438
617.904,36.469
618.865,36.469
619.889,36.531
620.864,36.531
622.278,36.531
622.934,36.531
623.891,36.531
624.861,36.562
626.034,36.531
626.860,36.500
627.883,36.469
628.912,36.438
629.882,36.406
631.013,36.438
631.881,36.438
632.856,36.406
633.880,36.406
634.903,36.406
635.878,36.469
636.999,36.500
637.883,36.500
638.962,36.531
639.924,36.562
640.948,36.562
641.875,36.594
642.904,36.531
643.874,36.531
644.946,36.562
645.887,36.500
646.919,36.469
647.873,36.469
648.896,36.438
649.897,36.469
651.089,36.438
651.923,36.406
653.188,36.531
653.869,36.531
654.892,36.500
655.867,36.500
657.061,36.531
657.914,36.562
658.938,36.531
659.865,36.531
660.889,36.562
662.107,36.594
662.893,36.531
664.061,36.531
664.886,36.562
665.910,36.625
667.082,36.656
668.077,36.625
668.904,36.656
669.871,36.688
670.883,36.688
671.899,36.688
672.980,36.719
674.347,36.719
674.881,36.719
675.859,36.719
676.903,36.688
678.117,36.656
679.076,36.656
679.903,36.688
680.879,36.656
681.901,36.656
682.877,36.656
683.949,36.656
684.877,36.656
685.850,36.656
686.928,36.688
687.998,36.719
688.873,36.719
689.897,36.719
690.872,36.688
692.285,36.688
692.871,36.688
693.895,36.656
694.870,36.656
695.894,36.688
696.869,36.656
697.928,36.625
698.871,36.625
700.038,36.656
700.915,36.656
701.890,36.688
702.868,36.719
703.923,36.750
704.864,36.750
705.912,36.719
706.871,36.688
707.887,36.750
709.105,36.750
709.886,36.750
710.861,36.750
711.888,36.750
713.301,36.719
713.883,36.719
714.860,36.750
715.887,36.750
716.857,36.781
717.881,36.750
718.860,36.750
720.221,36.750
720.855,36.719
721.879,36.750
723.146,36.719
723.888,36.688
724.914,36.719
725.887,36.719
726.851,36.719
727.875,36.750
728.850,36.781
729.961,36.812
730.850,36.844
731.873,36.781
732.848,36.812
733.971,36.844
734.867,36.844
735.871,36.875
736.894,36.875
737.870,36.875
738.893,36.844
739.868,36.812
740.893,36.812
741.870,36.844
742.891,36.812
743.867,36.812
744.962,36.844
745.868,36.812
746.891,36.844
747.882,36.812
748.982,36.812
749.867,36.844
750.886,36.812
751.910,36.812
752.886,36.812
753.860,36.844
754.884,36.812
755.859,36.812
756.883,36.812
757.858,36.812
758.882,36.844
759.954,36.812
760.886,36.844
761.860,36.844
762.879,36.875
763.881,36.875
764.878,36.875
765.853,36.875
766.882,36.875
767.856,36.906
769.027,36.906
769.851,36.938
771.069,36.938
771.850,36.938
772.873,36.906
773.849,36.938
774.922,36.938
776.091,36.969
776.871,36.969
777.895,36.969
778.870,37.000
780.039,37.000
780.869,36.969
781.852,36.969
782.868,37.000
783.892,36.969
785.015,36.969
785.885,36.938
786.865,36.938
787.891,36.938
788.864,36.906
789.891,36.969
790.863,37.000
791.888,37.031
792.862,36.969
793.885,37.000
794.860,37.031
795.895,37.156
796.859,37.156
797.883,37.156
798.858,37.156
799.882,37.094
800.901,37.062
801.881,37.062
802.856,37.094
804.025,37.062
804.855,37.031
805.878,36.906
806.952,36.906
807.877,36.938
808.852,36.938
809.875,36.938
810.851,36.906
811.875,36.906
812.850,36.906
813.874,36.906
814.849,36.938
815.877,36.938
816.993,36.906
817.875,36.906
818.846,36.906
819.871,36.938
820.896,36.969
821.869,36.969
822.941,36.969
823.872,36.969
824.843,36.969
825.866,36.969
827.088,36.969
827.872,36.969
828.843,37.000
829.872,37.000
830.839,36.969
831.866,36.938
832.838,36.906
833.862,36.938
834.941,36.938
835.866,36.906
836.884,36.906
837.862,36.875
838.883,36.875
839.945,36.875
840.881,36.875
841.896,36.906
842.880,36.969
843.860,36.969
844.879,37.000
845.855,37.062
846.927,37.031
847.853,37.031
848.905,37.031
849.854,37.031
850.889,37.062
851.850,37.125
852.879,37.062
853.850,37.062
854.874,37.062
855.849,37.031
856.872,37.062
858.241,37.094
858.874,37.094
860.044,37.094
861.016,37.062
861.844,37.000
863.261,37.031
863.844,37.031
864.867,37.031
865.843,37.062
866.866,37.031
867.842,37.031
868.865,37.031
869.889,37.062
870.864,37.031
871.839,37.062
873.114,37.094
873.838,37.094
874.861,37.094
875.836,37.094
876.860,37.094
877.838,37.062
878.908,37.031
880.178,37.062
880.858,37.062
881.834,37.094
882.859,37.031
884.075,37.031
884.855,37.062
885.879,37.062
886.854,37.094
887.975,37.125
888.853,37.094
889.877,37.094
890.853,37.094
891.875,37.094
892.999,37.125
893.874,37.125
894.849,37.094
895.873,37.094
896.848,37.094
897.872,37.062
899.091,37.062
899.871,37.031
