df_hash,22ZHK4.UNGTKH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7KWE
person_label,V152
date_time_start,2026-06-08_18-35-23.944000_+03
date_time_start_unix,1780925723.944
date_time_end,2026-06-08_18-48-41.887000_+03
length_difference_noticed,no

time,acc_mag
38.093,1.043
38.123,1.047
38.153,1.049
38.183,1.043
38.213,1.042
38.243,1.046
38.273,1.048
38.303,1.045
38.333,1.039
38.363,1.042
38.393,1.048
38.423,1.052
38.453,1.054
38.483,1.048
38.513,1.049
38.543,1.044
38.573,1.043
38.603,1.046
38.633,1.040
38.663,1.047
38.693,1.049
38.723,1.046
38.753,1.041
38.783,1.045
38.813,1.049
38.843,1.048
38.873,1.048
38.903,1.046
38.933,1.044
38.963,1.047
38.993,1.048
39.023,1.050
39.053,1.040
39.083,1.042
39.113,1.047
39.143,1.051
39.173,1.045
39.203,1.046
39.233,1.046
39.263,1.048
39.293,1.049
39.323,1.049
39.353,1.034
39.383,1.043
39.413,1.050
39.443,1.049
39.473,1.047
39.503,1.053
39.533,1.049
39.563,1.051
39.593,1.059
39.623,1.053
39.653,1.046
39.683,1.034
39.713,1.061
39.743,1.062
39.773,1.046
39.803,1.045
39.833,1.045
39.863,1.050
39.893,1.039
39.923,1.035
39.953,1.037
39.983,1.040
40.013,1.043
40.043,1.046
40.073,1.044
40.103,1.058
40.133,1.055
40.163,1.059
40.193,1.054
40.223,1.050
40.253,1.042
40.283,1.037
40.313,1.032
40.343,1.026
40.373,1.021
40.403,1.016
40.433,1.032
40.463,1.029
40.493,1.041
40.523,1.054
40.553,1.050
40.583,1.049
40.613,1.038
40.643,1.049
40.673,1.048
40.703,1.044
40.733,1.051
40.763,1.043
40.793,1.064
40.823,1.106
40.853,1.041
40.883,1.010
40.913,1.037
40.943,1.053
40.973,1.041
41.003,1.026
41.033,1.029
41.063,1.041
41.093,1.057
41.123,1.050
41.153,1.049
41.183,1.051
41.213,1.057
41.243,1.051
41.273,1.051
41.303,1.051
41.333,1.048
41.363,1.051
41.393,1.048
41.423,1.044
41.453,1.048
41.483,1.047
41.513,1.046
41.543,1.043
41.573,1.039
41.603,1.041
41.633,1.049
41.663,1.049
41.693,1.037
41.723,1.053
41.753,1.065
41.783,1.065
41.813,1.051
41.843,1.091
41.873,1.062
41.903,0.990
41.933,1.024
41.963,1.059
41.993,1.066
42.023,1.042
42.053,1.047
42.083,1.038
42.113,1.049
42.143,1.051
42.173,1.050
42.203,1.046
42.233,1.066
42.263,1.082
42.293,1.097
42.323,1.068
42.353,1.027
42.383,1.018
42.413,1.021
42.443,1.027
42.473,1.018
42.503,1.066
42.533,1.087
42.563,1.054
42.593,1.035
42.623,1.027
42.653,1.034
42.683,1.062
42.713,1.043
42.743,1.025
42.773,1.026
42.803,1.046
42.833,1.050
42.863,1.050
42.893,1.037
42.923,1.049
42.953,1.037
42.983,1.042
43.013,1.051
43.043,1.031
43.073,1.041
43.103,1.047
43.133,1.034
43.163,1.049
43.193,1.059
43.223,1.053
43.253,1.038
43.283,1.036
43.313,1.034
43.343,1.045
43.373,1.048
43.403,1.038
43.433,1.041
43.463,1.048
43.493,1.041
43.523,1.048
43.553,1.043
43.583,1.041
43.613,1.046
43.643,1.045
43.673,1.048
43.703,1.040
43.733,1.045
43.763,1.038
43.793,1.043
43.823,1.056
43.853,1.049
43.883,1.037
43.913,1.045
43.943,1.046
43.973,1.040
44.003,1.054
44.033,1.038
44.063,1.045
44.093,1.051
44.123,1.043
44.153,1.040
44.183,1.041
44.213,1.051
44.243,1.044
44.273,1.039
44.303,1.041
44.333,1.049
44.363,1.036
44.393,1.041
44.423,1.032
44.453,1.050
44.483,1.065
44.513,1.054
44.543,1.051
44.573,1.048
44.603,1.045
44.633,1.042
44.663,1.045
44.693,1.035
44.723,1.041
44.753,1.044
44.783,1.052
44.813,1.052
44.843,1.045
44.873,1.045
