df_hash,22ZHK4.2MRVKE
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YH8G
person_label,V146
date_time_start,2026-06-08_16-56-17.756000_+03
date_time_start_unix,1780919777.756
date_time_end,2026-06-08_17-07-00.377000_+03
length_difference_noticed,no

time,ppg_med
23.226,660
23.251,829
23.276,842
23.301,814
23.326,823
23.351,866
23.376,895
23.401,888
23.426,864
23.451,849
23.476,835
23.501,801
23.526,740
23.551,676
23.576,626
23.601,572
23.626,480
23.651,349
23.676,226
23.701,173
23.726,210
23.751,296
23.776,370
23.801,400
23.826,390
23.851,361
23.876,319
23.901,267
23.926,218
23.951,198
23.976,218
24.001,253
24.026,259
24.051,213
24.076,138
24.101,85
24.126,85
24.151,119
24.176,135
24.201,94
24.226,7
24.251,-69
24.276,-80
24.301,-9
24.326,110
24.351,225
24.376,296
24.401,316
24.426,299
24.451,263
24.476,219
24.501,178
24.526,152
24.551,147
24.576,157
24.601,162
24.626,151
24.651,126
24.676,109
24.701,110
24.726,122
24.751,122
24.776,98
24.801,68
24.826,69
24.851,127
24.876,237
24.901,361
24.926,459
24.951,512
24.976,529
25.001,525
25.026,511
25.051,486
25.076,457
25.101,437
25.126,433
25.151,442
25.176,448
25.201,442
25.226,434
25.251,434
25.276,429
25.301,390
25.326,304
25.351,204
25.376,154
25.401,204
25.426,348
25.451,531
25.476,690
25.501,788
25.526,819
25.551,795
25.576,744
25.601,713
25.626,740
25.651,830
25.676,943
25.701,1030
25.726,1078
25.751,1117
25.776,1178
25.801,1255
25.826,1306
25.851,1299
25.876,1241
25.901,1171
25.926,1134
25.951,1165
25.976,1280
26.001,1463
26.026,1651
26.051,1768
26.076,1777
26.101,1713
26.126,1638
26.151,1569
26.176,1469
26.201,1306
26.226,1115
26.251,957
26.276,833
26.301,673
26.326,416
26.351,98
26.376,-189
26.401,-418
26.426,-668
26.451,-1021
26.476,-1433
26.501,-1765
26.526,-1937
26.551,-2030
26.576,-2182
26.601,-2430
26.626,-2691
26.651,-2915
26.676,-3180
26.701,-3585
26.726,-4082
26.751,-4496
26.776,-4742
26.801,-4951
26.826,-5299
26.851,-5731
26.876,-5976
26.901,-5909
26.926,-5786
26.951,-5969
26.976,-6343
27.001,-6138
27.026,-4533
27.051,-1522
27.076,1871
27.101,4358
27.126,5395
27.151,5475
27.176,5469
27.201,5777
27.226,6134
27.251,6126
27.276,5721
27.301,5238
27.326,4929
27.351,4734
27.376,4458
27.401,4070
27.426,3731
27.451,3555
27.476,3463
27.501,3304
27.526,3065
