df_hash,22ZHK4.HTY8RN
319.295,32.562
320.296,32.594
321.321,32.688
322.317,32.688
323.319,32.625
324.347,32.656
325.317,32.656
326.292,32.656
327.316,32.625
328.291,32.625
329.315,32.625
330.291,32.625
331.318,32.594
332.584,32.594
333.313,32.625
334.288,32.594
335.360,32.625
336.286,32.625
337.310,32.688
338.285,32.719
339.309,32.719
340.287,32.750
341.332,32.781
342.283,32.812
343.553,32.844
344.282,32.844
345.305,32.812
346.281,32.812
347.304,32.781
348.279,32.750
349.303,32.719
350.278,32.719
351.302,32.719
352.277,32.688
353.329,32.656
354.276,32.656
355.299,32.688
356.274,32.719
357.298,32.719
358.273,32.781
359.310,32.781
360.272,32.750
361.296,32.781
362.319,32.781
363.319,32.812
364.464,32.812
365.295,32.812
366.514,32.812
367.292,32.812
368.267,32.812
369.291,32.844
370.317,32.844
371.296,32.844
372.314,32.844
373.288,32.844
374.324,32.844
375.304,32.844
376.313,32.875
377.337,32.875
378.310,32.875
379.382,32.875
380.309,32.906
381.332,32.938
382.307,32.938
383.282,32.969
384.306,32.969
385.285,33.000
386.307,32.969
387.337,32.969
388.303,32.969
389.279,33.000
390.303,32.938
391.314,32.969
392.306,32.969
393.276,32.938
394.300,32.938
395.275,32.938
396.299,32.969
397.372,33.000
398.318,32.969
399.273,32.969
400.443,32.969
401.271,32.938
402.316,32.938
403.270,32.938
404.294,32.969
405.317,32.938
406.346,32.906
407.268,32.906
408.392,32.906
409.335,32.906
410.290,32.969
411.557,33.000
412.289,33.000
413.307,33.000
414.288,33.000
415.263,33.031
416.335,33.062
417.262,33.031
418.287,33.062
419.311,33.094
420.290,33.094
421.309,33.094
422.383,33.062
423.307,32.969
424.282,33.000
425.305,33.000
426.300,32.969
427.304,33.000
428.280,33.000
429.303,33.000
430.279,32.969
431.352,32.969
432.427,33.000
433.300,33.062
434.280,33.031
435.302,33.031
436.274,33.062
437.347,33.031
438.279,33.031
439.326,33.000
440.279,33.031
441.322,33.000
442.271,33.031
443.295,33.094
444.270,33.094
445.294,33.094
446.269,33.125
447.292,33.156
448.657,33.125
449.299,33.125
450.266,33.125
451.337,33.125
452.267,33.156
453.340,33.156
454.333,33.188
455.287,33.188
456.679,33.219
457.286,33.219
458.261,33.188
459.285,33.219
460.309,33.250
461.291,33.250
462.505,33.219
463.405,33.219
464.550,33.188
465.479,33.156
466.256,33.156
467.280,33.156
468.303,33.156
469.379,33.188
470.303,33.125
471.309,33.188
472.330,33.094
473.277,33.125
474.354,33.188
475.285,33.156
476.371,33.188
477.274,33.219
478.298,33.250
479.273,33.188
480.297,33.281
481.320,33.250
482.295,33.375
483.270,33.344
484.294,33.281
485.467,33.312
486.293,33.281
487.327,33.281
488.292,33.281
489.283,33.344
490.323,33.312
491.314,33.281
492.291,33.281
493.270,33.281
494.288,33.312
495.263,33.281
496.287,33.312
497.262,33.281
498.383,33.250
499.262,33.312
500.285,33.281
501.552,33.250
502.283,33.250
503.259,33.219
504.291,33.219
505.257,33.250
506.281,33.250
507.256,33.250
508.280,33.250
509.257,33.188
510.278,33.250
511.254,33.281
512.300,33.312
513.264,33.312
514.276,33.312
515.275,33.281
516.280,33.281
517.350,33.281
518.276,33.281
519.297,33.281
520.272,33.219
521.296,33.219
522.273,33.188
